step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.237711,2.077432,19.846382,19.669340,19.653456,19.656467,19.676167,19.693655,1.012781,1.003744,1.002935,1.003088,1.004093,1.004984,19.689882,19.622145,19.643318,19.642235,19.655394,19.661163,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03049350,2.01649666,2.00952792,2.01596165,2.01949525,2.02506351,0.98725748,0.99252737,0.99509889,0.99170625,0.98960942,0.98713446,8.12494394e-05,3.13765689e-04,3.62625542e-05,3.37255115e-05,3.51499039e-05,3.54261756e-05,3.31668016e-05
1000,6.494352,2.260296,20.020941,19.692553,19.677759,19.723612,19.862522,20.052900,1.021683,1.004925,1.004171,1.006509,1.013592,1.023289,19.613852,19.625809,19.634146,19.632959,19.661282,19.707479,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.06314063,2.01813483,2.01273417,2.03362107,2.05698633,2.09332371,0.97567135,0.99423593,0.99554485,0.98671734,0.97536194,0.96040565,6.19804312e-04,1.18222460e-03,5.04763506e-04,4.62540193e-04,4.92711319e-04,5.96713973e-04,4.79872280e-04
1500,7.499410,2.251039,20.110901,19.751213,19.742096,19.746315,19.923643,20.202038,1.026266,1.007900,1.007441,1.007660,1.016695,1.030887,19.622118,19.543880,19.604712,19.636532,19.642159,19.691036,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.07514024,2.02937698,2.02524924,2.04439211,2.07094288,2.11717200,0.97109807,0.98894322,0.98973012,0.98099905,0.96867782,0.94946378,1.00012572e-03,2.09863437e-03,8.97444726e-04,8.64830567e-04,8.23752605e-04,7.52782857e-04,5.63309179e-04
2000,9.888222,3.348825,20.296402,19.943211,19.860926,19.953897,20.284880,20.843666,1.035707,1.017647,1.013491,1.018228,1.035080,1.063596,19.596111,19.539230,19.685585,19.652498,19.787697,20.000978,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10955453,2.06284022,2.04337120,2.08353353,2.13193178,2.21725488,0.95544881,0.97487324,0.98239410,0.96429491,0.94261360,0.90759838,1.47782499e-03,2.95292586e-03,1.57726265e-03,1.38368062e-03,1.29994226e-03,9.09087714e-04,7.44050834e-04
2500,10.470862,3.154765,20.213758,20.137835,20.339256,20.568880,21.077087,21.397829,1.031485,1.027546,1.037832,1.049558,1.075292,1.091740,19.598190,19.558729,19.816317,19.836212,19.880426,20.098785,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09494734,2.09050512,2.11890078,2.17352939,2.25890017,2.31563067,0.96139884,0.96365058,0.94961929,0.92621958,0.89027095,0.87189186,1.67966809e-03,3.39674577e-03,1.91538944e-03,1.60924415e-03,1.44735444e-03,9.53188865e-04,7.56085850e-04
3000,9.637681,2.905002,20.405085,20.147465,21.103891,20.970968,21.243587,21.428865,1.041166,1.028017,1.076712,1.069978,1.083625,1.093307,19.570719,19.538052,19.779062,19.935694,19.947521,20.102060,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.13250160,2.09862256,2.22612381,2.27536988,2.33033442,2.33991313,0.94337267,0.96058577,0.90618330,0.88707161,0.86581975,0.86567879,1.83989464e-03,3.97361536e-03,2.10605375e-03,1.76363427e-03,1.48440537e-03,9.55440686e-04,7.56218389e-04
3500,11.631380,3.911388,20.260096,20.052219,21.370062,21.375565,21.500540,21.522686,1.033726,1.023159,1.090302,1.090446,1.096465,1.098041,19.574583,19.493462,19.846418,20.220245,20.016996,20.113972,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.11704588,2.08827925,2.26054740,2.35943604,2.44962668,2.40799379,0.94999498,0.96624959,0.89697826,0.85927778,0.82985669,0.85092908,1.92942991e-03,4.20530653e-03,2.23353691e-03,1.89948943e-03,1.52351183e-03,9.58118995e-04,7.56615773e-04
4000,14.371641,4.215956,20.296736,20.413261,21.885969,22.039791,21.885082,21.747557,1.035637,1.041507,1.116580,1.124196,1.115748,1.109365,19.573236,19.560713,19.940248,20.440685,20.234396,20.250786,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.11503172,2.14464569,2.32538629,2.45222259,2.53991580,2.47082782,0.95189315,0.94233185,0.87502384,0.82798487,0.80263782,0.83143127,2.19948798e-03,4.76387795e-03,2.73106853e-03,2.08850461e-03,1.72182522e-03,1.06060097e-03,8.31050624e-04
4500,14.277955,4.390357,20.364149,20.377022,21.767193,21.994785,21.912193,21.802490,1.038992,1.039649,1.110570,1.121950,1.117090,1.112135,19.573961,19.507593,19.899563,20.449705,20.234638,20.253063,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.12387943,2.13846564,2.27283216,2.42407322,2.56323719,2.51809859,0.94743699,0.94655377,0.90048552,0.83755970,0.79864568,0.82353109,2.30594046e-03,5.25970850e-03,2.88910558e-03,2.07229331e-03,1.72254443e-03,1.06074451e-03,8.31246434e-04
5000,12.744767,3.822924,20.381264,20.453985,21.856756,21.952988,21.966505,21.903673,1.039876,1.043606,1.115162,1.119831,1.119790,1.117236,19.562992,19.480761,19.848099,20.481382,20.243841,20.256899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.12730122,2.14887953,2.25133872,2.46192098,2.63634419,2.58420682,0.94659919,0.94441473,0.91929871,0.82956618,0.78254062,0.81295061,2.40382475e-03,5.71895204e-03,3.01399874e-03,2.07535177e-03,1.72197144e-03,1.06105488e-03,8.31619604e-04
