step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,final_residual_lut.T_soft,final_residual_lut.T_sel
2000,0.496411,0.520023,0.383572,0.379358,0.385072,0.357372,0.715500,0.648913,0.502593,0.426219,0.472786,0.397944,0.719479,0.615979,0.491385,0.409947,0.500465,0.439513,0.716403,0.620016,0.479503,0.428837,0.585042,0.529742,0.683372,0.605442,0.524500,0.511018,0.713675,0.690148,0.687130,0.626188,0.521865,0.446591,0.651332,0.611976,0.697403,0.526237
2200,0.500036,0.524059,0.382749,0.374687,0.390155,0.350117,0.736605,0.656601,0.520067,0.430997,0.490602,0.398614,0.744105,0.617806,0.506438,0.408193,0.512501,0.438641,0.743424,0.623495,0.487813,0.423935,0.588574,0.523992,0.706419,0.610235,0.524903,0.508383,0.738389,0.709118,0.711742,0.636366,0.532490,0.441926,0.665850,0.617446,0.724810,0.523253
2400,0.500047,0.524863,0.384099,0.371341,0.398099,0.345375,0.755223,0.661890,0.536878,0.434533,0.509707,0.400867,0.766887,0.617932,0.522617,0.408098,0.525509,0.437603,0.767647,0.624342,0.496284,0.419416,0.591231,0.517751,0.726096,0.612811,0.524478,0.504960,0.762502,0.726681,0.732314,0.641152,0.543419,0.437330,0.678211,0.620211,0.749137,0.517471
2600,0.501449,0.526753,0.386767,0.369150,0.408498,0.342419,0.774481,0.667516,0.553114,0.437424,0.527597,0.401323,0.786342,0.614690,0.538816,0.407459,0.539245,0.436385,0.789685,0.623112,0.506048,0.415568,0.593077,0.511548,0.746325,0.613544,0.524349,0.502276,0.787190,0.744574,0.749942,0.643141,0.554614,0.433308,0.690488,0.622337,0.769302,0.510745
2800,0.501215,0.527218,0.388590,0.366987,0.418365,0.339802,0.786822,0.667596,0.570656,0.442112,0.547511,0.404221,0.804931,0.611501,0.555676,0.406925,0.552944,0.436438,0.810926,0.620577,0.516263,0.412620,0.597005,0.506279,0.763603,0.613002,0.523370,0.498831,0.808038,0.758230,0.765771,0.642911,0.564557,0.428206,0.699509,0.622288,0.786755,0.502513
3000,0.502804,0.528682,0.391219,0.365153,0.428723,0.336602,0.799834,0.666867,0.587998,0.446612,0.567411,0.407585,0.820262,0.606269,0.572526,0.407579,0.566382,0.436289,0.831337,0.615538,0.526503,0.410394,0.601344,0.501766,0.779740,0.612293,0.522251,0.495036,0.827252,0.770334,0.782704,0.644047,0.573332,0.423442,0.707598,0.621334,0.802046,0.493254
3200,0.503150,0.529179,0.395601,0.364799,0.439257,0.335099,0.809716,0.665817,0.603524,0.449410,0.585551,0.408411,0.834816,0.601477,0.588539,0.407153,0.580555,0.435747,0.848458,0.608616,0.538711,0.408742,0.606215,0.497183,0.792517,0.607887,0.521229,0.491151,0.846038,0.781955,0.793670,0.640312,0.581294,0.417746,0.714081,0.617672,0.817455,0.482383
3400,0.503512,0.529411,0.398235,0.363167,0.450782,0.334358,0.819226,0.664978,0.617788,0.451948,0.602712,0.408973,0.847978,0.596081,0.604356,0.405854,0.593846,0.435231,0.864985,0.602886,0.549110,0.407012,0.609624,0.491440,0.805500,0.603603,0.519078,0.486556,0.861354,0.790114,0.805794,0.637866,0.589415,0.412972,0.720396,0.615041,0.828581,0.471977
3600,0.504023,0.530077,0.400299,0.361658,0.459763,0.331913,0.828558,0.664073,0.631139,0.454070,0.620285,0.410876,0.861748,0.591352,0.619405,0.404838,0.605222,0.433542,0.880842,0.596532,0.560272,0.405985,0.614898,0.487470,0.818926,0.599781,0.517463,0.482403,0.876381,0.797439,0.813687,0.634036,0.596711,0.408856,0.727191,0.612884,0.839739,0.462085
3800,0.503205,0.529622,0.402647,0.360338,0.468985,0.329979,0.835383,0.661863,0.643134,0.455504,0.636869,0.411166,0.871789,0.584350,0.632067,0.403863,0.616111,0.432036,0.893517,0.589639,0.571096,0.405486,0.619647,0.482728,0.829386,0.594952,0.516127,0.478464,0.889269,0.803519,0.823029,0.630305,0.605058,0.405078,0.733071,0.609471,0.849822,0.452432
4000,0.503224,0.529823,0.404962,0.359384,0.476315,0.327294,0.842070,0.660193,0.653518,0.456220,0.653126,0.412048,0.882238,0.579508,0.645507,0.403442,0.627553,0.431476,0.904661,0.583165,0.581977,0.405154,0.625750,0.480141,0.840562,0.591348,0.515381,0.475174,0.901097,0.809127,0.829288,0.625144,0.612828,0.401741,0.737940,0.606119,0.858852,0.443419
4200,0.503704,0.530416,0.406980,0.358451,0.484112,0.325510,0.845688,0.655991,0.664270,0.457405,0.667665,0.411902,0.891043,0.573571,0.657820,0.402269,0.638696,0.429737,0.915039,0.575264,0.591191,0.404251,0.629705,0.476074,0.850999,0.587409,0.514012,0.471610,0.909720,0.812066,0.835433,0.620515,0.619353,0.398546,0.742392,0.603038,0.867476,0.435091
