step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498362,0.498278,0.498534,0.498542,0.498421,0.498392,0.498351,0.498203,0.499050,0.498960,0.500876,0.500958,0.501237,0.501210,0.502661,0.502643,0.499615,0.499573,0.501388,0.501500,0.502156,0.502155,0.502827,0.502893,0.499860,0.499857,0.501028,0.501077,0.501819,0.501819,0.502864,0.502919,0.499920,0.499829,0.501469,0.501475,0.501517,0.501519,0.502874,0.502889,0.499927,0.499740,0.501279,0.501367,0.502163,0.502170,0.502754,0.502836
400,0.488416,0.488297,0.502267,0.502529,0.492059,0.491706,0.489067,0.489058,0.493847,0.493652,0.497456,0.497481,0.497845,0.497640,0.507086,0.506321,0.500441,0.500414,0.500901,0.501337,0.505768,0.506086,0.513755,0.513830,0.502544,0.502467,0.502278,0.502006,0.498329,0.498257,0.513146,0.512787,0.499245,0.498939,0.503995,0.500876,0.497583,0.497597,0.512895,0.512442,0.499982,0.499735,0.503555,0.504187,0.507605,0.507646,0.513248,0.513318
600,0.473108,0.472962,0.509035,0.509723,0.486676,0.485821,0.476208,0.476524,0.484125,0.483334,0.492373,0.492777,0.494593,0.493253,0.510373,0.508629,0.501548,0.501935,0.496422,0.497459,0.505711,0.508264,0.532133,0.532000,0.508164,0.507399,0.510017,0.509273,0.487275,0.486794,0.528613,0.528309,0.497754,0.497036,0.508608,0.490717,0.486562,0.486640,0.528856,0.528384,0.500039,0.499740,0.509621,0.509211,0.514840,0.514827,0.529092,0.528548
800,0.453050,0.452819,0.513375,0.514517,0.482035,0.480858,0.460484,0.461011,0.471604,0.469211,0.487668,0.488594,0.491986,0.489448,0.509414,0.506831,0.504269,0.504725,0.509124,0.510823,0.520400,0.521429,0.554473,0.553880,0.506332,0.505536,0.521761,0.519370,0.476522,0.474275,0.547792,0.549068,0.495101,0.494212,0.515695,0.478407,0.475449,0.474886,0.547122,0.545231,0.498722,0.498683,0.518169,0.499299,0.507413,0.506267,0.543447,0.541963
1000,0.428371,0.428040,0.512022,0.513593,0.472355,0.470450,0.440775,0.441216,0.459918,0.452226,0.481593,0.483120,0.488511,0.483979,0.505053,0.501631,0.509900,0.510237,0.516565,0.518180,0.527778,0.525677,0.573894,0.575066,0.504535,0.503438,0.532910,0.529296,0.474394,0.465067,0.564331,0.562476,0.493748,0.492941,0.523491,0.469131,0.469698,0.465175,0.561712,0.553319,0.495112,0.495187,0.527707,0.488536,0.505259,0.498322,0.557191,0.552856
1200,0.406619,0.406088,0.506680,0.508530,0.460537,0.457737,0.420059,0.420216,0.453057,0.436056,0.475715,0.477727,0.485233,0.479479,0.498783,0.494553,0.512929,0.512773,0.518200,0.520150,0.531760,0.526686,0.589858,0.592632,0.502854,0.502032,0.543656,0.538366,0.475433,0.457445,0.582975,0.571461,0.489895,0.488745,0.529077,0.459407,0.469212,0.456420,0.574821,0.557473,0.495468,0.494981,0.536182,0.478358,0.507452,0.493185,0.568760,0.559536
1400,0.387490,0.386590,0.497794,0.499830,0.445528,0.441557,0.399766,0.399648,0.450920,0.422905,0.469972,0.472137,0.481843,0.474663,0.492007,0.486997,0.514799,0.514226,0.519691,0.521872,0.534553,0.527128,0.605802,0.605535,0.500825,0.499957,0.554517,0.547208,0.479081,0.451983,0.602791,0.582189,0.489331,0.487916,0.535685,0.451764,0.473536,0.449800,0.589307,0.561299,0.494828,0.494307,0.542053,0.473134,0.513045,0.492025,0.580296,0.565786
1600,0.370440,0.368956,0.487215,0.489419,0.430331,0.424836,0.380919,0.380482,0.455906,0.409178,0.463754,0.466272,0.477697,0.469066,0.484713,0.479036,0.514310,0.513298,0.519556,0.521935,0.536501,0.526895,0.621152,0.618327,0.500474,0.500296,0.564364,0.555285,0.483272,0.446361,0.623377,0.590898,0.489133,0.487408,0.547095,0.442481,0.478796,0.443224,0.600420,0.563901,0.496039,0.495596,0.552447,0.463540,0.519232,0.488065,0.598374,0.570000
1800,0.355867,0.353668,0.473409,0.475642,0.415517,0.408279,0.363660,0.362629,0.465573,0.397732,0.457591,0.460525,0.472795,0.463147,0.476840,0.470538,0.514721,0.513333,0.518307,0.520783,0.537493,0.525890,0.632087,0.626724,0.499129,0.498989,0.576642,0.565552,0.491579,0.443262,0.639790,0.597654,0.488056,0.486301,0.555834,0.435250,0.484508,0.441635,0.610610,0.566419,0.494448,0.493979,0.558990,0.454226,0.525025,0.485666,0.613814,0.573321
