step,mse,ema,lr,elapsed_s
1625,0.01917250,0.01903311,2.968000e-04,130.1
1650,0.01924433,0.01902842,2.965400e-04,132.1
1675,0.01885475,0.01899520,2.962699e-04,134.0
1700,0.01881522,0.01900130,2.959899e-04,136.0
1725,0.01900021,0.01898550,2.956999e-04,138.0
1750,0.01915337,0.01897392,2.954000e-04,139.9
1775,0.01900081,0.01895328,2.950901e-04,141.9
1800,0.01877078,0.01895961,2.947703e-04,143.9
1825,0.01888940,0.01893477,2.944407e-04,145.9
1850,0.01892069,0.01893313,2.941011e-04,147.8
1875,0.01892262,0.01892188,2.937518e-04,149.9
1900,0.01899615,0.01891879,2.933926e-04,151.9
1925,0.01864758,0.01890383,2.930237e-04,153.9
1950,0.01904874,0.01891203,2.926450e-04,155.8
1975,0.01876592,0.01889742,2.922566e-04,157.8
2000,0.01882613,0.01887059,2.918585e-04,159.7
2025,0.01864435,0.01885346,2.914507e-04,161.7
2050,0.01894739,0.01885492,2.910334e-04,163.7
2075,0.01859450,0.01882444,2.906064e-04,165.6
2100,0.01866679,0.01880200,2.901698e-04,167.6
2125,0.01877723,0.01879993,2.897237e-04,169.6
2150,0.01902964,0.01881942,2.892682e-04,171.6
2175,0.01847689,0.01880091,2.888031e-04,173.6
2200,0.01875299,0.01880365,2.883286e-04,175.5
2225,0.01885143,0.01880056,2.878448e-04,177.5
2250,0.01875013,0.01880189,2.873516e-04,179.5
2275,0.01881111,0.01878980,2.868490e-04,181.4
2300,0.01903785,0.01880066,2.863372e-04,183.4
2325,0.01896880,0.01877289,2.858161e-04,185.3
2350,0.01869731,0.01878127,2.852859e-04,187.3
2375,0.01885750,0.01877410,2.847465e-04,189.3
2400,0.01872944,0.01875074,2.841979e-04,191.2
2425,0.01892197,0.01876316,2.836403e-04,193.2
2450,0.01894623,0.01874863,2.830737e-04,195.2
2475,0.01865339,0.01873867,2.824980e-04,197.2
2500,0.01868211,0.01872790,2.819134e-04,199.2
2525,0.01885217,0.01871014,2.813199e-04,201.2
2550,0.01858235,0.01871695,2.807176e-04,203.2
2575,0.01873950,0.01870205,2.801064e-04,205.2
2600,0.01862582,0.01869692,2.794865e-04,207.2
2625,0.01862612,0.01868514,2.788578e-04,209.1
2650,0.01840457,0.01868296,2.782205e-04,211.1
2675,0.01877313,0.01868630,2.775746e-04,213.1
2700,0.01870096,0.01867733,2.769201e-04,215.0
2725,0.01871961,0.01867823,2.762570e-04,217.0
2750,0.01880346,0.01866577,2.755855e-04,219.0
2775,0.01856753,0.01865781,2.749056e-04,220.9
2800,0.01860963,0.01866463,2.742173e-04,222.9
2825,0.01852656,0.01867103,2.735207e-04,224.9
2850,0.01874022,0.01867011,2.728158e-04,226.8
2875,0.01858993,0.01866066,2.721027e-04,228.8
2900,0.01866623,0.01864637,2.713815e-04,230.9
2925,0.01871836,0.01865194,2.706521e-04,233.0
2950,0.01862926,0.01863951,2.699147e-04,235.0
2975,0.01856102,0.01862540,2.691693e-04,237.0
3000,0.01858354,0.01864436,2.684160e-04,239.0
3025,0.01856708,0.01865721,2.676548e-04,241.0
3050,0.01869811,0.01863914,2.668858e-04,243.0
3075,0.01848410,0.01862062,2.661090e-04,245.0
3100,0.01876664,0.01861900,2.653246e-04,247.0
3125,0.01841754,0.01861397,2.645324e-04,249.0
3150,0.01853079,0.01861604,2.637327e-04,250.9
3175,0.01873110,0.01861327,2.629255e-04,252.9
3200,0.01841728,0.01859669,2.621109e-04,254.9
3225,0.01861379,0.01858635,2.612888e-04,256.9
3250,0.01857233,0.01858749,2.604594e-04,258.9
3275,0.01836947,0.01858446,2.596228e-04,260.9
3300,0.01851967,0.01857495,2.587789e-04,262.9
3325,0.01847695,0.01857262,2.579279e-04,264.9
3350,0.01844100,0.01856577,2.570698e-04,266.9
3375,0.01856416,0.01856030,2.562047e-04,268.8
3400,0.01845493,0.01856801,2.553326e-04,270.9
3425,0.01859648,0.01856175,2.544537e-04,272.9
3450,0.01863101,0.01856888,2.535680e-04,274.9
3475,0.01826783,0.01855148,2.526755e-04,276.8
3500,0.01839763,0.01854000,2.517763e-04,278.8
3525,0.01828300,0.01853315,2.508706e-04,280.7
3550,0.01852690,0.01854237,2.499583e-04,282.7
3575,0.01838712,0.01854630,2.490395e-04,284.7
3600,0.01853312,0.01855741,2.481143e-04,286.7
3625,0.01861806,0.01854312,2.471828e-04,288.6
3650,0.01855926,0.01853619,2.462450e-04,290.5
3675,0.01826150,0.01852745,2.453011e-04,292.4
3700,0.01851111,0.01853281,2.443510e-04,294.3
3725,0.01867351,0.01852276,2.433949e-04,296.2
3750,0.01834813,0.01852970,2.424328e-04,298.2
3775,0.01851389,0.01852388,2.414648e-04,300.1
3800,0.01864313,0.01852847,2.404910e-04,302.0
3825,0.01865357,0.01853181,2.395115e-04,303.9
3850,0.01869887,0.01853925,2.385263e-04,305.8
3875,0.01855564,0.01851452,2.375354e-04,307.7
3900,0.01844285,0.01852399,2.365391e-04,309.6
3925,0.01843511,0.01851460,2.355373e-04,311.5
3950,0.01853145,0.01850382,2.345301e-04,313.5
3975,0.01854337,0.01849920,2.335177e-04,315.4
4000,0.01845756,0.01850428,2.325000e-04,317.3
4025,0.01842544,0.01850258,2.314772e-04,319.2
4050,0.01838817,0.01848222,2.304493e-04,321.1
4075,0.01852484,0.01850657,2.294164e-04,323.1
4100,0.01855094,0.01851240,2.283787e-04,325.0
4125,0.01866885,0.01851471,2.273361e-04,326.9
4150,0.01839021,0.01851214,2.262887e-04,328.8
4175,0.01857481,0.01849444,2.252367e-04,330.7
4200,0.01855479,0.01849794,2.241801e-04,332.6
4225,0.01843527,0.01848854,2.231190e-04,334.5
4250,0.01869104,0.01848906,2.220535e-04,336.5
4275,0.01837422,0.01846005,2.209836e-04,338.4
4300,0.01832853,0.01847439,2.199094e-04,340.4
4325,0.01847030,0.01849788,2.188311e-04,342.3
4350,0.01836489,0.01850028,2.177487e-04,344.2
4375,0.01844257,0.01848708,2.166623e-04,346.1
4400,0.01842190,0.01848082,2.155719e-04,348.0
4425,0.01858357,0.01848823,2.144777e-04,350.0
4450,0.01824869,0.01847105,2.133797e-04,351.9
4475,0.01832424,0.01845855,2.122780e-04,353.8
4500,0.01836721,0.01846196,2.111727e-04,355.7
4525,0.01852868,0.01846567,2.100639e-04,357.6
4550,0.01835850,0.01846500,2.089517e-04,359.5
4575,0.01852570,0.01845742,2.078361e-04,361.4
4600,0.01846327,0.01844484,2.067173e-04,363.4
4625,0.01855462,0.01846289,2.055953e-04,365.3
4650,0.01836826,0.01846896,2.044702e-04,367.2
4675,0.01836388,0.01847054,2.033421e-04,369.2
4700,0.01822384,0.01846276,2.022110e-04,371.1
4725,0.01831577,0.01844600,2.010772e-04,373.0
4750,0.01865579,0.01845621,1.999406e-04,375.1
4775,0.01825415,0.01844820,1.988013e-04,377.0
4800,0.01853173,0.01844213,1.976595e-04,378.9
4825,0.01839712,0.01844932,1.965151e-04,380.9
4850,0.01819222,0.01843265,1.953684e-04,382.8
4875,0.01822168,0.01842819,1.942193e-04,384.7
4900,0.01831790,0.01843074,1.930681e-04,386.6
4925,0.01855148,0.01842389,1.919147e-04,388.5
4950,0.01837097,0.01841871,1.907592e-04,390.5
4975,0.01844743,0.01842636,1.896018e-04,392.4
5000,0.01836587,0.01841995,1.884425e-04,394.3
5025,0.01836279,0.01840145,1.872814e-04,396.3
5050,0.01849382,0.01840410,1.861187e-04,398.2
5075,0.01816328,0.01839345,1.849543e-04,400.1
5100,0.01833144,0.01839204,1.837884e-04,402.0
5125,0.01854672,0.01840461,1.826210e-04,404.0
5150,0.01845778,0.01840827,1.814524e-04,405.9
5175,0.01832078,0.01842401,1.802824e-04,407.8
5200,0.01837086,0.01839379,1.791113e-04,409.7
5225,0.01832710,0.01838775,1.779392e-04,411.6
5250,0.01834884,0.01837958,1.767660e-04,413.5
5275,0.01845230,0.01838285,1.755920e-04,415.4
5300,0.01849132,0.01837740,1.744171e-04,417.3
5325,0.01848689,0.01838125,1.732416e-04,419.3
5350,0.01844745,0.01836675,1.720654e-04,421.2
5375,0.01840145,0.01838619,1.708886e-04,423.1
5400,0.01834093,0.01838034,1.697114e-04,425.0
5425,0.01827874,0.01838359,1.685339e-04,426.9
5450,0.01827785,0.01838428,1.673561e-04,428.8
5475,0.01839403,0.01838228,1.661781e-04,430.7
5500,0.01850486,0.01839072,1.650000e-04,432.6
5525,0.01847775,0.01840906,1.638219e-04,434.5
5550,0.01852969,0.01840275,1.626439e-04,436.4
5575,0.01873081,0.01840618,1.614661e-04,438.4
5600,0.01837691,0.01840216,1.602886e-04,440.3
5625,0.01830528,0.01839045,1.591114e-04,442.2
5650,0.01820477,0.01838543,1.579346e-04,444.1
5675,0.01831538,0.01838133,1.567584e-04,446.0
5700,0.01803294,0.01836382,1.555829e-04,447.9
5725,0.01852537,0.01836474,1.544080e-04,449.8
5750,0.01830660,0.01837017,1.532340e-04,451.8
5775,0.01832366,0.01836804,1.520608e-04,453.8
5800,0.01851409,0.01837508,1.508887e-04,455.7
5825,0.01835064,0.01839168,1.497176e-04,457.6
