step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497370,0.497282,0.498564,0.498575,0.499117,0.499125,0.498895,0.500054,0.499756,0.499468,0.499415,0.499145,0.499136,0.498952,0.499348,0.499303,0.498982,0.498960,0.498885,0.498905,0.499109,0.499936,0.499838,0.498904,0.498873,0.498826,0.498845,0.499177,0.499674,0.499512,0.498602,0.498529,0.498468,0.498497,0.499219,0.499732,0.499557,0.498907,0.498863,0.498804,0.498823,0.499147
400,0.488104,0.487976,0.498660,0.498808,0.494348,0.493913,0.500197,0.499042,0.497551,0.498056,0.497769,0.497133,0.496966,0.504908,0.498400,0.497205,0.498028,0.497891,0.497406,0.497241,0.497850,0.501051,0.500709,0.498917,0.498752,0.498041,0.497975,0.499706,0.499900,0.499288,0.496745,0.496832,0.496921,0.497303,0.500865,0.500497,0.500179,0.498259,0.498078,0.497914,0.498159,0.499287
600,0.473183,0.473018,0.498024,0.498429,0.485190,0.484539,0.512853,0.499817,0.493667,0.495988,0.495299,0.492145,0.491722,0.509749,0.495986,0.492715,0.494583,0.493870,0.493460,0.492986,0.501347,0.504374,0.502670,0.498819,0.498241,0.497274,0.496684,0.503153,0.500782,0.499292,0.497300,0.497182,0.497530,0.497325,0.505257,0.501910,0.501371,0.496989,0.496498,0.496108,0.496029,0.500068
800,0.451945,0.451661,0.492162,0.492851,0.468894,0.467852,0.528485,0.504081,0.487738,0.492752,0.491815,0.485777,0.485267,0.515130,0.494057,0.486935,0.489718,0.488422,0.488099,0.486949,0.507046,0.510253,0.507073,0.499156,0.497841,0.497359,0.496320,0.512032,0.501035,0.498342,0.498252,0.498079,0.498603,0.497799,0.510584,0.505337,0.503929,0.498616,0.497672,0.496282,0.494676,0.502105
1000,0.427796,0.427324,0.481480,0.482306,0.445717,0.444208,0.546761,0.512544,0.481684,0.487405,0.486190,0.477030,0.476362,0.521094,0.495833,0.482978,0.483512,0.481486,0.481883,0.480067,0.512364,0.515219,0.510691,0.499407,0.497497,0.497627,0.496282,0.516161,0.499551,0.496595,0.500282,0.499925,0.500023,0.498888,0.517213,0.505490,0.503475,0.500226,0.499371,0.498042,0.495795,0.505494
1200,0.404799,0.404133,0.469538,0.470425,0.422567,0.419880,0.567242,0.528517,0.474463,0.481359,0.479931,0.466852,0.466118,0.529895,0.497067,0.479001,0.478095,0.475181,0.476181,0.473456,0.520439,0.519366,0.513132,0.499646,0.497254,0.498321,0.496645,0.519499,0.500726,0.496029,0.501858,0.501288,0.501309,0.499899,0.520007,0.506713,0.503006,0.502308,0.501486,0.500168,0.497708,0.509987
1400,0.385047,0.383999,0.455161,0.456148,0.403067,0.398129,0.586818,0.547313,0.468165,0.476043,0.474209,0.458107,0.457379,0.538128,0.500016,0.474152,0.471755,0.468299,0.469578,0.466006,0.530988,0.525755,0.517882,0.498381,0.495737,0.498686,0.496696,0.521124,0.503149,0.497384,0.503470,0.502684,0.502755,0.500982,0.520596,0.507256,0.503645,0.504136,0.503446,0.502287,0.499570,0.517453
1600,0.367426,0.365847,0.441748,0.442857,0.386376,0.378623,0.607449,0.568152,0.463996,0.471112,0.468835,0.449996,0.448887,0.549155,0.504174,0.470415,0.465948,0.462001,0.461965,0.457198,0.542484,0.530419,0.521342,0.497510,0.494634,0.498917,0.496741,0.522411,0.504314,0.496486,0.504357,0.503454,0.503741,0.501675,0.521679,0.506474,0.502446,0.505595,0.504987,0.504030,0.500891,0.520403
1800,0.351974,0.349646,0.427609,0.428826,0.373953,0.362549,0.628021,0.591921,0.460744,0.466379,0.463793,0.442885,0.441292,0.559484,0.510809,0.468074,0.461002,0.456521,0.456354,0.450516,0.553857,0.534370,0.523543,0.497521,0.494266,0.498802,0.496580,0.523664,0.506409,0.497861,0.505531,0.504497,0.504777,0.502403,0.522482,0.506389,0.501016,0.507048,0.506342,0.505572,0.501971,0.523756
