step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.00125,9.224755,0.001815,0.001815,0.000258,0.000241,0.000278,0.000323,0.000338,0.000377,2.582582,2.628481
400,0.00250,7.526240,0.000615,0.000615,0.000063,0.000068,0.000084,0.000110,0.000153,0.000137,2.137456,2.178372
600,0.00375,6.653812,0.000617,0.000617,0.000067,0.000067,0.000077,0.000094,0.000126,0.000185,1.976594,2.021644
800,0.00500,6.232065,0.000867,0.000867,0.000099,0.000087,0.000100,0.000117,0.000140,0.000324,1.878803,1.919297
1000,0.00625,5.928447,0.001238,0.001238,0.000138,0.000120,0.000139,0.000162,0.000190,0.000490,1.801914,1.837515
1200,0.00750,5.685169,0.001795,0.001795,0.000195,0.000177,0.000208,0.000234,0.000272,0.000709,1.736948,1.774403
1400,0.00875,5.486309,0.002630,0.002630,0.000277,0.000273,0.000320,0.000348,0.000396,0.001016,1.682776,1.721673
1600,0.01000,5.323602,0.003841,0.003841,0.000398,0.000416,0.000486,0.000518,0.000582,0.001442,1.633616,1.676293
1800,0.01125,5.141109,0.005383,0.005383,0.000539,0.000582,0.000714,0.000736,0.000828,0.001984,1.580425,1.628408
2000,0.01250,4.956782,0.007022,0.007022,0.000655,0.000729,0.000974,0.000976,0.001118,0.002570,1.525829,1.578938
2200,0.01375,4.802061,0.008733,0.008733,0.000771,0.000870,0.001252,0.001235,0.001433,0.003172,1.485541,1.541287
2400,0.01500,4.686964,0.010500,0.010500,0.000878,0.001008,0.001524,0.001503,0.001778,0.003810,1.454002,1.511877
2600,0.01625,4.587986,0.012511,0.012511,0.001015,0.001167,0.001837,0.001820,0.002175,0.004496,1.429329,1.492810
2800,0.01750,4.515331,0.014592,0.014592,0.001139,0.001316,0.002167,0.002149,0.002608,0.005213,1.409580,1.476852
3000,0.01875,4.459444,0.016735,0.016735,0.001263,0.001468,0.002512,0.002486,0.003056,0.005951,1.391229,1.461216
3200,0.02000,4.420806,0.018979,0.018979,0.001394,0.001625,0.002861,0.002849,0.003522,0.006728,1.376386,1.448932
3400,0.02125,4.368343,0.021321,0.021321,0.001524,0.001778,0.003221,0.003230,0.004029,0.007540,1.365518,1.440985
3600,0.02250,4.324503,0.023725,0.023725,0.001656,0.001955,0.003596,0.003623,0.004540,0.008356,1.352830,1.431074
3800,0.02375,4.308093,0.026122,0.026122,0.001791,0.002103,0.003975,0.004014,0.005056,0.009184,1.345051,1.423813
4000,0.02500,4.273121,0.028456,0.028456,0.001904,0.002240,0.004318,0.004382,0.005576,0.010036,1.336384,1.418874
4200,0.02625,4.235345,0.031013,0.031013,0.002039,0.002412,0.004703,0.004814,0.006135,0.010910,1.328354,1.413350
4400,0.02750,4.213819,0.033395,0.033395,0.002162,0.002566,0.005065,0.005198,0.006662,0.011743,1.320329,1.406473
4600,0.02875,4.201205,0.035755,0.035755,0.002278,0.002705,0.005407,0.005581,0.007154,0.012629,1.313666,1.402789
4800,0.03000,4.174512,0.038065,0.038065,0.002392,0.002853,0.005758,0.005962,0.007694,0.013407,1.307785,1.398823
5000,0.03125,4.161583,0.040383,0.040383,0.002493,0.002988,0.006078,0.006350,0.008223,0.014251,1.303454,1.396963
5200,0.03250,4.151714,0.042461,0.042461,0.002588,0.003101,0.006388,0.006692,0.008708,0.014984,1.297295,1.391672
5400,0.03375,4.151273,0.044528,0.044528,0.002674,0.003223,0.006674,0.007006,0.009155,0.015795,1.291146,1.387675
5600,0.03500,4.111594,0.046527,0.046527,0.002762,0.003342,0.006939,0.007325,0.009627,0.016533,1.287741,1.386331
5800,0.03625,4.087987,0.048376,0.048376,0.002843,0.003456,0.007175,0.007633,0.010026,0.017241,1.282761,1.382790
6000,0.03750,4.077597,0.050301,0.050301,0.002923,0.003558,0.007460,0.007938,0.010453,0.017969,1.278850,1.382209
6200,0.03875,4.065674,0.051872,0.051872,0.002991,0.003658,0.007642,0.008166,0.010869,0.018547,1.275744,1.379358
6400,0.04000,4.049449,0.053417,0.053417,0.003052,0.003727,0.007855,0.008449,0.011199,0.019136,1.272255,1.376431
6600,0.04125,4.037036,0.054852,0.054852,0.003117,0.003827,0.008042,0.008658,0.011512,0.019696,1.268511,1.376688
6800,0.04250,4.039042,0.056186,0.056186,0.003179,0.003894,0.008217,0.008866,0.011819,0.020211,1.264806,1.373120
7000,0.04375,4.010730,0.057406,0.057406,0.003210,0.003940,0.008335,0.009067,0.012118,0.020735,1.261848,1.372701
7200,0.04500,3.988358,0.058419,0.058419,0.003249,0.004001,0.008431,0.009218,0.012357,0.021165,1.258979,1.370525
7400,0.04625,3.991535,0.059253,0.059253,0.003274,0.004036,0.008528,0.009349,0.012579,0.021487,1.256435,1.368506
7600,0.04750,3.975328,0.060171,0.060171,0.003299,0.004088,0.008639,0.009487,0.012781,0.021876,1.253577,1.368643
7800,0.04875,3.958475,0.060786,0.060786,0.003310,0.004095,0.008729,0.009562,0.012920,0.022171,1.251309,1.369334
8000,0.05000,3.951304,0.061514,0.061514,0.003333,0.004149,0.008811,0.009683,0.013087,0.022450,1.248889,1.367253
8200,0.05125,3.948396,0.062094,0.062094,0.003332,0.004164,0.008886,0.009762,0.013227,0.022723,1.245002,1.364385
8400,0.05250,3.935777,0.062393,0.062393,0.003326,0.004185,0.008890,0.009808,0.013317,0.022866,1.243185,1.365011
8600,0.05375,3.922253,0.062813,0.062813,0.003329,0.004185,0.008932,0.009856,0.013404,0.023107,1.241276,1.364776
8800,0.05500,3.912513,0.063044,0.063044,0.003310,0.004201,0.008906,0.009912,0.013478,0.023238,1.238887,1.363584
9000,0.05625,3.918974,0.063276,0.063276,0.003305,0.004206,0.008934,0.009944,0.013511,0.023376,1.237573,1.361471
9200,0.05750,3.903058,0.063220,0.063220,0.003278,0.004187,0.008917,0.009932,0.013532,0.023372,1.235775,1.363715
9400,0.05875,3.888115,0.063382,0.063382,0.003265,0.004204,0.008915,0.009943,0.013568,0.023486,1.233495,1.361191
9600,0.06000,3.885483,0.063206,0.063206,0.003244,0.004172,0.008879,0.009881,0.013537,0.023492,1.231603,1.361806
9800,0.06125,3.888963,0.063101,0.063101,0.003210,0.004120,0.008851,0.009877,0.013519,0.023524,1.228321,1.359558
10000,0.06250,3.868532,0.063009,0.063009,0.003197,0.004133,0.008812,0.009873,0.013524,0.023470,1.226452,1.357228
10200,0.06375,3.865588,0.062740,0.062740,0.003158,0.004097,0.008756,0.009829,0.013478,0.023422,1.224714,1.357928
10400,0.06500,3.878500,0.062484,0.062484,0.003128,0.004069,0.008684,0.009775,0.013406,0.023421,1.223376,1.358995
10600,0.06625,3.881266,0.062177,0.062177,0.003082,0.004036,0.008619,0.009729,0.013360,0.023351,1.220631,1.357864
10800,0.06750,3.849539,0.061742,0.061742,0.003036,0.004014,0.008566,0.009627,0.013281,0.023219,1.219771,1.357152
11000,0.06875,3.825954,0.061468,0.061468,0.003012,0.004000,0.008489,0.009583,0.013231,0.023154,1.218234,1.357571
11200,0.07000,3.831892,0.061177,0.061177,0.002978,0.003948,0.008418,0.009561,0.013159,0.023112,1.216685,1.355370
11400,0.07125,3.832266,0.060735,0.060735,0.002954,0.003934,0.008345,0.009455,0.013084,0.022963,1.214681,1.355720
11600,0.07250,3.818965,0.060273,0.060273,0.002907,0.003886,0.008269,0.009393,0.012996,0.022821,1.213541,1.355370
11800,0.07375,3.816761,0.059834,0.059834,0.002871,0.003850,0.008182,0.009315,0.012913,0.022703,1.212392,1.354542
12000,0.07500,3.812587,0.059337,0.059337,0.002832,0.003814,0.008104,0.009240,0.012803,0.022544,1.210634,1.354832
12200,0.07625,3.797017,0.058967,0.058967,0.002799,0.003779,0.008027,0.009188,0.012730,0.022445,1.209648,1.355732
12400,0.07750,3.790052,0.058437,0.058437,0.002759,0.003744,0.007933,0.009115,0.012618,0.022267,1.208599,1.354592
12600,0.07875,3.787545,0.058077,0.058077,0.002735,0.003716,0.007872,0.009025,0.012555,0.022175,1.207592,1.354120
12800,0.08000,3.780405,0.057644,0.057644,0.002698,0.003676,0.007787,0.008973,0.012480,0.022030,1.206559,1.354547
13000,0.08125,3.776964,0.057095,0.057095,0.002666,0.003638,0.007720,0.008878,0.012358,0.021835,1.205869,1.353366
13200,0.08250,3.768780,0.056731,0.056731,0.002639,0.003611,0.007673,0.008813,0.012259,0.021737,1.204561,1.353910
