step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336286,0.331856,0.331858,254.8664,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.8664,0.994321,1.9886,16.0000,0.624600,0.000000,0.000000,+0.624600,0
200,0.253304,0.373366,0.373331,286.7314,1667172,0.40379408,158775,925505,582892,1667172,0.390703,0.391546,0.392136,-0.002440,-0.000001,0.002221,0.000337,1.000000,286.7314,1.044992,2.0979,16.0000,0.682971,0.000000,0.000000,+0.682971,0
400,0.241420,0.379090,0.379491,291.2948,2077996,0.50329691,483443,993116,601437,1410084,0.389064,0.390990,0.392281,-0.003906,-0.000001,0.004149,0.000534,1.000000,291.2949,1.039313,2.1005,16.0000,0.691289,0.000000,0.000000,+0.691289,0
600,0.247342,0.376326,0.376333,289.0207,2231433,0.54045981,577221,1010720,643492,1094140,0.387678,0.390621,0.392850,-0.006341,-0.000002,0.005452,0.000793,1.000000,289.0208,1.038885,2.0978,16.0000,0.686847,0.000000,0.000000,+0.686847,0
800,0.253923,0.373012,0.373066,286.4937,2335714,0.56571698,643063,1016354,676297,1070773,0.385557,0.390270,0.393721,-0.008961,-0.000001,0.008159,0.001156,1.000000,286.4937,1.037906,2.0727,16.0000,0.682103,0.000000,0.000000,+0.682103,0
1000,0.259969,0.369878,0.370153,284.1719,2406351,0.58282548,690376,1015534,700441,1022888,0.384577,0.389962,0.396028,-0.011144,0.000024,0.010829,0.001537,1.000000,284.1719,1.032452,2.0255,16.0000,0.678017,0.000000,0.000000,+0.678017,0
1200,0.265145,0.367315,0.367540,282.1843,2457758,0.59527642,725733,1012874,719151,976758,0.381912,0.389638,0.397028,-0.016319,0.000024,0.015443,0.001979,1.000000,282.1844,1.028783,1.9698,16.0000,0.674471,0.000000,0.000000,+0.674471,0
1400,0.269869,0.365065,0.365066,280.3703,2494124,0.60408437,751233,1008555,734336,932300,0.379844,0.389317,0.398077,-0.017903,0.000017,0.016691,0.002488,1.000000,280.3704,1.024728,1.9071,16.0000,0.671446,0.000000,0.000000,+0.671446,0
1600,0.273934,0.362997,0.363070,278.8095,2523557,0.61121309,771140,1004927,747490,887140,0.376922,0.389056,0.401923,-0.019796,0.000009,0.021034,0.003037,1.000000,278.8095,1.021334,1.8309,16.0000,0.668869,0.000000,0.000000,+0.668869,0
1800,0.277547,0.361145,0.361307,277.4218,2545007,0.61640835,784695,1001414,758898,817983,0.371924,0.388903,0.404045,-0.023307,-0.000002,0.026336,0.003596,1.000000,277.4218,1.017386,1.7494,16.0000,0.666555,0.000000,0.000000,+0.666555,0
