step,layer,train_mse,val_mse,val_rel_err,val_fvu,elapsed_s
0,0,nan,8.190147e-02,1.005997,1.128885,0.0
0,1,nan,4.282166e-02,1.013664,1.151627,0.0
0,2,nan,3.397001e-02,1.009430,1.216045,0.0
0,3,nan,5.529246e-02,1.011506,1.086819,0.0
0,4,nan,9.422050e-02,1.007043,1.087291,0.0
0,5,nan,5.115897e-01,1.000810,1.081568,0.0
500,0,2.446931e-03,2.287956e-03,0.028103,0.031536,246.1
500,1,5.427629e-03,5.433986e-03,0.128632,0.146139,246.1
500,2,8.351253e-03,8.341648e-03,0.247875,0.298611,246.1
500,3,1.394320e-02,1.385650e-02,0.253487,0.272361,246.1
500,4,2.091938e-02,2.072632e-02,0.221526,0.239179,246.1
500,5,6.337253e-02,6.243404e-02,0.122138,0.131994,246.1
1000,0,1.182794e-03,1.096740e-03,0.013471,0.015117,485.0
1000,1,4.174676e-03,4.168898e-03,0.098685,0.112117,485.0
1000,2,6.601738e-03,6.552907e-03,0.194722,0.234578,485.0
1000,3,1.146439e-02,1.135944e-02,0.207807,0.223279,485.0
1000,4,1.722050e-02,1.685144e-02,0.180111,0.194463,485.0
1000,5,4.248179e-02,4.151671e-02,0.081218,0.087772,485.0
1500,0,9.740012e-04,9.464976e-04,0.011626,0.013046,724.0
1500,1,3.851409e-03,3.895629e-03,0.092216,0.104767,724.0
1500,2,6.094754e-03,6.140590e-03,0.182470,0.219818,724.0
1500,3,1.091907e-02,1.086450e-02,0.198752,0.213551,724.0
1500,4,1.612621e-02,1.610273e-02,0.172108,0.185823,724.0
1500,5,3.902314e-02,3.859918e-02,0.075511,0.081604,724.0
2000,0,9.321866e-04,8.863961e-04,0.010888,0.012218,963.0
2000,1,3.812049e-03,3.769711e-03,0.089236,0.101381,963.0
2000,2,5.984243e-03,5.957947e-03,0.177042,0.213280,963.0
2000,3,1.066763e-02,1.066766e-02,0.195151,0.209682,963.0
2000,4,1.580910e-02,1.577658e-02,0.168623,0.182059,963.0
2000,5,3.726426e-02,3.738038e-02,0.073126,0.079027,963.0
2500,0,8.854032e-04,8.489540e-04,0.010428,0.011702,1202.1
2500,1,3.709618e-03,3.692399e-03,0.087406,0.099302,1202.1
2500,2,5.845120e-03,5.849832e-03,0.173830,0.209410,1202.1
2500,3,1.050753e-02,1.056157e-02,0.193211,0.207596,1202.1
2500,4,1.573701e-02,1.560372e-02,0.166775,0.180065,1202.1
2500,5,3.691626e-02,3.672374e-02,0.071842,0.077639,1202.1
3000,0,9.350351e-04,8.243259e-04,0.010125,0.011362,1441.1
3000,1,3.774533e-03,3.644712e-03,0.086277,0.098019,1441.1
3000,2,5.897926e-03,5.794015e-03,0.172171,0.207412,1441.1
3000,3,1.065657e-02,1.051229e-02,0.192309,0.206628,1441.1
3000,4,1.574071e-02,1.552719e-02,0.165957,0.179181,1441.1
3000,5,3.740082e-02,3.636241e-02,0.071135,0.076875,1441.1
3500,0,8.700586e-04,8.133922e-04,0.009991,0.011211,1682.1
3500,1,3.568660e-03,3.624024e-03,0.085787,0.097463,1682.1
3500,2,5.694303e-03,5.765717e-03,0.171330,0.206399,1682.1
3500,3,1.040374e-02,1.049280e-02,0.191952,0.206245,1682.1
3500,4,1.545514e-02,1.548876e-02,0.165546,0.178738,1682.1
3500,5,3.652549e-02,3.614769e-02,0.070715,0.076421,1682.1
4000,0,8.314136e-04,8.063748e-04,0.009905,0.011115,1921.5
4000,1,3.583423e-03,3.605530e-03,0.085349,0.096966,1921.5
4000,2,5.767209e-03,5.746836e-03,0.170769,0.205723,1921.5
4000,3,1.044802e-02,1.048121e-02,0.191741,0.206017,1921.5
4000,4,1.574814e-02,1.546811e-02,0.165326,0.178500,1921.5
4000,5,3.618351e-02,3.605225e-02,0.070528,0.076219,1921.5
