step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,final_residual_lut.T_soft,final_residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498227,0.498249,0.497785,0.497811,0.500179,0.499910,0.500312,0.499567,0.498170,0.498181,0.501100,0.500898,0.500236,0.499821,0.499373,0.499374,0.501913,0.501885,0.500237,0.499780,0.499318,0.499322,0.501691,0.501680,0.500719,0.500301,0.499226,0.499230,0.501331,0.501322,0.500388,0.500086,0.499014,0.499016,0.500731,0.500705,0.500868,0.499643
400,0.496993,0.498613,0.487464,0.487552,0.490216,0.489639,0.511434,0.509979,0.490094,0.489648,0.494404,0.493390,0.509428,0.507839,0.496245,0.495886,0.508020,0.507348,0.507333,0.506301,0.502018,0.501853,0.510433,0.510199,0.510013,0.508746,0.501345,0.500552,0.509191,0.508838,0.507171,0.506613,0.501680,0.501010,0.508627,0.508491,0.509802,0.504204
600,0.498878,0.504204,0.470947,0.471351,0.473608,0.472876,0.529472,0.526382,0.477046,0.475046,0.479967,0.478253,0.526270,0.522180,0.487065,0.485428,0.511604,0.508016,0.521973,0.518771,0.501440,0.499586,0.525327,0.524451,0.525916,0.522869,0.505045,0.501973,0.523553,0.522345,0.522031,0.520069,0.502419,0.499136,0.522201,0.521150,0.524327,0.509876
800,0.505766,0.514622,0.450172,0.451191,0.451999,0.450888,0.555341,0.549041,0.462265,0.456425,0.461338,0.458290,0.550129,0.541509,0.478147,0.472987,0.518045,0.509442,0.544298,0.537187,0.494998,0.489408,0.543653,0.540434,0.548284,0.541949,0.511662,0.503886,0.545110,0.542174,0.544370,0.539588,0.504274,0.495367,0.541299,0.537700,0.546524,0.518259
1000,0.514852,0.526210,0.429718,0.431174,0.429796,0.427943,0.584418,0.572588,0.454175,0.438671,0.443113,0.437284,0.578337,0.561373,0.469701,0.458883,0.527053,0.510770,0.570631,0.556547,0.490173,0.477535,0.565148,0.557555,0.575623,0.564661,0.520239,0.506285,0.570882,0.565441,0.568758,0.559530,0.508559,0.492475,0.564484,0.556890,0.573075,0.527463
1200,0.523317,0.536526,0.413796,0.415524,0.410294,0.407116,0.613718,0.593796,0.459746,0.427538,0.431228,0.418825,0.607269,0.579386,0.465987,0.447150,0.537264,0.511110,0.596216,0.572554,0.488222,0.466785,0.585217,0.570921,0.604215,0.585454,0.528773,0.508365,0.596361,0.587305,0.594996,0.579728,0.519925,0.493863,0.590257,0.578358,0.599814,0.534598
1400,0.529187,0.543986,0.402608,0.403818,0.394348,0.388597,0.642547,0.612921,0.474841,0.423735,0.428707,0.403724,0.635031,0.592523,0.465785,0.437235,0.546644,0.509859,0.622374,0.586560,0.488492,0.456776,0.600994,0.578677,0.634328,0.606447,0.539514,0.511373,0.623039,0.609732,0.620412,0.597447,0.529245,0.493444,0.614287,0.596063,0.626764,0.538412
1600,0.535502,0.551817,0.395461,0.395071,0.385646,0.373200,0.668466,0.626557,0.494417,0.425501,0.434768,0.392742,0.662668,0.603217,0.470348,0.429395,0.556349,0.507921,0.647678,0.597544,0.490548,0.448380,0.614763,0.583290,0.663558,0.619912,0.547619,0.511519,0.648095,0.629248,0.644707,0.611216,0.538504,0.492170,0.637768,0.612445,0.653443,0.538937
1800,0.541490,0.559226,0.392312,0.389510,0.385026,0.361337,0.692310,0.637231,0.515354,0.430627,0.447627,0.387798,0.689542,0.610916,0.476888,0.422436,0.566148,0.505116,0.670700,0.604488,0.496874,0.441638,0.626876,0.584998,0.692127,0.629897,0.554908,0.510178,0.671160,0.645474,0.668579,0.622460,0.549042,0.490830,0.662747,0.629102,0.676434,0.535272
