step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
11000,3.887797,1.203033,15.946863,18.129801,18.491129,18.690411,19.096935,20.023983,0.813607,0.924875,0.943286,0.953488,0.974232,1.021510,13.115419,18.750366,16.693531,18.302067,18.959265,23.286921,0.23539624,0.40827653,0.43080482,0.49529111,0.59420568,0.86717612
11500,3.875822,1.199704,15.766046,18.034758,18.405516,18.612226,19.025656,20.005167,0.804363,0.919998,0.938893,0.949480,0.970575,1.020519,12.830832,18.703394,16.565865,18.293133,18.935913,23.412453,0.22897749,0.40626761,0.42975369,0.48730388,0.58617944,0.86085278
12000,3.868364,1.195642,15.587921,17.949053,18.327375,18.528288,18.956812,19.981924,0.795257,0.915597,0.934874,0.945183,0.967042,1.019300,12.561223,18.659155,16.440218,18.287767,18.919979,23.538662,0.22390911,0.40142480,0.42614883,0.48140040,0.58196288,0.85449558
12500,3.843698,1.192600,15.411036,17.856487,18.247158,18.451488,18.890713,19.965860,0.786212,0.910845,0.930755,0.941244,0.963655,1.018451,12.313205,18.621061,16.315060,18.282469,18.901525,23.660620,0.22008519,0.39753377,0.42083973,0.47965935,0.58064216,0.84925133
13000,3.827261,1.189469,15.243214,17.772211,18.175440,18.379461,18.824703,19.947906,0.777634,0.906522,0.927073,0.937546,0.960268,1.017498,12.076495,18.580893,16.201059,18.274570,18.883993,23.776815,0.21723787,0.39384589,0.41650039,0.47144848,0.57510924,0.84311604
13500,3.822241,1.186333,15.088333,17.690783,18.104820,18.312744,18.763491,19.924870,0.769716,0.902335,0.923448,0.934123,0.957131,1.016290,11.857422,18.545940,16.086342,18.264013,18.874252,23.891951,0.21294461,0.38866445,0.41453356,0.46859884,0.56743062,0.83468229
14000,3.800543,1.183614,14.933183,17.610371,18.034222,18.236462,18.701780,19.904919,0.761780,0.898210,0.919812,0.930209,0.953960,1.015237,11.649499,18.512941,15.983445,18.263992,18.865404,24.005159,0.20964564,0.38568044,0.40923333,0.46787059,0.56509501,0.82740206
14500,3.781274,1.181898,14.787899,17.531404,17.964062,18.173836,18.645445,19.886847,0.754354,0.894156,0.916205,0.926999,0.951062,1.014280,11.453417,18.484102,15.881804,18.255505,18.855831,24.112511,0.20612313,0.38420847,0.40341187,0.46130764,0.55707741,0.82666373
15000,3.779564,1.179008,14.642893,17.457842,17.902710,18.110685,18.590836,19.868540,0.746930,0.890379,0.913051,0.923759,0.948264,1.013311,11.272823,18.454473,15.788614,18.250895,18.847445,24.209471,0.20294510,0.37656260,0.39940527,0.45607519,0.55407238,0.81697196
15500,3.763938,1.176816,14.510713,17.388239,17.831476,18.050619,18.534075,19.853220,0.740161,0.886798,0.909386,0.920671,0.945350,1.012502,11.106064,18.423933,15.697881,18.245131,18.841497,24.309826,0.19918518,0.37286788,0.39674821,0.45127481,0.54843968,0.80601478
16000,3.751439,1.174568,14.383780,17.314390,17.774921,17.993008,18.483515,19.834583,0.733670,0.883008,0.906480,0.917707,0.942751,1.011517,10.943416,18.403540,15.612370,18.235542,18.835388,24.414597,0.19548096,0.36824629,0.39287281,0.44454563,0.54036140,0.80226016
16500,3.740211,1.172678,14.270204,17.246002,17.718248,17.935320,18.435564,19.820183,0.727857,0.879494,0.903563,0.914746,0.940294,1.010751,10.790446,18.380459,15.534447,18.234396,18.831738,24.512957,0.19180441,0.36649695,0.39127314,0.43768024,0.53190643,0.79525775
17000,3.726084,1.171630,14.151232,17.182486,17.662128,17.884045,18.390461,19.803640,0.721772,0.876225,0.900676,0.912114,0.937972,1.009869,10.644119,18.359636,15.460544,18.233957,18.824192,24.608284,0.18859231,0.36415225,0.38838568,0.43207958,0.52801597,0.78263611
