step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498153,0.498073,0.499120,0.498925,0.499638,0.499403,0.502771,0.502823,0.500076,0.500166,0.502797,0.502851,0.499527,0.499760,0.502877,0.502832,0.500144,0.500345,0.502882,0.502900,0.499924,0.499962,0.502852,0.502874
400,0.488523,0.488383,0.489758,0.489649,0.496769,0.496309,0.507464,0.506908,0.499029,0.499269,0.513850,0.513729,0.498932,0.499943,0.513604,0.513332,0.501444,0.501835,0.513616,0.513351,0.499728,0.500385,0.513826,0.513622
600,0.473607,0.473358,0.476061,0.476201,0.491226,0.487921,0.512002,0.510171,0.498601,0.499332,0.531877,0.531643,0.499946,0.501323,0.531209,0.531072,0.502558,0.503214,0.531677,0.531262,0.501023,0.501553,0.532013,0.531723
800,0.456459,0.455909,0.458768,0.459234,0.484050,0.476026,0.513372,0.509920,0.504750,0.506176,0.556318,0.556170,0.499013,0.500445,0.555149,0.555570,0.502355,0.503340,0.556188,0.555294,0.500865,0.501809,0.557087,0.556780
1000,0.438741,0.437827,0.440181,0.440813,0.478843,0.462679,0.509341,0.504662,0.511786,0.513351,0.582658,0.583568,0.498236,0.499805,0.579761,0.580646,0.498621,0.499549,0.582690,0.582761,0.497376,0.498752,0.582134,0.582759
1200,0.416785,0.415623,0.421696,0.422425,0.475810,0.450149,0.505595,0.499603,0.518030,0.518963,0.604979,0.606313,0.495982,0.497810,0.604879,0.598211,0.497571,0.498815,0.611260,0.610454,0.497975,0.499448,0.610098,0.611527
1400,0.395087,0.393745,0.402797,0.403385,0.480427,0.438071,0.501231,0.493707,0.521826,0.522020,0.623896,0.624826,0.491788,0.493829,0.628929,0.608911,0.495268,0.496367,0.637951,0.628765,0.497345,0.499553,0.637510,0.638630
1600,0.375303,0.373673,0.384622,0.384828,0.488386,0.425897,0.496167,0.487375,0.523035,0.522959,0.639383,0.639681,0.489540,0.491425,0.651196,0.616259,0.495479,0.496557,0.661810,0.640176,0.498137,0.500396,0.665535,0.659272
1800,0.358934,0.356742,0.368475,0.367966,0.503217,0.415727,0.490628,0.480673,0.522528,0.522256,0.651603,0.651431,0.490496,0.492403,0.671382,0.622001,0.498351,0.499319,0.682956,0.647851,0.498073,0.500105,0.692026,0.672528
2000,0.345805,0.342730,0.353097,0.351706,0.518773,0.406995,0.484359,0.473327,0.522959,0.522417,0.663343,0.663202,0.489887,0.491617,0.689082,0.626841,0.500924,0.501791,0.698672,0.653271,0.496529,0.498551,0.712835,0.679818
2200,0.334498,0.330320,0.339379,0.336608,0.537706,0.400091,0.478175,0.466008,0.522853,0.521881,0.672254,0.672457,0.486987,0.488470,0.704650,0.630810,0.501772,0.502150,0.711514,0.657152,0.498315,0.500565,0.732203,0.685092
2400,0.324866,0.319245,0.327618,0.322883,0.558230,0.394135,0.472812,0.459449,0.522422,0.521235,0.680046,0.680052,0.487566,0.489078,0.716783,0.633670,0.504122,0.504132,0.725482,0.660749,0.498181,0.500504,0.753628,0.689826
2600,0.317774,0.310528,0.317635,0.310078,0.579170,0.388176,0.466688,0.452004,0.521668,0.520170,0.687230,0.686806,0.488559,0.490053,0.727011,0.636246,0.506109,0.505745,0.738266,0.664541,0.499686,0.501847,0.774717,0.694671
2800,0.311897,0.302902,0.309703,0.298515,0.599250,0.382221,0.461371,0.445414,0.520949,0.519072,0.690881,0.689873,0.488528,0.489924,0.737685,0.639174,0.509859,0.509556,0.749507,0.668169,0.500980,0.502452,0.790898,0.698828
3000,0.307944,0.297088,0.304106,0.288114,0.620480,0.378665,0.456359,0.439040,0.519847,0.517644,0.694194,0.692657,0.488654,0.489679,0.747721,0.641984,0.508716,0.507939,0.759357,0.671128,0.501426,0.503140,0.805742,0.702089
3200,0.304585,0.292061,0.302013,0.279009,0.642411,0.375651,0.451794,0.432975,0.519049,0.516174,0.695119,0.692261,0.488428,0.489642,0.756937,0.644615,0.511341,0.510203,0.767767,0.673691,0.502130,0.503606,0.819222,0.704926
3400,0.301700,0.287481,0.303463,0.271149,0.663888,0.372845,0.447002,0.426900,0.518142,0.514778,0.696533,0.692366,0.488439,0.489772,0.764974,0.647078,0.512068,0.510380,0.775283,0.676035,0.503624,0.505352,0.831343,0.707465
3600,0.299382,0.283590,0.306748,0.264598,0.685364,0.370370,0.442905,0.421429,0.517823,0.513777,0.697195,0.691594,0.489176,0.490577,0.771179,0.649083,0.515720,0.513668,0.781816,0.678064,0.505553,0.506574,0.841418,0.709537
3800,0.298385,0.280897,0.311919,0.258642,0.706734,0.368060,0.439054,0.415814,0.517835,0.513100,0.698030,0.691056,0.489558,0.491175,0.777420,0.651171,0.517996,0.515770,0.788388,0.680211,0.506361,0.507157,0.851876,0.711676
4000,0.297452,0.278707,0.318144,0.253969,0.726139,0.365776,0.435579,0.410953,0.517138,0.511942,0.697892,0.689430,0.489609,0.491273,0.781538,0.652539,0.519927,0.517314,0.793103,0.681708,0.510238,0.510362,0.860241,0.713246
4200,0.297041,0.277075,0.324817,0.250481,0.747009,0.363015,0.432452,0.406342,0.516840,0.511238,0.698036,0.688199,0.489827,0.491481,0.784968,0.653666,0.521577,0.518584,0.797489,0.683092,0.511057,0.510713,0.867900,0.714643
4400,0.296103,0.275017,0.332484,0.248163,0.765729,0.360966,0.429567,0.401754,0.514981,0.509043,0.696658,0.685243,0.489337,0.491056,0.788078,0.654744,0.522242,0.519078,0.801814,0.684477,0.512749,0.511784,0.875777,0.716124
4600,0.295620,0.273440,0.339924,0.246350,0.782837,0.358720,0.426913,0.397557,0.514892,0.508416,0.696101,0.683085,0.489878,0.491498,0.790213,0.655427,0.523110,0.519814,0.804836,0.685366,0.513292,0.512307,0.881443,0.717079
4800,0.294855,0.271715,0.346675,0.245218,0.799124,0.356069,0.424604,0.393769,0.514091,0.507121,0.694144,0.679309,0.489915,0.491447,0.792147,0.656178,0.523840,0.520066,0.807349,0.686245,0.513667,0.512266,0.886461,0.718082
5000,0.294511,0.270448,0.353530,0.244565,0.814617,0.354619,0.422716,0.390278,0.513233,0.505721,0.692166,0.675498,0.490448,0.492112,0.793881,0.656841,0.524789,0.520630,0.809581,0.686969,0.515077,0.513303,0.891058,0.718960
5200,0.294456,0.269521,0.359961,0.244273,0.829569,0.352416,0.420477,0.386585,0.513322,0.505295,0.690853,0.672623,0.490637,0.492320,0.795202,0.657290,0.525108,0.520666,0.811183,0.687425,0.515723,0.513524,0.894913,0.719606
5400,0.293953,0.268261,0.366432,0.244188,0.842947,0.351330,0.418674,0.383361,0.512661,0.504234,0.688866,0.669120,0.491496,0.493256,0.796370,0.657732,0.525962,0.520929,0.812583,0.687879,0.517472,0.514842,0.898482,0.720240
