step,module,frac_anchors_changed_vs_init
1800,L1.v_lut,0.045660
1800,L1.out_proj,0.038411
1800,L1.residual_lut,0.031576
1800,L2.qk_lut,0.045247
1800,L2.v_lut,0.045573
1800,L2.out_proj,0.039958
1800,L2.residual_lut,0.031250
1800,L3.qk_lut,0.052002
1800,L3.v_lut,0.043490
1800,L3.out_proj,0.044108
1800,L3.residual_lut,0.028971
1800,L4.qk_lut,0.051107
1800,L4.v_lut,0.045443
1800,L4.out_proj,0.045003
1800,L4.residual_lut,0.027995
1800,L5.qk_lut,0.045736
1800,L5.v_lut,0.032378
1800,L5.out_proj,0.044678
1800,L5.residual_lut,0.040690
2000,L0.qk_lut,0.050863
2000,L0.v_lut,0.042708
2000,L0.out_proj,0.035319
2000,L0.residual_lut,0.027669
2000,L1.qk_lut,0.050049
2000,L1.v_lut,0.047569
2000,L1.out_proj,0.042155
2000,L1.residual_lut,0.028971
2000,L2.qk_lut,0.050374
2000,L2.v_lut,0.049306
2000,L2.out_proj,0.044352
2000,L2.residual_lut,0.031901
2000,L3.qk_lut,0.053141
2000,L3.v_lut,0.047179
2000,L3.out_proj,0.044922
2000,L3.residual_lut,0.032878
2000,L4.qk_lut,0.056071
2000,L4.v_lut,0.049740
2000,L4.out_proj,0.045003
2000,L4.residual_lut,0.027669
2000,L5.qk_lut,0.053304
2000,L5.v_lut,0.035894
2000,L5.out_proj,0.049561
2000,L5.residual_lut,0.036784
2200,L0.qk_lut,0.055420
2200,L0.v_lut,0.045226
2200,L0.out_proj,0.040283
2200,L0.residual_lut,0.034505
2200,L1.qk_lut,0.052490
2200,L1.v_lut,0.049045
2200,L1.out_proj,0.045247
2200,L1.residual_lut,0.033203
2200,L2.qk_lut,0.049886
2200,L2.v_lut,0.051563
2200,L2.out_proj,0.046712
2200,L2.residual_lut,0.033854
2200,L3.qk_lut,0.055094
2200,L3.v_lut,0.050651
2200,L3.out_proj,0.050781
2200,L3.residual_lut,0.030924
2200,L4.qk_lut,0.058105
2200,L4.v_lut,0.052387
2200,L4.out_proj,0.049072
2200,L4.residual_lut,0.031576
2200,L5.qk_lut,0.054199
2200,L5.v_lut,0.036979
2200,L5.out_proj,0.052653
2200,L5.residual_lut,0.035482
2400,L0.qk_lut,0.054688
2400,L0.v_lut,0.045747
2400,L0.out_proj,0.039632
2400,L0.residual_lut,0.034180
2400,L1.qk_lut,0.054443
2400,L1.v_lut,0.051519
2400,L1.out_proj,0.046712
2400,L1.residual_lut,0.038411
2400,L2.qk_lut,0.055420
2400,L2.v_lut,0.053038
2400,L2.out_proj,0.048258
2400,L2.residual_lut,0.033854
2400,L3.qk_lut,0.056966
2400,L3.v_lut,0.054210
2400,L3.out_proj,0.053304
2400,L3.residual_lut,0.036133
2400,L4.qk_lut,0.061198
2400,L4.v_lut,0.056684
2400,L4.out_proj,0.053304
2400,L4.residual_lut,0.033203
2400,L5.qk_lut,0.057373
2400,L5.v_lut,0.040278
2400,L5.out_proj,0.056315
2400,L5.residual_lut,0.041667
2600,L0.qk_lut,0.054199
2600,L0.v_lut,0.046962
2600,L0.out_proj,0.042236
2600,L0.residual_lut,0.037435
2600,L1.qk_lut,0.054850
2600,L1.v_lut,0.052995
2600,L1.out_proj,0.051758
2600,L1.residual_lut,0.029297
2600,L2.qk_lut,0.059163
2600,L2.v_lut,0.054774
2600,L2.out_proj,0.051270
2600,L2.residual_lut,0.036784
2600,L3.qk_lut,0.062826
2600,L3.v_lut,0.053950
2600,L3.out_proj,0.053467
