step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.034482,2.002775,19.650007,19.605928,19.606762,19.604782,19.603632,19.604671,1.002758,1.000510,1.000552,1.000451,1.000393,1.000445,19.696241,19.683737,19.662128,19.655437,19.658825,19.649113,3.08824778e-04,5.81478642e-04,2.88221810e-04,2.50932149e-04,2.46161449e-04,2.36605687e-04,2.49548932e-04
1000,5.876702,1.756652,19.699953,19.628172,19.626511,19.621069,19.619936,19.619232,1.005304,1.001641,1.001555,1.001278,1.001220,1.001184,19.568937,19.707945,19.678436,19.695402,19.724117,19.708494,1.35341081e-03,1.44417037e-03,1.33999379e-03,1.30465394e-03,1.31682702e-03,1.35619706e-03,1.35862269e-03
1500,5.377510,1.619776,19.724045,19.644390,19.642113,19.634428,19.630310,19.623026,1.006528,1.002461,1.002339,1.001949,1.001739,1.001368,19.236097,19.695896,19.607397,19.647976,19.736538,19.769312,3.69989775e-03,3.31419799e-03,3.67763103e-03,3.70715652e-03,3.75738507e-03,3.90857086e-03,3.83444503e-03
2000,5.041520,1.525763,19.712912,19.640167,19.639492,19.629400,19.622202,19.606459,1.005951,1.002228,1.002183,1.001671,1.001308,1.000508,18.739109,19.680147,19.453814,19.539045,19.745296,19.875574,7.32568551e-03,6.08676532e-03,7.29292771e-03,7.47133791e-03,7.58115901e-03,7.84141943e-03,7.68050365e-03
2500,4.827484,1.465617,19.694382,19.630161,19.629635,19.616861,19.608149,19.583794,1.004993,1.001698,1.001656,1.001013,1.000568,0.999333,18.220877,19.658484,19.304647,19.421518,19.796139,20.082336,1.10020203e-02,8.75559263e-03,1.09924544e-02,1.13052092e-02,1.14807347e-02,1.18432790e-02,1.16348518e-02
3000,4.659385,1.416102,19.678183,19.619396,19.619301,19.606499,19.595755,19.558590,1.004159,1.001130,1.001109,1.000460,0.999914,0.998019,17.685776,19.620661,19.184111,19.303959,19.927368,20.452526,1.45916548e-02,1.12516992e-02,1.46026658e-02,1.50683448e-02,1.52960671e-02,1.57485325e-02,1.55826192e-02
3500,4.508950,1.374592,19.663218,19.610048,19.611763,19.596972,19.584423,19.536858,1.003384,1.000630,1.000698,0.999948,0.999310,0.996879,17.159769,19.575224,19.033400,19.200512,20.047489,20.877169,1.80685011e-02,1.35314763e-02,1.81332808e-02,1.87399536e-02,1.89854372e-02,1.95190441e-02,1.95018146e-02
4000,4.415063,1.343778,19.647289,19.601606,19.605434,19.590660,19.575373,19.512539,1.002559,1.000178,1.000350,0.999610,0.998828,0.995608,16.672062,19.528952,18.917208,19.106346,20.106306,21.224276,2.14164400e-02,1.55767482e-02,2.15301458e-02,2.23006308e-02,2.25444920e-02,2.31724903e-02,2.33741328e-02
4500,4.326990,1.320239,19.634453,19.594698,19.600365,19.583731,19.569101,19.489000,1.001895,0.999799,1.000073,0.999230,0.998489,0.994376,16.211779,19.486542,18.849798,19.020008,20.132885,21.496170,2.45993488e-02,1.73825100e-02,2.47369930e-02,2.57049780e-02,2.59745326e-02,2.66796295e-02,2.71174498e-02
5000,4.270387,1.301574,19.622147,19.588776,19.596836,19.578501,19.563194,19.466915,1.001255,0.999479,0.999869,0.998944,0.998168,0.993213,15.799101,19.445908,18.812525,18.950567,20.149401,21.723133,2.75919627e-02,1.89797971e-02,2.77582183e-02,2.89254412e-02,2.92015094e-02,2.99680196e-02,3.07187904e-02
5500,4.228774,1.286024,19.612307,19.582844,19.592894,19.573359,19.555937,19.443426,1.000736,0.999157,0.999642,0.998666,0.997778,0.991981,15.427453,19.405329,18.780617,18.889851,20.154774,21.920692,3.03729661e-02,2.03715917e-02,3.05653717e-02,3.19410563e-02,3.22002955e-02,3.30458619e-02,3.41136195e-02
6000,4.165589,1.272490,19.604214,19.579716,19.589430,19.570005,19.550121,19.421926,1.000321,0.998981,0.999443,0.998478,0.997465,0.990850,15.094471,19.371275,18.760759,18.837521,20.162689,22.088341,3.29380337e-02,2.15669107e-02,3.31750661e-02,3.47459577e-02,3.49763185e-02,3.59016284e-02,3.72623205e-02
6500,4.131667,1.261550,19.599583,19.576338,19.586645,19.566404,19.544121,19.403349,1.000076,0.998789,0.999281,0.998275,0.997142,0.989869,14.808912,19.339296,18.739574,18.796787,20.173218,22.242683,3.52548150e-02,2.26078779e-02,3.55406627e-02,3.72772999e-02,3.74878161e-02,3.84748653e-02,4.01403680e-02
7000,4.086417,1.253066,19.596081,19.573782,19.584871,19.563074,19.539211,19.384611,0.999886,0.998646,0.999178,0.998093,0.996879,0.988879,14.563438,19.310223,18.716602,18.766331,20.187433,22.373770,3.73512190e-02,2.34805755e-02,3.76842581e-02,3.95832062e-02,3.97575907e-02,4.08247299e-02,4.27769534e-02
7500,4.056506,1.243409,19.593668,19.571114,19.582914,19.558678,19.535826,19.366508,0.999753,0.998496,0.999065,0.997854,0.996692,0.987928,14.350276,19.282204,18.698975,18.737047,20.204535,22.496510,3.92202633e-02,2.42247600e-02,3.95686626e-02,4.16410267e-02,4.17884365e-02,4.29380760e-02,4.51606177e-02
8000,4.019589,1.236477,19.594007,19.568895,19.582260,19.556164,19.532011,19.350449,0.999767,0.998373,0.999015,0.997718,0.996489,0.987078,14.173134,19.260006,18.684654,18.720068,20.223171,22.605236,4.08701586e-02,2.48501375e-02,4.12591510e-02,4.34571467e-02,4.35761437e-02,4.47933711e-02,4.72850017e-02
8500,3.988990,1.229224,19.595879,19.569290,19.580574,19.553484,19.529457,19.335648,0.999853,0.998383,0.998919,0.997571,0.996350,0.986295,14.025258,19.238966,18.672413,18.708229,20.243845,22.702663,4.23087437e-02,2.53625084e-02,4.27277349e-02,4.50582467e-02,4.51443419e-02,4.64058630e-02,4.91537675e-02
9000,3.979028,1.223225,19.599703,19.569304,19.578890,19.553204,19.526318,19.323126,1.000046,0.998376,0.998818,0.997550,0.996181,0.985633,13.904948,19.221107,18.666759,18.700788,20.269152,22.784554,4.35579742e-02,2.57977843e-02,4.40020859e-02,4.64490727e-02,4.65020463e-02,4.78132106e-02,5.07836454e-02
9500,3.938471,1.216721,19.604345,19.569536,19.578873,19.551321,19.523182,19.311359,1.000279,0.998381,0.998811,0.997447,0.996010,0.985015,13.805195,19.204220,18.662407,18.695356,20.289185,22.872499,4.46200284e-02,2.61432454e-02,4.50814255e-02,4.76417840e-02,4.76522408e-02,4.90167290e-02,5.21847457e-02
10000,3.920704,1.211364,19.609539,19.570612,19.578773,19.550409,19.522520,19.302704,1.000543,0.998436,0.998803,0.997395,0.995970,0.984549,13.727824,19.188541,18.655615,18.693710,20.314259,22.946865,4.55194395e-02,2.64328532e-02,4.59975228e-02,4.86475453e-02,4.86212932e-02,5.00225164e-02,5.33949062e-02
10500,3.928376,1.206440,19.616152,19.572279,19.578775,19.549234,19.520510,19.294252,1.000877,0.998513,0.998799,0.997327,0.995865,0.984104,13.670518,19.178812,18.653379,18.696577,20.337824,23.014975,4.62658539e-02,2.66633946e-02,4.67571244e-02,4.94823977e-02,4.94236983e-02,5.08542955e-02,5.44142127e-02
