step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.566769,0.582906,0.391505,0.384398,0.500071,0.419381,0.531956,0.425443,0.700915,0.613429,0.514323,0.422385,0.576315,0.477492,0.608069,0.470356,0.714860,0.624472,0.511151,0.410266,0.521448,0.451990,0.602026,0.458100,0.659504,0.559719,0.435453,0.419208,0.567096,0.531633,0.593380,0.480560,0.652505,0.565458,0.427199,0.416955,0.519618,0.489232,0.580802,0.485002,0.584392,0.530578,0.464100,0.465556,0.531970,0.513243,0.577615,0.519870
2200,0.571643,0.588774,0.393191,0.381460,0.520568,0.422888,0.539297,0.417938,0.718399,0.615082,0.527024,0.420465,0.594511,0.478476,0.621576,0.466012,0.731209,0.622276,0.522841,0.405281,0.535479,0.451237,0.618204,0.453676,0.675111,0.557314,0.430441,0.409464,0.563561,0.522027,0.602243,0.474003,0.665498,0.564233,0.421825,0.407522,0.519088,0.482529,0.587919,0.477341,0.596743,0.531827,0.459688,0.461162,0.533142,0.511502,0.581586,0.514678
2400,0.573968,0.592694,0.395320,0.378320,0.541346,0.427422,0.545015,0.409142,0.732546,0.613351,0.539950,0.419259,0.613282,0.479181,0.636261,0.461970,0.746966,0.618593,0.535192,0.401403,0.549101,0.449880,0.633103,0.448366,0.687351,0.551275,0.426775,0.401270,0.559907,0.512478,0.611759,0.466584,0.676371,0.561570,0.417889,0.399637,0.519738,0.475955,0.594465,0.469533,0.609267,0.533836,0.455603,0.457163,0.534436,0.509205,0.584850,0.509140
2600,0.576300,0.596385,0.399612,0.376816,0.561488,0.430361,0.551175,0.402139,0.747783,0.610663,0.552941,0.417996,0.632097,0.478844,0.647817,0.457734,0.758759,0.613522,0.548070,0.398079,0.562362,0.448884,0.645066,0.442649,0.700797,0.545059,0.424541,0.394458,0.556220,0.502597,0.619965,0.460020,0.688310,0.559322,0.414649,0.392704,0.520803,0.469598,0.599710,0.461009,0.620901,0.533926,0.450779,0.452636,0.537048,0.507530,0.589638,0.503279
2800,0.576425,0.597729,0.403129,0.375333,0.580955,0.432347,0.556556,0.394618,0.761256,0.608666,0.565307,0.416970,0.650518,0.479915,0.659798,0.453544,0.769780,0.608160,0.559217,0.394322,0.576865,0.447942,0.657991,0.437937,0.713459,0.539197,0.423791,0.388292,0.554897,0.493993,0.627154,0.452565,0.697366,0.555128,0.413492,0.386610,0.520277,0.461798,0.605736,0.453388,0.632590,0.534164,0.447392,0.449211,0.538827,0.505153,0.593374,0.497083
3000,0.576423,0.598899,0.406942,0.373817,0.600975,0.433798,0.558992,0.385930,0.770706,0.603634,0.576355,0.415300,0.669044,0.479804,0.670287,0.447850,0.780297,0.601512,0.571936,0.391712,0.592306,0.448775,0.672468,0.433891,0.726345,0.533046,0.423767,0.382885,0.553307,0.484190,0.634388,0.446043,0.707274,0.552377,0.414526,0.381470,0.522430,0.455417,0.612852,0.446676,0.641554,0.531762,0.443370,0.445091,0.538223,0.501175,0.597048,0.490997
3200,0.577384,0.600566,0.411337,0.373009,0.620068,0.434409,0.564334,0.378502,0.780885,0.599942,0.588851,0.414648,0.689145,0.481165,0.680562,0.442822,0.788186,0.595399,0.584100,0.389582,0.606617,0.448741,0.682188,0.427704,0.736672,0.525716,0.425352,0.378648,0.550977,0.475322,0.643229,0.439597,0.712528,0.546784,0.415490,0.377438,0.526909,0.450291,0.620510,0.439116,0.648340,0.528484,0.439911,0.441375,0.539592,0.498358,0.600747,0.485249
3400,0.577238,0.601103,0.415198,0.372074,0.637389,0.434174,0.569720,0.371982,0.789683,0.595818,0.599455,0.412965,0.705519,0.480020,0.688438,0.437608,0.794887,0.588796,0.595840,0.387351,0.621290,0.449993,0.694121,0.422683,0.745794,0.517947,0.427542,0.374743,0.548335,0.466221,0.650647,0.433396,0.721002,0.544016,0.417668,0.373863,0.529987,0.445044,0.624868,0.431290,0.656885,0.527116,0.435720,0.437274,0.540189,0.494900,0.603187,0.478726
3600,0.577996,0.602619,0.419398,0.371573,0.655552,0.435565,0.576016,0.366073,0.797085,0.590718,0.610359,0.411174,0.722889,0.479453,0.697113,0.433353,0.799646,0.582323,0.605350,0.384100,0.633451,0.447918,0.703707,0.416868,0.754598,0.510469,0.430946,0.372096,0.547586,0.458632,0.657269,0.426920,0.726185,0.538907,0.420104,0.370966,0.532820,0.439886,0.631018,0.424952,0.663367,0.524351,0.433280,0.434618,0.541073,0.492129,0.605741,0.472307
3800,0.577376,0.602354,0.423204,0.371123,0.671335,0.434902,0.579992,0.360123,0.801192,0.585244,0.620293,0.409524,0.739085,0.478431,0.706451,0.429314,0.803919,0.575817,0.615678,0.381858,0.645765,0.446994,0.712720,0.410954,0.763363,0.503801,0.434305,0.369371,0.546560,0.451345,0.664004,0.420793,0.731300,0.534198,0.424030,0.368801,0.536807,0.435277,0.635755,0.418035,0.669999,0.521899,0.431258,0.432033,0.542748,0.489507,0.608878,0.466656
4000,0.576817,0.602423,0.425963,0.370243,0.685679,0.433384,0.583603,0.354481,0.806772,0.581555,0.630693,0.408429,0.754509,0.477365,0.714483,0.424168,0.804930,0.567331,0.624964,0.378846,0.656390,0.444927,0.720227,0.404945,0.772714,0.497296,0.438533,0.367521,0.548811,0.446524,0.670732,0.414882,0.735161,0.529565,0.426739,0.366186,0.539907,0.430907,0.642422,0.413206,0.673136,0.516839,0.429135,0.429539,0.545239,0.487411,0.611804,0.461303
4200,0.577167,0.603380,0.428838,0.369612,0.698180,0.431777,0.589016,0.350097,0.811435,0.577116,0.639785,0.406812,0.770041,0.476268,0.720810,0.420270,0.809647,0.561603,0.632384,0.375768,0.667493,0.443429,0.729185,0.400691,0.779223,0.489952,0.442363,0.365830,0.550098,0.440579,0.676289,0.409497,0.739146,0.524994,0.429010,0.363629,0.543021,0.426841,0.647200,0.407902,0.680985,0.515660,0.427348,0.427219,0.546223,0.484533,0.613676,0.455744
4400,0.575916,0.602319,0.430625,0.368571,0.709929,0.430402,0.592092,0.345382,0.813971,0.572626,0.646978,0.404591,0.783553,0.474101,0.726204,0.415712,0.812605,0.555978,0.641098,0.374206,0.678693,0.443247,0.739657,0.397394,0.786129,0.483229,0.446744,0.364550,0.550775,0.434583,0.682812,0.404265,0.742176,0.521394,0.433546,0.362533,0.546250,0.423022,0.652068,0.402538,0.685895,0.513628,0.425768,0.425111,0.547639,0.481805,0.615800,0.450112
4600,0.575182,0.602188,0.431957,0.367638,0.720788,0.428744,0.595307,0.341062,0.817285,0.568247,0.654288,0.403462,0.796933,0.473312,0.732759,0.412317,0.813429,0.550453,0.648699,0.372270,0.687475,0.441802,0.745692,0.393126,0.792332,0.477017,0.451112,0.363802,0.552148,0.429843,0.688430,0.399661,0.746067,0.518888,0.436423,0.361026,0.548727,0.418485,0.657601,0.397574,0.690605,0.510199,0.424555,0.423340,0.548596,0.478763,0.618911,0.445133
4800,0.573912,0.601195,0.433003,0.366731,0.730678,0.427235,0.598621,0.336717,0.819741,0.564649,0.660968,0.402158,0.808377,0.471691,0.737296,0.408218,0.813599,0.545113,0.654720,0.370264,0.695188,0.440282,0.752273,0.389558,0.798765,0.472316,0.455879,0.363490,0.553968,0.425472,0.693726,0.395824,0.749021,0.515601,0.439923,0.360015,0.550902,0.414341,0.662269,0.393072,0.696368,0.508754,0.423198,0.421428,0.549112,0.476064,0.620574,0.440615
5000,0.572113,0.599753,0.434509,0.366127,0.740263,0.426362,0.601354,0.333198,0.820270,0.559811,0.665359,0.399887,0.817963,0.468514,0.742597,0.405421,0.814931,0.540881,0.659693,0.368164,0.702819,0.439061,0.758622,0.386153,0.803652,0.466586,0.460058,0.362982,0.554773,0.420708,0.697768,0.391576,0.750235,0.512026,0.443149,0.359031,0.552362,0.410430,0.665073,0.388276,0.699593,0.506264,0.422083,0.419891,0.550059,0.473795,0.622083,0.435649
5200,0.570119,0.598222,0.435014,0.365123,0.746789,0.424103,0.601776,0.329221,0.821296,0.556198,0.672162,0.399499,0.829786,0.467816,0.746975,0.402421,0.814539,0.536155,0.666151,0.366586,0.709002,0.437127,0.765694,0.383532,0.808478,0.462095,0.464193,0.362858,0.556243,0.417372,0.701302,0.388234,0.751628,0.508546,0.446328,0.358303,0.554771,0.407996,0.669199,0.384881,0.702125,0.503747,0.421099,0.418623,0.550717,0.471791,0.623587,0.432009
5400,0.569534,0.597808,0.435725,0.364380,0.752529,0.422191,0.603354,0.325761,0.822004,0.552821,0.676186,0.398179,0.837802,0.466153,0.751884,0.400123,0.814977,0.532302,0.671152,0.365233,0.714967,0.435665,0.770252,0.380436,0.813466,0.457932,0.468622,0.362995,0.557463,0.413918,0.705100,0.384911,0.753160,0.506008,0.450234,0.358384,0.557409,0.405411,0.672416,0.381360,0.704583,0.501645,0.420454,0.417512,0.550616,0.469588,0.624709,0.428311
5600,0.568062,0.596426,0.435571,0.363435,0.758243,0.420460,0.604541,0.322935,0.822265,0.549712,0.679781,0.396895,0.845304,0.464477,0.755079,0.397645,0.814641,0.528484,0.675931,0.364109,0.720311,0.434379,0.775026,0.378120,0.816901,0.453847,0.471948,0.362841,0.558056,0.410313,0.707628,0.381645,0.754553,0.503314,0.453933,0.358466,0.560388,0.403142,0.674581,0.378108,0.707556,0.499749,0.419763,0.416421,0.551359,0.467792,0.625915,0.424823
5800,0.567349,0.595885,0.435463,0.362594,0.762424,0.418868,0.604955,0.319994,0.822903,0.547044,0.683501,0.395900,0.852382,0.462884,0.758062,0.395267,0.815423,0.525616,0.680036,0.363008,0.725566,0.433340,0.778670,0.375731,0.820464,0.450053,0.475538,0.362918,0.559282,0.407379,0.711180,0.379023,0.755583,0.500678,0.456658,0.358167,0.562080,0.400854,0.677443,0.375118,0.709161,0.497317,0.418928,0.415348,0.551012,0.465714,0.626975,0.421600
6000,0.566289,0.594996,0.435126,0.361717,0.765412,0.417524,0.604524,0.317261,0.821838,0.543518,0.685716,0.394679,0.858631,0.461261,0.760429,0.393155,0.814396,0.522209,0.684335,0.362502,0.730324,0.432544,0.781926,0.373464,0.823639,0.447089,0.478880,0.363081,0.560432,0.404875,0.713785,0.376066,0.756520,0.498549,0.459158,0.357975,0.563211,0.398832,0.680151,0.372718,0.711151,0.495540,0.418548,0.414607,0.550815,0.463762,0.628715,0.419179
6200,0.565506,0.594503,0.434662,0.360782,0.765851,0.414980,0.603481,0.314598,0.821904,0.541198,0.688475,0.394050,0.864467,0.459960,0.762040,0.390895,0.813604,0.519394,0.688362,0.362125,0.734880,0.431838,0.786143,0.372019,0.826481,0.444257,0.481842,0.363234,0.561950,0.402889,0.716681,0.374088,0.757591,0.497022,0.461659,0.358041,0.564864,0.397057,0.682406,0.370475,0.712319,0.493637,0.418340,0.414053,0.551827,0.462779,0.629997,0.416726
6400,0.564254,0.593438,0.433955,0.359967,0.767887,0.413489,0.603061,0.312609,0.821677,0.538992,0.690777,0.393260,0.868887,0.458580,0.764113,0.389093,0.812527,0.516694,0.691313,0.361406,0.738186,0.430878,0.789075,0.370543,0.828561,0.441763,0.484059,0.363229,0.562380,0.400676,0.719371,0.372136,0.757646,0.494972,0.464094,0.358230,0.566301,0.395705,0.684002,0.368355,0.713036,0.491981,0.418299,0.413718,0.551952,0.461726,0.630876,0.414710
6600,0.563544,0.592892,0.433504,0.359314,0.768844,0.412059,0.602170,0.310625,0.821745,0.537429,0.692115,0.392149,0.872411,0.456882,0.766414,0.387742,0.812512,0.514613,0.693567,0.360617,0.740826,0.429828,0.791070,0.369078,0.830446,0.439379,0.486434,0.363515,0.563603,0.399124,0.721555,0.370411,0.758332,0.493366,0.465802,0.358116,0.567452,0.394154,0.685310,0.366506,0.714662,0.490971,0.418192,0.413302,0.552083,0.460544,0.631642,0.412778
6800,0.562892,0.592469,0.432588,0.358475,0.769655,0.410695,0.601011,0.308801,0.821655,0.535749,0.694043,0.391595,0.875875,0.455543,0.767850,0.386526,0.811478,0.512434,0.696063,0.360132,0.743678,0.429132,0.793301,0.367945,0.832376,0.437442,0.488631,0.363816,0.564249,0.397635,0.723288,0.368902,0.758771,0.491943,0.467717,0.358146,0.567819,0.392515,0.686954,0.364845,0.716609,0.490302,0.417951,0.412811,0.552529,0.459650,0.632272,0.410923
7000,0.561916,0.591519,0.431841,0.357763,0.770000,0.409447,0.599869,0.307166,0.820767,0.533974,0.695277,0.391026,0.878810,0.454499,0.769455,0.385298,0.811240,0.510891,0.698506,0.359990,0.745937,0.428542,0.794945,0.366862,0.833536,0.435569,0.490585,0.364057,0.564761,0.396231,0.724878,0.367447,0.758810,0.490449,0.469282,0.358106,0.568489,0.391285,0.688573,0.363477,0.717326,0.489015,0.417938,0.412582,0.552754,0.458747,0.632779,0.409310
7200,0.561475,0.591280,0.431061,0.357010,0.769567,0.408087,0.598540,0.305683,0.820642,0.532674,0.696714,0.390803,0.881472,0.453791,0.770327,0.384256,0.810442,0.509140,0.700522,0.359583,0.747734,0.427766,0.797014,0.365975,0.834678,0.433916,0.492208,0.364170,0.565198,0.394849,0.726488,0.366272,0.759043,0.489320,0.470680,0.358187,0.569132,0.390159,0.689846,0.362193,0.717720,0.487646,0.417930,0.412313,0.553097,0.457985,0.633279,0.407864
7400,0.560776,0.590714,0.430491,0.356529,0.769113,0.406934,0.597459,0.304432,0.820254,0.531385,0.697465,0.390296,0.883391,0.452736,0.771058,0.383218,0.810512,0.507996,0.702190,0.359190,0.749084,0.426943,0.798381,0.365070,0.835798,0.432381,0.493859,0.364417,0.565888,0.393952,0.727811,0.365181,0.759169,0.488238,0.472205,0.358391,0.569733,0.389168,0.690903,0.361192,0.718444,0.486782,0.417898,0.412050,0.553313,0.457350,0.633797,0.406700
7600,0.560280,0.590305,0.429910,0.356035,0.768961,0.405972,0.596721,0.303341,0.819765,0.530157,0.698375,0.389873,0.885366,0.451882,0.772092,0.382428,0.810522,0.506891,0.704053,0.359081,0.750688,0.426394,0.799764,0.364287,0.837163,0.430971,0.495379,0.364657,0.566144,0.392767,0.728803,0.364041,0.759077,0.487218,0.473528,0.358577,0.570529,0.388479,0.691838,0.360156,0.718915,0.485803,0.417875,0.411875,0.553305,0.456621,0.634168,0.405570
7800,0.559772,0.589896,0.429313,0.355506,0.768120,0.404755,0.595101,0.302058,0.819440,0.529105,0.699303,0.389564,0.887609,0.451323,0.773054,0.381726,0.810372,0.505862,0.705677,0.358955,0.752537,0.426036,0.801564,0.363800,0.838312,0.429854,0.496782,0.364869,0.566571,0.391789,0.729827,0.363097,0.759453,0.486499,0.474948,0.358871,0.571064,0.387708,0.692840,0.359219,0.719434,0.485140,0.417848,0.411716,0.553383,0.455975,0.634511,0.404434
8000,0.559499,0.589750,0.428786,0.355040,0.767795,0.403837,0.593644,0.300835,0.819318,0.528139,0.699816,0.389033,0.888857,0.450430,0.773674,0.380852,0.810333,0.504888,0.706790,0.358568,0.753886,0.425505,0.802674,0.363038,0.839121,0.428566,0.498139,0.365084,0.567133,0.390998,0.730920,0.362050,0.759950,0.485818,0.475802,0.358762,0.571595,0.387004,0.693862,0.358325,0.719945,0.484521,0.418048,0.411697,0.553493,0.455390,0.635179,0.403591
