seed,update,env_steps,ep_ret,ep_ret_max,alpha,qloss,aloss
0,1,8192,-1.1598374868871466,0.0,0.9988007545471191,32.84082794189453,-4.015030860900879
0,20,163840,-2.3139479798312683,13.494379043579102,0.9762855768203735,5.179015159606934,-6.502368927001953
0,40,327680,1.290388077601209,30.203073501586914,0.9531392455101013,1.0545036792755127,-8.18796157836914
0,60,491520,4.530947870723967,45.65392303466797,0.9305614233016968,0.9447964429855347,-8.909307479858398
0,80,655360,7.034025919371547,77.88172149658203,0.9085583686828613,0.9288796782493591,-9.791261672973633
0,100,819200,9.631794410150892,137.72821044921875,0.8871343731880188,0.9771899580955505,-10.756767272949219
0,120,983040,11.669008616837464,122.68977355957031,0.8662837147712708,1.082146167755127,-11.64098834991455
0,140,1146880,13.625227107558139,195.25221252441406,0.8459956049919128,1.0683432817459106,-12.783241271972656
0,160,1310720,11.800008505803204,205.44691467285156,0.8262572884559631,1.1815028190612793,-13.92485237121582
0,180,1474560,11.266729955179283,258.0221252441406,0.8070400953292847,1.2356863021850586,-15.009832382202148
0,200,1638400,4.501669996138308,247.49356079101562,0.7883132100105286,1.3812265396118164,-15.909797668457031
0,220,1802240,4.000473842825941,282.9544372558594,0.7700433731079102,1.4085109233856201,-16.764427185058594
0,240,1966080,7.044376379414126,308.04144287109375,0.7522070407867432,1.300844669342041,-17.67536163330078
0,260,2129920,12.755555226746633,358.97869873046875,0.7347846031188965,1.3056232929229736,-18.524730682373047
0,280,2293760,14.574139471863468,352.9961242675781,0.7177684307098389,1.2081186771392822,-19.218576431274414
0,300,2457600,21.437068517839688,411.4309997558594,0.701149046421051,1.228227972984314,-20.037885665893555
0,320,2621440,23.361703125,347.94525146484375,0.6849044561386108,1.299817681312561,-21.06686782836914
0,340,2785280,21.156659836065575,369.30340576171875,0.6690202951431274,1.529438853263855,-21.99679183959961
0,360,2949120,31.190592447916668,399.18841552734375,0.6534774303436279,1.5213301181793213,-23.338151931762695
0,380,3112960,38.28542978347666,399.27435302734375,0.6382626891136169,1.4281110763549805,-24.422922134399414
0,400,3276800,48.569682298335465,440.41375732421875,0.6233676671981812,1.6726475954055786,-25.570343017578125
