seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,logstd,kl
0,1,262144,-1.7427102943384458,22.56350326538086,16.309895592719208,,,
0,10,2621440,14.324719913263463,382.75262451171875,45.14278168524645,,,
0,20,5242880,233.50109494759894,647.4705200195312,193.73103394337556,,,
0,30,7864320,323.86278969027506,898.1036376953125,198.8945924481987,,,
0,40,10485760,324.8369712188526,1001.5748291015625,176.476723971412,,,
0,50,13107200,314.00620860927154,754.2993774414062,158.7415444654683,,,
0,60,15728640,311.4119109441467,791.9254150390625,147.67106789680128,,,
0,70,18350080,349.97263351961743,929.8512573242188,146.49818517024832,,,
0,80,20971520,434.9751077378272,759.6433715820312,165.18151411847944,,,
0,90,23592960,492.32154530913135,923.7589721679688,179.61339453369496,,,
0,100,26214400,565.1408472600077,1009.517578125,194.68651379712398,,,
0,110,28835840,702.3560027418723,1574.151123046875,226.72571484528007,,,
0,120,31457280,934.7182529502309,2155.70263671875,289.3515905592612,,,
0,130,34078720,1175.5905462513695,3089.18798828125,353.91954922523087,,,
0,140,36700160,1453.0855969677827,3903.377685546875,419.97957464729416,,,
0,150,39321600,1993.9639391979301,3991.91015625,554.835381630013,,,
0,160,41943040,2655.7375362701137,4245.89794921875,708.7929306251649,,,
0,170,44564480,2825.599699021821,4229.45751953125,729.4870830198143,,,
0,180,47185920,2775.4816043425812,4387.0419921875,690.5452352231605,,,
0,190,49807360,3096.6087074829934,4512.08251953125,744.5657142857143,,,
0,200,52428800,3200.1209381181125,4585.94287109375,749.8996891777339,,,
0,210,55050240,3131.1084525357605,4700.896484375,713.6400520156047,,,
0,220,57671680,3229.174309229865,4701.66455078125,719.6807760141094,,,
0,230,60293120,3361.6935436751387,4798.03173828125,733.6412503651768,,,
0,240,62914560,3520.9926157341665,4883.3935546875,755.1300766827605,,,
0,250,65536000,3542.357401728464,4949.576171875,747.448006690828,,,
0,260,68157440,3658.005595275101,5002.88623046875,759.4525955859497,,,
0,270,70778880,3833.8721391516633,5075.91552734375,784.0805614891669,,,
0,280,73400320,4158.273939808481,5102.63525390625,840.610807113543,,,
0,290,76021760,4312.27682255846,5124.75537109375,864.9625171939477,,,
0,300,78643200,4198.6372355430185,5204.4296875,838.9534555712271,,,
0,310,81264640,4097.738950715421,5213.84423828125,815.2050874403816,,,
0,320,83886080,4029.0063211125157,5277.78125,796.3416561314791,,,
0,330,86507520,4270.400953895071,5360.93896484375,835.8117647058823,,,
0,340,89128960,4381.789104278075,5458.6533203125,849.307820855615,,,
0,350,91750400,4468.694966442953,5423.38671875,859.3909395973154,,,
0,360,94371840,4550.297341115434,5461.55224609375,868.7470817120623,,,
0,370,96993280,4504.335135135135,5516.9794921875,853.8349761526232,,,
0,380,99614720,4556.774530271398,5568.53759765625,858.8924843423799,,,
1,1,262144,-1.7122377018854293,23.709413528442383,16.427519343712127,,,
1,10,2621440,13.458384531666901,379.8445129394531,45.165678977671675,,,
1,20,5242880,234.53460015835313,678.7941284179688,196.7637371338084,,,
1,30,7864320,328.31932105453234,875.2852783203125,201.44637053087757,,,
1,40,10485760,325.7010809402878,879.5984497070312,177.00729309109852,,,
1,50,13107200,315.6668748512967,783.7088012695312,158.88698548655722,,,
1,60,15728640,314.41972033383075,1071.5020751953125,147.90316697065163,,,
1,70,18350080,369.1391126643763,939.70654296875,151.1422224854875,,,
1,80,20971520,443.9870241074957,1327.060302734375,168.33394809643,,,
1,90,23592960,492.05175809746135,1047.4127197265625,182.937773562883,,,
1,100,26214400,649.6480361087102,1507.6566162109375,221.86353596465955,,,
1,110,28835840,877.5223842084893,2276.61181640625,284.27544832924787,,,
1,120,31457280,1151.7724597541976,3262.084716796875,367.885926951705,,,
1,130,34078720,1443.6022150438394,3513.8935546875,450.88509460083066,,,
1,140,36700160,1882.6051047120418,3663.727294921875,573.5376963350785,,,
1,150,39321600,2296.9368279569894,3902.18896484375,678.1911290322581,,,
1,160,41943040,2483.581588758245,3962.397216796875,699.1671924290221,,,
1,170,44564480,2625.3592630501535,4195.857421875,700.2397645854658,,,
1,180,47185920,2850.5914332784187,4253.3671875,727.8506315211422,,,
1,190,49807360,2908.284090909091,4387.125,720.6623803827752,,,
1,200,52428800,3192.2043452730477,4400.47509765625,771.3250146799766,,,
1,210,55050240,3227.092248908297,4510.0146484375,761.9265829694323,,,
1,220,57671680,3210.3802359882006,4521.09130859375,741.1976401179941,,,
1,230,60293120,3257.611464968153,4616.03515625,737.1383902721483,,,
1,240,62914560,3378.6941644562335,4691.92431640625,751.4554376657825,,,
1,250,65536000,3343.604910077077,4765.33984375,729.7482158150157,,,
1,260,68157440,3495.839878234399,4850.5771484375,748.9330289193302,,,
1,270,70778880,3773.965421426366,4903.38427734375,795.9240506329114,,,
1,280,73400320,3884.8179558869215,4990.34375,806.5343274308791,,,
1,290,76021760,3991.8623912342896,5068.388671875,816.9890428617467,,,
1,300,78643200,4271.544244604316,5112.08251953125,866.0435251798561,,,
1,310,81264640,4291.910003040438,5292.6669921875,860.8342961386439,,,
1,320,83886080,4216.980807791464,5270.89013671875,833.6362073904326,,,
1,330,86507520,4022.183882315318,5373.0498046875,781.8468180364566,,,
1,340,89128960,4335.519346822861,5389.8798828125,832.7458288959887,,,
1,350,91750400,4642.559023066486,5583.32861328125,882.3212347354139,,,
1,360,94371840,4662.446731234867,5639.70751953125,872.0502421307506,,,
1,370,96993280,4679.938413361169,5765.83447265625,860.6165622825331,,,
1,380,99614720,4817.012958963283,5806.22021484375,874.3236141108712,,,
2,1,262144,-1.7818903244358641,24.510751724243164,16.354480717654674,,,
2,10,2621440,14.175046163885265,373.11090087890625,44.810179657345955,,,
2,20,5242880,235.50583756345176,718.14453125,196.95892229597814,,,
2,30,7864320,318.424717824945,912.8751831054688,194.8258678213956,,,
2,40,10485760,325.54716547329696,834.85888671875,178.05761019509953,,,
2,50,13107200,333.59004556832036,700.0709228515625,168.8439766382132,,,
2,60,15728640,346.1219541257075,955.3514404296875,160.48918677390526,,,
2,70,18350080,379.34331459300904,791.3526611328125,156.05554876558298,,,
2,80,20971520,424.5552712720593,1310.938720703125,168.203831266811,,,
2,90,23592960,521.6304432348367,989.5198974609375,192.98040435458788,,,
2,100,26214400,681.912339055794,1407.55224609375,235.82821888412016,,,
2,110,28835840,980.8769016849337,2491.916015625,319.6991657124162,,,
2,120,31457280,1360.9157394294962,3134.324951171875,426.018409872547,,,
2,130,34078720,1806.7807757166947,3721.364990234375,539.6745362563238,,,
2,140,36700160,2236.5870050195203,3978.404052734375,634.3580591187953,,,
2,150,39321600,2514.3937273823885,4137.38037109375,676.3792521109771,,,
2,160,41943040,2508.3202966958866,4333.1376953125,641.6832996178916,,,
2,170,44564480,2510.7583843329253,4604.2802734375,613.0357405140759,,,
2,180,47185920,2632.7668019846637,4560.35986328125,621.6481732070365,,,
2,190,49807360,2645.232126489459,4666.83154296875,606.9016956920257,,,
2,200,52428800,2659.617516887957,4706.2763671875,593.8947123223853,,,
2,210,55050240,2900.613054830287,4828.876953125,633.0172323759791,,,
2,220,57671680,3019.0628585682216,4911.7421875,646.9151908206535,,,
2,230,60293120,3361.18515037594,4979.31103515625,705.8095238095239,,,
2,240,62914560,3711.8008207070707,5042.83544921875,766.5217803030303,,,
2,250,65536000,4125.887610910286,5173.18896484375,837.9493920473217,,,
2,260,68157440,4412.218702290076,5193.216796875,882.3385496183206,,,
2,270,70778880,4517.880501222494,5310.17919921875,892.2493887530562,,,
2,280,73400320,4557.292123629112,5310.5263671875,888.6773014290462,,,
2,290,76021760,4494.290745597602,5432.888671875,866.4582240539528,,,
2,300,78643200,4712.957142857143,5569.4462890625,895.5730158730158,,,
2,310,81264640,4885.63894888409,5640.0517578125,919.832973362131,,,
2,320,83886080,4707.578883124809,5728.619140625,869.8217882209337,,,
2,330,86507520,4709.8856618771015,5852.89892578125,845.5188015897279,,,
2,340,89128960,4657.997094899935,6065.0791015625,813.0058102001291,,,
2,350,91750400,4781.72029988466,6255.1455078125,813.2615340253749,,,
2,360,94371840,4446.543818095689,6304.505859375,740.2522501184272,,,
2,370,96993280,4132.813602015113,6337.96875,674.388161209068,,,
2,380,99614720,3884.271781269129,6435.59765625,628.3227912670884,,,
