step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.425526,0.430085,0.405334,0.407043,0.427373,0.404016,0.460252,0.418182,0.582874,0.455300,0.428427,0.412265,0.466836,0.424952,0.519937,0.444884,0.611814,0.468003,0.433685,0.408157,0.461046,0.423042,0.554406,0.451605,0.608800,0.461904,0.426558,0.412335,0.427342,0.415437,0.549449,0.449564,0.602380,0.460058,0.419293,0.411999,0.443433,0.430991,0.529565,0.441073,0.564796,0.454955,0.430933,0.427305,0.434824,0.429503,0.519740,0.445020
2200,0.413049,0.416179,0.389001,0.389836,0.444177,0.393726,0.461176,0.403272,0.604251,0.449000,0.430464,0.398756,0.483299,0.420768,0.531460,0.436711,0.638838,0.462227,0.442163,0.394070,0.474791,0.413252,0.572618,0.445589,0.637686,0.454266,0.422587,0.398682,0.419311,0.399099,0.566208,0.443422,0.629234,0.455566,0.409241,0.395065,0.432657,0.414572,0.538835,0.431287,0.581316,0.446859,0.418375,0.412849,0.421232,0.414004,0.526421,0.433798
2400,0.402674,0.402630,0.373481,0.372408,0.466677,0.389242,0.466821,0.388244,0.627353,0.441098,0.435956,0.386157,0.504908,0.421156,0.544838,0.427995,0.669262,0.453905,0.457085,0.381320,0.494938,0.406921,0.593690,0.439517,0.670596,0.445709,0.421792,0.384790,0.419256,0.383613,0.586099,0.437265,0.659552,0.449668,0.402728,0.377793,0.425271,0.397417,0.550130,0.421082,0.598982,0.438233,0.406817,0.398621,0.407810,0.397700,0.533752,0.422238
2600,0.395445,0.389934,0.360893,0.355823,0.493324,0.392492,0.477572,0.374723,0.653447,0.434042,0.446377,0.375484,0.530325,0.423862,0.560737,0.420351,0.702411,0.446819,0.477308,0.370047,0.519631,0.403108,0.616792,0.433301,0.705960,0.437908,0.426112,0.372844,0.428996,0.369162,0.608214,0.430756,0.692420,0.443027,0.407415,0.362951,0.425379,0.381920,0.562656,0.410223,0.619362,0.429364,0.396104,0.384703,0.394627,0.380845,0.541351,0.411347
2800,0.389648,0.377277,0.354039,0.341867,0.521453,0.398113,0.493443,0.361713,0.678908,0.425557,0.460064,0.366210,0.557568,0.427421,0.579048,0.412080,0.733970,0.440340,0.499260,0.363486,0.546771,0.402420,0.643264,0.425687,0.743568,0.429334,0.436790,0.363252,0.444023,0.358484,0.632652,0.423833,0.727070,0.437055,0.417130,0.350228,0.433019,0.368047,0.576582,0.399577,0.640633,0.421570,0.387344,0.372202,0.383764,0.364530,0.550415,0.400560
3000,0.386136,0.365342,0.352470,0.330151,0.551921,0.405386,0.510212,0.349767,0.703106,0.418089,0.476678,0.358927,0.586971,0.432269,0.597869,0.404732,0.767452,0.432716,0.523105,0.358360,0.576065,0.403856,0.669696,0.418488,0.782839,0.421343,0.450491,0.355628,0.464004,0.349475,0.656320,0.417224,0.763293,0.430613,0.430972,0.339977,0.445886,0.355226,0.591773,0.389619,0.662057,0.413550,0.379963,0.360216,0.377316,0.349543,0.561031,0.389704
3200,0.387190,0.356632,0.355762,0.319732,0.584050,0.412818,0.530054,0.339060,0.727409,0.410577,0.496184,0.353369,0.618176,0.437520,0.618316,0.397744,0.797950,0.424125,0.548925,0.354469,0.607276,0.404607,0.697921,0.411799,0.822657,0.412388,0.466584,0.349388,0.486142,0.343218,0.683003,0.410743,0.799392,0.423957,0.448324,0.332038,0.462976,0.345052,0.607947,0.379406,0.683302,0.406162,0.374238,0.349171,0.372497,0.334386,0.571843,0.379184
3400,0.389304,0.347511,0.362003,0.310561,0.617393,0.418833,0.551315,0.329112,0.752710,0.402501,0.516617,0.348720,0.651441,0.442856,0.640473,0.391164,0.831299,0.414753,0.576533,0.351101,0.638942,0.405688,0.726077,0.405304,0.864538,0.404668,0.484114,0.344446,0.509628,0.338502,0.710132,0.404506,0.834306,0.416780,0.468878,0.325771,0.482233,0.337329,0.622988,0.370114,0.705264,0.398664,0.370880,0.339599,0.375855,0.321484,0.583853,0.368715
3600,0.394057,0.340421,0.369789,0.303772,0.652004,0.422747,0.574137,0.320946,0.778021,0.394695,0.538634,0.343256,0.685517,0.446333,0.661279,0.384580,0.862196,0.404532,0.604641,0.347709,0.672579,0.406090,0.753024,0.397636,0.908240,0.396174,0.504314,0.340801,0.535671,0.335419,0.736516,0.397751,0.873130,0.408871,0.491840,0.323237,0.503845,0.331347,0.638441,0.361948,0.726154,0.389805,0.368044,0.330230,0.382827,0.310741,0.594230,0.360402
3800,0.399075,0.333149,0.379605,0.297634,0.688644,0.426451,0.597018,0.313808,0.802119,0.386870,0.560975,0.339341,0.721955,0.449657,0.682830,0.378355,0.894536,0.396204,0.631680,0.344819,0.708178,0.407109,0.782838,0.390794,0.953266,0.387274,0.524403,0.337694,0.563660,0.333559,0.763352,0.391501,0.909924,0.400678,0.514889,0.319922,0.527586,0.325612,0.654128,0.354312,0.749132,0.382381,0.367241,0.322536,0.393071,0.299999,0.604318,0.351830
