step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498567,0.498528,0.498719,0.498666,0.497710,0.497688,0.497645,0.497643,0.498620,0.498561,0.498863,0.498578,0.498972,0.498764,0.498536,0.498519,0.498661,0.498652,0.502596,0.502462,0.499219,0.498868,0.499025,0.498724,0.498270,0.498260,0.498276,0.498270,0.502712,0.502656,0.500111,0.500164,0.500159,0.500198,0.500028,0.500029,0.500302,0.500300,0.502955,0.502987,0.499825,0.499663,0.499760,0.499581,0.499129,0.499126,0.499199,0.499201,0.502881,0.502874,0.500055,0.500113,0.500073,0.500121,0.500059,0.500057,0.500454,0.500450,0.502954,0.502988
400,0.491021,0.491022,0.490051,0.489966,0.488769,0.488813,0.490659,0.490767,0.488971,0.488920,0.495228,0.492690,0.493029,0.492882,0.493082,0.493108,0.493631,0.493699,0.506119,0.504407,0.497443,0.496918,0.497280,0.496907,0.496578,0.496516,0.496868,0.496840,0.513210,0.512770,0.493153,0.492554,0.492963,0.492402,0.491633,0.491578,0.492457,0.492287,0.513763,0.513453,0.499767,0.499018,0.499314,0.498659,0.496450,0.496462,0.496012,0.496035,0.512962,0.512504,0.500980,0.501490,0.501490,0.502073,0.503432,0.503441,0.503984,0.503988,0.514614,0.514682
600,0.475680,0.475628,0.476568,0.476429,0.471643,0.472041,0.476576,0.476944,0.478249,0.478090,0.494252,0.483731,0.477507,0.477441,0.476601,0.476701,0.479851,0.480005,0.501569,0.496571,0.490488,0.487310,0.488416,0.488153,0.488676,0.488713,0.490062,0.490134,0.523175,0.521828,0.482979,0.482276,0.482386,0.481846,0.481496,0.481205,0.482527,0.481765,0.530277,0.529949,0.496034,0.491851,0.493998,0.490788,0.485525,0.485470,0.485443,0.485545,0.529847,0.527802,0.503084,0.504858,0.503985,0.506111,0.508973,0.508993,0.509146,0.509141,0.534066,0.534139
800,0.454468,0.454275,0.459419,0.459286,0.448193,0.448784,0.455474,0.456297,0.467495,0.467263,0.498509,0.474886,0.458589,0.458511,0.453630,0.454020,0.458940,0.459348,0.495199,0.487178,0.488842,0.480116,0.477949,0.477570,0.475291,0.474989,0.482623,0.483026,0.529883,0.526230,0.472546,0.471771,0.472059,0.471358,0.471043,0.470573,0.471804,0.470707,0.549715,0.549371,0.491741,0.483599,0.487955,0.481922,0.475200,0.475142,0.475109,0.474768,0.548502,0.544471,0.507515,0.510639,0.510107,0.512961,0.517316,0.517335,0.517431,0.517410,0.561822,0.561735
1000,0.431701,0.431320,0.442372,0.442347,0.422746,0.423046,0.430406,0.431341,0.456780,0.456313,0.508618,0.464172,0.438836,0.438302,0.428284,0.428657,0.434731,0.434484,0.487418,0.476708,0.491243,0.475626,0.467629,0.467433,0.456573,0.454335,0.470336,0.471752,0.532897,0.525658,0.463320,0.462311,0.462638,0.461840,0.461475,0.460849,0.461959,0.459756,0.564923,0.564906,0.487204,0.477792,0.483232,0.475912,0.468855,0.468765,0.469004,0.467804,0.565530,0.558208,0.510413,0.514724,0.514010,0.516859,0.524416,0.524435,0.525065,0.525032,0.594371,0.593795
1200,0.410639,0.410021,0.425380,0.425420,0.399054,0.399111,0.406362,0.407058,0.447380,0.446588,0.521064,0.453674,0.422154,0.420234,0.406092,0.405850,0.415155,0.412976,0.479396,0.465967,0.496671,0.473628,0.459192,0.458950,0.436384,0.431890,0.453933,0.456998,0.535466,0.525352,0.455122,0.454109,0.454813,0.454020,0.453562,0.453002,0.454256,0.451106,0.576965,0.575206,0.483216,0.472219,0.479004,0.470682,0.463037,0.462908,0.463539,0.461052,0.571691,0.562293,0.508934,0.512166,0.511774,0.513141,0.522783,0.522859,0.525622,0.525520,0.621913,0.619328
1400,0.391800,0.390922,0.409364,0.409463,0.377167,0.376792,0.384882,0.384544,0.438434,0.437280,0.534542,0.445246,0.409054,0.405334,0.386650,0.385753,0.399452,0.395070,0.471034,0.455138,0.503025,0.471217,0.451298,0.450880,0.419115,0.411374,0.438294,0.441267,0.537110,0.524153,0.450539,0.449557,0.450029,0.449295,0.448734,0.448214,0.449421,0.443460,0.585765,0.582492,0.479424,0.468074,0.475053,0.466307,0.458492,0.458342,0.458935,0.453710,0.576380,0.564600,0.504736,0.507116,0.507774,0.507958,0.517898,0.518006,0.520845,0.520958,0.641514,0.635971
1600,0.373352,0.372300,0.393245,0.393401,0.357043,0.356092,0.365990,0.364030,0.430001,0.428344,0.548678,0.437545,0.398551,0.392080,0.368553,0.366730,0.385389,0.378470,0.463013,0.444653,0.509215,0.469033,0.444220,0.443650,0.401744,0.391528,0.421065,0.422560,0.537901,0.521546,0.448836,0.447563,0.447969,0.447227,0.446576,0.445926,0.447005,0.437461,0.591308,0.586628,0.478025,0.466204,0.473734,0.464276,0.456461,0.456223,0.457518,0.449105,0.579766,0.565910,0.495409,0.497814,0.498615,0.498755,0.508561,0.508612,0.511664,0.511880,0.648841,0.640975
1800,0.357277,0.356008,0.379021,0.379208,0.339112,0.337174,0.351260,0.346216,0.422500,0.420327,0.562115,0.430004,0.390364,0.380313,0.352719,0.349513,0.374305,0.364300,0.455578,0.434775,0.514806,0.466832,0.438481,0.437559,0.387963,0.374888,0.408657,0.407611,0.539134,0.520116,0.445547,0.444393,0.444433,0.443455,0.442555,0.441948,0.442954,0.428202,0.596058,0.590359,0.480435,0.468219,0.476811,0.466725,0.458897,0.458491,0.460570,0.447489,0.582778,0.567261,0.491730,0.493905,0.495084,0.494850,0.504778,0.504858,0.508178,0.508121,0.657322,0.645212
