#{"t_start": 1786026031.3473415, "env_id": "Walker2d-v5"}
r,l,t
23.495122,46,1.168471
23.139972,42,1.179983
2.565989,17,1.184488
-7.825196,30,1.192556
4.409112,20,1.197845
0.426606,13,1.201371
-11.166406,21,1.207137
-0.837476,20,1.212451
-5.151857,16,1.217291
9.527454,39,1.228422
5.876998,17,1.233209
0.325201,17,1.237544
-4.070467,9,1.240074
1.537545,23,1.246419
-3.342934,13,1.250171
-1.627314,14,1.254117
0.344202,20,1.259639
2.452406,19,1.264737
2.915643,16,1.269281
1.800554,13,1.272622
-6.346002,19,1.277843
-4.181751,17,1.282637
11.491722,27,1.290389
-5.591426,17,1.294921
3.831533,32,1.304183
1.823156,19,1.309803
0.421407,21,1.315701
0.327706,26,1.323521
-3.395093,12,1.327219
-2.229719,13,1.330633
-3.073287,25,1.337111
6.869901,29,1.344842
0.211137,13,1.348496
-1.11772,12,1.351753
-1.518951,26,1.358546
8.742209,32,1.367455
-4.92432,23,1.373481
3.759736,34,1.383044
-3.370778,12,1.386394
11.022105,31,1.394296
15.718568,36,1.403943
5.255296,17,1.408582
-3.90133,28,1.415836
-2.89443,22,1.422254
0.129476,11,1.425484
-2.121595,13,1.429231
1.627531,17,1.433527
-1.597569,22,1.439247
0.743244,21,1.444494
-1.051818,13,1.44813
-4.863279,16,1.452264
-9.439531,18,1.456966
0.125139,14,1.460672
8.701271,24,1.466933
-0.936838,19,1.471575
8.903409,24,1.477926
7.858798,26,1.485026
1.379858,35,1.494095
-0.412472,16,1.498086
4.211827,25,1.504871
-4.689189,16,1.509109
5.726693,44,1.520237
-1.754608,13,1.523515
-4.660176,25,1.529917
1.829642,26,1.537043
3.047765,19,1.542167
4.954984,31,1.550403
-10.366113,21,1.555953
4.981102,23,1.56222
12.504796,31,1.57071
-2.144212,19,1.575652
-2.772385,16,1.579855
-0.653644,17,1.584692
1.661699,13,1.588045
5.930262,22,1.59385
0.559575,28,1.601557
-6.529784,16,1.606128
14.354216,34,1.615427
-3.992283,9,1.618048
5.579602,20,1.62335
4.896224,32,1.63244
-1.824785,19,1.637578
4.51423,20,1.642862
-2.301658,11,1.646029
-4.449328,9,1.648725
-2.13799,11,1.651659
4.688406,18,1.656111
6.068008,28,1.663084
1.180945,23,1.669263
4.572049,19,1.674343
11.536013,26,1.6816
-1.113918,17,1.686218
-1.771911,29,1.693717
0.252619,22,1.699329
4.593077,18,1.704135
24.483229,41,1.714761
16.569837,48,1.727189
5.572523,18,1.731764
-2.460314,12,1.7349
-5.135472,16,1.739033
-12.075611,22,1.745124
-0.990713,20,1.750299
