step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.556548,0.573022,0.376378,0.374976,0.496645,0.415559,0.521734,0.437399,0.720069,0.650414,0.525498,0.432006,0.574316,0.476868,0.557194,0.439089,0.702930,0.595077,0.473583,0.411919,0.523828,0.462851,0.570122,0.454105,0.670717,0.577483,0.433634,0.410815,0.552499,0.515448,0.569619,0.468581,0.640862,0.574650,0.424857,0.410050,0.518100,0.484498,0.559059,0.470503,0.591477,0.538864,0.465724,0.463891,0.535616,0.515005,0.578577,0.513571
2200,0.558895,0.576425,0.375176,0.370145,0.516491,0.419688,0.528757,0.431923,0.739401,0.654290,0.536851,0.430777,0.593310,0.479560,0.569172,0.435483,0.720467,0.591817,0.480262,0.406897,0.532333,0.457908,0.582271,0.449677,0.688254,0.576869,0.430124,0.401350,0.553037,0.508564,0.576985,0.462030,0.652886,0.575170,0.419339,0.400216,0.519962,0.479262,0.565945,0.462367,0.603312,0.538355,0.460860,0.458930,0.539405,0.515109,0.583819,0.508038
2400,0.562509,0.580890,0.374351,0.365161,0.535987,0.422738,0.535218,0.425634,0.757248,0.655941,0.550370,0.430147,0.614237,0.482907,0.581149,0.431525,0.735706,0.586455,0.487608,0.402396,0.542420,0.454199,0.592650,0.443597,0.703039,0.572888,0.429175,0.393106,0.553121,0.501160,0.584300,0.455147,0.664212,0.575563,0.416142,0.392069,0.523580,0.474653,0.572555,0.454010,0.614071,0.536853,0.455576,0.453756,0.542551,0.514468,0.587856,0.502251
2600,0.564099,0.583356,0.375605,0.361477,0.555475,0.424555,0.539794,0.419301,0.773376,0.655357,0.561955,0.428845,0.632894,0.484717,0.592092,0.428062,0.749824,0.578739,0.494239,0.398176,0.551960,0.449240,0.602283,0.438176,0.714644,0.567302,0.429114,0.385512,0.556240,0.495275,0.591439,0.449000,0.672993,0.573259,0.413966,0.384673,0.528073,0.470630,0.580274,0.446474,0.626054,0.537431,0.451729,0.449542,0.546567,0.514634,0.593529,0.496384
2800,0.563942,0.584227,0.378567,0.359129,0.575488,0.427463,0.544062,0.411968,0.788561,0.653916,0.573582,0.428291,0.652644,0.486239,0.603827,0.425151,0.762071,0.572371,0.501588,0.394742,0.563112,0.445144,0.613128,0.434090,0.727721,0.563230,0.428552,0.378930,0.557801,0.488428,0.597662,0.441638,0.684172,0.572868,0.413264,0.378726,0.530174,0.464650,0.586858,0.439657,0.637214,0.535387,0.447365,0.444994,0.549000,0.513492,0.597620,0.490385
3000,0.565303,0.585867,0.381894,0.357364,0.593661,0.428277,0.547435,0.404968,0.800355,0.651274,0.584520,0.427679,0.671526,0.487180,0.614338,0.421608,0.773815,0.564873,0.508846,0.392203,0.575035,0.441934,0.622697,0.429601,0.738751,0.557390,0.430688,0.374429,0.561395,0.482965,0.604651,0.436265,0.690921,0.568733,0.413209,0.373040,0.534135,0.460774,0.594810,0.433762,0.649095,0.535562,0.443091,0.440532,0.551731,0.512140,0.601221,0.483776
3200,0.566494,0.587562,0.384721,0.355318,0.611701,0.429402,0.551497,0.398489,0.807923,0.646523,0.594964,0.426512,0.690190,0.487883,0.623215,0.417146,0.784294,0.557503,0.516425,0.389978,0.586795,0.439474,0.630758,0.423560,0.748952,0.551182,0.434117,0.370311,0.566098,0.476890,0.611799,0.430929,0.695209,0.564057,0.413253,0.367391,0.537315,0.455720,0.601636,0.427738,0.656731,0.532289,0.439704,0.436427,0.555322,0.511892,0.606955,0.477831
3400,0.566106,0.587673,0.387985,0.353472,0.629108,0.429835,0.555355,0.392354,0.814753,0.641642,0.605806,0.425822,0.709974,0.489810,0.633161,0.414458,0.792158,0.549621,0.524865,0.387267,0.597939,0.435877,0.639867,0.419156,0.755980,0.544798,0.438164,0.366562,0.568822,0.470744,0.618650,0.425458,0.700798,0.560679,0.415599,0.363192,0.541605,0.452114,0.606203,0.420974,0.666002,0.530266,0.434943,0.431525,0.557371,0.509976,0.610419,0.471282
3600,0.566263,0.588347,0.390222,0.351547,0.645353,0.429442,0.559125,0.386709,0.822288,0.637574,0.615196,0.424579,0.727047,0.489657,0.642463,0.411225,0.802100,0.542913,0.532471,0.385478,0.609827,0.433774,0.648135,0.414151,0.763713,0.538692,0.441195,0.363095,0.572583,0.464395,0.626142,0.420134,0.706781,0.557345,0.418947,0.360435,0.545623,0.448294,0.612372,0.414859,0.674640,0.527615,0.430889,0.427461,0.558845,0.507918,0.613374,0.464533
3800,0.564552,0.586956,0.393271,0.350150,0.659327,0.427878,0.561272,0.380822,0.827743,0.632688,0.624387,0.423481,0.743092,0.489852,0.649031,0.407255,0.809009,0.535817,0.539216,0.383904,0.620699,0.430813,0.655648,0.409891,0.770659,0.533315,0.446134,0.360663,0.576374,0.459652,0.632886,0.415006,0.711978,0.553355,0.421391,0.357687,0.548944,0.444478,0.618102,0.409492,0.683408,0.524211,0.427304,0.423637,0.560935,0.506636,0.617485,0.459118
