step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,8.157255,2.328566,19.681877,19.634968,19.647964,19.648895,19.648088,19.637289,1.004386,1.001992,1.002655,1.002702,1.002661,1.002110,19.681292,19.620583,19.623804,19.626678,19.630110,19.629644,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01015234,2.00616765,2.01086569,2.01075721,2.01086903,2.01002336,0.99552774,0.99706143,0.99474543,0.99466610,0.99448067,0.99489796,3.40440434e-05,1.52860113e-04,1.21803314e-05,1.20018785e-05,1.14537506e-05,9.25317545e-06,6.51501114e-06
1000,6.563139,1.952510,19.727907,19.641495,19.661037,19.691229,19.705790,19.685152,1.006735,1.002325,1.003322,1.004861,1.005604,1.004551,19.702980,19.649979,19.667734,19.688435,19.722811,19.715538,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01554036,2.00648022,2.01367640,2.02574873,2.02454281,2.02626061,0.99395347,0.99698490,0.99325925,0.98668575,0.98701316,0.98605859,1.01547311e-04,2.78902124e-04,4.35256479e-05,5.10931786e-05,7.78638714e-05,8.63544628e-05,7.15445785e-05
1500,5.970169,1.799163,19.761454,19.651152,19.690920,19.748260,19.802166,19.762421,1.008446,1.002817,1.004845,1.007769,1.010518,1.008491,19.686249,19.672222,19.693846,19.717983,19.790794,19.791332,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01978278,2.00720024,2.02020621,2.04197717,2.05443597,2.05246782,0.99305326,0.99671185,0.98995823,0.97845346,0.97212404,0.97220141,2.52537130e-04,4.76331217e-04,1.06285610e-04,1.39456082e-04,2.36130873e-04,3.18336737e-04,2.38682260e-04
2000,5.571819,1.682521,19.791050,19.661560,19.734922,19.827642,19.945568,19.892818,1.009955,1.003347,1.007087,1.011814,1.017826,1.015136,19.629992,19.681997,19.697754,19.721849,19.831013,19.866005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02369356,2.00748754,2.02983642,2.06651545,2.10397625,2.09064341,0.99257070,0.99693507,0.98583603,0.96813244,0.94989526,0.95244592,5.10051560e-04,7.75816035e-04,1.80724659e-04,2.74871680e-04,4.97400411e-04,7.40980962e-04,5.90515614e-04
2500,5.250294,1.588932,19.787745,19.661366,19.784006,19.917963,20.084085,20.022364,1.009785,1.003335,1.009585,1.016413,1.024881,1.021734,19.518324,19.676613,19.677727,19.699705,19.843975,19.957993,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02183557,2.00471330,2.04090810,2.09714913,2.15743208,2.12641430,0.99454123,0.99916583,0.98233378,0.95735562,0.92933863,0.93459034,8.94551515e-04,1.14787195e-03,2.77403567e-04,4.97805653e-04,9.07535839e-04,1.36688876e-03,1.16980332e-03
3000,5.002310,1.514565,19.744743,19.657726,19.834808,19.998127,20.185415,20.123283,1.007588,1.003145,1.012166,1.020491,1.030037,1.026870,19.345705,19.656874,19.630884,19.650324,19.832735,20.079977,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.01172495,2.00013089,2.05405092,2.12756705,2.19979835,2.15535951,1.00023544,1.00298607,0.97932339,0.95009202,0.91620612,0.91921067,1.42870719e-03,1.59422832e-03,4.56382928e-04,8.61364591e-04,1.50034740e-03,2.18867604e-03,1.97124388e-03
3500,4.803401,1.455016,19.669210,19.645716,19.871950,20.039827,20.229284,20.179262,1.003729,1.002527,1.014048,1.022606,1.032260,1.029717,19.107874,19.624594,19.549192,19.570213,19.794556,20.296022,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.99331796,1.99206758,2.06565356,2.14675045,2.22367215,2.17506528,1.00895250,1.01011312,0.97934413,0.95045251,0.91274762,0.90609443,2.11259551e-03,2.11208500e-03,7.48760125e-04,1.39819004e-03,2.26969831e-03,3.19404015e-03,2.95279943e-03
4000,4.636458,1.399788,19.562819,19.624529,19.878531,20.037306,20.216469,20.200190,0.998296,1.001437,1.014371,1.022463,1.031592,1.030774,18.789978,19.582289,19.420752,19.459114,19.735462,20.662378,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.96516180,1.98060668,2.06671309,2.14977431,2.22108841,2.18517065,1.02109122,1.01976407,0.98427075,0.95932335,0.91822398,0.89428753,2.92710665e-03,2.67675496e-03,1.17543852e-03,2.10549473e-03,3.19049601e-03,4.33629937e-03,4.07815631e-03
4500,4.456027,1.354649,19.411604,19.583206,19.857391,20.008356,20.177071,20.197094,0.990573,0.999317,1.013276,1.020972,1.029565,1.030603,18.397144,19.533648,19.248362,19.315426,19.666323,21.016483,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.92248583,1.95898831,2.05724883,2.14066577,2.20438933,2.18784857,1.03749561,1.03467321,0.99514651,0.97187233,0.92783427,0.88325566,3.80273373e-03,3.17461346e-03,1.70260505e-03,2.92853639e-03,4.19288967e-03,5.53446263e-03,5.28329518e-03
5000,4.338328,1.321966,19.238840,19.518858,19.809338,19.957903,20.125248,20.173466,0.981748,0.996019,1.010803,1.018380,1.026902,1.029387,17.938454,19.476076,19.041262,19.150700,19.587908,21.293228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.87540853,1.93094897,2.03568721,2.11924934,2.17994356,2.18343019,1.05439305,1.05401266,1.01013052,0.99018139,0.93836188,0.87418771,4.64983816e-03,3.53916315e-03,2.27138889e-03,3.80552094e-03,5.19113103e-03,6.67414721e-03,6.41767774e-03
