step,train_loss,val_bpb,T_sel_mean,T_sel_min,T_sel_max
100,4.595998,1.424125,0.245305,0.186309,0.400937
200,4.619472,1.432873,0.132870,0.104228,0.205990
300,4.655362,1.440333,0.072002,0.058309,0.105831
400,4.657653,1.445107,0.039035,0.032620,0.054373
500,4.675179,1.447600,0.021172,0.018249,0.027935
600,4.682172,1.449155,0.011488,0.010209,0.014352
700,4.679377,1.450019,0.006236,0.005711,0.007374
800,4.673733,1.450548,0.003387,0.003195,0.003788
900,4.680938,1.450952,0.001840,0.001788,0.001946
1000,4.675059,1.450795,0.001000,0.001000,0.001000
