#{"t_start": 1785186932.7995453, "env_id": "Walker2d-v5"}
r,l,t
23.495122,46,0.56054
23.139972,42,0.565953
2.565989,17,0.568159
-7.825196,30,0.572011
4.409112,20,0.575395
0.426606,13,0.57706
-11.166406,21,0.579787
-0.837476,20,0.582336
-5.151857,16,0.585092
9.527454,39,0.590103
5.876998,17,0.592339
0.325201,17,0.594453
-4.070467,9,0.596232
1.537545,23,0.599276
-3.342934,13,0.600952
-1.627314,14,0.602776
0.344202,20,0.606192
2.452406,19,0.608678
2.915643,16,0.610755
1.800554,13,0.612306
-6.346002,19,0.615796
-4.181751,17,0.617984
11.491722,27,0.621389
-5.591426,17,0.62347
3.831533,32,0.628438
1.823156,19,0.630995
0.421407,21,0.633701
0.327706,26,0.63708
-3.395093,12,0.639708
-2.229719,13,0.641442
-3.073287,25,0.64465
6.869901,29,0.64846
0.211137,13,0.650482
-1.11772,12,0.651979
-1.518951,26,0.65531
8.742209,32,0.65935
-4.92432,23,0.663083
3.759736,34,0.667423
-3.370778,12,0.668963
11.022105,31,0.672964
15.718568,36,0.678396
5.255296,17,0.680609
-3.90133,28,0.684064
-2.89443,22,0.686875
0.129476,11,0.689194
-2.121595,13,0.691106
1.627531,17,0.693312
-1.597569,22,0.696147
0.743244,21,0.699611
-1.051818,13,0.701385
-4.863279,16,0.703367
-9.439531,18,0.705711
0.125139,14,0.708495
8.701271,24,0.71166
-0.936838,19,0.714032
8.903409,24,0.717054
7.858798,26,0.720841
1.379858,35,0.725352
-0.412472,16,0.727366
4.211827,25,0.730512
-4.689189,16,0.732912
5.726693,44,0.738543
-1.754608,13,0.740158
-4.660176,25,0.743354
1.829642,26,0.747204
3.047765,19,0.749555
4.954984,31,0.753338
-10.366113,21,0.755978
4.981102,23,0.759647
12.504796,31,0.763696
-2.144212,19,0.766181
-2.772385,16,0.768278
-0.653644,17,0.77122
1.661699,13,0.77288
5.930262,22,0.775782
0.559575,28,0.779416
-6.529784,16,0.782231
14.354216,34,0.786749
-3.992283,9,0.787948
5.579602,20,0.790507
4.896224,32,0.795625
-1.824785,19,0.798059
4.51423,20,0.800556
-2.301658,11,0.802013
-4.449328,9,0.804142
-2.13799,11,0.805607
4.688406,18,0.808063
6.068008,28,0.811654
1.180945,23,0.815629
4.572049,19,0.818082
11.536013,26,0.821432
-1.113918,17,0.823618
-1.771911,29,0.828478
0.252619,22,0.831314
4.593077,18,0.83363
24.483229,41,0.83873
16.569837,48,0.845885
5.572523,18,0.848286
-2.460314,12,0.8498
-5.135472,16,0.851873
-12.075611,22,0.855712
-0.990713,20,0.858311
2.299061,15,0.860213
3.761865,29,0.863806
-8.121602,20,0.867323
-7.013825,25,0.870629
7.075527,34,0.875075
32.998852,56,0.882354
5.540915,21,0.885985
-2.489697,26,0.88935
-7.424645,21,0.891984
6.864351,22,0.894968
0.124635,26,0.899357
4.369268,27,0.902867
-4.468996,13,0.904535
-0.342998,15,0.906494
1.970915,30,0.911279
0.566955,12,0.912902
-3.25566,11,0.914318
0.109625,13,0.915916
5.45469,18,0.919151
-1.485383,35,0.923898
4.22892,18,0.926211
-1.331712,13,0.927937
7.736403,20,0.931509
17.782293,53,0.938293
1.846689,12,0.939809
7.103331,31,0.943754
-3.361554,13,0.946387
0.013406,27,0.949939
5.187894,18,0.952278
3.300641,17,0.954519
-0.982306,12,0.957014
1.3727,12,0.95855
-6.031603,21,0.961279
-6.313078,19,0.963659
7.095711,26,0.967992
11.646624,22,0.970857
0.05567,12,0.972425
3.824241,22,0.975302
-3.574002,13,0.977944
18.767373,32,0.982212
3.42262,14,0.984076
22.107949,42,0.989575
-1.644661,9,0.991277
25.546467,38,0.996306
7.947169,26,0.999619
17.275717,43,1.005198
0.105823,21,1.008838
