step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.496472,0.496502,0.496514,0.496471,0.497348,0.497315,0.498197,0.498195,0.497981,0.498032,0.499069,0.499057,0.498263,0.498293,0.499343,0.499338,0.498490,0.498499,0.499675,0.499676,0.498594,0.498614,0.499662,0.499663
400,0.487010,0.487737,0.487397,0.487305,0.492937,0.491942,0.493699,0.493170,0.495621,0.495310,0.498151,0.497785,0.496253,0.496055,0.498450,0.498053,0.497799,0.497794,0.499497,0.499350,0.498033,0.498062,0.499497,0.499435
600,0.472574,0.475562,0.473564,0.473706,0.488495,0.482941,0.481412,0.480547,0.491334,0.487814,0.489826,0.488284,0.495889,0.491238,0.494357,0.493038,0.498166,0.497017,0.499563,0.498998,0.498169,0.497834,0.499654,0.499513
800,0.458342,0.464617,0.456269,0.457012,0.484661,0.467980,0.461859,0.460602,0.490309,0.477131,0.475773,0.473104,0.502418,0.481193,0.482526,0.479785,0.500326,0.495633,0.500109,0.498927,0.498912,0.497793,0.500181,0.499875
1000,0.445663,0.454691,0.440178,0.441185,0.492402,0.456644,0.441257,0.439329,0.497638,0.466679,0.458942,0.455093,0.517668,0.470077,0.463523,0.459762,0.506371,0.494992,0.500369,0.498522,0.501017,0.498290,0.500855,0.500299
1200,0.435362,0.446376,0.428045,0.428805,0.509260,0.451269,0.423080,0.419986,0.512844,0.459836,0.442792,0.437405,0.539626,0.464386,0.445089,0.440234,0.514694,0.493856,0.499578,0.497257,0.504249,0.499169,0.501560,0.500690
1400,0.428071,0.440058,0.418414,0.418259,0.532237,0.451294,0.407720,0.402575,0.533396,0.456422,0.427960,0.420325,0.565886,0.462827,0.428105,0.421896,0.527109,0.494143,0.498311,0.495687,0.508610,0.500352,0.502164,0.500974
1600,0.421505,0.434031,0.411536,0.408768,0.556209,0.456711,0.398266,0.388807,0.556555,0.456146,0.415252,0.404526,0.593566,0.464781,0.413596,0.405216,0.542362,0.493540,0.495885,0.493164,0.514254,0.501880,0.502641,0.501076
1800,0.416640,0.428853,0.407891,0.401429,0.581501,0.463342,0.394904,0.378196,0.580768,0.458229,0.406643,0.391190,0.623526,0.470293,0.401859,0.390225,0.558434,0.494154,0.493517,0.490579,0.521177,0.503860,0.503061,0.501103
2000,0.413629,0.424885,0.405170,0.394240,0.608373,0.470656,0.396156,0.369956,0.606890,0.462446,0.403013,0.380881,0.654778,0.477294,0.393711,0.377142,0.577522,0.495116,0.490949,0.487775,0.529740,0.506190,0.503264,0.500915
2200,0.411214,0.421463,0.403299,0.387159,0.635661,0.479606,0.405232,0.367000,0.633723,0.466538,0.402316,0.372376,0.686398,0.484948,0.390669,0.367135,0.597612,0.497043,0.488001,0.484426,0.539457,0.508931,0.503315,0.500541
2400,0.409818,0.418166,0.404160,0.381696,0.663669,0.488048,0.415220,0.366189,0.660953,0.471368,0.406715,0.367390,0.719247,0.492770,0.391497,0.359319,0.619702,0.499339,0.485521,0.481298,0.550117,0.511679,0.503082,0.499900
2600,0.408987,0.415427,0.405969,0.376622,0.690736,0.495744,0.428275,0.367819,0.688433,0.476049,0.413144,0.363439,0.752095,0.499432,0.396289,0.353491,0.641590,0.500868,0.483428,0.478445,0.560867,0.514375,0.502707,0.499181
