step,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498787,0.498641,0.497004,0.496797,0.503435,0.503399,0.498584,0.497609,0.503310,0.503279,0.500685,0.499344,0.502675,0.502613,0.501591,0.500889,0.501474,0.501407,0.502054,0.501623,0.499572,0.499540,0.502132,0.501670
400,0.488138,0.487814,0.487759,0.486726,0.512935,0.512444,0.500505,0.492917,0.511808,0.511159,0.509395,0.503992,0.511460,0.511051,0.511444,0.508835,0.508532,0.508167,0.511360,0.509403,0.493690,0.493404,0.502993,0.499631
600,0.471888,0.470947,0.475543,0.471485,0.526428,0.524700,0.507816,0.491836,0.522195,0.519765,0.524089,0.513938,0.525310,0.523476,0.525974,0.519915,0.520039,0.518518,0.523558,0.518431,0.480052,0.479670,0.493880,0.487929
800,0.451783,0.448669,0.470339,0.454437,0.544776,0.540540,0.519281,0.494009,0.532441,0.525877,0.542639,0.525501,0.541766,0.536470,0.541938,0.529657,0.537286,0.532993,0.537805,0.527341,0.459562,0.458864,0.478937,0.469220
1000,0.438566,0.425776,0.478307,0.440841,0.564968,0.556684,0.533759,0.498217,0.540598,0.527291,0.561180,0.535126,0.553510,0.542037,0.554283,0.532365,0.556817,0.547582,0.551391,0.531689,0.436950,0.435801,0.463444,0.447641
1200,0.444128,0.405964,0.490676,0.431502,0.582669,0.569686,0.548095,0.502739,0.546129,0.525313,0.576829,0.541178,0.557034,0.537695,0.561597,0.528871,0.573458,0.558235,0.561876,0.530012,0.415531,0.413808,0.452655,0.427158
