step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.501535,0.501467,0.502613,0.502558,0.502836,0.502835,0.496551,0.496449,0.503020,0.503006,0.503050,0.502999,0.502485,0.502483,0.497499,0.496762,0.502709,0.502552,0.502832,0.502707,0.501606,0.501602,0.501975,0.498231,0.502272,0.502023,0.502048,0.501902,0.500857,0.500856,0.502848,0.501572,0.501081,0.501066,0.501666,0.501469,0.500492,0.500492,0.503185,0.502886,0.500668,0.500720,0.500524,0.500460,0.500478,0.500477,0.503272,0.503065
400,0.511913,0.511769,0.512171,0.512310,0.514489,0.514485,0.485515,0.485271,0.513787,0.513668,0.512766,0.511948,0.513175,0.513163,0.488265,0.486144,0.511507,0.510744,0.510523,0.509108,0.509350,0.509332,0.504796,0.491743,0.509019,0.507412,0.506103,0.504089,0.504040,0.504016,0.509049,0.502321,0.504261,0.503197,0.501333,0.499761,0.499951,0.499932,0.512405,0.510997,0.501484,0.501424,0.497483,0.496941,0.499745,0.499740,0.513512,0.512898
600,0.526353,0.525538,0.525497,0.525899,0.533996,0.533990,0.470088,0.468427,0.532689,0.532245,0.529891,0.528128,0.532216,0.532204,0.484873,0.472412,0.528706,0.527350,0.527237,0.524584,0.526152,0.526128,0.514031,0.488296,0.521606,0.518003,0.516232,0.511482,0.511773,0.511729,0.515148,0.502384,0.513503,0.509684,0.504343,0.499631,0.502779,0.502719,0.522267,0.518899,0.500058,0.499142,0.489406,0.487778,0.494387,0.494360,0.524913,0.522952
800,0.518007,0.514972,0.522811,0.523118,0.541147,0.540184,0.458681,0.450272,0.556439,0.555010,0.550883,0.547614,0.555272,0.555262,0.494922,0.464332,0.550157,0.547027,0.545747,0.540414,0.543112,0.543095,0.526297,0.489121,0.538628,0.531624,0.524964,0.516114,0.521233,0.521180,0.523924,0.502413,0.520174,0.512502,0.501755,0.494518,0.499395,0.499305,0.528352,0.519148,0.499195,0.496052,0.480664,0.476839,0.485856,0.485804,0.529512,0.522518
1000,0.500952,0.497444,0.498971,0.499198,0.516265,0.514232,0.452793,0.432373,0.582367,0.578715,0.573066,0.567080,0.579959,0.579957,0.508907,0.457135,0.573696,0.567963,0.564486,0.555919,0.560556,0.560553,0.541095,0.489956,0.554880,0.542827,0.533322,0.520856,0.530870,0.530832,0.535597,0.502701,0.524658,0.513477,0.498223,0.488998,0.495538,0.495476,0.535938,0.518650,0.499278,0.493034,0.472011,0.467228,0.473186,0.473189,0.534620,0.520057
