step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497345,0.497248,0.498493,0.498414,0.100368,0.499021,0.498682,0.498902,0.498885,0.100342,0.499693,0.499548,0.499331,0.499324,0.099897,0.499031,0.498975,0.498797,0.498812,0.099822,0.499518,0.499606,0.498328,0.498350,0.099859,0.499714,0.499507,0.498546,0.498561,0.099911
400,0.488056,0.487876,0.492767,0.492043,0.102284,0.498755,0.496135,0.496464,0.496240,0.101680,0.499964,0.499136,0.497842,0.497710,0.100576,0.500520,0.499849,0.498118,0.498132,0.100133,0.498672,0.498822,0.496026,0.496241,0.099707,0.499676,0.498679,0.496203,0.496835,0.099491
600,0.472281,0.472097,0.479972,0.479558,0.105264,0.500389,0.491022,0.492950,0.492694,0.103165,0.499506,0.496574,0.492690,0.492145,0.101374,0.503455,0.501855,0.497277,0.496970,0.100867,0.500006,0.499036,0.496329,0.495345,0.100034,0.501269,0.499268,0.494302,0.493578,0.099433
800,0.450979,0.450705,0.459394,0.460325,0.108795,0.505540,0.485125,0.488667,0.488387,0.105167,0.501702,0.495037,0.484525,0.482524,0.102978,0.506296,0.503408,0.496484,0.495891,0.101942,0.501321,0.500162,0.498039,0.496426,0.100593,0.505016,0.503105,0.495220,0.491543,0.099320
1000,0.426454,0.426059,0.435588,0.436793,0.113483,0.515921,0.477574,0.482972,0.482843,0.107311,0.503913,0.491758,0.476888,0.473849,0.105292,0.514663,0.509229,0.495413,0.494338,0.102945,0.503167,0.501397,0.500152,0.498150,0.101574,0.504761,0.501602,0.496900,0.492619,0.099585
1200,0.402841,0.402338,0.412335,0.413050,0.118606,0.533675,0.472892,0.476607,0.476532,0.110006,0.508039,0.490743,0.469657,0.465380,0.108237,0.519468,0.512148,0.494871,0.493466,0.103748,0.503921,0.501750,0.502498,0.500180,0.102413,0.505216,0.501891,0.499034,0.494162,0.099777
1400,0.382406,0.381625,0.391684,0.391425,0.123909,0.554364,0.468553,0.469865,0.469826,0.112634,0.510350,0.488118,0.462276,0.456090,0.111412,0.524718,0.515081,0.494828,0.492937,0.104634,0.503352,0.500794,0.504693,0.501981,0.102979,0.504990,0.500670,0.501481,0.496035,0.100098
1600,0.364356,0.363061,0.373619,0.371616,0.129552,0.577228,0.465910,0.462675,0.462354,0.115829,0.516458,0.487412,0.455787,0.447215,0.114880,0.530819,0.519216,0.493921,0.491754,0.105405,0.507501,0.504063,0.507784,0.504568,0.103543,0.502634,0.498156,0.503559,0.497306,0.099788
1800,0.349276,0.347182,0.359988,0.354988,0.134800,0.599885,0.463337,0.456781,0.456033,0.118750,0.521088,0.485575,0.449543,0.439603,0.118477,0.535189,0.522066,0.493462,0.491032,0.105949,0.511501,0.507635,0.510056,0.506502,0.103986,0.500445,0.496198,0.506266,0.498980,0.099434
2000,0.336188,0.332993,0.349619,0.339950,0.140845,0.625693,0.462368,0.450386,0.449000,0.122289,0.526072,0.482998,0.444322,0.432396,0.122412,0.538783,0.524062,0.492930,0.490321,0.106627,0.512568,0.508751,0.512271,0.508408,0.104908,0.499346,0.496271,0.509384,0.501053,0.099014
2200,0.325370,0.320776,0.343628,0.326620,0.147005,0.649870,0.459292,0.443890,0.441802,0.126090,0.530713,0.480346,0.440230,0.426108,0.126571,0.544182,0.527836,0.492427,0.489514,0.107136,0.513614,0.509206,0.514813,0.510628,0.105542,0.497772,0.495233,0.512249,0.502964,0.098551
