step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L6.qk_lut.T_soft,L6.qk_lut.T_sel,L6.v_lut.T_soft,L6.v_lut.T_sel,L6.out_proj.T_soft,L6.out_proj.T_sel,L7.qk_lut.T_soft,L7.qk_lut.T_sel,L7.v_lut.T_soft,L7.v_lut.T_sel,L7.out_proj.T_soft,L7.out_proj.T_sel,L8.qk_lut.T_soft,L8.qk_lut.T_sel,L8.v_lut.T_soft,L8.v_lut.T_sel,L8.out_proj.T_soft,L8.out_proj.T_sel,L9.qk_lut.T_soft,L9.qk_lut.T_sel,L9.v_lut.T_soft,L9.v_lut.T_sel,L9.out_proj.T_soft,L9.out_proj.T_sel,L10.qk_lut.T_soft,L10.qk_lut.T_sel,L10.v_lut.T_soft,L10.v_lut.T_sel,L10.out_proj.T_soft,L10.out_proj.T_sel,L11.qk_lut.T_soft,L11.qk_lut.T_sel,L11.v_lut.T_soft,L11.v_lut.T_sel,L11.out_proj.T_soft,L11.out_proj.T_sel
2000,0.426298,0.415730,0.379585,0.399349,0.357231,0.355241,0.627263,0.477493,0.464264,0.386472,0.380145,0.369780,0.658356,0.502488,0.507398,0.396255,0.383158,0.374341,0.646110,0.501716,0.495036,0.394997,0.390213,0.379957,0.667616,0.500421,0.491251,0.388300,0.379202,0.370784,0.646229,0.511689,0.485785,0.421175,0.459279,0.452180,0.624204,0.512292,0.510353,0.428158,0.473257,0.468203,0.661248,0.531607,0.540141,0.410240,0.404037,0.394607,0.657372,0.521836,0.527496,0.398358,0.412411,0.405176,0.648730,0.520965,0.491896,0.403137,0.412169,0.404667,0.595288,0.513913,0.516782,0.468889,0.487514,0.485096,0.565891,0.513019,0.523132,0.494785,0.503361,0.500182
2200,0.423775,0.406690,0.367603,0.388081,0.339143,0.335660,0.650168,0.474379,0.490156,0.386666,0.375151,0.352238,0.687361,0.500983,0.537454,0.404116,0.378918,0.357580,0.674728,0.499298,0.523604,0.396369,0.386964,0.365003,0.701010,0.499027,0.520587,0.393847,0.373345,0.354277,0.676382,0.510868,0.502400,0.414026,0.454317,0.443407,0.653234,0.512574,0.529896,0.417559,0.465482,0.457578,0.693551,0.534267,0.572612,0.419630,0.397859,0.379153,0.689746,0.522140,0.558627,0.398508,0.401104,0.388534,0.684729,0.522589,0.518513,0.398320,0.398226,0.386880,0.618122,0.516969,0.528680,0.463063,0.483340,0.479545,0.586263,0.517445,0.534094,0.494864,0.505484,0.500512
2400,0.423368,0.399883,0.360207,0.379198,0.324908,0.317476,0.671559,0.469824,0.517755,0.390757,0.382796,0.337418,0.714608,0.498087,0.568710,0.412668,0.385971,0.343455,0.704497,0.495356,0.553433,0.400513,0.392678,0.353707,0.734763,0.495130,0.551260,0.401836,0.376919,0.340320,0.708889,0.509589,0.522442,0.406689,0.448712,0.432715,0.684914,0.512939,0.554310,0.408545,0.458870,0.447133,0.724366,0.533336,0.606809,0.430765,0.399906,0.365122,0.723045,0.520261,0.591420,0.403032,0.393780,0.373206,0.722490,0.522634,0.547247,0.399157,0.387529,0.370274,0.642645,0.520300,0.544234,0.456931,0.478498,0.472410,0.608409,0.521538,0.546993,0.494695,0.508389,0.500767
2600,0.425131,0.394562,0.357971,0.372829,0.318901,0.300925,0.693597,0.465474,0.546883,0.394879,0.395587,0.325651,0.741866,0.495938,0.601951,0.421884,0.399717,0.332410,0.735389,0.491862,0.585025,0.404662,0.402970,0.344584,0.769217,0.490428,0.583408,0.408918,0.387934,0.329080,0.741715,0.506944,0.546142,0.402760,0.446612,0.424660,0.716805,0.512614,0.581893,0.401407,0.452511,0.435896,0.757412,0.533461,0.642870,0.441579,0.409048,0.355535,0.756337,0.518715,0.626394,0.409287,0.392671,0.359972,0.763126,0.521750,0.578392,0.403025,0.380509,0.354724,0.667494,0.521786,0.563585,0.452328,0.473904,0.464879,0.630950,0.525233,0.560377,0.494380,0.511345,0.500516
2800,0.427544,0.389826,0.359710,0.368096,0.323880,0.285414,0.717111,0.461842,0.577667,0.399125,0.413128,0.317506,0.769533,0.491438,0.636321,0.427802,0.417210,0.324203,0.764915,0.488290,0.618119,0.408648,0.417511,0.339377,0.803592,0.485815,0.616971,0.413734,0.402467,0.319833,0.775825,0.503131,0.572480,0.398596,0.444837,0.416314,0.749282,0.510459,0.611023,0.395996,0.447724,0.425373,0.789017,0.530435,0.680311,0.449338,0.423095,0.347959,0.789259,0.515528,0.662910,0.415166,0.397970,0.349655,0.805558,0.517610,0.611089,0.408913,0.378624,0.341298,0.692416,0.521896,0.585129,0.448074,0.469478,0.456728,0.652310,0.527267,0.574759,0.493655,0.514191,0.499203
3000,0.430862,0.385697,0.364630,0.364502,0.335437,0.271544,0.738877,0.456895,0.609039,0.401286,0.433490,0.310680,0.795900,0.488385,0.671926,0.431567,0.437058,0.318920,0.792151,0.483199,0.652502,0.410300,0.434080,0.334355,0.837200,0.481206,0.652219,0.417993,0.420326,0.312903,0.809155,0.499302,0.599935,0.395666,0.445289,0.408536,0.782012,0.506525,0.642642,0.392546,0.443838,0.414438,0.821868,0.529113,0.719542,0.454712,0.441122,0.342309,0.823242,0.511365,0.700962,0.418882,0.407306,0.339955,0.850418,0.512987,0.645465,0.413902,0.380603,0.328495,0.719724,0.522671,0.610836,0.444814,0.465423,0.447216,0.675614,0.529005,0.591825,0.492267,0.517155,0.496381
3200,0.434467,0.381874,0.371167,0.361983,0.350809,0.259196,0.759130,0.451310,0.641741,0.401989,0.454314,0.307014,0.819231,0.483918,0.709553,0.432096,0.457686,0.314121,0.821308,0.477862,0.688792,0.410869,0.451953,0.332134,0.872052,0.475342,0.688631,0.418066,0.439101,0.308393,0.844713,0.494685,0.629009,0.393956,0.448528,0.401631,0.813767,0.502364,0.675947,0.389957,0.441961,0.404199,0.852208,0.525419,0.761068,0.455574,0.459652,0.338197,0.857817,0.507182,0.740750,0.420477,0.419656,0.332477,0.897898,0.507300,0.682200,0.419852,0.387481,0.318250,0.745037,0.522144,0.636811,0.442322,0.462516,0.438670,0.699078,0.529863,0.606949,0.490756,0.520039,0.493708
3400,0.439017,0.378579,0.380079,0.360180,0.369187,0.248535,0.781583,0.447787,0.675256,0.399895,0.475553,0.302806,0.842663,0.478814,0.748828,0.430226,0.480282,0.311617,0.851982,0.472207,0.725682,0.407773,0.470719,0.329584,0.906090,0.469623,0.726540,0.416467,0.459247,0.305559,0.880035,0.490235,0.659639,0.391970,0.452785,0.395420,0.849688,0.498440,0.712380,0.388182,0.441744,0.394265,0.882892,0.521644,0.804238,0.452846,0.479943,0.335135,0.894090,0.502135,0.782349,0.420690,0.433823,0.326957,0.948056,0.499832,0.719526,0.422145,0.396305,0.307946,0.772932,0.520396,0.666711,0.440802,0.460575,0.429114,0.723723,0.530019,0.624635,0.489032,0.523401,0.489819
3600,0.443732,0.375106,0.390460,0.359047,0.388660,0.240529,0.802259,0.442552,0.710616,0.396624,0.497675,0.299895,0.864496,0.473728,0.788957,0.427743,0.504307,0.310449,0.880377,0.466455,0.763522,0.403930,0.490013,0.326998,0.938919,0.463305,0.766155,0.413093,0.480072,0.303077,0.915543,0.483848,0.691302,0.389919,0.457958,0.389737,0.885368,0.492815,0.749596,0.385857,0.443413,0.384641,0.912038,0.516289,0.849009,0.448688,0.501051,0.331880,0.927244,0.497049,0.825182,0.419304,0.449812,0.322910,1.001566,0.491385,0.759124,0.423199,0.406377,0.298282,0.799505,0.518888,0.697375,0.439445,0.459804,0.419885,0.746551,0.529647,0.642731,0.486701,0.526284,0.484508
3800,0.449569,0.372462,0.401404,0.358473,0.409326,0.234640,0.823937,0.438398,0.746466,0.391209,0.520915,0.296948,0.888915,0.470000,0.830446,0.423865,0.528905,0.308829,0.908830,0.459843,0.801553,0.399053,0.509958,0.324042,0.975065,0.458011,0.806971,0.408325,0.502310,0.301918,0.951438,0.478120,0.724249,0.387746,0.465251,0.384645,0.920258,0.488433,0.787885,0.384152,0.447805,0.377090,0.940428,0.511795,0.895768,0.445187,0.524173,0.330627,0.961740,0.491444,0.870164,0.417214,0.467763,0.319815,1.057412,0.483110,0.800538,0.423433,0.419240,0.290038,0.827275,0.518148,0.729091,0.438106,0.460262,0.410567,0.768239,0.527033,0.661076,0.484396,0.529713,0.479359
