step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498415,0.498719,0.498880,0.498883,0.498260,0.498251,0.500602,0.500460,0.499660,0.499704,0.501143,0.501017,0.500410,0.500100,0.499682,0.499695,0.500508,0.500490,0.500635,0.500272,0.499459,0.499502,0.500001,0.499964,0.500198,0.500044,0.499625,0.499649,0.500082,0.500087,0.500238,0.499959,0.499676,0.499679,0.500111,0.500120,0.499245,0.499103
400,0.493635,0.495756,0.492748,0.493015,0.491390,0.491617,0.502885,0.501043,0.497081,0.497408,0.505936,0.504950,0.505043,0.502106,0.496425,0.496451,0.501054,0.500516,0.505943,0.501690,0.496300,0.496496,0.498672,0.498205,0.502290,0.499773,0.497600,0.497713,0.497417,0.497374,0.501783,0.499108,0.498799,0.498818,0.499137,0.499062,0.497968,0.496829
600,0.487080,0.491725,0.480816,0.481701,0.480402,0.480579,0.508579,0.501629,0.488755,0.489204,0.516823,0.513350,0.513833,0.504141,0.487078,0.486400,0.506016,0.502631,0.516602,0.502684,0.486248,0.486029,0.494369,0.492096,0.510512,0.499273,0.489670,0.489619,0.488343,0.487628,0.507351,0.497101,0.494548,0.494497,0.492980,0.492313,0.498325,0.493260
800,0.479023,0.486042,0.464151,0.464943,0.467694,0.465987,0.517971,0.501523,0.474749,0.474877,0.537218,0.529237,0.527725,0.506553,0.472997,0.470664,0.521910,0.511494,0.534301,0.505186,0.469757,0.467405,0.488158,0.480544,0.525054,0.498652,0.474472,0.473496,0.472690,0.470025,0.519696,0.494497,0.483904,0.482904,0.480285,0.477356,0.503625,0.488658
1000,0.472144,0.480344,0.447855,0.447393,0.461608,0.453102,0.528949,0.501096,0.458146,0.456666,0.563024,0.548215,0.545494,0.510220,0.459239,0.453373,0.545531,0.525755,0.555938,0.506621,0.453621,0.447486,0.485601,0.467773,0.543718,0.499000,0.456061,0.452622,0.459718,0.451844,0.535711,0.491591,0.468901,0.465475,0.467989,0.459708,0.515361,0.484138
1200,0.467009,0.475511,0.434939,0.431900,0.465990,0.444532,0.539767,0.500524,0.446299,0.441232,0.590774,0.567650,0.561495,0.510949,0.450967,0.439293,0.572914,0.542977,0.578367,0.508818,0.442552,0.429124,0.487219,0.455319,0.562541,0.499604,0.443119,0.432924,0.454801,0.435720,0.555195,0.490265,0.454744,0.446324,0.456455,0.441015,0.530644,0.480177
1400,0.462286,0.470258,0.425423,0.418026,0.479486,0.440006,0.550508,0.498513,0.436796,0.425770,0.620530,0.588242,0.579798,0.513528,0.445357,0.425787,0.600953,0.558529,0.601777,0.508624,0.438568,0.412872,0.495778,0.443638,0.582563,0.499938,0.435554,0.415969,0.459995,0.422270,0.577059,0.489093,0.445624,0.428145,0.450555,0.423591,0.547757,0.476487
1600,0.458491,0.465227,0.418955,0.405806,0.497516,0.438038,0.560747,0.496935,0.431927,0.412808,0.650574,0.605909,0.595903,0.513809,0.443805,0.414478,0.629956,0.573958,0.625633,0.509232,0.441944,0.398707,0.508739,0.432508,0.602663,0.498329,0.433748,0.401133,0.470152,0.410719,0.599031,0.488076,0.441985,0.412072,0.450834,0.406857,0.568391,0.472727
1800,0.454824,0.459984,0.414956,0.394648,0.517887,0.438786,0.571918,0.494908,0.430437,0.401461,0.681492,0.623190,0.612367,0.514249,0.445851,0.404687,0.660749,0.590350,0.648298,0.509450,0.449971,0.386260,0.525641,0.422840,0.622833,0.498496,0.438852,0.388352,0.484724,0.401593,0.624176,0.489435,0.444185,0.397952,0.459599,0.392899,0.589051,0.468682
2000,0.451752,0.455306,0.414033,0.385266,0.540591,0.441891,0.583492,0.492850,0.433847,0.390827,0.713714,0.639345,0.628671,0.513936,0.448954,0.395482,0.690455,0.603128,0.672242,0.508220,0.462395,0.377274,0.543864,0.416225,0.644394,0.498844,0.446863,0.377122,0.501086,0.391826,0.647901,0.488547,0.451185,0.385980,0.470661,0.379914,0.610837,0.463920
2200,0.450468,0.451926,0.415986,0.377838,0.563056,0.443502,0.594019,0.491138,0.439642,0.382120,0.745589,0.653750,0.646026,0.514602,0.456557,0.388779,0.720704,0.616171,0.695912,0.506753,0.476972,0.369192,0.565176,0.409782,0.661759,0.497091,0.460698,0.369588,0.521732,0.386152,0.674025,0.488943,0.461720,0.376514,0.486202,0.368398,0.634603,0.459031
2400,0.448593,0.448015,0.419705,0.371180,0.587603,0.447112,0.603573,0.488077,0.448793,0.375146,0.776792,0.665768,0.661701,0.514599,0.466469,0.383975,0.750954,0.627096,0.719651,0.505099,0.493868,0.364295,0.588549,0.405166,0.680818,0.496619,0.474894,0.363063,0.542932,0.381017,0.700051,0.489739,0.474112,0.367962,0.503567,0.359175,0.658732,0.453567
2600,0.447420,0.444493,0.423732,0.365412,0.612334,0.451166,0.614000,0.485789,0.459515,0.369118,0.808513,0.676613,0.675217,0.513547,0.478210,0.379306,0.780143,0.635467,0.744751,0.504018,0.511903,0.361001,0.612352,0.400887,0.700052,0.495995,0.487846,0.356600,0.565682,0.377601,0.726852,0.490190,0.486945,0.361327,0.522377,0.351023,0.682174,0.448816
2800,0.446003,0.440887,0.428674,0.360514,0.636460,0.454811,0.625303,0.483501,0.472070,0.364691,0.839895,0.686695,0.689967,0.513512,0.490048,0.376656,0.809349,0.643979,0.769002,0.502131,0.530381,0.357710,0.635504,0.396525,0.717643,0.495210,0.503231,0.353246,0.588096,0.374786,0.754932,0.491069,0.503710,0.357755,0.542720,0.343889,0.706060,0.443524
3000,0.444817,0.437524,0.434402,0.356661,0.661601,0.458942,0.634816,0.481371,0.484904,0.360425,0.868281,0.691507,0.703506,0.512752,0.503251,0.374653,0.836265,0.649145,0.794336,0.500433,0.550209,0.356430,0.660425,0.393780,0.736134,0.494206,0.519275,0.350585,0.611653,0.373226,0.782146,0.490240,0.520231,0.354676,0.563893,0.339091,0.729359,0.438586
3200,0.443587,0.434019,0.440187,0.352935,0.684962,0.462540,0.644739,0.478810,0.499032,0.357020,0.898737,0.697685,0.716046,0.511912,0.518307,0.373725,0.861692,0.653314,0.818695,0.498617,0.569708,0.355819,0.685040,0.390852,0.753705,0.491819,0.537543,0.350232,0.635003,0.371023,0.808547,0.489976,0.537165,0.353465,0.585896,0.335608,0.754362,0.432945
3400,0.443116,0.431408,0.446204,0.350039,0.708791,0.466303,0.654232,0.477364,0.514372,0.354413,0.928835,0.705225,0.728197,0.510857,0.531259,0.371650,0.886871,0.656527,0.845031,0.496802,0.589640,0.355283,0.709703,0.385769,0.770504,0.489757,0.555015,0.350854,0.658641,0.370176,0.835792,0.489531,0.554523,0.352222,0.607505,0.331638,0.778021,0.427623
3600,0.443099,0.429420,0.451556,0.347552,0.732687,0.469893,0.663553,0.475488,0.529204,0.352822,0.957659,0.710544,0.739585,0.510113,0.545236,0.371264,0.910442,0.657445,0.867526,0.493600,0.609726,0.355823,0.734453,0.382828,0.786196,0.488516,0.572652,0.351061,0.682130,0.369097,0.862753,0.489472,0.572357,0.351808,0.628315,0.328383,0.802291,0.422354
3800,0.441810,0.426412,0.457375,0.345451,0.755909,0.473224,0.671564,0.473236,0.544418,0.351632,0.985423,0.714579,0.749980,0.508485,0.559720,0.371527,0.932873,0.658256,0.891259,0.491785,0.628129,0.356349,0.758643,0.380730,0.801839,0.487657,0.589815,0.352470,0.705440,0.369339,0.888608,0.488061,0.588720,0.352609,0.649645,0.325840,0.826008,0.416962
4000,0.441339,0.424233,0.462625,0.343408,0.777622,0.476043,0.679523,0.471699,0.559056,0.350828,1.012097,0.718539,0.760206,0.506721,0.574204,0.372326,0.954528,0.658842,0.916107,0.490143,0.647676,0.357729,0.781371,0.377968,0.818050,0.487024,0.606052,0.352842,0.727614,0.368595,0.914030,0.488015,0.605696,0.353794,0.670113,0.324307,0.849228,0.411774
4200,0.440621,0.421983,0.467334,0.341517,0.799676,0.479976,0.685486,0.469017,0.572307,0.349416,1.036433,0.720993,0.769235,0.505469,0.587473,0.372581,0.973751,0.657623,0.939094,0.487071,0.666187,0.358685,0.804851,0.375503,0.830752,0.484772,0.622822,0.354305,0.750058,0.368870,0.938161,0.486601,0.622642,0.355456,0.689720,0.321961,0.871020,0.406686
4400,0.439826,0.419979,0.471836,0.339765,0.819114,0.483018,0.692856,0.467551,0.585815,0.348541,1.059177,0.722434,0.780485,0.505526,0.600612,0.373619,0.991503,0.656671,0.962403,0.485071,0.684520,0.359291,0.826130,0.372785,0.842495,0.483066,0.638866,0.355961,0.770315,0.368317,0.961384,0.485754,0.638620,0.356570,0.709303,0.320207,0.893492,0.401714
4600,0.439998,0.418791,0.475465,0.338271,0.837038,0.484809,0.699328,0.466045,0.597583,0.348028,1.081502,0.725408,0.788841,0.504745,0.614129,0.375346,1.008022,0.655348,0.984014,0.483036,0.701918,0.360442,0.846658,0.369675,0.855675,0.482307,0.654449,0.357295,0.791116,0.368495,0.982588,0.483890,0.653983,0.357692,0.728352,0.319796,0.914846,0.397163
4800,0.439139,0.417101,0.478607,0.336753,0.853742,0.486415,0.704913,0.464397,0.609438,0.347830,1.103729,0.727850,0.795079,0.503350,0.626255,0.377117,1.023906,0.654631,1.004118,0.480804,0.718042,0.361226,0.865821,0.367654,0.867815,0.481329,0.668630,0.358354,0.810878,0.369298,1.003521,0.482446,0.668681,0.358932,0.745956,0.318485,0.934295,0.393022
