step,layer,group,nominal_lr,adam_factor_rms,eff_step_rms,n_params
400,1,v_lut,5.000000e-04,2.049734e-01,1.024867e-04,1572864
400,2,norms,1.500000e-04,3.253107e-01,4.879660e-05,512
400,2,out_proj,5.000000e-04,2.033481e-01,1.016740e-04,4194304
400,2,qkv_lut,5.000000e-04,2.165182e-01,1.082591e-04,3538944
400,2,residual_lut,5.000000e-04,2.084720e-01,1.042360e-04,3145728
400,2,temps,1.500000e-04,6.673699e-01,1.001055e-04,8
400,2,v_lut,5.000000e-04,2.048421e-01,1.024210e-04,1572864
400,3,norms,1.500000e-04,2.360907e-01,3.541361e-05,512
400,3,out_proj,5.000000e-04,2.037457e-01,1.018728e-04,4194304
400,3,qkv_lut,5.000000e-04,2.147623e-01,1.073811e-04,3538944
400,3,residual_lut,5.000000e-04,2.098082e-01,1.049041e-04,3145728
400,3,temps,1.500000e-04,4.289245e-01,6.433867e-05,8
400,3,v_lut,5.000000e-04,1.921682e-01,9.608411e-05,1572864
400,4,norms,1.500000e-04,2.107401e-01,3.161101e-05,512
400,4,out_proj,5.000000e-04,1.998195e-01,9.990974e-05,4194304
400,4,qkv_lut,5.000000e-04,2.132629e-01,1.066315e-04,3538944
400,4,residual_lut,5.000000e-04,2.103183e-01,1.051592e-04,3145728
400,4,temps,1.500000e-04,3.755988e-01,5.633982e-05,8
400,4,v_lut,5.000000e-04,1.940663e-01,9.703316e-05,1572864
400,5,norms,1.500000e-04,1.826544e-01,2.739815e-05,512
400,5,out_proj,5.000000e-04,1.908762e-01,9.543809e-05,4194304
400,5,qkv_lut,5.000000e-04,2.220833e-01,1.110416e-04,3538944
400,5,residual_lut,5.000000e-04,2.084879e-01,1.042439e-04,3145728
400,5,temps,1.500000e-04,4.481727e-01,6.722590e-05,8
400,5,v_lut,5.000000e-04,1.968733e-01,9.843663e-05,1572864
600,-1,norms,2.250000e-04,5.337936e-01,1.201036e-04,768
600,-1,tok_emb,2.250000e-04,1.569046e-01,3.530352e-05,2097152
600,-1,unembedder,2.250000e-04,2.935181e-01,6.604158e-05,12582912
600,0,norms,2.250000e-04,3.319526e-01,7.468933e-05,512
600,0,out_proj,7.500000e-04,2.094052e-01,1.570539e-04,4194304
600,0,qkv_lut,7.500000e-04,2.115825e-01,1.586869e-04,3538944
600,0,residual_lut,7.500000e-04,2.108984e-01,1.581738e-04,3145728
600,0,temps,2.250000e-04,6.237856e-01,1.403518e-04,8
600,0,v_lut,7.500000e-04,2.048207e-01,1.536155e-04,1572864
600,1,norms,2.250000e-04,2.683848e-01,6.038659e-05,512
600,1,out_proj,7.500000e-04,2.052004e-01,1.539003e-04,4194304
600,1,qkv_lut,7.500000e-04,2.124444e-01,1.593333e-04,3538944
600,1,residual_lut,7.500000e-04,2.112761e-01,1.584570e-04,3145728
600,1,temps,2.250000e-04,4.632839e-01,1.042389e-04,8
600,1,v_lut,7.500000e-04,1.929955e-01,1.447467e-04,1572864
600,2,norms,2.250000e-04,2.822831e-01,6.351369e-05,512
600,2,out_proj,7.500000e-04,2.080456e-01,1.560342e-04,4194304
600,2,qkv_lut,7.500000e-04,2.154887e-01,1.616165e-04,3538944
600,2,residual_lut,7.500000e-04,2.113679e-01,1.585259e-04,3145728
600,2,temps,2.250000e-04,5.529703e-01,1.244183e-04,8
600,2,v_lut,7.500000e-04,1.950433e-01,1.462825e-04,1572864
600,3,norms,2.250000e-04,2.663712e-01,5.993352e-05,512
600,3,out_proj,7.500000e-04,2.031603e-01,1.523702e-04,4194304
600,3,qkv_lut,7.500000e-04,2.136277e-01,1.602208e-04,3538944
600,3,residual_lut,7.500000e-04,2.117287e-01,1.587965e-04,3145728
600,3,temps,2.250000e-04,4.198412e-01,9.446426e-05,8
600,3,v_lut,7.500000e-04,1.889668e-01,1.417251e-04,1572864
600,4,norms,2.250000e-04,2.230342e-01,5.018270e-05,512
600,4,out_proj,7.500000e-04,2.017602e-01,1.513201e-04,4194304
600,4,qkv_lut,7.500000e-04,2.129596e-01,1.597197e-04,3538944
600,4,residual_lut,7.500000e-04,2.115907e-01,1.586930e-04,3145728
600,4,temps,2.250000e-04,3.405696e-01,7.662815e-05,8
600,4,v_lut,7.500000e-04,1.880317e-01,1.410238e-04,1572864
600,5,norms,2.250000e-04,1.716591e-01,3.862329e-05,512
600,5,out_proj,7.500000e-04,2.082456e-01,1.561842e-04,4194304
600,5,qkv_lut,7.500000e-04,2.262603e-01,1.696952e-04,3538944
600,5,residual_lut,7.500000e-04,2.116521e-01,1.587391e-04,3145728
600,5,temps,2.250000e-04,2.804252e-01,6.309568e-05,8
600,5,v_lut,7.500000e-04,1.934951e-01,1.451213e-04,1572864
800,-1,norms,3.000000e-04,4.798112e-01,1.439434e-04,768
800,-1,tok_emb,3.000000e-04,1.525234e-01,4.575702e-05,2097152
800,-1,unembedder,3.000000e-04,2.588240e-01,7.764721e-05,12582912
800,0,norms,3.000000e-04,3.015908e-01,9.047724e-05,512
800,0,out_proj,1.000000e-03,2.113486e-01,2.113486e-04,4194304
800,0,qkv_lut,1.000000e-03,2.141433e-01,2.141433e-04,3538944
800,0,residual_lut,1.000000e-03,2.158747e-01,2.158747e-04,3145728
800,0,temps,3.000000e-04,6.613491e-01,1.984047e-04,8
800,0,v_lut,1.000000e-03,2.061415e-01,2.061415e-04,1572864
