step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5
5500,4.176194,1.269533,18.143442,19.275812,19.656473,19.655655,19.713070,19.762146,0.925799,0.983510,1.002849,1.002847,1.005773,1.008338,15.665693,19.384150,18.488459,18.879162,20.630489,21.857342,-0.20370896,-0.14912398,-0.10504813,-0.07682194,-0.04704769,0.00655435,1.72162378,1.95334232,2.08095670,2.06787920,2.05110478,2.06883574,1.24303555,1.23998559,1.32355678,1.30349779,1.25672579,1.01891398
6000,4.115452,1.257616,18.070660,19.252388,19.638815,19.625048,19.672216,19.735592,0.922074,0.982299,1.001930,1.001272,1.003676,1.006966,15.343257,19.341019,18.396858,18.818758,20.687275,22.001011,-0.21688521,-0.16345429,-0.11563075,-0.08630886,-0.05549127,0.00452976,1.70913291,1.95394278,2.08156347,2.06213045,2.04128194,2.06590104,1.26150596,1.26463425,1.35326707,1.32415080,1.27166986,1.02105498
6500,4.082561,1.247484,18.016611,19.230122,19.621103,19.594793,19.635820,19.711851,0.919308,0.981144,1.001004,0.999709,1.001810,1.005736,15.060544,19.299772,18.310730,18.772020,20.742802,22.126272,-0.22791524,-0.17663687,-0.12491858,-0.09625264,-0.06282324,0.00292185,1.70035553,1.95356286,2.08168507,2.05712676,2.03267193,2.06378388,1.27773654,1.28643596,1.37925518,1.34453261,1.28375459,1.02238345
7000,4.038106,1.237964,17.972881,19.211565,19.605068,19.569752,19.610838,19.690247,0.917070,0.980186,1.000164,0.998416,1.000524,1.004615,14.816476,19.269321,18.242382,18.733683,20.792229,22.235401,-0.23766187,-0.18819579,-0.13424934,-0.10461255,-0.06826831,0.00134524,1.69369781,1.95464754,2.08129835,2.05334020,2.02742147,2.06212854,1.29235458,1.30714858,1.40468848,1.36142921,1.29463160,1.02367437
7500,4.007644,1.229240,17.951483,19.201202,19.599707,19.553577,19.591444,19.672802,0.915968,0.979647,0.999876,0.997579,0.999516,1.003709,14.612190,19.233496,18.179951,18.698990,20.844378,22.334070,-0.24511948,-0.19847123,-0.14093246,-0.11202301,-0.07306285,0.00007477,1.69160020,1.95870745,2.08499289,2.05188179,2.02419806,2.06195855,1.30563247,1.32611990,1.42391062,1.37438595,1.30300522,1.02460074
8000,3.970836,1.221906,17.933683,19.198290,19.594254,19.541027,19.570539,19.662518,0.915052,0.979485,0.999588,0.996928,0.998446,1.003170,14.439827,19.202768,18.124994,18.678347,20.892332,22.427958,-0.25203487,-0.20745280,-0.14786023,-0.11839760,-0.07843080,-0.00039702,1.69051087,1.96546710,2.08779621,2.05195117,2.02014780,2.06280208,1.31724334,1.34255958,1.44286263,1.38692510,1.31198287,1.02507734
8500,3.939182,1.215171,17.933628,19.198952,19.598663,19.534044,19.564339,19.654575,0.915045,0.979507,0.999797,0.996560,0.998123,1.002751,14.300954,19.175043,18.083290,18.663389,20.936779,22.507088,-0.25623459,-0.21513845,-0.15303352,-0.12413690,-0.08164740,-0.00083358,1.69324064,1.97277951,2.09535503,2.05329537,2.02064514,2.06427121,1.32552946,1.35858250,1.45849395,1.39744473,1.31868064,1.02583611
9000,3.928342,1.209552,17.940403,19.206852,19.606377,19.536814,19.560825,19.650043,0.915388,0.979904,1.000179,0.996696,0.997937,1.002509,14.183231,19.150791,18.053429,18.650612,20.978609,22.583502,-0.25939238,-0.22106619,-0.15716362,-0.12793460,-0.08422597,-0.00112438,1.69773698,1.98240471,2.10412645,2.05857992,2.02192807,2.06653595,1.33252466,1.37031686,1.47216654,1.40592229,1.32455015,1.02649641
9500,3.888208,1.203382,17.948965,19.210823,19.612305,19.536890,19.560219,19.650612,0.915821,0.980097,1.000470,0.996688,0.997901,1.002530,14.093423,19.128088,18.027275,18.644720,21.020845,22.658344,-0.26231760,-0.22726047,-0.16156100,-0.13193344,-0.08668964,-0.00069593,1.70244944,1.99083257,2.11237383,2.06301713,2.02369475,2.06974649,1.33859646,1.38351417,1.48406148,1.41459143,1.33049774,1.02716184
10000,3.870681,1.198234,17.970221,19.224205,19.623297,19.540428,19.562302,19.653292,0.916905,0.980774,1.001022,0.996864,0.998002,1.002661,14.021885,19.108841,18.005173,18.644215,21.061098,22.724171,-0.26336500,-0.23149075,-0.16498792,-0.13514088,-0.08884082,0.00004011,1.71057081,2.00233603,2.12280750,2.06803894,2.02654696,2.07367563,1.34170854,1.39308751,1.49664998,1.42199314,1.33662045,1.02824140
10500,3.877730,1.193887,17.982567,19.236101,19.633558,19.549965,19.569996,19.657398,0.917535,0.981378,1.001539,0.997346,0.998392,1.002864,13.965697,19.092056,17.990574,18.646400,21.098385,22.785448,-0.26521650,-0.23619656,-0.16819197,-0.13722551,-0.09002036,0.00060380,1.71680033,2.01278925,2.13255048,2.07554078,2.03130078,2.07847333,1.34693408,1.40396714,1.50711226,1.42963731,1.34175467,1.02880490
11000,3.819312,1.190373,18.008633,19.248005,19.644913,19.558859,19.575500,19.659687,0.918863,0.981980,1.002115,0.997797,0.998670,1.002975,13.930317,19.079229,17.978270,18.651224,21.132963,22.839716,-0.26490691,-0.24001099,-0.17112671,-0.13947701,-0.09136455,0.00096027,1.72653973,2.02347183,2.14240861,2.08225060,2.03566456,2.08220458,1.34904206,1.41303921,1.51763582,1.43677664,1.34711218,1.03043926
11500,3.807342,1.186396,18.031128,19.263342,19.658752,19.568384,19.581038,19.663357,0.920011,0.982760,1.002815,0.998279,0.998948,1.003157,13.904662,19.066666,17.972486,18.655951,21.163536,22.890570,-0.26485035,-0.24252224,-0.17251742,-0.14125967,-0.09255670,0.00154852,1.73507118,2.03509974,2.15337205,2.08870316,2.03978658,2.08628392,1.35105777,1.42053485,1.52683878,1.44327295,1.35233855,1.03184998
12000,3.799495,1.183148,18.053383,19.271973,19.669134,19.575052,19.587204,19.666756,0.921144,0.983198,1.003345,0.998619,0.999262,1.003326,13.887486,19.057861,17.969454,18.665785,21.193323,22.933926,-0.26432037,-0.24544549,-0.17459905,-0.14344965,-0.09352382,0.00193772,1.74350321,2.04321361,2.16163540,2.09344888,2.04346490,2.08983207,1.35253286,1.42888045,1.53566360,1.45049191,1.35717571,1.03351867
12500,3.775637,1.180638,18.075369,19.284552,19.678661,19.583609,19.595444,19.672045,0.922265,0.983838,1.003828,0.999054,0.999680,1.003595,13.875624,19.050354,17.969324,18.672771,21.220144,22.971037,-0.26348931,-0.24754348,-0.17609867,-0.14447567,-0.09398201,0.00248019,1.75188255,2.05249238,2.16861224,2.09951806,2.04798341,2.09376764,1.35327888,1.43571270,1.54364240,1.45568538,1.36146200,1.03497458
13000,3.759163,1.177575,18.097698,19.297272,19.690216,19.591221,19.603933,19.675055,0.923403,0.984486,1.004415,0.999440,1.000114,1.003744,13.871493,19.044893,17.968206,18.680384,21.243753,23.001328,-0.26225102,-0.24883141,-0.17696051,-0.14535828,-0.09403517,0.00264080,1.76088834,2.06150246,2.17683768,2.10488415,2.05235791,2.09683084,1.35353267,1.44150937,1.55062413,1.46021736,1.36518705,1.03659832
13500,3.754574,1.175351,18.116346,19.308384,19.699726,19.599583,19.609350,19.680021,0.924355,0.985051,1.004899,0.999866,1.000390,1.003996,13.870114,19.039322,17.968224,18.689585,21.264246,23.027800,-0.26139364,-0.24968588,-0.17779446,-0.14595440,-0.09447102,0.00318306,1.76819360,2.06991529,2.18376160,2.11017466,2.05580831,2.10029769,1.35432434,1.44697881,1.55708563,1.46462929,1.36889803,1.03795040
14000,3.733354,1.173328,18.134544,19.315687,19.708885,19.606991,19.617609,19.683744,0.925283,0.985422,1.005366,1.000244,1.000811,1.004183,13.870424,19.033895,17.971008,18.696646,21.284103,23.051310,-0.26034948,-0.25097224,-0.17823814,-0.14653426,-0.09441759,0.00357731,1.77555406,2.07588983,2.19009590,2.11473393,2.05990839,2.10363030,1.35482311,1.45228279,1.56207883,1.46867490,1.37170517,1.03933132
14500,3.717177,1.171909,18.150835,19.326143,19.717260,19.615139,19.625307,19.688475,0.926114,0.985955,1.005792,1.000658,1.001204,1.004424,13.872371,19.029800,17.971956,18.704067,21.299919,23.072859,-0.25943676,-0.25122458,-0.17863625,-0.14675915,-0.09435797,0.00401054,1.78196466,2.08325243,2.19607568,2.11922503,2.06357074,2.10674572,1.35547996,1.45611596,1.56691158,1.47200632,1.37455952,1.04053354
15000,3.720125,1.170514,18.167135,19.335752,19.725355,19.621902,19.631424,19.693560,0.926946,0.986444,1.006205,1.001002,1.001514,1.004683,13.874866,19.026386,17.974144,18.710766,21.314669,23.090765,-0.25821349,-0.25163522,-0.17900686,-0.14711381,-0.09437548,0.00460673,1.78832293,2.08983994,2.20223761,2.12349296,2.06691456,2.10985374,1.35525131,1.46044409,1.57170212,1.47530746,1.37758493,1.04175675
15500,3.709723,1.169626,18.182703,19.345358,19.733112,19.627354,19.636475,19.697474,0.927741,0.986934,1.006599,1.001280,1.001772,1.004883,13.877774,19.024019,17.975632,18.716633,21.328924,23.110846,-0.25695097,-0.25174728,-0.17921424,-0.14753973,-0.09447594,0.00495364,1.79483020,2.09618688,2.20810270,2.12731314,2.06994605,2.11248803,1.35527992,1.46355295,1.57594395,1.47902381,1.38034356,1.04283309
16000,3.703366,1.169344,18.196442,19.353262,19.740696,19.635096,19.642796,19.701385,0.928441,0.987336,1.006985,1.001675,1.002095,1.005081,13.881789,19.021454,17.977932,18.723011,21.342676,23.128853,-0.25603136,-0.25233549,-0.17939690,-0.14754498,-0.09437764,0.00542102,1.80067861,2.10167193,2.21404123,2.13203406,2.07332635,2.11538649,1.35563469,1.46756947,1.58027291,1.48225415,1.38301456,1.04382288
