step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.00125,9.224755,0.001819,0.001819,0.000258,0.000241,0.000279,0.000324,0.000339,0.000377,2.582582,2.629207
400,0.00250,7.526240,0.000619,0.000618,0.000064,0.000068,0.000085,0.000110,0.000153,0.000138,2.137456,2.179036
600,0.00375,6.653812,0.000624,0.000624,0.000068,0.000068,0.000078,0.000095,0.000127,0.000187,1.976594,2.022555
800,0.00500,6.232065,0.000880,0.000880,0.000102,0.000089,0.000102,0.000119,0.000142,0.000327,1.878803,1.920319
1000,0.00625,5.928447,0.001262,0.001262,0.000142,0.000123,0.000142,0.000165,0.000193,0.000497,1.801914,1.838404
1200,0.00750,5.685169,0.001833,0.001833,0.000201,0.000182,0.000213,0.000239,0.000277,0.000722,1.736948,1.775140
1400,0.00875,5.486309,0.002690,0.002689,0.000286,0.000279,0.000327,0.000356,0.000404,0.001037,1.682776,1.722810
1600,0.01000,5.323602,0.003935,0.003933,0.000410,0.000426,0.000499,0.000531,0.000595,0.001475,1.633616,1.677034
1800,0.01125,5.141109,0.005511,0.005511,0.000553,0.000594,0.000732,0.000755,0.000847,0.002030,1.580425,1.630160
2000,0.01250,4.956782,0.007190,0.007190,0.000674,0.000745,0.000998,0.001001,0.001143,0.002630,1.525829,1.580225
2200,0.01375,4.802061,0.008941,0.008942,0.000792,0.000890,0.001283,0.001265,0.001465,0.003246,1.485541,1.542557
2400,0.01500,4.686965,0.010749,0.010748,0.000902,0.001031,0.001562,0.001539,0.001817,0.003899,1.454002,1.513482
2600,0.01625,4.587986,0.012806,0.012806,0.001042,0.001194,0.001881,0.001865,0.002223,0.004601,1.429328,1.494180
2800,0.01750,4.515331,0.014925,0.014923,0.001171,0.001340,0.002216,0.002200,0.002665,0.005331,1.409581,1.478192
3000,0.01875,4.459444,0.017110,0.017113,0.001301,0.001498,0.002567,0.002544,0.003120,0.006081,1.391229,1.462264
3200,0.02000,4.420806,0.019402,0.019400,0.001437,0.001657,0.002921,0.002916,0.003596,0.006874,1.376385,1.450488
3400,0.02125,4.368343,0.021797,0.021795,0.001573,0.001810,0.003294,0.003307,0.004112,0.007701,1.365519,1.442397
3600,0.02250,4.324503,0.024237,0.024234,0.001708,0.001984,0.003672,0.003706,0.004633,0.008534,1.352830,1.432912
3800,0.02375,4.308094,0.026677,0.026679,0.001847,0.002138,0.004056,0.004103,0.005156,0.009377,1.345052,1.425368
4000,0.02500,4.273121,0.029065,0.029063,0.001963,0.002281,0.004405,0.004478,0.005686,0.010252,1.336384,1.421003
4200,0.02625,4.235346,0.031669,0.031663,0.002104,0.002458,0.004799,0.004923,0.006251,0.011135,1.328353,1.414589
4400,0.02750,4.213819,0.034075,0.034088,0.002228,0.002610,0.005163,0.005305,0.006788,0.011982,1.320328,1.407836
4600,0.02875,4.201206,0.036489,0.036490,0.002349,0.002754,0.005512,0.005700,0.007288,0.012886,1.313667,1.403773
4800,0.03000,4.174513,0.038851,0.038838,0.002467,0.002905,0.005872,0.006093,0.007840,0.013675,1.307787,1.401546
5000,0.03125,4.161584,0.041190,0.041190,0.002571,0.003042,0.006195,0.006484,0.008373,0.014525,1.303454,1.398081
5200,0.03250,4.151715,0.043313,0.043302,0.002670,0.003157,0.006514,0.006834,0.008867,0.015270,1.297296,1.393373
5400,0.03375,4.151274,0.045423,0.045403,0.002762,0.003281,0.006805,0.007153,0.009320,0.016101,1.291147,1.389647
5600,0.03500,4.111595,0.047432,0.047431,0.002853,0.003402,0.007072,0.007470,0.009801,0.016834,1.287741,1.388202
5800,0.03625,4.087988,0.049306,0.049300,0.002939,0.003517,0.007312,0.007787,0.010206,0.017546,1.282762,1.383745
6000,0.03750,4.077598,0.051251,0.051243,0.003021,0.003622,0.007598,0.008093,0.010634,0.018283,1.278850,1.383980
6200,0.03875,4.065674,0.052849,0.052831,0.003093,0.003722,0.007780,0.008325,0.011060,0.018869,1.275743,1.380816
6400,0.04000,4.049450,0.054376,0.054389,0.003151,0.003791,0.007993,0.008604,0.011391,0.019446,1.272253,1.378462
6600,0.04125,4.037037,0.055823,0.055829,0.003219,0.003890,0.008182,0.008814,0.011704,0.020014,1.268511,1.378063
6800,0.04250,4.039042,0.057178,0.057169,0.003279,0.003960,0.008361,0.009029,0.012014,0.020536,1.264806,1.375352
7000,0.04375,4.010730,0.058408,0.058394,0.003312,0.004007,0.008482,0.009232,0.012313,0.021062,1.261849,1.373816
7200,0.04500,3.988357,0.059406,0.059410,0.003345,0.004070,0.008569,0.009373,0.012552,0.021497,1.258977,1.371731
7400,0.04625,3.991536,0.060232,0.060236,0.003372,0.004103,0.008664,0.009509,0.012774,0.021810,1.256435,1.370926
7600,0.04750,3.975329,0.061155,0.061154,0.003394,0.004159,0.008781,0.009647,0.012978,0.022196,1.253577,1.371775
7800,0.04875,3.958475,0.061734,0.061761,0.003405,0.004162,0.008864,0.009716,0.013109,0.022479,1.251308,1.371963
8000,0.05000,3.951304,0.062457,0.062482,0.003430,0.004217,0.008945,0.009835,0.013276,0.022755,1.248887,1.369962
8200,0.05125,3.948395,0.063074,0.063058,0.003430,0.004234,0.009024,0.009925,0.013425,0.023036,1.245003,1.366518
8400,0.05250,3.935776,0.063344,0.063342,0.003422,0.004256,0.009023,0.009962,0.013506,0.023175,1.243185,1.367688
8600,0.05375,3.922253,0.063767,0.063751,0.003423,0.004255,0.009065,0.010012,0.013589,0.023422,1.241279,1.366193
8800,0.05500,3.912513,0.063941,0.063969,0.003402,0.004265,0.009031,0.010055,0.013652,0.023537,1.238890,1.365215
9000,0.05625,3.918974,0.064180,0.064189,0.003395,0.004273,0.009061,0.010095,0.013684,0.023672,1.237578,1.363435
9200,0.05750,3.903060,0.064119,0.064111,0.003371,0.004256,0.009043,0.010079,0.013710,0.023660,1.235775,1.365083
9400,0.05875,3.888114,0.064269,0.064261,0.003353,0.004269,0.009035,0.010087,0.013746,0.023778,1.233494,1.363681
9600,0.06000,3.885482,0.064078,0.064072,0.003334,0.004237,0.009000,0.010018,0.013707,0.023783,1.231604,1.362848
9800,0.06125,3.888962,0.063951,0.063950,0.003298,0.004182,0.008969,0.010014,0.013681,0.023806,1.228319,1.361239
10000,0.06250,3.868534,0.063845,0.063841,0.003285,0.004196,0.008929,0.010007,0.013685,0.023743,1.226452,1.359351
10200,0.06375,3.865588,0.063549,0.063554,0.003240,0.004158,0.008867,0.009959,0.013631,0.023694,1.224714,1.359935
10400,0.06500,3.878503,0.063248,0.063284,0.003205,0.004124,0.008786,0.009896,0.013555,0.023683,1.223373,1.359979
10600,0.06625,3.881266,0.062922,0.062956,0.003157,0.004089,0.008721,0.009850,0.013504,0.023602,1.220629,1.360068
10800,0.06750,3.849541,0.062517,0.062501,0.003119,0.004068,0.008674,0.009752,0.013431,0.023472,1.219772,1.359235
11000,0.06875,3.825955,0.062199,0.062209,0.003085,0.004048,0.008585,0.009702,0.013376,0.023403,1.218233,1.359999
11200,0.07000,3.831892,0.061890,0.061904,0.003047,0.003994,0.008518,0.009674,0.013298,0.023360,1.216686,1.357947
11400,0.07125,3.832265,0.061427,0.061440,0.003022,0.003980,0.008434,0.009563,0.013222,0.023205,1.214681,1.357768
11600,0.07250,3.818964,0.060959,0.060957,0.002974,0.003931,0.008363,0.009507,0.013133,0.023051,1.213545,1.357947
11800,0.07375,3.816761,0.060502,0.060500,0.002938,0.003895,0.008273,0.009425,0.013043,0.022929,1.212392,1.357263
12000,0.07500,3.812585,0.059987,0.059989,0.002895,0.003857,0.008195,0.009347,0.012932,0.022760,1.210634,1.357196
12200,0.07625,3.797016,0.059597,0.059605,0.002863,0.003820,0.008115,0.009289,0.012856,0.022654,1.209649,1.358289
12400,0.07750,3.790050,0.059051,0.059057,0.002821,0.003784,0.008016,0.009214,0.012740,0.022477,1.208599,1.357304
12600,0.07875,3.787544,0.058672,0.058686,0.002794,0.003752,0.007949,0.009120,0.012675,0.022382,1.207593,1.356226
12800,0.08000,3.780403,0.058243,0.058242,0.002750,0.003717,0.007866,0.009067,0.012600,0.022243,1.206560,1.357712
13000,0.08125,3.776961,0.057687,0.057676,0.002727,0.003677,0.007799,0.008970,0.012475,0.022039,1.205871,1.356172
13200,0.08250,3.768777,0.057311,0.057304,0.002698,0.003649,0.007753,0.008908,0.012373,0.021930,1.204561,1.356329
13400,0.08375,3.774104,0.056951,0.056933,0.002667,0.003602,0.007687,0.008829,0.012310,0.021857,1.203292,1.356834
13600,0.08500,3.765766,0.056447,0.056434,0.002629,0.003568,0.007597,0.008759,0.012207,0.021686,1.202915,1.356338
13800,0.08625,3.756317,0.056048,0.056040,0.002595,0.003535,0.007537,0.008674,0.012117,0.021591,1.201636,1.356404
14000,0.08750,3.756635,0.055688,0.055669,0.002571,0.003518,0.007476,0.008640,0.012053,0.021430,1.201228,1.357912
14200,0.08875,3.762083,0.055329,0.055328,0.002552,0.003486,0.007419,0.008585,0.011959,0.021328,1.200519,1.356775
14400,0.09000,3.751289,0.054857,0.054849,0.002517,0.003449,0.007367,0.008512,0.011877,0.021136,1.199738,1.356379
14600,0.09125,3.740126,0.054551,0.054546,0.002489,0.003426,0.007310,0.008449,0.011809,0.021069,1.199665,1.357003
14800,0.09250,3.743274,0.054164,0.054158,0.002470,0.003403,0.007242,0.008369,0.011725,0.020955,1.198642,1.356503
15000,0.09375,3.748263,0.053903,0.053897,0.002447,0.003362,0.007211,0.008336,0.011660,0.020886,1.198050,1.357268
15200,0.09500,3.735269,0.053566,0.053564,0.002426,0.003369,0.007167,0.008283,0.011583,0.020738,1.197592,1.355956
15400,0.09625,3.744939,0.053282,0.053288,0.002413,0.003338,0.007119,0.008244,0.011518,0.020651,1.197415,1.356800
15600,0.09750,3.769017,0.053001,0.053004,0.002395,0.003305,0.007063,0.008184,0.011450,0.020605,1.196801,1.357200
15800,0.09875,3.755919,0.052719,0.052708,0.002376,0.003283,0.007010,0.008155,0.011411,0.020484,1.196890,1.357676
16000,0.10000,3.735297,0.052388,0.052394,0.002355,0.003272,0.007000,0.008087,0.011335,0.020337,1.196348,1.357809
