step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,0.01250,9.224753,0.001815,0.001815,0.000258,0.000241,0.000278,0.000323,0.000338,0.000376,2.582584,2.628477
400,0.02500,7.526228,0.000614,0.000614,0.000063,0.000068,0.000084,0.000110,0.000152,0.000137,2.137454,2.178364
600,0.03750,6.653585,0.000616,0.000616,0.000067,0.000067,0.000077,0.000094,0.000126,0.000185,1.976476,2.021635
800,0.05000,6.231632,0.000865,0.000865,0.000099,0.000087,0.000100,0.000117,0.000140,0.000323,1.878756,1.919349
1000,0.06250,5.928176,0.001235,0.001235,0.000137,0.000119,0.000139,0.000161,0.000190,0.000488,1.801837,1.837512
1200,0.07500,5.684916,0.001787,0.001787,0.000194,0.000177,0.000207,0.000233,0.000271,0.000705,1.736950,1.774267
1400,0.08750,5.486093,0.002614,0.002614,0.000276,0.000272,0.000318,0.000346,0.000394,0.001007,1.682637,1.721626
1600,0.10000,5.323356,0.003807,0.003807,0.000396,0.000414,0.000483,0.000514,0.000578,0.001423,1.633511,1.676039
1800,0.11250,5.140391,0.005313,0.005313,0.000536,0.000577,0.000707,0.000728,0.000819,0.001946,1.580206,1.628149
2000,0.12500,4.955700,0.006891,0.006891,0.000650,0.000720,0.000960,0.000961,0.001101,0.002500,1.525431,1.578542
2200,0.13750,4.801219,0.008511,0.008511,0.000763,0.000856,0.001227,0.001209,0.001402,0.003054,1.485085,1.540700
2400,0.15000,4.686491,0.010147,0.010147,0.000865,0.000988,0.001483,0.001462,0.001724,0.003625,1.453944,1.511682
2600,0.16250,4.587691,0.011972,0.011972,0.000996,0.001136,0.001774,0.001756,0.002088,0.004221,1.429261,1.492897
2800,0.17500,4.515082,0.013816,0.013816,0.001113,0.001274,0.002074,0.002054,0.002477,0.004823,1.409705,1.476798
3000,0.18750,4.459329,0.015645,0.015645,0.001224,0.001409,0.002380,0.002351,0.002867,0.005414,1.391185,1.460968
3200,0.20000,4.420785,0.017499,0.017499,0.001344,0.001549,0.002681,0.002663,0.003257,0.006006,1.376374,1.448465
3400,0.21250,4.368406,0.019353,0.019353,0.001457,0.001680,0.002977,0.002977,0.003668,0.006594,1.365659,1.440588
3600,0.22500,4.324623,0.021190,0.021190,0.001570,0.001827,0.003280,0.003292,0.004063,0.007157,1.353030,1.430869
3800,0.23750,4.308284,0.022918,0.022918,0.001684,0.001946,0.003572,0.003587,0.004446,0.007683,1.344957,1.423574
4000,0.25000,4.273317,0.024473,0.024473,0.001768,0.002046,0.003816,0.003848,0.004803,0.008190,1.336388,1.417964
4200,0.26250,4.235565,0.026152,0.026152,0.001872,0.002179,0.004088,0.004152,0.005181,0.008680,1.328397,1.411924
4400,0.27500,4.214187,0.027590,0.027590,0.001962,0.002288,0.004326,0.004401,0.005509,0.009104,1.320593,1.405386
4600,0.28750,4.201768,0.028910,0.028910,0.002047,0.002381,0.004538,0.004635,0.005784,0.009525,1.314055,1.401238
4800,0.30000,4.175047,0.030098,0.030098,0.002119,0.002475,0.004743,0.004851,0.006080,0.009830,1.308091,1.397790
5000,0.31250,4.162291,0.031238,0.031238,0.002184,0.002560,0.004913,0.005065,0.006348,0.010168,1.303275,1.395251
5200,0.32500,4.152700,0.032093,0.032093,0.002237,0.002617,0.005062,0.005227,0.006567,0.010384,1.297125,1.389442
5400,0.33750,4.152166,0.032860,0.032860,0.002277,0.002675,0.005182,0.005359,0.006736,0.010631,1.291518,1.385606
5600,0.35000,4.112525,0.033549,0.033549,0.002318,0.002734,0.005283,0.005480,0.006912,0.010823,1.287716,1.384494
5800,0.36250,4.089131,0.034085,0.034085,0.002356,0.002789,0.005355,0.005593,0.007031,0.010961,1.283380,1.380747
6000,0.37500,4.078662,0.034621,0.034621,0.002387,0.002821,0.005459,0.005689,0.007154,0.011112,1.279540,1.380731
6200,0.38750,4.066611,0.034814,0.034814,0.002399,0.002844,0.005471,0.005711,0.007251,0.011137,1.276267,1.377174
6400,0.40000,4.050572,0.035102,0.035102,0.002418,0.002863,0.005519,0.005797,0.007304,0.011201,1.272487,1.372870
6600,0.41250,4.038355,0.035238,0.035238,0.002432,0.002894,0.005546,0.005821,0.007333,0.011211,1.268764,1.373632
6800,0.42500,4.040397,0.035276,0.035276,0.002444,0.002898,0.005554,0.005834,0.007356,0.011191,1.265570,1.369950
7000,0.43750,4.012369,0.035282,0.035282,0.002434,0.002892,0.005536,0.005855,0.007377,0.011187,1.262602,1.369735
7200,0.45000,3.989901,0.035136,0.035136,0.002426,0.002886,0.005494,0.005831,0.007355,0.011144,1.259709,1.367119
7400,0.46250,3.993143,0.034903,0.034903,0.002410,0.002865,0.005450,0.005804,0.007338,0.011035,1.256443,1.364046
7600,0.47500,3.976719,0.034703,0.034703,0.002394,0.002858,0.005420,0.005771,0.007284,0.010976,1.254376,1.365455
7800,0.48750,3.960168,0.034402,0.034402,0.002370,0.002825,0.005387,0.005718,0.007222,0.010881,1.251443,1.365986
8000,0.50000,3.953264,0.034231,0.034231,0.002361,0.002828,0.005359,0.005700,0.007194,0.010788,1.248718,1.362926
8200,0.51250,3.950181,0.033916,0.033916,0.002326,0.002797,0.005312,0.005641,0.007137,0.010701,1.245437,1.360113
8400,0.52500,3.937733,0.033487,0.033487,0.002296,0.002770,0.005231,0.005577,0.007049,0.010564,1.243467,1.360648
8600,0.53750,3.923945,0.033099,0.033099,0.002265,0.002735,0.005179,0.005506,0.006960,0.010454,1.241904,1.360339
8800,0.55000,3.914430,0.032691,0.032691,0.002231,0.002713,0.005087,0.005457,0.006877,0.010325,1.239597,1.358853
9000,0.56250,3.920887,0.032324,0.032324,0.002204,0.002687,0.005040,0.005397,0.006796,0.010200,1.237920,1.356883
9200,0.57500,3.904998,0.031793,0.031793,0.002160,0.002638,0.004957,0.005311,0.006702,0.010026,1.235739,1.358042
9400,0.58750,3.889804,0.031369,0.031369,0.002125,0.002609,0.004882,0.005236,0.006614,0.009902,1.234313,1.356138
9600,0.60000,3.887308,0.030843,0.030843,0.002089,0.002567,0.004803,0.005138,0.006498,0.009748,1.232239,1.356180
9800,0.61250,3.890941,0.030343,0.030343,0.002046,0.002508,0.004730,0.005070,0.006390,0.009599,1.228519,1.354161
10000,0.62500,3.870449,0.029901,0.029901,0.002018,0.002492,0.004653,0.004996,0.006311,0.009431,1.226860,1.352667
10200,0.63750,3.867540,0.029379,0.029379,0.001969,0.002439,0.004566,0.004913,0.006200,0.009291,1.225095,1.352725
10400,0.65000,3.880475,0.028928,0.028928,0.001938,0.002404,0.004484,0.004829,0.006093,0.009179,1.223488,1.353822
10600,0.66250,3.882901,0.028411,0.028411,0.001892,0.002357,0.004399,0.004749,0.005991,0.009024,1.220991,1.351603
10800,0.67500,3.851316,0.027895,0.027895,0.001847,0.002319,0.004331,0.004649,0.005893,0.008855,1.219904,1.352417
11000,0.68750,3.827586,0.027452,0.027452,0.001814,0.002288,0.004243,0.004577,0.005801,0.008728,1.217615,1.351603
11200,0.70000,3.833368,0.027020,0.027020,0.001778,0.002233,0.004172,0.004518,0.005706,0.008612,1.216961,1.349935
11400,0.71250,3.833579,0.026530,0.026530,0.001748,0.002206,0.004091,0.004419,0.005614,0.008452,1.215356,1.349646
11600,0.72500,3.820256,0.026055,0.026055,0.001706,0.002160,0.004018,0.004350,0.005516,0.008305,1.214015,1.350365
11800,0.73750,3.817917,0.025570,0.025570,0.001670,0.002122,0.003939,0.004269,0.005413,0.008157,1.213335,1.349593
12000,0.75000,3.813833,0.025100,0.025100,0.001634,0.002081,0.003862,0.004195,0.005317,0.008011,1.210644,1.348790
12200,0.76250,3.798251,0.024736,0.024736,0.001604,0.002052,0.003796,0.004134,0.005238,0.007912,1.209585,1.349899
12400,0.77500,3.790947,0.024243,0.024243,0.001568,0.002007,0.003713,0.004057,0.005136,0.007762,1.208719,1.348395
12600,0.78750,3.788498,0.023868,0.023868,0.001540,0.001974,0.003653,0.003981,0.005064,0.007655,1.207698,1.347732
12800,0.80000,3.781221,0.023457,0.023457,0.001507,0.001937,0.003583,0.003918,0.004979,0.007533,1.206218,1.348472
13000,0.81250,3.777838,0.023039,0.023039,0.001478,0.001902,0.003524,0.003844,0.004892,0.007399,1.205955,1.347028
13200,0.82500,3.769546,0.022699,0.022699,0.001453,0.001876,0.003474,0.003785,0.004810,0.007301,1.204592,1.346666
13400,0.83750,3.774741,0.022367,0.022367,0.001430,0.001839,0.003421,0.003720,0.004750,0.007207,1.203296,1.348066
13600,0.85000,3.766336,0.022001,0.022001,0.001398,0.001807,0.003355,0.003667,0.004675,0.007099,1.202905,1.347223
13800,0.86250,3.756780,0.021680,0.021680,0.001373,0.001777,0.003310,0.003601,0.004606,0.007013,1.201552,1.346646
14000,0.87500,3.756969,0.021373,0.021373,0.001350,0.001755,0.003258,0.003562,0.004543,0.006906,1.201116,1.347986
14200,0.88750,3.762488,0.021098,0.021098,0.001336,0.001730,0.003212,0.003518,0.004478,0.006824,1.200211,1.347588
14400,0.90000,3.751645,0.020765,0.020765,0.001307,0.001700,0.003164,0.003458,0.004416,0.006719,1.199596,1.346664
14600,0.91250,3.740182,0.020503,0.020503,0.001287,0.001678,0.003122,0.003412,0.004360,0.006643,1.198897,1.348141
14800,0.92500,3.743416,0.020216,0.020216,0.001268,0.001654,0.003073,0.003356,0.004298,0.006567,1.198669,1.347268
15000,0.93750,3.748482,0.019988,0.019988,0.001251,0.001627,0.003041,0.003324,0.004248,0.006497,1.197598,1.348203
15200,0.95000,3.735538,0.019751,0.019751,0.001235,0.001623,0.003008,0.003285,0.004196,0.006404,1.197169,1.347188
15400,0.96250,3.745260,0.019533,0.019533,0.001221,0.001600,0.002973,0.003250,0.004146,0.006343,1.197052,1.346770
15600,0.97500,3.769409,0.019326,0.019326,0.001209,0.001577,0.002935,0.003210,0.004099,0.006296,1.196590,1.347738
15800,0.98750,3.755931,0.019116,0.019116,0.001193,0.001559,0.002897,0.003178,0.004062,0.006228,1.196713,1.348521
16000,1.00000,3.735373,0.018892,0.018892,0.001177,0.001543,0.002879,0.003134,0.004015,0.006144,1.195937,1.348520
