step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
2400,0.320562,0.314264,0.429232,0.432100,0.345605,0.316783,0.153688,0.675649,0.459174,0.450591,0.444430,0.432118,0.428141,0.128693,0.549101,0.475258,0.452178,0.446513,0.442839,0.430857,0.123661,0.554866,0.536103,0.482977,0.478098,0.489568,0.484771,0.107105,0.504981,0.495832,0.521655,0.518729,0.514549,0.510377,0.105337,0.506586,0.500319,0.518678,0.517932,0.519712,0.510874,0.101669
2600,0.313981,0.305932,0.416017,0.419015,0.350270,0.308586,0.160294,0.700786,0.458276,0.447285,0.440124,0.426939,0.421649,0.132667,0.557302,0.474141,0.448155,0.442083,0.439222,0.425344,0.126705,0.561172,0.539937,0.481221,0.476100,0.489147,0.483756,0.107459,0.505216,0.495965,0.523746,0.520531,0.516440,0.511844,0.105621,0.508274,0.502159,0.522408,0.521632,0.523891,0.514209,0.101464
2800,0.308258,0.298501,0.402175,0.405228,0.357547,0.302464,0.167319,0.726391,0.454697,0.444443,0.435660,0.421263,0.414504,0.136930,0.562485,0.470770,0.444399,0.437671,0.435715,0.419767,0.130266,0.563727,0.540715,0.479033,0.473693,0.488635,0.482762,0.107754,0.504964,0.495129,0.525912,0.522541,0.518423,0.513381,0.106006,0.509161,0.503341,0.524670,0.523848,0.526660,0.516217,0.101299
3000,0.304325,0.292860,0.389698,0.392839,0.366314,0.298333,0.174029,0.751264,0.452667,0.442043,0.431713,0.417771,0.409256,0.140880,0.572329,0.470330,0.441232,0.433810,0.433272,0.415210,0.133976,0.565565,0.541226,0.476436,0.470818,0.488157,0.481867,0.108074,0.503902,0.493666,0.528421,0.524595,0.520228,0.514673,0.106114,0.509846,0.504132,0.527342,0.526550,0.529857,0.518145,0.100986
3200,0.301441,0.288108,0.377081,0.380281,0.375360,0.295415,0.180886,0.774324,0.450380,0.439894,0.428326,0.413828,0.403627,0.145188,0.578984,0.468425,0.437387,0.429086,0.431750,0.411204,0.137122,0.567601,0.541879,0.474409,0.468705,0.487554,0.480521,0.108346,0.505511,0.495030,0.529537,0.525643,0.521931,0.515997,0.106371,0.510488,0.503804,0.530020,0.529007,0.532571,0.520046,0.100564
3400,0.298999,0.283925,0.364889,0.368100,0.384221,0.293013,0.187468,0.795988,0.447624,0.438433,0.425238,0.410921,0.398919,0.149307,0.586490,0.467066,0.434026,0.425113,0.431093,0.408369,0.140644,0.566646,0.539979,0.471741,0.466022,0.487549,0.479879,0.108580,0.505244,0.494722,0.530934,0.526844,0.523333,0.516898,0.106368,0.510516,0.503769,0.531171,0.530199,0.533922,0.520551,0.100057
3600,0.297099,0.280402,0.353426,0.356648,0.393526,0.290565,0.194520,0.818449,0.444706,0.437287,0.422530,0.408914,0.394886,0.153637,0.595154,0.466367,0.432244,0.422609,0.431138,0.406186,0.144411,0.568568,0.540733,0.470169,0.464335,0.487232,0.478835,0.108947,0.504622,0.493534,0.531739,0.527417,0.524195,0.517550,0.106561,0.508835,0.501403,0.532541,0.531625,0.535501,0.521228,0.099827
3800,0.295355,0.277195,0.342716,0.345928,0.402789,0.288363,0.201382,0.840014,0.441091,0.436483,0.420119,0.406996,0.390949,0.157969,0.601301,0.463924,0.429621,0.419490,0.431336,0.404230,0.148115,0.569578,0.540744,0.469143,0.463164,0.486588,0.477840,0.109220,0.504726,0.492782,0.533923,0.529360,0.525573,0.518573,0.106591,0.509484,0.502015,0.534029,0.533036,0.537261,0.522001,0.099364
4000,0.294328,0.274713,0.332959,0.336165,0.411975,0.286524,0.208298,0.860418,0.437459,0.436155,0.417782,0.405339,0.386988,0.162621,0.608932,0.462604,0.427425,0.416610,0.430750,0.401577,0.152057,0.570210,0.540389,0.467570,0.461403,0.485946,0.476362,0.109454,0.505553,0.492919,0.535403,0.530644,0.526873,0.519378,0.106573,0.509584,0.501803,0.535475,0.534421,0.539028,0.522684,0.099104
4200,0.293304,0.272352,0.323509,0.326689,0.419948,0.284842,0.214650,0.880992,0.435403,0.435819,0.415632,0.404508,0.384206,0.166434,0.615155,0.460953,0.425268,0.413902,0.431191,0.400155,0.155409,0.571153,0.540355,0.465384,0.459160,0.485112,0.474968,0.109621,0.504452,0.491923,0.536519,0.531422,0.527414,0.519624,0.106537,0.509686,0.502328,0.537024,0.535854,0.540689,0.523586,0.098547
