layer,step,mse
0,1,0.99938095
0,50,0.78639936
0,100,0.65351069
0,150,0.56549376
0,200,0.50588793
0,250,0.45986015
0,300,0.42811340
0,350,0.40433139
0,400,0.38621348
0,450,0.37084216
0,500,0.36036360
1,1,1.00047743
1,50,0.78768182
1,100,0.65138310
1,150,0.56085950
1,200,0.50194883
1,250,0.45608503
1,300,0.42781413
1,350,0.40309477
1,400,0.38648915
1,450,0.37116736
1,500,0.35931563
2,1,0.99922603
2,50,0.78557110
2,100,0.65111679
2,150,0.56430876
2,200,0.50458097
2,250,0.46392941
2,300,0.43058163
2,350,0.40603054
2,400,0.38714421
2,450,0.37376046
2,500,0.36131144
3,1,0.99949282
3,50,0.78603375
3,100,0.65161645
3,150,0.56212950
3,200,0.50230223
3,250,0.45847064
3,300,0.42855281
3,350,0.40471053
3,400,0.38639903
3,450,0.37156385
3,500,0.36219531
4,1,1.00023007
4,50,0.78743172
4,100,0.65139925
4,150,0.56279600
4,200,0.50229967
4,250,0.45877886
4,300,0.42829525
4,350,0.40311682
4,400,0.38627145
4,450,0.37155813
4,500,0.36105642
5,1,1.00189781
5,50,0.78745764
5,100,0.65260619
5,150,0.56692934
5,200,0.50758922
5,250,0.46375078
5,300,0.43064207
5,350,0.40604457
5,400,0.38832402
5,450,0.37294436
5,500,0.36273655
