step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.451321,0.456554,0.367064,0.361216,0.505983,0.405050,0.469442,0.413686,0.651269,0.509658,0.410519,0.378562,0.568715,0.438368,0.526798,0.426007,0.695320,0.531318,0.425838,0.360570,0.536221,0.428282,0.544267,0.411362,0.677546,0.494160,0.401661,0.381244,0.519067,0.457352,0.580500,0.441366,0.661334,0.522618,0.417263,0.410534,0.542093,0.493866,0.602760,0.466564,0.573579,0.513492,0.440617,0.441264,0.569371,0.535054,0.618408,0.501029
2200,0.446115,0.449204,0.360889,0.350087,0.528278,0.406088,0.469669,0.403545,0.664597,0.503577,0.413362,0.371080,0.592479,0.438796,0.538109,0.420856,0.714955,0.524771,0.438129,0.354442,0.554708,0.424065,0.562715,0.406229,0.702148,0.487368,0.397485,0.370713,0.520262,0.445920,0.597107,0.436789,0.681762,0.517901,0.409553,0.399413,0.542132,0.485890,0.617441,0.460922,0.584921,0.511918,0.431802,0.432301,0.569772,0.531038,0.629364,0.493912
2400,0.442510,0.442329,0.356884,0.339784,0.552232,0.408138,0.471972,0.395029,0.679003,0.497702,0.417347,0.364179,0.618155,0.439742,0.549642,0.416205,0.732840,0.517315,0.450406,0.347935,0.573237,0.420674,0.579879,0.401491,0.725230,0.479467,0.396174,0.360772,0.522884,0.435451,0.613857,0.432243,0.701555,0.513004,0.404543,0.390900,0.545131,0.480304,0.631286,0.454743,0.596654,0.511156,0.424183,0.424288,0.570233,0.527311,0.639715,0.486166
2600,0.439619,0.436369,0.355348,0.330580,0.575777,0.410222,0.474381,0.387105,0.690640,0.490645,0.422334,0.357682,0.643142,0.439434,0.560625,0.412775,0.749082,0.508943,0.464027,0.342492,0.592820,0.416720,0.596896,0.398022,0.748631,0.473316,0.396687,0.352953,0.528491,0.426374,0.627833,0.428455,0.719726,0.507570,0.400511,0.382897,0.547157,0.474558,0.644317,0.448969,0.609618,0.511846,0.416687,0.416751,0.570233,0.523136,0.650393,0.478700
2800,0.435398,0.429368,0.355660,0.323581,0.600359,0.412192,0.477158,0.378930,0.700766,0.484021,0.430607,0.352814,0.669425,0.440036,0.572393,0.408256,0.767123,0.501358,0.480146,0.339621,0.613724,0.413373,0.614132,0.394074,0.770556,0.466775,0.401658,0.347004,0.535854,0.417781,0.642916,0.424253,0.736918,0.502533,0.397648,0.375243,0.551356,0.468984,0.658454,0.443597,0.622062,0.510836,0.410157,0.409731,0.570047,0.519587,0.661148,0.472090
3000,0.433626,0.424538,0.357910,0.317030,0.624557,0.414363,0.482197,0.371294,0.710299,0.477739,0.438771,0.349208,0.696390,0.441687,0.583833,0.403841,0.786141,0.493340,0.495243,0.337733,0.634709,0.411065,0.633116,0.390331,0.793046,0.459704,0.406668,0.341487,0.544540,0.410568,0.659671,0.420640,0.756672,0.498695,0.396326,0.367595,0.553863,0.461914,0.673563,0.438495,0.632469,0.508842,0.404049,0.402677,0.568280,0.514468,0.671234,0.464156
3200,0.431743,0.419631,0.360458,0.311068,0.648386,0.415040,0.486012,0.363891,0.721723,0.471530,0.447876,0.345909,0.723225,0.442938,0.595276,0.399781,0.801353,0.485372,0.511465,0.336436,0.654707,0.408601,0.650200,0.387120,0.817114,0.452992,0.414476,0.337363,0.553965,0.403804,0.675477,0.416478,0.773997,0.493232,0.396751,0.362066,0.558701,0.457088,0.689189,0.433213,0.644678,0.508228,0.399027,0.396848,0.566721,0.509076,0.682832,0.456478
3400,0.429813,0.414893,0.363097,0.305957,0.671089,0.416923,0.491147,0.357303,0.730482,0.464988,0.456759,0.342269,0.749051,0.442536,0.606537,0.396095,0.816243,0.476993,0.527503,0.334818,0.675498,0.406339,0.668523,0.384372,0.839320,0.446678,0.421740,0.334440,0.563833,0.397657,0.690257,0.412286,0.790550,0.489220,0.398086,0.356287,0.559958,0.449525,0.703097,0.427232,0.656628,0.507532,0.394340,0.391288,0.565803,0.504256,0.692712,0.449272
3600,0.428033,0.410089,0.366413,0.301907,0.694740,0.418398,0.496025,0.351234,0.738859,0.459803,0.467014,0.340060,0.775649,0.443804,0.617004,0.392613,0.831058,0.469760,0.544070,0.334322,0.696895,0.404099,0.687098,0.381007,0.860797,0.440169,0.430682,0.332113,0.574043,0.391928,0.705985,0.409218,0.806148,0.485543,0.399879,0.351252,0.564412,0.443910,0.717450,0.422049,0.668046,0.506380,0.389849,0.385555,0.563089,0.498706,0.701864,0.441802
3800,0.425770,0.405437,0.370062,0.298268,0.717397,0.418599,0.499870,0.344296,0.745879,0.454199,0.478664,0.339234,0.800259,0.444100,0.627834,0.388495,0.844744,0.462975,0.560191,0.334594,0.717490,0.402977,0.706130,0.379230,0.881359,0.434750,0.440747,0.330546,0.583650,0.386274,0.722301,0.405661,0.819728,0.481518,0.402650,0.347334,0.569676,0.439962,0.733614,0.417074,0.677863,0.503612,0.386465,0.380868,0.560572,0.493057,0.711665,0.434504
