step,L0.qk_joint.uncertainty_T,L0.v_lut.uncertainty_T,L0.out_proj.uncertainty_T,L0.out_v2d.T,L1.qk_joint.uncertainty_T,L1.v_lut.uncertainty_T,L1.out_proj.uncertainty_T,L1.out_v2d.T,L2.qk_joint.uncertainty_T,L2.v_lut.uncertainty_T,L2.out_proj.uncertainty_T,L2.out_v2d.T,L3.qk_joint.uncertainty_T,L3.v_lut.uncertainty_T,L3.out_proj.uncertainty_T,L3.out_v2d.T,L4.qk_joint.uncertainty_T,L4.v_lut.uncertainty_T,L4.out_proj.uncertainty_T,L4.out_v2d.T,L5.qk_joint.uncertainty_T,L5.v_lut.uncertainty_T,L5.out_proj.uncertainty_T,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.100000
200,0.497160,0.500527,0.499705,0.100316,0.500061,0.499137,0.499280,0.100162,0.499686,0.499012,0.499045,0.099898,0.499648,0.498231,0.498580,0.099745,0.500062,0.498896,0.498868,0.099912,0.500265,0.498405,0.498679,0.099869
400,0.486909,0.504512,0.499099,0.102248,0.494685,0.500495,0.499921,0.101725,0.497864,0.497671,0.497504,0.101063,0.498776,0.495966,0.496504,0.099709,0.498775,0.498799,0.497020,0.099963,0.500895,0.496073,0.495746,0.099578
600,0.470256,0.514952,0.492521,0.105029,0.478478,0.502966,0.502736,0.103905,0.490486,0.498446,0.496478,0.102163,0.493893,0.492954,0.491603,0.100372,0.498130,0.495510,0.489995,0.099887,0.499629,0.491728,0.486944,0.100118
800,0.447791,0.528245,0.479980,0.108533,0.456331,0.508056,0.507451,0.106368,0.478762,0.500861,0.496979,0.103363,0.485679,0.490749,0.485714,0.102144,0.494207,0.490014,0.484641,0.099791,0.497662,0.487878,0.478387,0.100680
1000,0.421908,0.544173,0.464870,0.112284,0.432001,0.513858,0.512149,0.108845,0.465711,0.504690,0.498859,0.104702,0.476350,0.489231,0.481878,0.103460,0.490795,0.485473,0.479804,0.099082,0.495800,0.484659,0.473311,0.101480
1200,0.397765,0.561268,0.444358,0.117021,0.408149,0.520199,0.516890,0.112091,0.450640,0.508550,0.500562,0.106311,0.466720,0.491238,0.479457,0.104437,0.487966,0.481417,0.475532,0.099057,0.495673,0.482310,0.469087,0.101904
1400,0.375394,0.577328,0.422939,0.121663,0.385519,0.524548,0.520258,0.115195,0.433359,0.513148,0.501304,0.108249,0.458898,0.491951,0.478393,0.105604,0.486334,0.476960,0.471622,0.098945,0.494576,0.479713,0.464264,0.102175
1600,0.354418,0.590726,0.402368,0.126681,0.364412,0.527950,0.521444,0.118387,0.416480,0.518096,0.502137,0.110712,0.450795,0.493312,0.472968,0.106274,0.480830,0.472410,0.467786,0.098995,0.493983,0.477237,0.460216,0.102373
1800,0.334872,0.601545,0.383585,0.131646,0.344933,0.531266,0.522913,0.121479,0.399202,0.522141,0.502721,0.112918,0.441952,0.495417,0.470255,0.106934,0.479293,0.466881,0.464083,0.098911,0.492336,0.475279,0.456125,0.102377
