step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
500,8.170784,2.328405,19.710459,19.685915,19.671236,19.667618,19.671312,19.664417,1.005845,1.004592,1.003843,1.003658,1.003846,1.003495,19.687799,19.638912,19.632507,19.629560,19.615709,19.609114,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
1000,6.542140,1.946354,19.813757,19.731697,19.737608,19.747610,19.754633,19.771135,1.011115,1.006927,1.007228,1.007738,1.008096,1.008938,19.699558,19.690002,19.701014,19.706795,19.693888,19.665384,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
1500,5.962167,1.797694,19.861465,19.769415,19.828777,19.843393,19.865896,19.868208,1.013549,1.008850,1.011877,1.012621,1.013768,1.013887,19.662447,19.707857,19.729435,19.754532,19.767426,19.726173,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
2000,5.592623,1.691771,19.884678,19.808308,19.941130,19.986742,20.034616,19.982927,1.014731,1.010830,1.017601,1.019927,1.022366,1.019733,19.580997,19.707554,19.729650,19.773386,19.815794,19.793102,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
2500,5.296088,1.604112,19.862217,19.834671,20.067780,20.143066,20.214502,20.090393,1.013583,1.012170,1.024050,1.027888,1.031527,1.025206,19.426296,19.692713,19.699436,19.766644,19.838465,19.888218,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
3000,5.062871,1.536745,19.763546,19.842522,20.185406,20.281553,20.356882,20.182981,1.008545,1.012563,1.030032,1.034933,1.038773,1.029916,19.203058,19.667128,19.638979,19.739017,19.836201,20.027704,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
3500,4.869008,1.481455,19.592436,19.828339,20.266901,20.365170,20.430208,20.250217,0.999809,1.011831,1.034164,1.039173,1.042493,1.033332,18.899357,19.634466,19.546129,19.690050,19.810492,20.269251,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
4000,4.704406,1.426912,19.315935,19.773468,20.283854,20.372602,20.413595,20.294659,0.985690,1.009021,1.035000,1.039523,1.041623,1.035582,18.496616,19.586681,19.420912,19.608795,19.761244,20.704699,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
4500,4.545921,1.383583,18.952213,19.667498,20.246990,20.326080,20.345892,20.314590,0.967115,1.003602,1.033086,1.037120,1.038144,1.036581,18.009054,19.534142,19.262913,19.513306,19.696581,21.100763,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
5000,4.441457,1.351548,18.505465,19.513365,20.147747,20.227512,20.236685,20.305683,0.944292,0.995721,1.027988,1.032059,1.032551,1.036108,17.447769,19.479900,19.080807,19.407509,19.628775,21.403610,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
