step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
15000,3.843254,1.193602,19.630770,19.636496,19.608723,19.599819,19.572008,19.112429,1.001489,1.001469,1.000080,0.999536,0.998057,0.974368,11.209188,16.146053,16.884769,22.143732,19.521385,22.134056
15500,3.829418,1.191811,19.631363,19.635626,19.608580,19.599960,19.568161,19.090942,1.001509,1.001401,1.000046,0.999521,0.997825,0.973225,11.080335,16.037178,16.807585,22.174582,19.508495,22.200167
16000,3.819599,1.189308,19.633501,19.634241,19.606976,19.598669,19.565922,19.069216,1.001606,1.001310,0.999946,0.999421,0.997700,0.972080,10.968768,15.944749,16.738092,22.195288,19.507065,22.261583
16500,3.808370,1.187766,19.634979,19.634676,19.606293,19.598194,19.563559,19.048897,1.001672,1.001313,0.999890,0.999374,0.997550,0.970996,10.860964,15.851648,16.669401,22.227428,19.495274,22.326921
17000,3.795841,1.186513,19.635881,19.634039,19.606874,19.597557,19.560707,19.026999,1.001709,1.001260,0.999898,0.999317,0.997389,0.969829,10.763007,15.763716,16.603451,22.247898,19.491941,22.385035
17500,3.775578,1.184171,19.636969,19.633879,19.607027,19.596565,19.558065,19.007704,1.001749,1.001234,0.999886,0.999238,0.997211,0.968806,10.669768,15.679672,16.544071,22.276876,19.489620,22.445805
18000,3.769103,1.182614,19.638346,19.632996,19.605959,19.595554,19.556383,18.988794,1.001811,1.001162,0.999804,0.999158,0.997105,0.967800,10.588004,15.602308,16.484484,22.308969,19.490942,22.504284
18500,3.760528,1.181361,19.639528,19.632673,19.605320,19.594263,19.553871,18.967617,1.001865,1.001127,0.999761,0.999070,0.996953,0.966666,10.509501,15.523602,16.431587,22.341061,19.493544,22.562040
19000,3.752740,1.179220,19.640305,19.631918,19.604540,19.593925,19.549898,18.950867,1.001897,1.001070,0.999702,0.999030,0.996718,0.965776,10.434505,15.457328,16.381166,22.357162,19.498732,22.622425
19500,3.756505,1.178184,19.641075,19.630226,19.604681,19.593094,19.547253,18.933878,1.001924,1.000957,0.999696,0.998959,0.996549,0.964869,10.369182,15.389916,16.333145,22.390650,19.502150,22.683609
20000,3.742329,1.176035,19.641865,19.629255,19.604853,19.591665,19.544306,18.915743,1.001955,1.000890,0.999698,0.998859,0.996372,0.963890,10.309493,15.326142,16.287714,22.418158,19.507090,22.731213
20500,3.736274,1.174924,19.643051,19.629118,19.604214,19.590750,19.541330,18.898928,1.002010,1.000869,0.999645,0.998794,0.996187,0.962998,10.252656,15.263290,16.249695,22.447193,19.510550,22.789118
21000,3.742991,1.173065,19.644054,19.628641,19.604078,19.590334,19.539377,18.883007,1.002051,1.000827,0.999619,0.998753,0.996077,0.962144,10.197336,15.204866,16.213699,22.476063,19.519985,22.848473
21500,3.712498,1.172178,19.644411,19.627962,19.604752,19.589046,19.537664,18.868958,1.002063,1.000772,0.999640,0.998670,0.995973,0.961395,10.145732,15.154566,16.178341,22.500977,19.525551,22.905493
22000,3.718038,1.171103,19.644968,19.628748,19.605902,19.588438,19.535892,18.851955,1.002081,1.000799,0.999679,0.998623,0.995873,0.960479,10.106471,15.105592,16.144558,22.535503,19.533911,22.954868
22500,3.700582,1.169776,19.645918,19.627947,19.604826,19.588356,19.533451,18.836588,1.002128,1.000738,0.999616,0.998589,0.995717,0.959663,10.065261,15.063210,16.118044,22.564451,19.543858,23.008364
23000,3.693252,1.168744,19.646893,19.627394,19.605505,19.588339,19.531601,18.822138,1.002173,1.000695,0.999621,0.998577,0.995606,0.958894,10.038739,15.022648,16.086603,22.590416,19.559013,23.067980
23500,3.680910,1.168534,19.647898,19.626698,19.605404,19.587427,19.529310,18.809061,1.002218,1.000647,0.999609,0.998512,0.995461,0.958194,10.004675,14.982460,16.063850,22.625546,19.572222,23.117691
24000,3.669496,1.166313,19.649118,19.626225,19.605289,19.586533,19.527044,18.794687,1.002277,1.000605,0.999597,0.998448,0.995330,0.957415,9.982690,14.947173,16.044632,22.650654,19.587046,23.172506
24500,3.677334,1.165001,19.649347,19.625772,19.605930,19.586033,19.526064,18.781929,1.002277,1.000574,0.999618,0.998405,0.995257,0.956732,9.953830,14.915115,16.026035,22.682201,19.604004,23.224998
25000,3.654740,1.164089,19.649435,19.625910,19.605204,19.585133,19.524414,18.769501,1.002273,1.000562,0.999575,0.998346,0.995155,0.956066,9.932599,14.884127,16.007521,22.714777,19.617393,23.279081
25500,3.653097,1.163119,19.650434,19.626287,19.605453,19.584717,19.521652,18.758276,1.002325,1.000572,0.999579,0.998301,0.994988,0.955454,9.914780,14.857442,15.992038,22.741201,19.635946,23.332268
26000,3.669888,1.162047,19.651009,19.626133,19.605255,19.585314,19.520281,18.747335,1.002350,1.000556,0.999560,0.998328,0.994897,0.954871,9.894274,14.829184,15.979564,22.773163,19.649874,23.381758
26500,3.636961,1.160996,19.651699,19.625954,19.604641,19.584663,19.518736,18.737904,1.002378,1.000537,0.999523,0.998274,0.994817,0.954372,9.885120,14.804518,15.968240,22.803017,19.669710,23.433062
27000,3.629438,1.159551,19.652384,19.625923,19.604582,19.584270,19.517717,18.726007,1.002411,1.000537,0.999507,0.998244,0.994750,0.953727,9.873322,14.787017,15.957429,22.833698,19.685608,23.479303
27500,3.641595,1.158806,19.653164,19.625357,19.603439,19.583895,19.516287,18.715908,1.002444,1.000487,0.999446,0.998210,0.994667,0.953182,9.863655,14.767214,15.951171,22.865755,19.704926,23.529327
28000,3.621000,1.158631,19.653332,19.624575,19.603464,19.583277,19.516636,18.708826,1.002450,1.000447,0.999431,0.998170,0.994681,0.952802,9.860347,14.752919,15.944104,22.890329,19.724409,23.574335
28500,3.609251,1.157849,19.653452,19.624151,19.603933,19.582806,19.515856,18.700047,1.002456,1.000406,0.999453,0.998143,0.994627,0.952327,9.857460,14.741022,15.939784,22.924101,19.742350,23.620897
29000,3.613332,1.156342,19.653950,19.623541,19.604158,19.582029,19.514442,18.691034,1.002477,1.000361,0.999450,0.998082,0.994532,0.951837,9.852323,14.726151,15.938704,22.954344,19.762711,23.667274
29500,3.598213,1.155598,19.654171,19.623228,19.604359,19.582876,19.513842,18.683653,1.002482,1.000342,0.999454,0.998124,0.994483,0.951439,9.849415,14.716791,15.936757,22.981709,19.787230,23.714010
30000,3.586116,1.154973,19.654434,19.623089,19.604036,19.582327,19.513393,18.674488,1.002493,1.000327,0.999430,0.998084,0.994455,0.950948,9.850619,14.708818,15.937346,23.013840,19.804335,23.761314
30500,3.593059,1.153117,19.654676,19.622852,19.604372,19.581514,19.511238,18.669079,1.002504,1.000308,0.999446,0.998029,0.994328,0.950650,9.855452,14.701498,15.934979,23.037884,19.827389,23.799234
31000,3.579528,1.152696,19.654747,19.623158,19.604923,19.581034,19.510887,18.661814,1.002508,1.000317,0.999470,0.997999,0.994297,0.950259,9.855807,14.692654,15.939053,23.067457,19.847548,23.845499
31500,3.578814,1.150925,19.654987,19.623127,19.604353,19.580431,19.510229,18.656120,1.002514,1.000309,0.999432,0.997959,0.994258,0.949951,9.858487,14.686712,15.940620,23.097300,19.870522,23.889256
32000,3.574477,1.150745,19.655148,19.623175,19.604370,19.580702,19.509487,18.650812,1.002518,1.000314,0.999426,0.997969,0.994217,0.949664,9.863407,14.682175,15.942566,23.124586,19.890116,23.931940
32500,3.564711,1.149789,19.655603,19.623299,19.604847,19.579824,19.508047,18.645319,1.002542,1.000312,0.999447,0.997917,0.994139,0.949366,9.866082,14.679552,15.948348,23.150124,19.907969,23.969585
33000,3.548384,1.149313,19.656061,19.623510,19.604319,19.579784,19.507833,18.639936,1.002559,1.000315,0.999421,0.997906,0.994122,0.949075,9.875784,14.679126,15.954551,23.174896,19.928980,24.009693
33500,3.538378,1.148601,19.656368,19.623507,19.604132,19.579905,19.507460,18.636221,1.002578,1.000309,0.999405,0.997912,0.994100,0.948878,9.884768,14.679839,15.955791,23.202801,19.950869,24.046967
