step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498393,0.498302,0.498980,0.498982,0.499494,0.499405,0.500629,0.500655,0.497723,0.497735,0.498969,0.499199,0.498777,0.498865,0.499339,0.499133,0.499682,0.499585,0.498925,0.498894,0.500326,0.500277,0.499334,0.499419,0.499510,0.499301,0.499634,0.499591,0.499168,0.499145,0.500069,0.500021,0.498780,0.498884,0.499412,0.499215,0.499806,0.499731,0.499086,0.499079,0.500048,0.500008,0.498911,0.499057,0.499363,0.499119,0.499639,0.499564,0.499086,0.499055,0.500042,0.499997,0.498754,0.498915,0.499356,0.499105,0.499476,0.499404,0.499087,0.499055
400,0.490155,0.489794,0.498980,0.499066,0.498471,0.498044,0.500201,0.501360,0.487970,0.487969,0.493634,0.493860,0.497093,0.497444,0.498233,0.496857,0.499990,0.500171,0.494708,0.494425,0.497808,0.497765,0.499351,0.499799,0.501037,0.500746,0.495899,0.495651,0.505601,0.505105,0.499506,0.499112,0.498905,0.499523,0.503042,0.503312,0.496485,0.496450,0.507187,0.506902,0.501464,0.501525,0.498880,0.499392,0.501288,0.501016,0.496914,0.496865,0.505600,0.505140,0.499159,0.499122,0.499383,0.500096,0.502500,0.502170,0.496325,0.496510,0.505381,0.504827
600,0.476048,0.475646,0.505693,0.506194,0.495007,0.494386,0.497449,0.500253,0.472385,0.472320,0.486700,0.486402,0.494443,0.495026,0.496870,0.494151,0.505209,0.506339,0.491732,0.490752,0.495446,0.495729,0.503793,0.504511,0.506774,0.505851,0.493297,0.492578,0.520388,0.518601,0.500625,0.500256,0.505792,0.506254,0.509548,0.507951,0.491042,0.490153,0.523072,0.521536,0.503245,0.503025,0.505447,0.505804,0.509072,0.507512,0.490511,0.489693,0.521145,0.520038,0.499521,0.499475,0.503348,0.504054,0.509525,0.508838,0.492288,0.491854,0.521076,0.519720
800,0.458396,0.457903,0.512665,0.513727,0.489845,0.489518,0.490809,0.495317,0.451577,0.451303,0.477013,0.475642,0.489764,0.490961,0.493425,0.489131,0.512943,0.515651,0.488354,0.486672,0.492840,0.493467,0.507173,0.508619,0.515725,0.512904,0.489944,0.488753,0.539224,0.537421,0.498619,0.499405,0.518748,0.520093,0.524531,0.520217,0.476315,0.474741,0.547427,0.540249,0.502312,0.502448,0.516717,0.513766,0.523343,0.518464,0.477176,0.475742,0.544571,0.538516,0.499320,0.499593,0.514508,0.508924,0.522374,0.518816,0.479396,0.478173,0.543959,0.541008
1000,0.438974,0.438305,0.516948,0.518252,0.482469,0.483648,0.483022,0.488279,0.429479,0.428947,0.468569,0.464467,0.482987,0.485081,0.489357,0.482768,0.523658,0.528139,0.483597,0.481247,0.491101,0.492721,0.506690,0.508882,0.521670,0.516769,0.488912,0.487148,0.556354,0.553158,0.496180,0.497429,0.536973,0.538419,0.545846,0.539478,0.459873,0.457144,0.575491,0.557492,0.500681,0.501220,0.532221,0.519158,0.545422,0.537415,0.461347,0.458558,0.571430,0.553819,0.496605,0.496775,0.526938,0.510565,0.542414,0.536538,0.465370,0.462985,0.571862,0.564013
1200,0.416486,0.415713,0.518267,0.519600,0.472785,0.475184,0.478164,0.480863,0.408444,0.407495,0.461012,0.451913,0.476561,0.479477,0.486204,0.475810,0.533810,0.539491,0.478713,0.475755,0.491956,0.493838,0.504832,0.507693,0.524897,0.518057,0.491199,0.488527,0.567890,0.563122,0.493230,0.494828,0.555722,0.558274,0.567544,0.560474,0.444948,0.440555,0.601214,0.572540,0.498258,0.499432,0.546887,0.521950,0.566341,0.556266,0.447667,0.443070,0.593891,0.564592,0.494908,0.494601,0.541443,0.509933,0.561810,0.554231,0.454494,0.450177,0.600387,0.587980
1400,0.393940,0.393075,0.518816,0.520050,0.462265,0.465383,0.471658,0.469860,0.389213,0.387632,0.456460,0.439157,0.469986,0.473731,0.482630,0.469376,0.540880,0.547485,0.473438,0.470009,0.490343,0.492369,0.502528,0.506002,0.526159,0.517712,0.496720,0.492744,0.577400,0.571925,0.491626,0.492653,0.571631,0.570550,0.577783,0.570572,0.431217,0.424724,0.621449,0.586914,0.497052,0.498230,0.558424,0.524828,0.589057,0.577287,0.434783,0.427644,0.615625,0.576787,0.493553,0.494324,0.552123,0.507354,0.580705,0.572028,0.444262,0.437938,0.627672,0.609928
1600,0.373685,0.372621,0.519139,0.520293,0.452295,0.454890,0.469441,0.459253,0.370834,0.368464,0.458580,0.426973,0.464373,0.468809,0.480034,0.462839,0.550361,0.557871,0.467306,0.463479,0.489358,0.491743,0.499877,0.503863,0.527662,0.517788,0.499651,0.494441,0.586564,0.580335,0.490756,0.492660,0.588460,0.584022,0.588773,0.580902,0.421792,0.413071,0.650925,0.610334,0.496941,0.497311,0.572998,0.523850,0.602535,0.589530,0.425892,0.414788,0.639100,0.592593,0.492532,0.492610,0.553185,0.502326,0.596501,0.587344,0.435671,0.427059,0.648482,0.624127
1800,0.356074,0.354579,0.518438,0.519524,0.443824,0.444229,0.468160,0.446924,0.354809,0.350985,0.464425,0.416180,0.458545,0.463494,0.476902,0.456066,0.557047,0.565036,0.461105,0.456663,0.487397,0.490340,0.497040,0.501488,0.527048,0.516313,0.504194,0.497044,0.592683,0.585994,0.489406,0.491797,0.604926,0.594966,0.597218,0.588891,0.413871,0.401804,0.682134,0.632968,0.500315,0.500712,0.584013,0.523328,0.608618,0.595657,0.418648,0.404463,0.667345,0.611471,0.491154,0.492219,0.564451,0.500928,0.614660,0.604228,0.425739,0.414441,0.662834,0.633478
2000,0.341088,0.338869,0.518458,0.519527,0.437916,0.434090,0.472209,0.436021,0.341214,0.334997,0.472641,0.404285,0.451162,0.456718,0.473172,0.447940,0.564246,0.571660,0.454171,0.449327,0.486420,0.489283,0.494000,0.498945,0.524556,0.513532,0.508424,0.499285,0.597011,0.588823,0.488144,0.490728,0.624488,0.611684,0.609951,0.600213,0.407196,0.391167,0.710831,0.650168,0.500048,0.501242,0.594199,0.524720,0.616834,0.604191,0.412147,0.394741,0.695542,0.631049,0.490296,0.491450,0.573667,0.499186,0.620479,0.609854,0.418797,0.403962,0.670636,0.638808
