step,train_loss,val_bpb,vq_loss,code_usage
200,8.720682,2.348278,0.000076,1.0000
400,7.101592,2.020976,0.000079,1.0000
600,6.414261,1.902337,0.000093,1.0000
800,6.091962,1.843100,0.000107,1.0000
1000,5.915366,1.795591,0.000117,1.0000
