step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000,0.624648,374.788925
200,0.831464,0.084240,0.084296,64.7180,4675521,0.49543604,0,0,4675521,4675521,0.391493,0.391906,0.392182,-0.001811,0.000002,0.001996,0.000382,1.000000,64.7180,0.501285,1.0063,16.0000,0.171010,102.606068
400,0.890566,0.054716,0.054718,42.0227,5233280,0.55453831,0,0,5233280,557759,0.390256,0.391713,0.392373,-0.004719,0.000001,0.004956,0.000910,1.000000,42.0227,0.404264,0.8207,16.0000,0.112462,67.477477
600,0.911812,0.044095,0.044093,33.8643,5433781,0.57578415,0,0,5433781,200501,0.388979,0.391587,0.392946,-0.007440,0.000004,0.007564,0.001415,1.000000,33.8643,0.363276,0.7496,16.0000,0.091570,54.942204
800,0.921778,0.039124,0.039098,30.0374,5527830,0.58574992,0,0,5527830,94049,0.387559,0.391542,0.393937,-0.010103,0.000007,0.009640,0.001927,1.000000,30.0374,0.342760,0.7200,16.0000,0.081548,48.928925
1000,0.927529,0.036237,0.036233,27.8287,5582112,0.59150189,0,0,5582112,54282,0.386004,0.391357,0.394903,-0.014206,0.000005,0.013553,0.002588,1.000000,27.8287,0.330278,0.7060,16.0000,0.075656,45.393714
1200,0.931330,0.034340,0.034331,26.3694,5617976,0.59530216,0,0,5617976,35864,0.384757,0.390967,0.395732,-0.018860,0.000021,0.018109,0.003452,1.000000,26.3694,0.321764,0.6980,16.0000,0.071697,43.018455
1400,0.934015,0.032996,0.032989,25.3382,5643319,0.59798759,0,0,5643319,25343,0.382179,0.390542,0.397560,-0.026246,0.000040,0.024745,0.004476,1.000000,25.3382,0.315707,0.6947,16.0000,0.068877,41.326066
1600,0.936105,0.031950,0.031945,24.5356,5663044,0.60007775,0,0,5663044,19725,0.379005,0.390180,0.398351,-0.030033,0.000049,0.028407,0.005592,1.000000,24.5356,0.310820,0.6915,16.0000,0.066676,40.005826
1800,0.937670,0.031161,0.031169,23.9347,5677811,0.60164249,0,0,5677811,14767,0.375965,0.389345,0.398913,-0.034762,0.000056,0.033921,0.006755,1.000000,23.9347,0.307082,0.6860,16.0000,0.064760,38.856019
2000,0.938855,0.030579,0.030565,23.4795,5688998,0.60282791,0,0,5688998,11187,0.376424,0.388490,0.399574,-0.039026,0.000078,0.042043,0.007808,1.000000,23.4795,0.304311,0.6807,16.0000,0.063329,37.997515
2200,0.939806,0.030099,0.030095,23.1146,5697965,0.60377812,0,0,5697965,8967,0.373882,0.387475,0.401483,-0.045484,0.000075,0.049150,0.008813,1.000000,23.1146,0.301925,0.6743,16.0000,0.062200,37.319807
2400,0.940605,0.029701,0.029694,22.8078,5705505,0.60457706,0,0,5705505,7540,0.370911,0.386530,0.399755,-0.049482,0.000075,0.051232,0.009678,1.000000,22.8078,0.300027,0.6666,16.0000,0.061259,36.755434
2600,0.941263,0.029367,0.029370,22.5549,5711720,0.60523564,0,0,5711720,6215,0.371802,0.385675,0.400368,-0.059831,0.000032,0.052579,0.010446,1.000000,22.5549,0.298369,0.6578,16.0000,0.060483,36.289626
2800,0.941838,0.029076,0.029086,22.3342,5717144,0.60581040,0,0,5717144,5424,0.369888,0.384819,0.401933,-0.066617,0.000036,0.059885,0.011153,1.000000,22.3342,0.296950,0.6483,16.0000,0.059805,35.883094
3000,0.942347,0.028828,0.028825,22.1388,5721946,0.60631925,0,0,5721946,4802,0.368165,0.384065,0.400021,-0.070331,0.000029,0.062585,0.011750,1.000000,22.1388,0.295727,0.6382,16.0000,0.059215,35.529254
3200,0.942800,0.028598,0.028602,21.9647,5726226,0.60677272,0,0,5726226,4280,0.365839,0.383263,0.400177,-0.077276,-0.000010,0.064232,0.012332,1.000000,21.9647,0.294476,0.6277,16.0000,0.058682,35.209062
3400,0.943195,0.028395,0.028411,21.8132,5729948,0.60716712,0,0,5729948,3722,0.366083,0.382600,0.398292,-0.085373,-0.000003,0.071398,0.012828,1.000000,21.8132,0.293488,0.6173,16.0000,0.058215,34.929065
3600,0.943555,0.028213,0.028232,21.6748,5733349,0.60752755,0,0,5733349,3401,0.363739,0.381980,0.400430,-0.084010,0.000003,0.070286,0.013291,1.000000,21.6748,0.292578,0.6061,16.0000,0.057793,34.675824
3800,0.943877,0.028054,0.028069,21.5514,5736384,0.60784912,0,0,5736384,3035,0.363541,0.381349,0.399545,-0.084970,-0.000028,0.071702,0.013699,1.000000,21.5514,0.291746,0.5945,16.0000,0.057412,34.447315
4000,0.944167,0.027908,0.027925,21.4400,5739120,0.60813904,0,0,5739120,2736,0.362020,0.380774,0.400620,-0.090176,-0.000030,0.072886,0.014060,1.000000,21.4400,0.290978,0.5828,16.0000,0.057063,34.237907
