step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497033,0.496950,0.498272,0.498246,0.100588,0.499286,0.498701,0.498977,0.498952,0.100542,0.499170,0.498749,0.498994,0.498980,0.100156,0.499083,0.498905,0.499262,0.499236,0.099940,0.499411,0.499321,0.498814,0.498716,0.099919,0.499676,0.499482,0.498780,0.498673,0.099986
400,0.487206,0.487116,0.488115,0.487973,0.102882,0.503211,0.493504,0.497508,0.497417,0.102524,0.499331,0.495834,0.497264,0.497199,0.101693,0.500231,0.497982,0.498462,0.498410,0.101317,0.499009,0.498280,0.499224,0.499201,0.100184,0.500587,0.499594,0.497237,0.497114,0.100147
600,0.468778,0.468665,0.471340,0.471211,0.106795,0.517383,0.484337,0.490375,0.490498,0.106079,0.501739,0.489406,0.489286,0.489473,0.103663,0.503671,0.497360,0.494390,0.494153,0.103315,0.501643,0.499277,0.498985,0.498834,0.101550,0.502411,0.500917,0.496492,0.495939,0.100043
800,0.445303,0.445110,0.447172,0.446980,0.112355,0.541266,0.475115,0.471856,0.472104,0.110994,0.511623,0.483166,0.480089,0.480741,0.105024,0.507047,0.496625,0.491896,0.491468,0.105395,0.506861,0.502854,0.499187,0.498918,0.104629,0.503957,0.501801,0.497209,0.495584,0.099959
1000,0.420838,0.420446,0.421358,0.420953,0.119047,0.570910,0.469231,0.453521,0.453254,0.116618,0.527308,0.478354,0.467670,0.468640,0.106205,0.514198,0.498573,0.490222,0.489706,0.106721,0.512709,0.506718,0.499850,0.499554,0.108460,0.506361,0.503522,0.497994,0.496015,0.100030
1200,0.399329,0.398528,0.397708,0.396927,0.126060,0.602232,0.467636,0.437981,0.436425,0.122361,0.544078,0.473024,0.454324,0.455140,0.107100,0.521618,0.500856,0.488927,0.488150,0.107678,0.519107,0.511191,0.500404,0.500014,0.111258,0.506004,0.503072,0.498636,0.496423,0.100080
1400,0.380832,0.379322,0.375981,0.374704,0.133410,0.633858,0.465391,0.425467,0.422237,0.128331,0.564173,0.469042,0.442381,0.442553,0.108051,0.527833,0.502130,0.487607,0.486558,0.108402,0.522355,0.512974,0.501080,0.500573,0.112453,0.505692,0.502552,0.499307,0.496867,0.100218
1600,0.364595,0.362129,0.356628,0.354193,0.141117,0.667237,0.463752,0.415042,0.409663,0.134387,0.584459,0.464672,0.430341,0.429011,0.109148,0.533834,0.502946,0.486271,0.484831,0.109028,0.526396,0.515172,0.501746,0.501039,0.113096,0.505482,0.502225,0.499985,0.497350,0.100441
1800,0.350341,0.346692,0.340843,0.335524,0.149211,0.702865,0.460708,0.405826,0.397744,0.140802,0.605574,0.459878,0.418783,0.414924,0.110318,0.539512,0.503807,0.484446,0.482633,0.109709,0.530104,0.517568,0.502608,0.501637,0.113853,0.505283,0.502078,0.500558,0.497735,0.100825
2000,0.338865,0.333717,0.332821,0.319035,0.157582,0.738491,0.456899,0.398768,0.387462,0.147436,0.628204,0.456092,0.408273,0.400553,0.111593,0.542853,0.502967,0.482537,0.480273,0.110360,0.532634,0.518477,0.503317,0.502098,0.114507,0.505082,0.501934,0.501234,0.498249,0.101168
2200,0.328731,0.321871,0.335065,0.305065,0.166157,0.773723,0.453294,0.394007,0.379424,0.153846,0.650671,0.452985,0.401139,0.387352,0.112856,0.548309,0.503420,0.480946,0.478269,0.110870,0.535219,0.519730,0.504012,0.502509,0.114999,0.504747,0.501568,0.501653,0.498480,0.101424
2400,0.321270,0.312437,0.344619,0.293581,0.175068,0.810320,0.448958,0.390187,0.372047,0.160626,0.675374,0.449028,0.398480,0.376542,0.114309,0.552006,0.501987,0.478628,0.475303,0.111387,0.536221,0.519617,0.504561,0.502738,0.115513,0.504532,0.501297,0.502346,0.499038,0.101966
2600,0.315452,0.304529,0.357673,0.284064,0.184321,0.849047,0.443412,0.387362,0.364693,0.167861,0.700344,0.446119,0.397730,0.367618,0.116180,0.555525,0.501236,0.475868,0.471592,0.111993,0.539032,0.520929,0.505402,0.503229,0.116103,0.504388,0.501216,0.502931,0.499438,0.102342
2800,0.310109,0.296975,0.371136,0.276505,0.193758,0.887857,0.437200,0.385734,0.358198,0.175429,0.725213,0.442160,0.397516,0.358644,0.118207,0.558000,0.499184,0.473458,0.467858,0.112561,0.540269,0.521006,0.506198,0.503592,0.116538,0.504143,0.500884,0.503287,0.499681,0.102848
3000,0.305895,0.290311,0.386225,0.270265,0.203370,0.927896,0.430624,0.385210,0.352027,0.183262,0.750161,0.439235,0.401542,0.353303,0.120279,0.562163,0.498438,0.470983,0.463813,0.113227,0.540840,0.519851,0.506718,0.503728,0.117029,0.503696,0.500363,0.503908,0.500153,0.103492
3200,0.302783,0.284870,0.400887,0.265134,0.213065,0.967095,0.424210,0.386138,0.347032,0.191039,0.772530,0.434495,0.405068,0.347708,0.122510,0.564419,0.496280,0.467994,0.459636,0.113873,0.540828,0.519107,0.507384,0.503927,0.117392,0.503367,0.500019,0.504602,0.500592,0.104176
3400,0.300336,0.280091,0.415776,0.260586,0.222761,1.006291,0.418233,0.387905,0.342725,0.199006,0.795740,0.430416,0.409901,0.344170,0.124803,0.567481,0.494836,0.465028,0.455037,0.114533,0.542605,0.518963,0.507928,0.504077,0.117858,0.502770,0.499308,0.505145,0.500929,0.104733
3600,0.298335,0.275738,0.430157,0.256684,0.232445,1.045196,0.410988,0.390013,0.338987,0.206914,0.818575,0.426959,0.416003,0.341205,0.127057,0.569318,0.491933,0.462352,0.450549,0.115098,0.542621,0.517736,0.508535,0.504330,0.118276,0.502248,0.498724,0.505644,0.501259,0.105008
3800,0.297015,0.272142,0.443681,0.252941,0.241970,1.082876,0.404879,0.392280,0.336098,0.214497,0.841138,0.423968,0.421585,0.338859,0.129083,0.571315,0.489918,0.459880,0.446415,0.115672,0.543911,0.518260,0.509076,0.504439,0.118641,0.501602,0.498087,0.505975,0.501471,0.105474
4000,0.295556,0.268561,0.457234,0.249345,0.251421,1.119866,0.399355,0.395176,0.332756,0.222261,0.863682,0.420497,0.427563,0.336487,0.131564,0.573830,0.488270,0.456268,0.441024,0.116438,0.544099,0.517347,0.509733,0.504531,0.119043,0.501181,0.497522,0.506221,0.501523,0.105886
4200,0.294953,0.266008,0.470074,0.245667,0.260631,1.156179,0.393628,0.398947,0.330424,0.229894,0.884997,0.415933,0.433621,0.334923,0.134208,0.575383,0.486110,0.453923,0.436656,0.117176,0.545225,0.517103,0.510565,0.504704,0.119385,0.500716,0.496898,0.506741,0.501796,0.106244
4400,0.294510,0.263768,0.482462,0.242402,0.269579,1.189834,0.387837,0.402262,0.328087,0.237311,0.906114,0.412850,0.439322,0.332593,0.136686,0.578838,0.485022,0.452248,0.432942,0.117811,0.545156,0.516078,0.510628,0.504420,0.119755,0.500530,0.496611,0.507082,0.501917,0.106444
4600,0.293906,0.261558,0.494346,0.239227,0.278173,1.222998,0.382790,0.405639,0.326003,0.244425,0.925301,0.409030,0.444867,0.331195,0.139172,0.579429,0.482200,0.449689,0.428463,0.118430,0.545541,0.515679,0.510948,0.504333,0.120114,0.499997,0.495997,0.507493,0.502222,0.106873
4800,0.293406,0.259452,0.505545,0.236144,0.286390,1.253831,0.378613,0.409467,0.324313,0.251208,0.944025,0.406073,0.450755,0.329917,0.141627,0.580909,0.480314,0.447900,0.424875,0.119120,0.546022,0.515232,0.511144,0.504134,0.120474,0.499508,0.495332,0.507733,0.502300,0.107202
5000,0.293110,0.257679,0.515491,0.233484,0.294197,1.282956,0.373585,0.412915,0.322580,0.257766,0.962053,0.402729,0.456644,0.329175,0.144248,0.582885,0.478756,0.446865,0.421805,0.119813,0.546169,0.514608,0.511324,0.503919,0.120804,0.499152,0.494837,0.507979,0.502410,0.107525
5200,0.292705,0.255991,0.524682,0.230687,0.301497,1.310390,0.369680,0.416060,0.321222,0.263830,0.978589,0.400104,0.461853,0.328250,0.146459,0.583717,0.476726,0.445834,0.418766,0.120355,0.546024,0.513654,0.511348,0.503743,0.121065,0.498806,0.494415,0.508214,0.502522,0.107817
5400,0.292479,0.254574,0.532955,0.228322,0.308305,1.335629,0.366156,0.418969,0.320005,0.269495,0.993838,0.398149,0.465898,0.327201,0.148608,0.585989,0.476317,0.445170,0.416220,0.120818,0.545696,0.512852,0.511287,0.503419,0.121292,0.498675,0.494130,0.508503,0.502691,0.108082
5600,0.292307,0.253372,0.540633,0.226075,0.314638,1.359325,0.362488,0.422037,0.318880,0.274820,1.006113,0.395863,0.469693,0.326155,0.150743,0.587296,0.475063,0.444132,0.413551,0.121347,0.546181,0.512725,0.511235,0.503109,0.121555,0.498011,0.493395,0.508645,0.502709,0.108334
5800,0.292203,0.252321,0.547832,0.224026,0.320453,1.380011,0.359528,0.425138,0.317905,0.279715,1.018855,0.394084,0.473903,0.325642,0.152757,0.588865,0.474098,0.443799,0.411452,0.121936,0.544736,0.510839,0.511247,0.502838,0.121852,0.497786,0.493042,0.508634,0.502600,0.108564
