step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.101018,2.027515,19.887560,19.663067,19.665949,19.666407,19.677174,19.677876,1.014882,1.003425,1.003572,1.003595,1.004144,1.004179,19.689184,19.666615,19.670778,19.672401,19.667559,19.659742,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03356600,2.01451945,2.01500177,2.01870441,2.02105856,2.02315497,0.98648286,0.99306321,0.99203658,0.98997295,0.98881835,0.98788983,9.85525918e-05,3.86295025e-04,4.26249644e-05,4.19494754e-05,4.16300099e-05,4.01500074e-05,3.86660686e-05
1000,5.954633,1.778416,20.557291,19.791069,19.859940,19.904640,19.913939,19.890461,1.049049,1.009952,1.013463,1.015743,1.016217,1.015019,19.583578,19.703522,19.716948,19.734730,19.761078,19.752193,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.14259696,2.04880404,2.07874370,2.10465670,2.09540868,2.08501029,0.94802016,0.97799271,0.96195763,0.95110190,0.95590454,0.95905709,4.63796294e-04,1.15210679e-03,3.26393114e-04,3.27233312e-04,3.20453692e-04,3.16328631e-04,3.40262224e-04
1500,5.444785,1.636992,21.228151,20.077414,20.291222,20.390720,20.460281,20.329000,1.083266,1.024547,1.035444,1.040520,1.044071,1.037376,19.279039,19.708952,19.698027,19.726517,19.827003,19.832336,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.30583000,2.14445472,2.23578501,2.30479383,2.29246283,2.21643424,0.91587305,0.94287241,0.90515327,0.87960327,0.88332731,0.90751934,1.30140066e-03,2.61178240e-03,9.92325717e-04,1.01499760e-03,9.58011544e-04,1.06163626e-03,1.16965047e-03
2000,5.088428,1.539050,21.479540,20.469563,20.838516,20.945217,21.117781,20.816326,1.096078,1.044522,1.063322,1.068774,1.077582,1.062206,18.799528,19.709204,19.602690,19.661150,19.901958,19.936226,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.39516521,2.32176709,2.48907900,2.58870387,2.59549999,2.39049959,0.95252573,0.89792430,0.83892173,0.80864465,0.80053145,0.85785210,2.44359992e-03,4.24790476e-03,1.98761979e-03,2.00179010e-03,1.90251542e-03,2.17920775e-03,2.34256173e-03
2500,4.857601,1.473474,21.364914,20.863401,21.339817,21.446293,21.735624,21.312059,1.090211,1.064571,1.088849,1.094299,1.109062,1.087455,18.305006,19.696238,19.483709,19.579533,20.079573,20.095282,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.33916187,2.54398346,2.78513169,2.89347863,2.94004488,2.58812118,1.04719794,0.86297828,0.78636813,0.75965059,0.73085409,0.80884635,3.34964960e-03,5.30144479e-03,2.88918475e-03,2.81097717e-03,2.72309780e-03,3.12713953e-03,3.24605359e-03
3000,4.662743,1.417212,21.066156,21.244144,21.781788,21.851580,22.345573,21.828535,1.074955,1.083946,1.111345,1.114929,1.140137,1.113743,17.818558,19.657728,19.358601,19.485830,20.436405,20.286343,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.20657873,2.78283620,3.09760499,3.18460846,3.31115317,2.81062937,1.17267692,0.84413493,0.75406551,0.74219579,0.67147577,0.75725877,4.09558893e-03,5.98723255e-03,3.68193910e-03,3.52957891e-03,3.48138297e-03,3.89686297e-03,3.99653707e-03
3500,4.516898,1.378754,20.629900,21.610828,22.211269,22.256123,22.950129,22.359751,1.052686,1.102597,1.133202,1.135518,1.170935,1.140771,17.390766,19.605579,19.220634,19.396574,20.718544,20.435345,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03434682,3.02822948,3.41578054,3.45942903,3.69272399,3.05601311,1.32592785,0.83620173,0.72956139,0.72907585,0.61927253,0.70460665,4.65875243e-03,6.32569613e-03,4.33922326e-03,4.11983021e-03,4.06056130e-03,4.48987680e-03,4.61732689e-03
4000,4.431689,1.350043,20.129665,21.938690,22.624388,22.650568,23.537443,22.873772,1.027150,1.119271,1.154224,1.155593,1.200848,1.166902,17.021736,19.540180,19.088282,19.319969,20.926556,20.563568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.87116945,3.24094868,3.72645402,3.72850060,4.07993269,3.29386497,1.49670327,0.84082717,0.71290475,0.71730298,0.57432950,0.65851426,5.05703416e-03,6.38666889e-03,4.83470457e-03,4.57458291e-03,4.51391237e-03,4.94320225e-03,5.08913398e-03
4500,4.352813,1.329460,19.622393,22.258101,23.024576,23.030226,24.114658,23.378115,1.001250,1.135509,1.174582,1.174915,1.230239,1.192531,16.690680,19.477964,18.961346,19.246370,21.083494,20.676960,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.72102797,3.43261385,3.99421263,3.95683360,4.43357563,3.52645850,1.68994164,0.85159421,0.70132804,0.71058178,0.53678870,0.61756665,5.32598662e-03,6.23566844e-03,5.22130076e-03,4.92087938e-03,4.83332342e-03,5.29074250e-03,5.45400521e-03
5000,4.302703,1.311672,19.154722,22.570614,23.406557,23.395639,24.665384,23.857653,0.977353,1.151395,1.194012,1.193503,1.258275,1.216890,16.405817,19.420374,18.847200,19.180199,21.219042,20.774473,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.60113001,3.61420631,4.22884178,4.14405251,4.73921728,3.75612330,1.90142822,0.86537969,0.69609672,0.70614415,0.50600100,0.58029360,5.49586001e-03,5.98294521e-03,5.51087968e-03,5.17870160e-03,5.04978234e-03,5.52779064e-03,5.72506059e-03
