step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.448845,0.457453,0.406858,0.395114,0.541627,0.461603,0.637865,0.587033,0.601492,0.520697,0.498664,0.397384,0.570180,0.485525,0.614118,0.538409,0.602147,0.493388,0.458135,0.392009,0.545285,0.473743,0.620190,0.543371,0.545753,0.486869,0.451377,0.445532,0.621311,0.580810,0.609231,0.558504,0.512657,0.487387,0.483626,0.482065,0.572045,0.542879,0.550344,0.526085,0.491133,0.491348,0.499207,0.500367,0.532288,0.518552,0.514793,0.509630
2200,0.446600,0.455367,0.408052,0.391477,0.564162,0.469597,0.659170,0.601107,0.609900,0.520982,0.514965,0.395796,0.593908,0.494782,0.633417,0.544512,0.618306,0.494407,0.465609,0.387251,0.554564,0.467827,0.631866,0.542681,0.553041,0.485423,0.444897,0.437651,0.635945,0.587307,0.620178,0.560620,0.512145,0.483511,0.481813,0.479922,0.580906,0.546369,0.554467,0.527082,0.490333,0.490594,0.498893,0.500234,0.537448,0.520978,0.515425,0.509881
2400,0.442958,0.451771,0.411768,0.389265,0.587823,0.478944,0.680202,0.615026,0.616343,0.519766,0.529693,0.394519,0.618114,0.502319,0.650263,0.547322,0.635326,0.493930,0.473914,0.383754,0.567515,0.462869,0.643133,0.540125,0.559068,0.483855,0.438750,0.429582,0.648884,0.591276,0.629288,0.560629,0.513210,0.481783,0.479607,0.477154,0.590364,0.550171,0.558335,0.527828,0.488793,0.489249,0.498697,0.500213,0.540928,0.522837,0.515930,0.510075
2600,0.440576,0.449663,0.415539,0.388100,0.611917,0.488540,0.699062,0.626961,0.621986,0.518510,0.544419,0.393436,0.644067,0.510487,0.664506,0.547487,0.650924,0.493226,0.480432,0.380525,0.579885,0.457265,0.651701,0.534676,0.566045,0.482452,0.432872,0.422104,0.659908,0.593782,0.637402,0.559136,0.514807,0.480506,0.477980,0.475046,0.597706,0.553320,0.561897,0.528315,0.488464,0.488873,0.498487,0.500124,0.544808,0.524836,0.516464,0.510304
2800,0.437464,0.446421,0.419040,0.386984,0.634839,0.496087,0.716649,0.637884,0.626981,0.517163,0.559957,0.393147,0.668748,0.518427,0.677229,0.545456,0.665456,0.491741,0.487355,0.378397,0.593567,0.453002,0.657819,0.527660,0.573805,0.481821,0.428275,0.415641,0.669893,0.595136,0.643050,0.555727,0.515785,0.478622,0.476351,0.472604,0.606834,0.557182,0.564918,0.528504,0.488338,0.488775,0.498263,0.500066,0.549951,0.526901,0.516886,0.510425
3000,0.435473,0.444198,0.422838,0.386232,0.658787,0.504068,0.733681,0.648133,0.632640,0.516814,0.575770,0.394123,0.694060,0.526771,0.689935,0.542981,0.679162,0.490600,0.493206,0.376023,0.607787,0.447127,0.662984,0.520426,0.580022,0.480555,0.422083,0.408064,0.677873,0.594931,0.648406,0.551708,0.516700,0.477561,0.474065,0.469806,0.616218,0.560527,0.567780,0.528558,0.487424,0.487984,0.498207,0.500069,0.557665,0.530231,0.517248,0.510523
3200,0.433277,0.441682,0.426868,0.385727,0.681907,0.511739,0.749999,0.657835,0.635701,0.514688,0.589379,0.393549,0.718765,0.532911,0.698498,0.537216,0.693754,0.489612,0.501292,0.374968,0.623883,0.443709,0.667586,0.512225,0.584988,0.478117,0.417971,0.401417,0.683798,0.593170,0.652393,0.545863,0.516871,0.475563,0.473270,0.468200,0.624270,0.563548,0.570123,0.528362,0.486871,0.487605,0.498272,0.500227,0.568434,0.534924,0.517461,0.510524
3400,0.431627,0.439838,0.431449,0.385399,0.703287,0.518147,0.765924,0.667417,0.639888,0.514179,0.604041,0.394505,0.743229,0.539488,0.709156,0.533525,0.708175,0.489016,0.509950,0.374478,0.637902,0.439351,0.670686,0.502829,0.594590,0.478609,0.415349,0.395059,0.689777,0.591698,0.655616,0.539168,0.518039,0.474646,0.472393,0.466645,0.633051,0.566863,0.572214,0.527985,0.486687,0.487246,0.498415,0.500586,0.577518,0.538789,0.517803,0.510610
3600,0.430353,0.438487,0.435172,0.385232,0.723266,0.523458,0.780638,0.676660,0.642196,0.512681,0.618381,0.396205,0.767228,0.545857,0.717844,0.527852,0.720337,0.486877,0.518153,0.374386,0.651365,0.435292,0.672803,0.493658,0.601267,0.477699,0.413208,0.389637,0.696829,0.590931,0.658242,0.531980,0.518437,0.473461,0.472215,0.465644,0.640887,0.569652,0.573551,0.527313,0.485162,0.485843,0.498414,0.500620,0.586538,0.542454,0.517944,0.510589
3800,0.428042,0.436196,0.438974,0.385140,0.741835,0.527849,0.792551,0.683071,0.644516,0.511215,0.631751,0.397764,0.790578,0.552441,0.726732,0.523377,0.733484,0.485719,0.527113,0.374641,0.663853,0.430293,0.674024,0.484279,0.609748,0.477826,0.412612,0.385535,0.702231,0.589511,0.660306,0.524967,0.519202,0.472296,0.471448,0.463883,0.647821,0.572242,0.574784,0.526689,0.485083,0.485619,0.498499,0.500817,0.595467,0.546911,0.518028,0.510528
