step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497979,0.497882,0.499144,0.499143,0.499509,0.499460,0.500472,0.500527,0.497770,0.497795,0.499282,0.499592,0.498311,0.498418,0.499056,0.498885,0.499765,0.499710,0.499048,0.499013,0.499857,0.499779,0.498237,0.498329,0.498844,0.498669,0.499455,0.499401,0.499146,0.499100,0.499996,0.499947,0.497814,0.497970,0.498724,0.498569,0.499359,0.499260,0.499091,0.499025,0.500004,0.499974,0.498245,0.498342,0.498820,0.498654,0.499441,0.499364,0.499058,0.498987,0.500012,0.499960,0.498366,0.498444,0.498865,0.498692,0.499765,0.499700,0.499087,0.499046
400,0.490435,0.490082,0.498545,0.498603,0.496963,0.496536,0.498151,0.499338,0.487827,0.487852,0.495100,0.495316,0.495439,0.495669,0.496611,0.496140,0.500961,0.501165,0.496516,0.496303,0.497698,0.497866,0.494600,0.495078,0.497454,0.496951,0.495156,0.495122,0.506477,0.506084,0.500170,0.500520,0.499859,0.500226,0.501822,0.501196,0.495770,0.495707,0.506463,0.505666,0.500082,0.499965,0.499064,0.499326,0.500423,0.500095,0.496513,0.496470,0.505859,0.505288,0.499126,0.499087,0.498886,0.499815,0.502260,0.501794,0.496527,0.496859,0.506812,0.506446
600,0.475696,0.475319,0.499903,0.500278,0.491245,0.490353,0.492922,0.495731,0.472803,0.472760,0.488577,0.488594,0.491916,0.492199,0.493051,0.492189,0.507400,0.508538,0.493796,0.492781,0.498146,0.498559,0.497378,0.498406,0.503439,0.501568,0.493115,0.492618,0.520953,0.519517,0.502125,0.502741,0.503340,0.502381,0.501601,0.499878,0.488269,0.487486,0.522202,0.519472,0.497668,0.497823,0.503964,0.498651,0.498295,0.497080,0.490931,0.490041,0.521279,0.520010,0.497684,0.497601,0.503562,0.502928,0.504696,0.503097,0.491877,0.491575,0.522852,0.521785
800,0.457216,0.456770,0.497141,0.497629,0.486510,0.485184,0.482725,0.487531,0.452970,0.452757,0.478875,0.476400,0.486911,0.487542,0.487493,0.485942,0.518468,0.520903,0.489888,0.488063,0.499568,0.500000,0.500287,0.501781,0.509237,0.505884,0.488022,0.486660,0.541111,0.539298,0.501919,0.503583,0.514218,0.510905,0.509002,0.503680,0.473862,0.471990,0.546574,0.537246,0.494504,0.494434,0.514289,0.498664,0.505045,0.499378,0.477988,0.476401,0.544360,0.538868,0.497777,0.497945,0.513257,0.502305,0.510761,0.504527,0.479384,0.477972,0.546454,0.544118
1000,0.434575,0.434053,0.489222,0.489500,0.481041,0.479370,0.472829,0.477792,0.431830,0.431436,0.468999,0.463211,0.481237,0.482631,0.481823,0.479185,0.530465,0.535657,0.484834,0.482171,0.500170,0.500194,0.500651,0.502617,0.515120,0.509705,0.484851,0.482276,0.562581,0.558188,0.499978,0.503090,0.530674,0.527133,0.526782,0.518712,0.456297,0.453262,0.575379,0.553588,0.495729,0.495937,0.528899,0.503536,0.523616,0.514171,0.462235,0.459024,0.571972,0.554598,0.499974,0.500718,0.527144,0.503540,0.524769,0.513683,0.466933,0.463990,0.573557,0.564981
1200,0.410447,0.409883,0.479977,0.479979,0.474723,0.472663,0.462224,0.465334,0.411699,0.411038,0.461106,0.449422,0.475763,0.477939,0.477032,0.473040,0.543512,0.550463,0.479110,0.475734,0.500409,0.500082,0.500060,0.502348,0.519266,0.512206,0.484743,0.480629,0.579606,0.572540,0.500677,0.503643,0.549757,0.543844,0.545866,0.536286,0.440810,0.436174,0.604102,0.568906,0.492370,0.493448,0.543537,0.506265,0.542795,0.530863,0.448861,0.444043,0.596269,0.566444,0.496609,0.498167,0.537179,0.503011,0.541278,0.527809,0.453721,0.449543,0.600152,0.581913
1400,0.388687,0.388012,0.470589,0.470427,0.466981,0.464472,0.452375,0.451434,0.393038,0.391867,0.455498,0.436177,0.470059,0.473006,0.471778,0.466512,0.554987,0.562652,0.472610,0.468687,0.500928,0.500429,0.498786,0.501307,0.520865,0.512734,0.486760,0.481075,0.597665,0.586155,0.498425,0.502161,0.569913,0.562256,0.565284,0.552784,0.430689,0.423228,0.628826,0.581929,0.493688,0.493696,0.562530,0.509829,0.562438,0.547924,0.436915,0.429861,0.615600,0.575190,0.497706,0.500167,0.552127,0.503205,0.559731,0.542534,0.442209,0.435732,0.629279,0.603330
1600,0.368210,0.367378,0.460003,0.459737,0.458398,0.455264,0.447707,0.438401,0.374927,0.373161,0.455848,0.424087,0.464270,0.467985,0.465904,0.459920,0.564913,0.574037,0.464951,0.460303,0.500571,0.499865,0.496026,0.498899,0.521486,0.512594,0.490148,0.482644,0.610628,0.596556,0.499465,0.503581,0.590407,0.581440,0.585399,0.570939,0.421857,0.410955,0.655481,0.597568,0.491564,0.491790,0.576823,0.515115,0.580053,0.563619,0.427923,0.418261,0.633019,0.584713,0.498013,0.499946,0.563428,0.503474,0.576372,0.556833,0.432499,0.423904,0.653992,0.621153
1800,0.350115,0.348923,0.450583,0.450294,0.449688,0.445734,0.447609,0.426567,0.359685,0.356553,0.459281,0.413842,0.458279,0.462498,0.460840,0.453956,0.576967,0.584809,0.458012,0.452687,0.499635,0.499311,0.493848,0.496888,0.520385,0.510966,0.494553,0.484994,0.621075,0.605586,0.499759,0.504653,0.610782,0.598530,0.604484,0.588397,0.416415,0.401188,0.679727,0.613575,0.491154,0.490795,0.589518,0.516979,0.598230,0.580135,0.418853,0.406407,0.644760,0.592180,0.496360,0.500496,0.575570,0.504485,0.595341,0.572792,0.422369,0.411490,0.679867,0.633390
