step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498017,0.498316,0.498524,0.498529,0.497738,0.497675,0.500066,0.499879,0.499593,0.499589,0.500448,0.500366,0.499990,0.499968,0.499832,0.499830,0.501043,0.500992,0.499871,0.499842,0.499755,0.499768,0.500657,0.500615,0.500260,0.500129,0.499809,0.499800,0.500452,0.500437,0.500390,0.500239,0.499698,0.499695,0.500119,0.500118,0.499283,0.499114
400,0.490879,0.493082,0.493991,0.494068,0.489759,0.489762,0.501810,0.500448,0.494394,0.494545,0.495294,0.494648,0.499797,0.499199,0.496677,0.496846,0.503809,0.503073,0.500196,0.499354,0.497811,0.497868,0.503863,0.503294,0.501783,0.499910,0.498048,0.497814,0.501697,0.501394,0.501862,0.500696,0.498696,0.498502,0.499739,0.499646,0.498084,0.496911
600,0.479115,0.484472,0.485550,0.486013,0.476026,0.476214,0.505531,0.500916,0.484258,0.483797,0.483332,0.481888,0.498379,0.495274,0.487042,0.486939,0.510521,0.507533,0.499920,0.496265,0.490797,0.490405,0.511672,0.509472,0.505180,0.497544,0.492010,0.490168,0.506702,0.504912,0.505001,0.499501,0.492684,0.491512,0.495230,0.494476,0.498404,0.493213
800,0.464322,0.472427,0.474141,0.475100,0.457647,0.457444,0.511707,0.501352,0.470340,0.467728,0.465837,0.462501,0.496796,0.489291,0.473030,0.471886,0.527996,0.520288,0.500445,0.491194,0.478596,0.476726,0.527250,0.521357,0.511362,0.494392,0.482174,0.476373,0.518677,0.512689,0.512785,0.496613,0.481558,0.477114,0.486548,0.483828,0.503817,0.488335
1000,0.449754,0.459022,0.462502,0.463316,0.440975,0.438535,0.519819,0.501834,0.458563,0.451624,0.453717,0.443883,0.496181,0.482067,0.458134,0.455017,0.549725,0.534766,0.505102,0.486571,0.467348,0.462325,0.545781,0.533655,0.520388,0.489992,0.472879,0.460963,0.538405,0.525519,0.522739,0.491391,0.470806,0.459005,0.477183,0.469427,0.515509,0.483672
1200,0.438939,0.447474,0.452164,0.451818,0.430279,0.422220,0.526301,0.501136,0.454332,0.439264,0.451636,0.428262,0.496977,0.475236,0.445362,0.438846,0.572257,0.548174,0.510752,0.480952,0.460045,0.449906,0.566104,0.546195,0.531378,0.486667,0.468764,0.448217,0.559717,0.538396,0.535920,0.488606,0.466641,0.441385,0.472646,0.456401,0.531174,0.479612
1400,0.430372,0.436781,0.442753,0.440189,0.426710,0.407737,0.532581,0.500114,0.455746,0.428020,0.461948,0.417352,0.500340,0.468435,0.435734,0.423560,0.594406,0.558319,0.519207,0.476357,0.456629,0.437688,0.587264,0.557607,0.543824,0.483115,0.469753,0.436599,0.580699,0.548798,0.550795,0.486416,0.470829,0.426951,0.472827,0.444897,0.549196,0.475776
1600,0.424104,0.427110,0.435147,0.429499,0.431689,0.395514,0.540354,0.500383,0.461523,0.418577,0.480111,0.410187,0.504526,0.462061,0.430746,0.410220,0.616695,0.566220,0.527935,0.471851,0.455016,0.426081,0.604424,0.562885,0.556808,0.479378,0.473385,0.426947,0.602553,0.558705,0.565562,0.483455,0.480812,0.415127,0.478607,0.434882,0.569392,0.471908
1800,0.419824,0.418653,0.428421,0.418580,0.440406,0.384743,0.547523,0.500049,0.470693,0.412520,0.501564,0.408013,0.509117,0.456488,0.429143,0.397369,0.638200,0.572190,0.538638,0.467918,0.458556,0.415927,0.623579,0.567973,0.569746,0.475826,0.480298,0.416562,0.625291,0.568138,0.582431,0.480609,0.495602,0.404736,0.488778,0.426166,0.590224,0.467932
