step,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L0.qk_lut.T_sign,L0.qk_lut.T_sel,L0.qk_lut.anchor_tau,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L1.qk_lut.T_sign,L1.qk_lut.T_sel,L1.qk_lut.anchor_tau,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L2.qk_lut.T_sign,L2.qk_lut.T_sel,L2.qk_lut.anchor_tau,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L3.qk_lut.T_sign,L3.qk_lut.T_sel,L3.qk_lut.anchor_tau,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L4.qk_lut.T_sign,L4.qk_lut.T_sel,L4.qk_lut.anchor_tau,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel,L5.qk_lut.T_sign,L5.qk_lut.T_sel,L5.qk_lut.anchor_tau
2200,0.383206,0.354404,0.574592,0.422006,0.550864,0.393230,0.471592,0.463508,0.166269,0.525912,0.403164,0.621229,0.445804,0.661028,0.440277,0.482225,0.444394,0.166269,0.515550,0.390099,0.596616,0.464737,0.676242,0.452514,0.473572,0.431525,0.166269,0.482742,0.391959,0.538834,0.445978,0.708125,0.466130,0.486281,0.436316,0.166269,0.440703,0.417477,0.611102,0.549731,0.696686,0.490474,0.478434,0.454361,0.166269,0.469992,0.433932,0.538019,0.497715,0.666879,0.507525,0.493291,0.474177,0.166269
2400,0.386857,0.345614,0.603044,0.427685,0.566159,0.385196,0.477386,0.461028,0.096396,0.544008,0.400794,0.648259,0.446115,0.682357,0.435375,0.500227,0.446940,0.096396,0.532801,0.384879,0.615338,0.458501,0.699011,0.445416,0.492519,0.436159,0.096396,0.492087,0.385177,0.548669,0.439497,0.732012,0.457047,0.506709,0.441728,0.096396,0.438789,0.408869,0.615956,0.545969,0.714129,0.479992,0.490254,0.454455,0.096396,0.470383,0.428195,0.538337,0.490876,0.680751,0.498687,0.502009,0.474583,0.096396
2600,0.392592,0.338327,0.631656,0.432129,0.580207,0.377847,0.484882,0.459864,0.044184,0.561960,0.398368,0.677337,0.447442,0.702688,0.430390,0.519306,0.451084,0.044184,0.549139,0.379391,0.635055,0.452276,0.718770,0.439163,0.513071,0.441498,0.044184,0.502219,0.379992,0.559158,0.433019,0.753418,0.448540,0.527754,0.447251,0.044184,0.435473,0.400176,0.620376,0.541815,0.730648,0.470278,0.503930,0.456237,0.044184,0.468113,0.421459,0.540096,0.485500,0.694405,0.489231,0.512853,0.475675,0.044184
2800,0.398011,0.332213,0.660492,0.436470,0.593162,0.370623,0.492046,0.459275,0.011915,0.579959,0.396159,0.707504,0.449937,0.722328,0.424977,0.539146,0.455822,0.011915,0.567399,0.375185,0.656909,0.448453,0.737217,0.431278,0.533197,0.446025,0.011915,0.513611,0.375073,0.569820,0.425648,0.771630,0.438242,0.548957,0.452720,0.011915,0.433411,0.391723,0.621977,0.535202,0.742651,0.459007,0.518408,0.458004,0.011915,0.466711,0.415251,0.542753,0.481515,0.705330,0.479428,0.524705,0.477820,0.011915
3000,0.404458,0.327185,0.689957,0.439246,0.603827,0.362638,0.498869,0.459452,0.001000,0.597638,0.394942,0.738051,0.454759,0.738402,0.417919,0.557797,0.459347,0.001000,0.583927,0.370915,0.676273,0.443566,0.753486,0.424074,0.554003,0.449680,0.001000,0.523551,0.369545,0.581117,0.418297,0.787294,0.428184,0.569447,0.455782,0.001000,0.433274,0.384907,0.625700,0.530198,0.752584,0.448046,0.532082,0.459438,0.001000,0.464935,0.409482,0.544817,0.476453,0.714914,0.469253,0.536630,0.480715,0.001000
3200,0.410562,0.323187,0.717845,0.441152,0.614501,0.355119,0.498869,0.459452,0.001000,0.610122,0.390890,0.768156,0.458305,0.750883,0.409111,0.557797,0.459347,0.001000,0.597535,0.365322,0.695368,0.440099,0.765875,0.414606,0.554003,0.449680,0.001000,0.533313,0.364660,0.595652,0.413387,0.800550,0.417504,0.569447,0.455782,0.001000,0.433644,0.378452,0.628496,0.523872,0.763409,0.438000,0.532082,0.459438,0.001000,0.465677,0.404866,0.546365,0.470463,0.723813,0.459162,0.536630,0.480715,0.001000
3400,0.417043,0.318378,0.745322,0.442716,0.626382,0.348746,0.498869,0.459452,0.001000,0.626055,0.387043,0.796667,0.459975,0.762804,0.401306,0.557797,0.459347,0.001000,0.610518,0.360132,0.714180,0.435414,0.777501,0.406384,0.554003,0.449680,0.001000,0.541642,0.359821,0.610801,0.409006,0.813124,0.407481,0.569447,0.455782,0.001000,0.434285,0.372578,0.630197,0.517808,0.769965,0.427441,0.532082,0.459438,0.001000,0.465758,0.400377,0.548497,0.465057,0.729126,0.449393,0.536630,0.480715,0.001000
3600,0.422811,0.315055,0.772173,0.444090,0.636974,0.342381,0.498869,0.459452,0.001000,0.638469,0.382957,0.824692,0.460637,0.773182,0.394181,0.557797,0.459347,0.001000,0.623911,0.354755,0.734168,0.432300,0.788693,0.398280,0.554003,0.449680,0.001000,0.551391,0.355700,0.626870,0.406164,0.825407,0.398050,0.569447,0.455782,0.001000,0.435003,0.367477,0.631563,0.511553,0.776519,0.416626,0.532082,0.459438,0.001000,0.467382,0.395943,0.548579,0.459204,0.734853,0.439832,0.536630,0.480715,0.001000
3800,0.428475,0.311924,0.798456,0.444605,0.645554,0.335846,0.498869,0.459452,0.001000,0.650826,0.379833,0.852014,0.461844,0.783414,0.386933,0.557797,0.459347,0.001000,0.636077,0.350559,0.754218,0.429885,0.797977,0.390480,0.554003,0.449680,0.001000,0.559459,0.351830,0.639867,0.401457,0.836859,0.388948,0.569447,0.455782,0.001000,0.437427,0.363560,0.633989,0.506504,0.783884,0.407181,0.532082,0.459438,0.001000,0.469362,0.392758,0.549057,0.452961,0.739791,0.430223,0.536630,0.480715,0.001000
4000,0.434575,0.309190,0.823391,0.443955,0.653243,0.329739,0.498869,0.459452,0.001000,0.662552,0.376400,0.877950,0.461866,0.790802,0.379069,0.557797,0.459347,0.001000,0.648056,0.346212,0.773782,0.427153,0.802832,0.382474,0.554003,0.449680,0.001000,0.568560,0.348307,0.654241,0.399412,0.847983,0.381014,0.569447,0.455782,0.001000,0.441090,0.360192,0.634860,0.500972,0.791848,0.399527,0.532082,0.459438,0.001000,0.470852,0.389813,0.549630,0.446953,0.746192,0.422031,0.536630,0.480715,0.001000
