step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498114,0.498050,0.498783,0.498723,0.498471,0.498393,0.499219,0.499359,0.499702,0.499620,0.502178,0.502025,0.499573,0.499409,0.501335,0.501324,0.502750,0.502764,0.499840,0.500075,0.501543,0.501542,0.502450,0.502447,0.500466,0.500666,0.501144,0.501112,0.502542,0.502543,0.500428,0.500531,0.499643,0.499602,0.502375,0.502216
400,0.487996,0.487895,0.492563,0.492073,0.489249,0.489310,0.494999,0.495042,0.497724,0.497539,0.507243,0.506543,0.499280,0.498839,0.504807,0.504527,0.513238,0.512863,0.499237,0.499363,0.505298,0.505341,0.512902,0.512728,0.500608,0.501095,0.504945,0.504901,0.513217,0.512955,0.501441,0.501299,0.499589,0.499515,0.511866,0.511043
600,0.472403,0.472285,0.485986,0.484008,0.476318,0.476664,0.488975,0.487890,0.493552,0.492903,0.510540,0.509038,0.503125,0.502250,0.506256,0.504223,0.527832,0.528159,0.496696,0.496979,0.505316,0.504245,0.529239,0.528606,0.500585,0.500886,0.499302,0.498509,0.529034,0.528984,0.500348,0.500322,0.492807,0.492427,0.528221,0.526087
800,0.450966,0.450798,0.480328,0.476374,0.459916,0.460526,0.477163,0.473090,0.487868,0.486426,0.509659,0.507533,0.506427,0.504876,0.507553,0.504469,0.545201,0.545579,0.495134,0.494921,0.505592,0.500040,0.550028,0.550208,0.497554,0.497638,0.493748,0.490972,0.547480,0.548756,0.498180,0.498228,0.485268,0.483246,0.546518,0.544296
1000,0.426078,0.425831,0.473609,0.467015,0.440443,0.441271,0.469406,0.457165,0.483624,0.480438,0.507476,0.504512,0.508438,0.506328,0.507941,0.503942,0.559910,0.555536,0.495301,0.495241,0.513295,0.498786,0.569484,0.565907,0.496328,0.496517,0.494251,0.485564,0.566668,0.565189,0.498792,0.499037,0.483675,0.474061,0.559248,0.551110
1200,0.403537,0.403161,0.465998,0.456507,0.421070,0.422010,0.465949,0.441547,0.478124,0.474119,0.503074,0.499449,0.509049,0.506410,0.507923,0.503279,0.571600,0.561708,0.495595,0.495359,0.520182,0.499734,0.588427,0.576185,0.494401,0.494734,0.500347,0.482747,0.582551,0.574742,0.498859,0.499214,0.488930,0.468940,0.568376,0.554494
1400,0.382621,0.381992,0.454883,0.442434,0.401707,0.402592,0.471870,0.428084,0.469652,0.465141,0.498570,0.494354,0.510498,0.507177,0.508628,0.502967,0.583034,0.569247,0.495747,0.495135,0.527673,0.501594,0.610688,0.584883,0.496248,0.496589,0.508877,0.480112,0.601248,0.579432,0.495580,0.495873,0.495772,0.467510,0.575305,0.556830
1600,0.363288,0.362294,0.443680,0.428671,0.383745,0.384361,0.481732,0.415058,0.461674,0.456565,0.493780,0.489120,0.510039,0.506292,0.508345,0.502064,0.593807,0.577072,0.493689,0.493322,0.535109,0.504628,0.631170,0.592327,0.496301,0.496668,0.516287,0.479851,0.617702,0.583211,0.494711,0.495260,0.503390,0.467492,0.580760,0.558800
1800,0.346710,0.345096,0.429980,0.412573,0.367139,0.367245,0.497101,0.403568,0.452148,0.446820,0.489139,0.484006,0.509542,0.505701,0.507667,0.500727,0.600866,0.581633,0.492477,0.492408,0.544959,0.507384,0.651622,0.599556,0.492625,0.492952,0.523983,0.478987,0.631703,0.586190,0.494518,0.494880,0.513270,0.468310,0.585122,0.560407
2000,0.334028,0.331184,0.416275,0.396641,0.351616,0.351001,0.516079,0.394939,0.441957,0.435920,0.484404,0.478906,0.507976,0.504043,0.506666,0.499262,0.607164,0.585316,0.490793,0.490542,0.553320,0.510739,0.671792,0.606326,0.492848,0.492928,0.532407,0.479970,0.643529,0.588492,0.498657,0.499264,0.522293,0.469938,0.588974,0.561820
2200,0.322716,0.318374,0.403087,0.381342,0.337442,0.335817,0.535942,0.387626,0.432806,0.425932,0.478838,0.473100,0.506708,0.502742,0.505922,0.497782,0.611508,0.588585,0.490224,0.489693,0.563688,0.513201,0.691766,0.612262,0.494190,0.494117,0.540173,0.481622,0.653831,0.590412,0.497424,0.498446,0.531419,0.471500,0.592290,0.563118
2400,0.314509,0.308265,0.391192,0.366815,0.324841,0.321778,0.558670,0.382040,0.425515,0.417678,0.474304,0.468065,0.506199,0.502121,0.504324,0.495905,0.615301,0.591101,0.490736,0.490050,0.570330,0.514754,0.709937,0.617281,0.494526,0.494361,0.549319,0.484670,0.661605,0.591728,0.496888,0.497651,0.539548,0.472519,0.595094,0.564166
2600,0.308001,0.299484,0.379175,0.352233,0.313836,0.308659,0.582405,0.376850,0.417644,0.408742,0.469856,0.463078,0.505355,0.501289,0.502466,0.493806,0.619144,0.594124,0.492695,0.492198,0.576556,0.516104,0.729316,0.622638,0.493821,0.493664,0.559794,0.487346,0.668994,0.593033,0.496769,0.497346,0.545694,0.473239,0.597778,0.565242
2800,0.303289,0.292103,0.369180,0.338832,0.305431,0.297096,0.605404,0.372265,0.410077,0.399859,0.465235,0.457945,0.504238,0.500120,0.499967,0.490703,0.622409,0.596315,0.493644,0.492799,0.584254,0.517687,0.747614,0.627475,0.490053,0.490016,0.568523,0.488501,0.675545,0.594097,0.497552,0.497664,0.553060,0.474524,0.600055,0.566092
3000,0.299682,0.285946,0.361856,0.326807,0.298695,0.286224,0.629539,0.369388,0.403758,0.391779,0.460834,0.453051,0.503380,0.499067,0.496821,0.487448,0.624481,0.597113,0.492805,0.492306,0.589568,0.518676,0.765152,0.632549,0.489355,0.488988,0.575974,0.488450,0.681898,0.595142,0.499910,0.499867,0.558217,0.475059,0.602071,0.566893
3200,0.298062,0.281826,0.356495,0.316103,0.295249,0.276811,0.653215,0.366109,0.397573,0.384057,0.456509,0.448205,0.502829,0.498432,0.494748,0.484677,0.626787,0.598802,0.492499,0.491496,0.596181,0.520723,0.784007,0.637280,0.489420,0.489228,0.584023,0.489724,0.687836,0.596120,0.498718,0.498196,0.562545,0.475248,0.603918,0.567612
3400,0.296706,0.277943,0.353377,0.306754,0.293642,0.268590,0.676930,0.361928,0.391505,0.376499,0.452641,0.443848,0.501548,0.497075,0.490331,0.480490,0.628781,0.599992,0.492489,0.491191,0.601036,0.521899,0.802254,0.643307,0.489211,0.489151,0.591253,0.490174,0.693264,0.597088,0.500477,0.500003,0.567185,0.475709,0.605717,0.568384
3600,0.296090,0.274893,0.353492,0.298995,0.295394,0.262032,0.700328,0.359968,0.387708,0.370644,0.448415,0.439062,0.501359,0.496704,0.487625,0.476849,0.629341,0.599352,0.491569,0.490804,0.606447,0.522621,0.815632,0.646628,0.491169,0.490925,0.597697,0.490566,0.698051,0.597951,0.499337,0.498470,0.571560,0.475930,0.607307,0.569080
3800,0.295474,0.272015,0.355280,0.292417,0.299236,0.256260,0.722482,0.357046,0.382846,0.364103,0.444299,0.434424,0.500236,0.495587,0.484707,0.473208,0.629644,0.598405,0.492613,0.492051,0.612444,0.524220,0.825689,0.649069,0.489266,0.489001,0.604902,0.491362,0.702342,0.598651,0.500244,0.499133,0.575670,0.476116,0.608614,0.569625
4000,0.294848,0.269452,0.357691,0.286780,0.304063,0.251615,0.744170,0.354476,0.378962,0.358721,0.440457,0.430017,0.499588,0.494636,0.481575,0.469430,0.629300,0.596616,0.493226,0.492875,0.616835,0.524830,0.836992,0.651305,0.488363,0.487801,0.611708,0.490689,0.706576,0.599165,0.500115,0.498800,0.578830,0.476471,0.609693,0.569973
4200,0.295357,0.268012,0.360881,0.281769,0.309045,0.247651,0.764786,0.351508,0.375108,0.353376,0.437047,0.426079,0.498892,0.493764,0.478347,0.465531,0.628980,0.595170,0.492242,0.492154,0.620962,0.524794,0.846531,0.653507,0.488209,0.487687,0.616924,0.491617,0.710132,0.599723,0.500471,0.499014,0.582286,0.476744,0.610764,0.570399
4400,0.295098,0.266078,0.365555,0.278080,0.315627,0.245135,0.784699,0.348588,0.372653,0.348885,0.433319,0.421714,0.498201,0.492865,0.475965,0.461747,0.627962,0.593074,0.493424,0.493278,0.624085,0.524819,0.854378,0.655300,0.489142,0.488625,0.621776,0.491263,0.714043,0.600366,0.500963,0.499291,0.585226,0.476694,0.611818,0.570836
