step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498405,0.498655,0.498525,0.498514,0.498224,0.498163,0.500306,0.499405,0.498458,0.498452,0.499897,0.499834,0.500048,0.499413,0.498882,0.498917,0.500306,0.500186,0.500309,0.499766,0.499006,0.499038,0.500230,0.500160,0.501345,0.500659,0.499207,0.499192,0.499934,0.499885,0.500090,0.499752,0.499632,0.499620,0.500205,0.500197,0.499475,0.499071
400,0.493401,0.495332,0.491945,0.492145,0.488884,0.488835,0.505092,0.500626,0.491390,0.491026,0.495171,0.494414,0.503214,0.499513,0.492584,0.492479,0.499078,0.497717,0.504627,0.501221,0.492647,0.492337,0.497807,0.496976,0.506585,0.502247,0.495523,0.494778,0.500518,0.499894,0.504167,0.500632,0.496526,0.496046,0.500484,0.500070,0.499650,0.496497
600,0.486010,0.490840,0.479212,0.480012,0.473503,0.473159,0.513610,0.502286,0.480537,0.478808,0.488492,0.484665,0.510360,0.499480,0.480540,0.479695,0.500766,0.495231,0.512256,0.502156,0.480087,0.478654,0.490774,0.488091,0.516851,0.504503,0.489141,0.486306,0.505928,0.502753,0.514469,0.502663,0.486563,0.484558,0.499647,0.496865,0.502833,0.492077
800,0.476993,0.484495,0.463016,0.463980,0.453932,0.452639,0.525804,0.503645,0.467732,0.462701,0.493557,0.477239,0.519708,0.497872,0.464375,0.461916,0.514046,0.498863,0.525961,0.503953,0.462948,0.458610,0.484381,0.475073,0.529770,0.504852,0.479815,0.473386,0.520679,0.512112,0.530394,0.504735,0.472095,0.466518,0.501084,0.491671,0.511968,0.487013
1000,0.468908,0.477878,0.448164,0.448163,0.437116,0.432041,0.539725,0.504293,0.457402,0.445711,0.511230,0.475052,0.531273,0.494779,0.449439,0.443098,0.536465,0.509711,0.539988,0.502504,0.450382,0.438052,0.487509,0.465042,0.545257,0.503914,0.470128,0.458179,0.542039,0.524485,0.549928,0.506268,0.460317,0.447242,0.508028,0.487363,0.528579,0.482172
1200,0.463741,0.472752,0.435398,0.433097,0.428291,0.413495,0.555482,0.504601,0.457525,0.432726,0.535759,0.479977,0.545295,0.492931,0.439581,0.426790,0.561626,0.521602,0.556535,0.503161,0.448279,0.420374,0.500651,0.457841,0.561801,0.502185,0.466301,0.445110,0.566113,0.538440,0.569007,0.506062,0.456978,0.429944,0.520116,0.483702,0.548386,0.478301
1400,0.459150,0.467551,0.426191,0.419919,0.432952,0.398272,0.570335,0.505067,0.464804,0.422324,0.562129,0.486624,0.556869,0.489898,0.438080,0.411460,0.589070,0.533053,0.573501,0.501534,0.456356,0.405401,0.518119,0.451806,0.579347,0.501180,0.465425,0.432913,0.589369,0.548555,0.590260,0.507116,0.461862,0.416094,0.532773,0.479348,0.569926,0.474308
1600,0.455310,0.461800,0.420188,0.408417,0.447370,0.386148,0.584167,0.504504,0.475045,0.414526,0.590044,0.492131,0.571388,0.487355,0.441753,0.400271,0.616625,0.541954,0.589104,0.501012,0.472281,0.395175,0.540300,0.449629,0.597733,0.499562,0.467349,0.421830,0.611216,0.555732,0.610546,0.505915,0.473379,0.403824,0.549347,0.475126,0.593371,0.469896
1800,0.452825,0.457259,0.417367,0.398384,0.467185,0.378031,0.597263,0.504672,0.487708,0.408041,0.617881,0.497285,0.583886,0.484043,0.450672,0.390950,0.643742,0.547606,0.605247,0.499918,0.489802,0.387796,0.564516,0.449859,0.618764,0.499511,0.473972,0.411888,0.631082,0.558794,0.631372,0.504997,0.489722,0.395098,0.566219,0.469690,0.617429,0.465483
