step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.136251,2.036568,19.812649,19.687984,19.689350,19.679596,19.702311,19.691011,1.011058,1.004696,1.004765,1.004268,1.005426,1.004849,19.726749,19.686876,19.683695,19.666948,19.658133,19.653437,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03190923,2.01632118,2.01674056,2.01604295,2.02279830,2.01956630,0.98994154,0.99357766,0.99197435,0.99159139,0.98799914,0.98983753,5.95372327e-05,1.88846199e-04,3.85855019e-05,3.52672832e-05,3.43326865e-05,3.24767534e-05,2.77149720e-05
1000,5.956791,1.780069,19.924177,19.786081,19.882893,19.915392,19.939554,19.873968,1.016742,1.009695,1.014630,1.016290,1.017520,1.014172,19.643784,19.721004,19.730019,19.729801,19.748953,19.739092,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.05803633,2.03647423,2.07157111,2.08418941,2.08930635,2.06171298,1.00074518,0.99065417,0.97708672,0.97194868,0.97027707,0.98233503,5.10505177e-04,8.85549292e-04,4.50549560e-04,3.90795845e-04,3.99554556e-04,4.27633582e-04,5.08948229e-04
1500,5.430667,1.633733,19.772724,19.975998,20.264507,20.410221,20.487841,20.331791,1.009004,1.019360,1.034054,1.041498,1.045447,1.037500,19.380077,19.728390,19.701267,19.723360,19.841734,19.811552,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02398705,2.08940506,2.19389105,2.24113393,2.24788189,2.18031788,1.06527948,1.00142705,0.97459054,0.95627016,0.95042866,0.96597701,1.76164826e-03,2.33930070e-03,1.66637206e-03,1.56229851e-03,1.54448545e-03,1.69253815e-03,1.76489470e-03
2000,5.074760,1.535557,18.924713,20.278721,20.750475,20.983074,21.168711,20.894268,0.965709,1.034750,1.058761,1.070662,1.080113,1.066138,19.029434,19.721313,19.595154,19.666758,19.995571,19.904964,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81270850,2.19657254,2.37894869,2.43503428,2.48200941,2.31977248,1.22126424,1.04552996,1.01040864,0.98492402,0.97758704,0.96994883,3.32723088e-03,3.92994331e-03,3.23634315e-03,3.14605981e-03,3.11100041e-03,3.27942334e-03,3.26061528e-03
2500,4.841627,1.469948,17.911243,20.571970,21.246634,21.480873,21.838772,21.457294,0.913850,1.049648,1.083982,1.095997,1.114229,1.094790,18.687464,19.711653,19.452570,19.590431,20.291075,20.001085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.58630967,2.30365419,2.58949041,2.60866213,2.71284699,2.45777440,1.41384208,1.12367141,1.08152187,1.05553257,1.03735733,0.98779327,4.44128791e-03,4.73425444e-03,4.44220891e-03,4.38550534e-03,4.29986790e-03,4.43922030e-03,4.34667058e-03
3000,4.646230,1.413554,16.966637,20.843555,21.652113,21.864016,22.507631,22.043377,0.865368,1.063430,1.104576,1.115487,1.148272,1.124607,18.337320,19.688496,19.293245,19.500559,20.704262,20.091974,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.39790535,2.40375614,2.76083279,2.70114565,2.94167733,2.59039640,1.63459480,1.23355901,1.18780696,1.14986837,1.11890697,1.01060224,5.28754496e-03,5.10995649e-03,5.41638443e-03,5.40626422e-03,5.26422076e-03,5.35043422e-03,5.17800963e-03
3500,4.502607,1.372385,16.120399,21.069901,22.043148,22.257683,23.141066,22.620644,0.821836,1.074908,1.124429,1.135520,1.180521,1.153958,17.997334,19.664618,19.122990,19.411604,21.004816,20.154488,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.24087512,2.46962571,2.89892173,2.79043341,3.14865255,2.70477557,1.88430333,1.36712003,1.30106986,1.25176728,1.22223306,1.03613353,5.90770505e-03,5.21553541e-03,6.15403289e-03,6.20124443e-03,5.98247489e-03,6.06841780e-03,5.82452491e-03
4000,4.420834,1.345846,15.338053,21.274176,22.400480,22.644432,23.691124,23.179264,0.781499,1.085250,1.142555,1.155196,1.208513,1.182357,17.674997,19.642351,18.958633,19.328253,21.211773,20.217314,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.12274921,2.51860261,3.00895619,2.87997293,3.25044227,2.79976368,2.16439486,1.52379167,1.43664181,1.36264074,1.34345067,1.06726515,6.37428323e-03,5.26354788e-03,6.71059918e-03,6.81213848e-03,6.52323663e-03,6.60520047e-03,6.33097673e-03
4500,4.344240,1.327117,14.597094,21.467730,22.749683,23.012976,24.212852,23.727863,0.743124,1.095035,1.160269,1.173948,1.235066,1.210242,17.362503,19.598597,18.810900,19.253351,21.375509,20.270800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.05450261,2.55945301,3.11193514,2.95108747,3.33010054,2.87761521,2.47177291,1.70385242,1.58202028,1.47426188,1.48318291,1.09655821,6.72967670e-03,5.29239839e-03,7.11389352e-03,7.28486571e-03,6.92842482e-03,7.01960642e-03,6.73887134e-03
5000,4.296717,1.309415,14.215769,21.659807,23.080484,23.360865,24.677134,24.238667,0.723042,1.104747,1.177040,1.191646,1.258684,1.236194,17.064280,19.539122,18.677021,19.190098,21.518341,20.322453,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06006753,2.59252310,3.19608688,3.00968552,3.34366131,2.92685890,2.79633999,1.89560711,1.74008048,1.60409510,1.63315940,1.13119066,6.96566134e-03,5.19974995e-03,7.42312334e-03,7.63144577e-03,7.21068727e-03,7.30565377e-03,7.02330796e-03
