step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.112647,2.030447,19.776402,19.655691,19.664177,19.674366,19.681465,19.678955,1.009209,1.003049,1.003482,1.004001,1.004363,1.004235,19.722019,19.670294,19.658588,19.661734,19.662027,19.653992,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02272630,2.00966024,2.01506639,2.01889729,2.01941299,2.02148557,0.99096906,0.99579513,0.99346596,0.99101073,0.98978192,0.98826253,1.40688434e-04,4.52659588e-04,9.15672426e-05,7.80295086e-05,7.55314177e-05,7.47722806e-05,7.15705683e-05
1000,5.909148,1.763777,19.832064,19.684866,19.764122,19.823917,19.873358,19.824018,1.012048,1.004535,1.008574,1.011622,1.014143,1.011629,19.628069,19.711376,19.683062,19.710840,19.744314,19.723396,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03165483,2.01566553,2.04463840,2.06466484,2.07274461,2.05568290,0.99094433,0.99581707,0.98624104,0.97902417,0.97385019,0.97788435,8.86097793e-04,1.49370241e-03,7.60445721e-04,7.13664573e-04,8.04323819e-04,8.11797159e-04,7.32653076e-04
1500,5.366348,1.612600,19.666033,19.682453,19.877821,19.978674,20.059896,19.947083,1.003572,1.004405,1.014352,1.019495,1.023631,1.017892,19.370039,19.710073,19.619717,19.670919,19.776056,19.783619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00712132,2.01824164,2.08294749,2.12591028,2.14094305,2.08557415,1.00856078,1.00484979,0.98926437,0.98390335,0.97820586,0.97572434,3.43322152e-03,3.78555944e-03,3.13734799e-03,3.26483208e-03,3.49403732e-03,3.56978783e-03,3.34776449e-03
2000,5.004619,1.514339,19.336334,19.618605,19.882627,20.000540,20.088579,19.959723,0.986742,1.001135,1.014570,1.020585,1.025066,1.018524,18.931822,19.692226,19.468187,19.564304,19.810230,19.932907,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.94841862,2.00672364,2.09650350,2.14787507,2.16337323,2.09209704,1.04529035,1.02944171,1.02118206,1.02461183,1.02091742,0.98481154,7.57546940e-03,7.34363729e-03,7.22814910e-03,7.56544247e-03,7.81246042e-03,7.90187251e-03,7.60125462e-03
2500,4.771437,1.448289,19.030037,19.547121,19.840883,19.943611,20.040045,19.943581,0.971103,0.997471,1.012417,1.017658,1.022567,1.017690,18.423618,19.664057,19.308275,19.454016,19.917414,20.228512,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.88623881,1.99115765,2.09288597,2.13638043,2.14912844,2.09143734,1.08703446,1.06274688,1.07131732,1.07953095,1.07289124,0.99428636,1.17488479e-02,1.09881423e-02,1.14275105e-02,1.18978787e-02,1.21176252e-02,1.22094927e-02,1.18524376e-02
3000,4.580039,1.391687,18.776011,19.480219,19.789989,19.865166,19.968004,19.919436,0.958129,0.994041,1.009796,1.013635,1.018868,1.016446,17.886480,19.614721,19.143257,19.336931,20.115372,20.668798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.83690095,1.97710156,2.08362556,2.11206245,2.12402582,2.08916450,1.12370884,1.09757280,1.12259543,1.13501501,1.12246084,1.00137746,1.58339983e-02,1.46180931e-02,1.55868279e-02,1.61533095e-02,1.62894242e-02,1.63902994e-02,1.59660354e-02
3500,4.433425,1.352893,18.573746,19.416862,19.737803,19.798851,19.905302,19.897791,0.947797,0.990790,1.007109,1.010233,1.015647,1.015327,17.373821,19.565912,18.989464,19.227125,20.270947,21.029251,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.79841506,1.96469617,2.07480145,2.09392953,2.10439372,2.08728957,1.15608895,1.12974858,1.17293930,1.17882764,1.16168654,1.00587487,1.98418694e-02,1.82058383e-02,1.96679886e-02,2.03276221e-02,2.03822181e-02,2.04988364e-02,1.99687127e-02
4000,4.346933,1.323358,18.398243,19.355330,19.705568,19.743921,19.839827,19.866774,0.938830,0.987635,1.005433,1.007404,1.012287,1.013729,16.886757,19.520054,18.847490,19.129671,20.379139,21.311331,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.76602256,1.95203912,2.07295442,2.07902551,2.08487654,2.08294892,1.18442345,1.16317809,1.21967840,1.21801054,1.19445455,1.01046348,2.37320323e-02,2.16907430e-02,2.36277338e-02,2.44074352e-02,2.43690461e-02,2.44875122e-02,2.38097236e-02
4500,4.266393,1.302634,18.254631,19.295912,19.671085,19.687986,19.784340,19.837811,0.931489,0.984585,1.003646,1.004529,1.009437,1.012232,16.441372,19.474867,18.716125,19.037231,20.449944,21.533876,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74105513,1.94030440,2.06955171,2.06375432,2.07005692,2.07974267,1.20995235,1.19544673,1.26011121,1.25198317,1.21983743,1.01316464,2.74619333e-02,2.50366703e-02,2.74185762e-02,2.83272192e-02,2.82041356e-02,2.83132307e-02,2.74717677e-02
5000,4.216006,1.284657,18.133364,19.248264,19.636265,19.643648,19.729778,19.807796,0.925292,0.982136,1.001848,1.002249,1.006641,1.010681,16.039705,19.430996,18.599977,18.960657,20.520336,21.730755,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71863592,1.93341637,2.06454635,2.05362463,2.05626702,2.07613444,1.23499131,1.22396195,1.29802930,1.28208721,1.24117255,1.01637864,3.10038580e-02,2.82144174e-02,3.10342051e-02,3.20517495e-02,3.18639018e-02,3.19473296e-02,3.09115443e-02
