step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498821,0.499074,0.499181,0.499184,0.498015,0.498025,0.499559,0.499581,0.499382,0.499471,0.499956,0.499817,0.499102,0.499071,0.499423,0.499511,0.500591,0.500442,0.499062,0.498986,0.499469,0.499551,0.500322,0.500244,0.499455,0.499301,0.499586,0.499629,0.500243,0.500232,0.499499,0.499475,0.499718,0.499727,0.500098,0.500102,0.499086,0.499040
400,0.493813,0.495937,0.498166,0.498175,0.490475,0.491051,0.498938,0.497360,0.494358,0.495286,0.494522,0.493919,0.498539,0.494677,0.493490,0.494272,0.495915,0.495024,0.498909,0.494733,0.494768,0.495373,0.498974,0.498128,0.502556,0.496376,0.496557,0.496841,0.498975,0.498552,0.498807,0.496187,0.498987,0.499073,0.500725,0.500626,0.498269,0.497811
600,0.483327,0.488402,0.496555,0.496587,0.477903,0.479762,0.502501,0.493256,0.481047,0.482954,0.483084,0.480883,0.507769,0.489697,0.479041,0.480330,0.483060,0.480931,0.506102,0.489824,0.482135,0.482915,0.493237,0.489732,0.516982,0.491665,0.488373,0.488586,0.493467,0.491227,0.506779,0.490091,0.496127,0.496334,0.502417,0.501496,0.497915,0.495712
800,0.468799,0.476004,0.493571,0.493666,0.462783,0.465683,0.511950,0.488175,0.464470,0.466709,0.471905,0.461447,0.528310,0.485266,0.459417,0.459831,0.468567,0.461716,0.524594,0.485615,0.464190,0.464544,0.486694,0.474967,0.540585,0.489691,0.474528,0.473075,0.485907,0.477863,0.525880,0.485311,0.489959,0.489784,0.505123,0.500692,0.497769,0.492461
1000,0.454881,0.462965,0.489737,0.489773,0.454304,0.452133,0.526522,0.483945,0.448940,0.449526,0.489694,0.451851,0.555536,0.483223,0.446471,0.439331,0.474510,0.447509,0.553053,0.485814,0.448233,0.445942,0.492639,0.458165,0.569971,0.490859,0.463554,0.455257,0.486077,0.461329,0.552213,0.484549,0.482803,0.480006,0.509577,0.495296,0.499525,0.489065
1200,0.443552,0.451451,0.485092,0.484772,0.455386,0.440333,0.543181,0.480517,0.441374,0.435635,0.517552,0.457049,0.583526,0.482940,0.456165,0.424571,0.496228,0.445762,0.585789,0.491655,0.439825,0.429811,0.509018,0.443418,0.601026,0.494547,0.465441,0.439813,0.502459,0.451083,0.581771,0.487053,0.478566,0.469384,0.517013,0.487619,0.503468,0.486140
1400,0.435168,0.441410,0.480607,0.479601,0.465660,0.429738,0.561415,0.478615,0.445251,0.425062,0.547982,0.473071,0.613067,0.482113,0.479168,0.415609,0.521851,0.453445,0.621103,0.501623,0.444606,0.415993,0.531575,0.427617,0.633303,0.497497,0.479533,0.428333,0.527401,0.445824,0.612318,0.489100,0.479675,0.459036,0.529657,0.477705,0.509173,0.483523
1600,0.428922,0.432550,0.475408,0.473244,0.483451,0.419804,0.580032,0.476602,0.457061,0.417193,0.580085,0.491743,0.642656,0.481221,0.505248,0.415533,0.549060,0.464500,0.657821,0.510992,0.461734,0.405203,0.558022,0.412703,0.667182,0.499589,0.498912,0.420325,0.555606,0.443840,0.644953,0.491426,0.486532,0.449354,0.548071,0.467078,0.516443,0.481166
1800,0.424363,0.424291,0.471061,0.467381,0.504731,0.412043,0.598829,0.474051,0.474397,0.412048,0.613106,0.508109,0.672055,0.479813,0.533081,0.420065,0.577526,0.476810,0.696064,0.517559,0.483653,0.399791,0.587710,0.402850,0.701739,0.500353,0.523944,0.413834,0.585466,0.442264,0.678522,0.491842,0.500643,0.439461,0.568813,0.455855,0.524795,0.478998
