Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
LUT-SAC actor nap=6 tph=64 heads=1 seed=2 addressing=anchors/balanced | 12 outputs/cell (6 mu + 6 log-sigma) | table 49,152 + addressing 6,912 = 56,064 params | rows 64x64 = 4,096
  constants: none | NC = 0 | LUT input 17 -> 17 (actor addressing ONLY; critic and replay stay 17-dim)   [BASELINE: magnitude-blind, no thresholds available]
  addressing wiring: 384 bits = 384 obs-obs (100.0%) + 0 obs-const (0.0%) + 0 const-const (0.0%); 0 const-const bits repaired
  bits wired to each observation channel: z_heig:44 torso_:45 r_hip:45 r_knee:45 r_ankl:47 l_hip:43 l_knee:48 l_ankl:43 vx:46 vz:47 torso_:45 r_hip_:43 r_knee:44 r_ankl:45 l_hip_:46 l_knee:45 l_ankl:47
[  500/10000] steps    32,000 | MJX ret     -4.1 | row-cov   0.0% | best     -4.1 |   2.0m
[ 1000/10000] steps    64,000 | MJX ret    236.4 | row-cov  90.5% | best    236.4 |   4.5m
[ 1500/10000] steps    96,000 | MJX ret    195.3 | row-cov  94.0% | best    236.4 |   6.5m
[ 2000/10000] steps   128,000 | MJX ret    421.3 | row-cov  95.6% | best    421.3 |   8.5m
[ 2500/10000] steps   160,000 | MJX ret    453.7 | row-cov  96.3% | best    453.7 |  10.4m
[ 3000/10000] steps   192,000 | MJX ret   1005.6 | row-cov  96.9% | best   1005.6 |  12.3m
[ 3500/10000] steps   224,000 | MJX ret   2874.5 | row-cov  97.1% | best   2874.5 |  14.3m
[ 4000/10000] steps   256,000 | MJX ret   3486.3 | row-cov  97.1% | best   3486.3 |  16.2m
[ 4500/10000] steps   288,000 | MJX ret   4007.9 | row-cov  97.2% | best   4007.9 |  18.1m
[ 5000/10000] steps   320,000 | MJX ret   3982.1 | row-cov  97.3% | best   4007.9 |  19.9m
[ 5500/10000] steps   352,000 | MJX ret   3434.8 | row-cov  97.4% | best   4007.9 |  21.8m
[ 6000/10000] steps   384,000 | MJX ret   4055.7 | row-cov  97.4% | best   4055.7 |  23.7m
[ 6500/10000] steps   416,000 | MJX ret   4269.8 | row-cov  97.4% | best   4269.8 |  25.5m
[ 7000/10000] steps   448,000 | MJX ret    -21.9 | row-cov  97.5% | best   4269.8 |  27.4m
[ 7500/10000] steps   480,000 | MJX ret    -16.3 | row-cov  97.5% | best   4269.8 |  29.3m
[ 8000/10000] steps   512,000 | MJX ret    440.2 | row-cov  97.5% | best   4269.8 |  31.2m
[ 8500/10000] steps   544,000 | MJX ret   4110.8 | row-cov  97.5% | best   4269.8 |  33.0m
[ 9000/10000] steps   576,000 | MJX ret   3982.9 | row-cov  97.5% | best   4269.8 |  34.8m
[ 9500/10000] steps   608,000 | MJX ret   4238.6 | row-cov  97.5% | best   4269.8 |  36.7m
[10000/10000] steps   640,000 | MJX ret   4257.7 | row-cov  97.5% | best   4269.8 |  38.5m
done: best MJX 4269.8 over 640,000 env-steps in 38.5 min
