step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498726,0.498954,0.498661,0.498658,0.497565,0.497503,0.499840,0.499500,0.499245,0.499258,0.500152,0.500017,0.500124,0.500002,0.499902,0.499908,0.501186,0.501111,0.500585,0.500307,0.499482,0.499516,0.500292,0.500220,0.500707,0.500460,0.499674,0.499687,0.500262,0.500242,0.500042,0.499946,0.499816,0.499794,0.500271,0.500269,0.499240,0.499052
400,0.493673,0.495057,0.494003,0.494225,0.488456,0.488508,0.501605,0.499401,0.494413,0.494396,0.499751,0.498788,0.500666,0.498890,0.495708,0.496023,0.504390,0.503450,0.505350,0.502268,0.495654,0.495460,0.499927,0.499391,0.504264,0.501557,0.498135,0.497968,0.500590,0.500328,0.500913,0.499292,0.499451,0.499351,0.501832,0.501648,0.498265,0.496971
600,0.484095,0.487416,0.485717,0.486822,0.473307,0.473437,0.505491,0.498464,0.483938,0.483575,0.499310,0.495849,0.503215,0.496792,0.486716,0.486741,0.510977,0.507286,0.514692,0.503623,0.486694,0.485023,0.499230,0.496922,0.511976,0.502689,0.491735,0.490283,0.502876,0.501115,0.507722,0.498469,0.495487,0.494641,0.501541,0.499774,0.498847,0.493220
800,0.471893,0.476947,0.473461,0.475158,0.453952,0.453761,0.511706,0.497283,0.470504,0.468948,0.502897,0.491563,0.507764,0.494292,0.472800,0.471296,0.524948,0.515609,0.529191,0.505822,0.474554,0.469350,0.499797,0.492568,0.525766,0.504014,0.479237,0.475024,0.511424,0.505218,0.520156,0.497872,0.486186,0.482671,0.499120,0.492701,0.504408,0.488387
1000,0.460547,0.465889,0.460699,0.462173,0.435826,0.434142,0.520559,0.496582,0.457027,0.452661,0.511558,0.488234,0.515670,0.491535,0.459980,0.455186,0.544216,0.526312,0.547150,0.508518,0.462564,0.450669,0.506821,0.488763,0.543290,0.503832,0.466292,0.457172,0.526500,0.512563,0.537080,0.496207,0.475698,0.465643,0.496487,0.482099,0.516658,0.483912
1200,0.452250,0.456745,0.449567,0.449581,0.422317,0.416548,0.530297,0.496666,0.447590,0.437206,0.524998,0.485649,0.523610,0.488209,0.450977,0.440890,0.566030,0.538047,0.564601,0.509997,0.457212,0.434831,0.518769,0.487394,0.561282,0.503530,0.458313,0.441370,0.544009,0.520306,0.557233,0.496508,0.470497,0.448537,0.496889,0.471274,0.532287,0.480137
1400,0.444955,0.448319,0.441410,0.438778,0.417880,0.402479,0.538179,0.494388,0.443004,0.423165,0.546151,0.487668,0.533135,0.485935,0.445463,0.427586,0.588672,0.547384,0.581222,0.511371,0.460682,0.421445,0.534190,0.486645,0.581623,0.503067,0.452943,0.426302,0.559405,0.523374,0.578753,0.495746,0.474659,0.433298,0.499783,0.460366,0.550712,0.476138
1600,0.440148,0.441652,0.435416,0.429199,0.420895,0.389845,0.548046,0.493819,0.444272,0.411700,0.569445,0.489589,0.544044,0.483912,0.443696,0.415367,0.610384,0.553941,0.597467,0.510740,0.468777,0.410044,0.552455,0.487705,0.603198,0.502445,0.455043,0.414731,0.577345,0.527201,0.601506,0.495901,0.485787,0.420105,0.506058,0.449738,0.571685,0.472126
1800,0.436006,0.435193,0.429776,0.419411,0.432100,0.380640,0.555439,0.491342,0.450011,0.402999,0.595066,0.494087,0.555881,0.481426,0.446072,0.404615,0.634403,0.561791,0.615464,0.510567,0.482667,0.400709,0.571923,0.488284,0.628027,0.502527,0.461094,0.403651,0.594572,0.527913,0.624647,0.495067,0.502615,0.408062,0.516754,0.440491,0.592819,0.468133
2000,0.434124,0.430753,0.426646,0.411501,0.446634,0.374366,0.564100,0.489260,0.458327,0.395127,0.619870,0.496780,0.570656,0.480424,0.452957,0.395486,0.657783,0.566452,0.631492,0.508944,0.499484,0.394088,0.591588,0.488707,0.653270,0.501994,0.470145,0.394389,0.608641,0.526888,0.648686,0.494818,0.524114,0.397569,0.528838,0.430254,0.614350,0.463200
2200,0.432070,0.425486,0.424677,0.404249,0.463799,0.368803,0.572292,0.487115,0.470757,0.390777,0.645651,0.500306,0.581056,0.477733,0.462608,0.387042,0.680286,0.570568,0.648709,0.509217,0.517046,0.388228,0.614974,0.489447,0.679601,0.500727,0.481480,0.385199,0.623880,0.523827,0.672819,0.493899,0.547030,0.392304,0.545809,0.424676,0.638399,0.458300
2400,0.431027,0.421282,0.423462,0.397370,0.482320,0.364408,0.581046,0.486140,0.486411,0.387909,0.673788,0.506945,0.591462,0.475254,0.474427,0.380089,0.702501,0.572200,0.663514,0.507481,0.536940,0.383698,0.636823,0.489681,0.704962,0.498958,0.495035,0.378908,0.636797,0.519800,0.696730,0.493375,0.571175,0.388222,0.563081,0.417794,0.662309,0.452786
2600,0.430087,0.417282,0.424251,0.391506,0.502715,0.362917,0.588606,0.483992,0.501753,0.385540,0.701331,0.510269,0.603623,0.473652,0.489068,0.375768,0.727640,0.575351,0.678699,0.506966,0.559435,0.381958,0.658572,0.489586,0.733642,0.498625,0.511567,0.373970,0.650008,0.514083,0.720493,0.491506,0.596032,0.384276,0.581058,0.411748,0.685533,0.448059
