step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2800,0.412247,0.409627,0.313760,0.316176,0.407475,0.329371,0.776444,0.437563,0.585007,0.348382,0.500090,0.362211,0.681448,0.471652,0.452488,0.399084,0.528331,0.446907,0.523211,0.498090,0.510274,0.499654,0.637098,0.595433,0.569692,0.465222,0.617054,0.475018,0.656182,0.566885,0.533892,0.396337,0.543801,0.389302,0.632090,0.567875
3000,0.399745,0.396869,0.300077,0.302389,0.412154,0.322035,0.794866,0.430578,0.604677,0.344362,0.513045,0.357709,0.698409,0.468239,0.455839,0.394110,0.529446,0.441133,0.524916,0.496632,0.507493,0.496608,0.635361,0.590524,0.573746,0.466694,0.629018,0.478763,0.660104,0.567881,0.538217,0.390425,0.550537,0.383746,0.635420,0.568647
3200,0.387938,0.384848,0.287146,0.289365,0.419577,0.315163,0.810907,0.423875,0.624252,0.340004,0.529167,0.353686,0.714021,0.464879,0.460168,0.390552,0.530424,0.434648,0.526605,0.495269,0.505625,0.494352,0.633353,0.585017,0.580826,0.469753,0.640305,0.481737,0.663830,0.568714,0.542229,0.384633,0.554681,0.377383,0.638480,0.569256
3400,0.376729,0.373391,0.275543,0.277666,0.427315,0.309528,0.827511,0.417809,0.642119,0.336322,0.544794,0.350590,0.729010,0.461366,0.464523,0.386464,0.532138,0.428343,0.528370,0.493782,0.502561,0.491179,0.630440,0.578301,0.584238,0.470530,0.650267,0.484715,0.667280,0.569621,0.547378,0.378841,0.559877,0.370616,0.641462,0.570006
3600,0.366169,0.362644,0.264752,0.266788,0.435370,0.304397,0.842115,0.412260,0.660010,0.333005,0.559789,0.348150,0.743177,0.458800,0.469948,0.383299,0.533207,0.422656,0.530035,0.492700,0.500793,0.489176,0.627174,0.571670,0.590465,0.473575,0.658784,0.487131,0.670006,0.570291,0.550772,0.373772,0.565639,0.365798,0.643746,0.570522
3800,0.356414,0.352757,0.254947,0.256892,0.444280,0.299087,0.854848,0.406871,0.675902,0.329291,0.576630,0.346030,0.754872,0.455138,0.475311,0.380706,0.534654,0.417010,0.531968,0.491815,0.499131,0.487310,0.623795,0.565061,0.596285,0.476418,0.667867,0.490813,0.672735,0.570926,0.554007,0.369914,0.569387,0.361366,0.646152,0.571012
4000,0.347364,0.343624,0.245883,0.247750,0.453250,0.295019,0.865389,0.400316,0.693780,0.324079,0.592488,0.343689,0.768229,0.452232,0.481996,0.378291,0.536648,0.411692,0.533285,0.490624,0.497108,0.485189,0.620582,0.558628,0.598332,0.476833,0.672898,0.492164,0.675239,0.571674,0.557666,0.365775,0.574077,0.357248,0.648443,0.571642
4200,0.339291,0.335457,0.237739,0.239536,0.461680,0.291328,0.876056,0.395065,0.709928,0.319971,0.606892,0.341907,0.779872,0.448273,0.488648,0.376337,0.537998,0.407061,0.534090,0.489117,0.495737,0.483511,0.617277,0.552374,0.600658,0.476884,0.678018,0.494704,0.677231,0.572183,0.560879,0.361955,0.578820,0.353880,0.650199,0.572043
4400,0.332047,0.328158,0.230316,0.232041,0.470130,0.287699,0.884418,0.389723,0.724268,0.316236,0.621784,0.340487,0.791278,0.445034,0.495470,0.374220,0.539605,0.401565,0.535275,0.487729,0.494053,0.481431,0.613507,0.545697,0.602558,0.477077,0.683871,0.497124,0.679051,0.572661,0.563411,0.359072,0.581854,0.350316,0.651888,0.572452
4600,0.325367,0.321375,0.223600,0.225267,0.478868,0.284494,0.892590,0.385188,0.737484,0.313170,0.635681,0.339467,0.802026,0.442525,0.502167,0.372986,0.541186,0.397106,0.535876,0.486281,0.493050,0.480184,0.609872,0.539294,0.602851,0.476162,0.687221,0.498119,0.680586,0.573127,0.566020,0.357105,0.584621,0.347794,0.653235,0.572835
4800,0.319336,0.315230,0.217537,0.219144,0.486739,0.281629,0.900080,0.380699,0.750698,0.310157,0.649138,0.338611,0.812063,0.439762,0.508968,0.372048,0.542758,0.393298,0.536525,0.484767,0.491033,0.477922,0.605908,0.533182,0.602841,0.475391,0.689007,0.498077,0.681830,0.573436,0.567855,0.354091,0.587459,0.344979,0.654363,0.573086
5000,0.314060,0.309887,0.212138,0.213698,0.495054,0.279045,0.905660,0.376370,0.762691,0.307149,0.662334,0.337558,0.820201,0.436661,0.515996,0.370732,0.544293,0.389023,0.537045,0.483227,0.490005,0.476630,0.601667,0.526716,0.603069,0.474962,0.691198,0.498803,0.683158,0.573806,0.569841,0.351750,0.589830,0.342625,0.655508,0.573388
5200,0.309270,0.305072,0.207313,0.208826,0.501692,0.276612,0.912267,0.372864,0.773281,0.304095,0.674494,0.337015,0.829244,0.433852,0.522214,0.369703,0.545450,0.385522,0.538200,0.482398,0.488971,0.475269,0.598414,0.521619,0.602849,0.474056,0.691276,0.498070,0.683998,0.573965,0.571083,0.349802,0.591847,0.340865,0.656312,0.573519
5400,0.305423,0.301192,0.203030,0.204505,0.508622,0.274068,0.917241,0.369330,0.782885,0.301609,0.686000,0.336594,0.836426,0.431349,0.527871,0.368980,0.546768,0.382379,0.538682,0.481111,0.488158,0.474124,0.595271,0.516870,0.601806,0.472487,0.691483,0.497651,0.684797,0.574188,0.572748,0.348554,0.593071,0.339429,0.657138,0.573726
5600,0.301472,0.297222,0.199302,0.200736,0.514706,0.272076,0.921276,0.366159,0.791200,0.299227,0.696535,0.336062,0.843598,0.429356,0.533400,0.368642,0.547564,0.379122,0.539754,0.480264,0.487682,0.473213,0.591999,0.512363,0.600597,0.471077,0.692124,0.497691,0.685427,0.574353,0.573984,0.347209,0.594239,0.337780,0.657768,0.573870
5800,0.297975,0.293696,0.195909,0.197309,0.520458,0.270061,0.924577,0.363407,0.798793,0.296789,0.706464,0.335575,0.850205,0.427326,0.538107,0.367982,0.548929,0.376562,0.540000,0.479037,0.486931,0.472150,0.589026,0.508206,0.599592,0.469799,0.691689,0.497102,0.685917,0.574484,0.574420,0.345669,0.595203,0.336350,0.658258,0.573972
6000,0.295177,0.290866,0.192911,0.194278,0.525998,0.268309,0.926795,0.360713,0.805970,0.295069,0.716173,0.335440,0.855294,0.425033,0.543063,0.367564,0.549998,0.373819,0.540215,0.477978,0.486001,0.471016,0.585778,0.503784,0.597875,0.468084,0.690568,0.496170,0.686252,0.574507,0.575205,0.344928,0.596595,0.335476,0.658599,0.573974
6200,0.292590,0.288249,0.190334,0.191677,0.530431,0.266655,0.929653,0.358572,0.812167,0.293375,0.724634,0.335321,0.860886,0.423445,0.547489,0.367308,0.551435,0.371464,0.540689,0.477046,0.485549,0.470200,0.583013,0.500038,0.596962,0.467065,0.689980,0.495526,0.686556,0.574562,0.575590,0.344334,0.597079,0.334580,0.658940,0.574041
6400,0.290721,0.286346,0.188062,0.189380,0.534630,0.265274,0.931615,0.356514,0.818331,0.291891,0.732780,0.335346,0.865076,0.421906,0.551204,0.366994,0.552311,0.369478,0.540957,0.476284,0.484940,0.469385,0.581014,0.497163,0.595530,0.465620,0.688334,0.494169,0.686795,0.574611,0.575630,0.343333,0.597696,0.333689,0.659214,0.574081
6600,0.288692,0.284305,0.186107,0.187402,0.538598,0.264030,0.933569,0.354796,0.823065,0.290594,0.739959,0.334978,0.869218,0.420556,0.554584,0.366890,0.553379,0.367608,0.540967,0.475329,0.484515,0.468679,0.578882,0.494336,0.594027,0.464233,0.686710,0.492917,0.686946,0.574648,0.575890,0.342918,0.598028,0.333059,0.659412,0.574111
6800,0.287017,0.282629,0.184373,0.185653,0.541876,0.262795,0.935301,0.353058,0.827361,0.289371,0.746227,0.334981,0.872877,0.419330,0.557508,0.366722,0.554372,0.366072,0.541120,0.474548,0.484161,0.468054,0.576736,0.491570,0.592929,0.463138,0.685611,0.491896,0.686996,0.574605,0.576105,0.342515,0.598366,0.332570,0.659483,0.574057
7000,0.285606,0.281214,0.182859,0.184122,0.545025,0.261705,0.936058,0.351416,0.830812,0.288281,0.751808,0.334911,0.875856,0.418215,0.560265,0.366440,0.555200,0.364470,0.541215,0.473867,0.483845,0.467475,0.574841,0.489262,0.591962,0.462197,0.684339,0.490867,0.687039,0.574607,0.576301,0.342182,0.598457,0.332137,0.659611,0.574068
7200,0.284325,0.279933,0.181518,0.182770,0.547747,0.260728,0.936725,0.349974,0.833696,0.287310,0.757000,0.334972,0.878215,0.417199,0.562812,0.366428,0.555838,0.363140,0.541543,0.473386,0.483383,0.466894,0.573268,0.487237,0.591049,0.461343,0.683422,0.490075,0.687025,0.574566,0.576400,0.341812,0.598618,0.331723,0.659649,0.574022
7400,0.283174,0.278770,0.180342,0.181579,0.550248,0.259863,0.937543,0.348814,0.836286,0.286339,0.761520,0.334904,0.880765,0.416317,0.565091,0.366319,0.556369,0.362035,0.541770,0.472882,0.483029,0.466370,0.571797,0.485414,0.590119,0.460428,0.682299,0.489178,0.687051,0.574570,0.576347,0.341557,0.598663,0.331439,0.659736,0.574036
7600,0.282355,0.277940,0.179270,0.180496,0.552461,0.259122,0.937742,0.347697,0.838556,0.285465,0.765783,0.334886,0.882789,0.415317,0.567081,0.366207,0.556854,0.360940,0.541884,0.472265,0.483003,0.466058,0.570335,0.483622,0.588940,0.459363,0.681023,0.488180,0.687026,0.574555,0.576474,0.341327,0.598737,0.331069,0.659793,0.574033
7800,0.281336,0.276922,0.178270,0.179487,0.554521,0.258344,0.937911,0.346517,0.840604,0.284571,0.769818,0.334979,0.884832,0.414555,0.568887,0.366108,0.557138,0.359771,0.541792,0.471546,0.482726,0.465606,0.568954,0.481925,0.588073,0.458508,0.679800,0.487208,0.686921,0.574495,0.576631,0.341108,0.598869,0.330819,0.659789,0.573981
8000,0.280488,0.276068,0.177323,0.178528,0.556342,0.257594,0.938747,0.345615,0.842630,0.283742,0.773745,0.334977,0.886909,0.413843,0.570584,0.365914,0.557755,0.358821,0.542183,0.471244,0.482412,0.465152,0.567635,0.480317,0.587373,0.457774,0.678957,0.486468,0.686823,0.574432,0.576523,0.340884,0.599001,0.330636,0.659776,0.573926
