step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,tau_L0,tau_L1,tau_L2,tau_L3,tau_L4,tau_L5
500,8.183551,2.336881,19.690727,19.636230,19.648672,19.643242,19.648634,19.639101,1.004838,1.002056,1.002691,1.002414,1.002689,1.002203,19.681343,19.618170,19.622223,19.624781,19.627432,19.627308,0.49614909,0.49843004,0.49756306,0.49790081,0.49777904,0.49811190
1000,6.614253,1.967930,19.751436,19.641954,19.661346,19.685913,19.703987,19.688332,1.007935,1.002348,1.003337,1.004590,1.005512,1.004713,19.702517,19.646769,19.665199,19.689152,19.711681,19.706797,0.48834193,0.49717876,0.49442956,0.49392620,0.49477190,0.49350044
1500,6.032856,1.818084,19.777176,19.646980,19.687298,19.734119,19.782413,19.756956,1.009248,1.002604,1.004660,1.007048,1.009511,1.008212,19.679293,19.668785,19.688843,19.718901,19.771711,19.778126,0.47815192,0.49407479,0.48710111,0.48563758,0.48499361,0.48642349
2000,5.658526,1.710599,19.798918,19.650331,19.725994,19.802603,19.904226,19.871424,1.010356,1.002774,1.006631,1.010538,1.015720,1.014046,19.620777,19.676998,19.692102,19.719452,19.810253,19.848688,0.46427640,0.48646450,0.47351262,0.47023049,0.46799332,0.47954309
2500,5.352421,1.621960,19.785793,19.642527,19.769558,19.879910,20.035940,19.989309,1.009684,1.002374,1.008848,1.014476,1.022430,1.020051,19.512377,19.671778,19.668066,19.694937,19.824892,19.922123,0.44718191,0.47512364,0.45599157,0.44938585,0.45147815,0.47502607
3000,5.106600,1.549037,19.710293,19.624729,19.811930,19.946568,20.146727,20.079590,1.005829,1.001462,1.011000,1.017868,1.028070,1.024647,19.342131,19.653315,19.612516,19.643730,19.816710,20.020113,0.42587283,0.45927131,0.43348259,0.42497325,0.44354624,0.48174849
3500,4.904528,1.491180,19.575790,19.590900,19.839245,19.980707,20.214766,20.140362,0.998962,0.999731,1.012383,1.019598,1.031529,1.027738,19.105000,19.625193,19.520977,19.562248,19.790356,20.167583,0.40167576,0.43904665,0.40883297,0.40541407,0.45255879,0.50080162
4000,4.747346,1.439431,19.377869,19.538448,19.820309,19.958759,20.213322,20.171871,0.988857,0.997047,1.011405,1.018465,1.031442,1.029335,18.788231,19.589663,19.383329,19.451759,19.744339,20.470779,0.37753734,0.41611376,0.39154354,0.39928487,0.47235429,0.53558803
4500,4.574926,1.392338,19.090811,19.448812,19.766773,19.898249,20.165936,20.195000,0.974204,0.992463,1.008657,1.015365,1.029005,1.030504,18.377035,19.543556,19.193319,19.315533,19.678123,20.858648,0.35609412,0.39990216,0.38300455,0.40413135,0.50118881,0.58490765
5000,4.455519,1.353975,18.744387,19.320154,19.671423,19.800177,20.093605,20.188898,0.956519,0.985887,1.003773,1.010343,1.025297,1.030181,17.890141,19.487505,18.964264,19.161026,19.596500,21.164671,0.33601555,0.39036074,0.38359919,0.41513577,0.52729565,0.64412081
5500,4.366363,1.324237,18.402987,19.180876,19.556160,19.688236,20.010715,20.171900,0.939088,0.978765,0.997874,1.004614,1.021045,1.029302,17.399998,19.428331,18.734900,19.010981,19.526066,21.401220,0.31892639,0.38616386,0.39134005,0.42925978,0.54606205,0.69990599
6000,4.272558,1.303195,18.079218,19.044207,19.443586,19.568613,19.921288,20.148926,0.922557,0.971776,0.992111,0.998491,1.016463,1.028120,16.917583,19.365623,18.513750,18.873569,19.462027,21.606146,0.30304813,0.38461801,0.39978555,0.43860641,0.55827212,0.74504447
6500,4.217123,1.286007,17.788803,18.906517,19.326891,19.439140,19.832325,20.117739,0.907727,0.964734,0.986132,0.991871,1.011904,1.026514,16.454079,19.304150,18.309351,18.743259,19.402939,21.792553,0.28675097,0.38614580,0.40564111,0.44830278,0.56690753,0.77457523
7000,4.158796,1.271729,17.485838,18.770981,19.217535,19.320131,19.734943,20.086990,0.892253,0.957802,0.980530,0.985781,1.006919,1.024931,16.002188,19.247055,18.109482,18.621778,19.352654,21.963003,0.27155167,0.38506022,0.41202959,0.45384336,0.57191211,0.79747760
7500,4.120682,1.259075,17.208652,18.639540,19.097639,19.191721,19.638350,20.050358,0.878095,0.951077,0.974393,0.979206,1.001971,1.023040,15.575375,19.190119,17.925905,18.513470,19.317453,22.124880,0.25962448,0.38624734,0.41960272,0.45834357,0.57455474,0.81046420
8000,4.078817,1.250753,16.935574,18.502932,18.983192,19.071907,19.541143,20.018227,0.864144,0.944087,0.968526,0.973071,0.996995,1.021379,15.164440,19.139328,17.750767,18.412365,19.281466,22.270758,0.24939504,0.38698813,0.42153668,0.45963898,0.57825553,0.82049102
8500,4.044182,1.240817,16.673578,18.375345,18.870182,18.947346,19.441809,19.985836,0.850758,0.937552,0.962741,0.966694,0.991911,1.019704,14.771940,19.085054,17.583597,18.331013,19.251438,22.418034,0.24043518,0.38580686,0.42137203,0.46246463,0.57423204,0.82260942
9000,4.030721,1.233806,16.421682,18.244932,18.760695,18.838009,19.346746,19.942434,0.837882,0.930881,0.957126,0.961098,0.987044,1.017466,14.399358,19.040178,17.424946,18.266130,19.222351,22.556026,0.23356628,0.38645288,0.42468309,0.46128818,0.57326490,0.82406521
9500,3.987569,1.226659,16.174992,18.122637,18.653826,18.723728,19.251205,19.907988,0.825282,0.924609,0.951644,0.955244,0.982148,1.015683,14.046435,18.996096,17.278303,18.208946,19.198895,22.681372,0.22821753,0.38275304,0.42270467,0.45931396,0.57305276,0.81986272
10000,3.967487,1.220348,15.940147,18.001556,18.549591,18.617880,19.166471,19.877331,0.813278,0.918407,0.946306,0.949823,0.977805,1.014095,13.716266,18.958824,17.138771,18.175793,19.174326,22.805271,0.22369391,0.38141078,0.42272130,0.45759100,0.56538302,0.81373554
10500,3.972819,1.214648,15.716343,17.881577,18.451015,18.512936,19.079622,19.850370,0.801836,0.912267,0.941250,0.944447,0.973354,1.012688,13.398882,18.919670,17.007446,18.147930,19.159910,22.924450,0.22032413,0.37960729,0.41587076,0.45284319,0.56117219,0.80993253
11000,3.913490,1.208827,15.508374,17.772013,18.357246,18.419497,18.993757,19.821341,0.791208,0.906651,0.936441,0.939658,0.968949,1.011182,13.097780,18.884005,16.882071,18.133327,19.144396,23.042002,0.21528594,0.37574455,0.41190964,0.44969717,0.55658191,0.80071372
11500,3.902069,1.205298,15.305656,17.670774,18.270504,18.326546,18.915752,19.788139,0.780833,0.901460,0.931990,0.934891,0.964946,1.009453,12.810328,18.851950,16.763470,18.129786,19.128410,23.157438,0.20995508,0.37284628,0.41016245,0.44514191,0.55486667,0.80205470
12000,3.894903,1.201665,15.116160,17.565641,18.182283,18.241735,18.833101,19.755539,0.771136,0.896072,0.927459,0.930542,0.960705,1.007753,12.551630,18.823120,16.653879,18.124378,19.119617,23.277372,0.20541680,0.36858594,0.40487644,0.44229499,0.54763448,0.79846936
12500,3.871959,1.198199,14.926541,17.469398,18.098465,18.154882,18.756800,19.727520,0.761442,0.891139,0.923161,0.926089,0.956791,1.006295,12.308169,18.793961,16.553667,18.109207,19.110233,23.393946,0.20371740,0.36402479,0.40013400,0.44179878,0.54651666,0.79265004
13000,3.857105,1.194724,14.748344,17.377445,18.015308,18.074118,18.682884,19.701578,0.752340,0.886426,0.918890,0.921941,0.953004,1.004940,12.073677,18.770924,16.454803,18.104696,19.102575,23.500540,0.19778024,0.36238790,0.39670902,0.43779105,0.53823900,0.78553128
13500,3.852263,1.191664,14.571311,17.284081,17.933802,17.994045,18.609571,19.671272,0.743277,0.881636,0.914697,0.917834,0.949250,1.003359,11.867528,18.750769,16.359474,18.099970,19.097876,23.612514,0.19331598,0.35932696,0.39398104,0.43200094,0.53485066,0.78421897
14000,3.830818,1.188590,14.407787,17.196453,17.855616,17.917099,18.540701,19.642027,0.734899,0.877145,0.910679,0.913897,0.945717,1.001835,11.660409,18.729858,16.265797,18.092209,19.099588,23.718443,0.19046852,0.35387045,0.39269659,0.42995265,0.53105640,0.77616835
14500,3.812748,1.186785,14.244774,17.106194,17.782789,17.841259,18.478050,19.612841,0.726563,0.872511,0.906942,0.910005,0.942503,1.000304,11.469978,18.711575,16.184587,18.082985,19.098871,23.821135,0.18750967,0.35013551,0.39018175,0.42517605,0.52585089,0.77397865
15000,3.812259,1.184150,14.091853,17.025532,17.711330,17.768227,18.410482,19.581411,0.718740,0.868365,0.903267,0.906256,0.939041,0.998669,11.290928,18.697010,16.109606,18.073606,19.098896,23.916754,0.18465273,0.34474897,0.38435689,0.42242235,0.52087915,0.76635289
15500,3.798456,1.181871,13.943971,16.941113,17.642614,17.700693,18.350294,19.557993,0.711172,0.864039,0.899744,0.902784,0.935950,0.997441,11.138237,18.681259,16.037666,18.066746,19.098841,24.015261,0.18192782,0.34394050,0.38035753,0.41965371,0.51572907,0.75614941
16000,3.787288,1.178862,13.809134,16.863054,17.580156,17.631321,18.290951,19.530363,0.704266,0.860034,0.896530,0.899224,0.932904,0.995993,10.980290,18.666862,15.966009,18.062492,19.104076,24.108917,0.17915313,0.34195885,0.37878215,0.41811323,0.51237029,0.75332385
16500,3.776848,1.177639,13.678323,16.793247,17.515806,17.570604,18.230896,19.504597,0.697572,0.856445,0.893217,0.896107,0.929820,0.994645,10.839998,18.653706,15.905068,18.057356,19.110865,24.202822,0.17595312,0.33820716,0.37480047,0.41333443,0.50640577,0.74533331
17000,3.764072,1.176190,13.559280,16.722460,17.456514,17.509497,18.177580,19.481564,0.691473,0.852810,0.890172,0.892967,0.927080,0.993428,10.699100,18.644367,15.845471,18.056946,19.112465,24.292337,0.17178117,0.33545053,0.37116808,0.40803507,0.50394148,0.73840010
17500,3.743504,1.174296,13.444094,16.651655,17.398508,17.456514,18.122860,19.460203,0.685572,0.849172,0.887187,0.890250,0.924271,0.992306,10.583525,18.633432,15.785474,18.052290,19.119072,24.390400,0.16924481,0.33062276,0.36798221,0.40301904,0.50103337,0.73571628
18000,3.737154,1.172846,13.330818,16.593033,17.350222,17.399889,18.075821,19.433077,0.679786,0.846166,0.884703,0.887335,0.921861,0.990886,10.474235,18.626017,15.733053,18.058439,19.130045,24.478809,0.16609707,0.32807964,0.36428416,0.39958495,0.49419519,0.72819144
18500,3.728535,1.170881,13.217622,16.532722,17.300150,17.347172,18.026718,19.414625,0.673985,0.843070,0.882123,0.884630,0.919335,0.989908,10.367102,18.621410,15.682462,18.061871,19.138912,24.565598,0.16365024,0.32421294,0.36096492,0.39588329,0.49108693,0.72651666
19000,3.720399,1.168921,13.114996,16.479277,17.248949,17.303202,17.986536,19.390163,0.668728,0.840321,0.879491,0.882364,0.917270,0.988627,10.268636,18.615011,15.637508,18.068861,19.149923,24.641829,0.16179866,0.32260099,0.35733101,0.39281335,0.48595813,0.71961558
19500,3.724188,1.167823,13.021218,16.423744,17.199883,17.257471,17.939413,19.371815,0.663930,0.837461,0.876958,0.880018,0.914848,0.987655,10.177486,18.608721,15.593823,18.078705,19.160707,24.727997,0.16047594,0.31895304,0.35583243,0.38944131,0.48106140,0.71509963
20000,3.710555,1.166204,12.929933,16.369179,17.165577,17.211641,17.900145,19.353134,0.659261,0.834660,0.875190,0.877663,0.912833,0.986672,10.091854,18.604101,15.554896,18.080873,19.172005,24.803223,0.15705535,0.31532750,0.35189098,0.38623357,0.47840536,0.71250486
20500,3.704284,1.165234,12.846476,16.317825,17.122993,17.168694,17.862423,19.335672,0.654988,0.832024,0.873004,0.875454,0.910892,0.985752,10.023329,18.598312,15.519749,18.085302,19.182489,24.883924,0.15439481,0.31234357,0.34717691,0.38387206,0.47133568,0.70345616
21000,3.709656,1.163206,12.766925,16.265062,17.082920,17.126907,17.829710,19.320427,0.650911,0.829312,0.870933,0.873307,0.909206,0.984941,9.950241,18.598188,15.484135,18.095053,19.198101,24.962818,0.15187971,0.30917615,0.34460130,0.38050535,0.46956804,0.69888556
21500,3.680644,1.162070,12.702282,16.227015,17.050760,17.094948,17.793411,19.306654,0.647606,0.827362,0.869271,0.871658,0.907331,0.984220,9.883965,18.594374,15.453297,18.102787,19.208282,25.036137,0.14905094,0.30609274,0.34316781,0.37706789,0.46423000,0.69339061
22000,3.684978,1.161371,12.634137,16.186172,17.014833,17.058516,17.758236,19.287607,0.644107,0.825253,0.867418,0.869783,0.905523,0.983207,9.819534,18.592979,15.426091,18.111586,19.225037,25.108335,0.14637461,0.30392480,0.33773285,0.37265664,0.46280277,0.68965340
22500,3.668165,1.160627,12.570895,16.148670,16.984304,17.032942,17.734594,19.275465,0.640864,0.823326,0.865835,0.868473,0.904311,0.982557,9.759637,18.593681,15.399108,18.118114,19.237745,25.180349,0.14394562,0.30107018,0.33475694,0.36711118,0.45681214,0.68381125
23000,3.660137,1.160065,12.509682,16.116800,16.952391,17.002245,17.707150,19.266121,0.637718,0.821686,0.864192,0.866894,0.902902,0.982053,9.710149,18.593758,15.374009,18.126699,19.253714,25.253813,0.14176658,0.29887679,0.33397391,0.36476463,0.45388079,0.67769414
23500,3.648538,1.157740,12.451812,16.083307,16.930399,16.972961,17.681665,19.254612,0.634780,0.819968,0.863062,0.865376,0.901579,0.981435,9.664615,18.594393,15.352412,18.146042,19.270248,25.320553,0.13947827,0.29663849,0.32879630,0.36065266,0.45035237,0.67329073
24000,3.637031,1.157801,12.397810,16.054241,16.902700,16.950422,17.658045,19.244589,0.632005,0.818469,0.861625,0.864219,0.900364,0.980896,9.628595,18.593990,15.337074,18.157215,19.285381,25.387623,0.13721001,0.29352993,0.32537559,0.35745105,0.44561929,0.66952688
24500,3.644473,1.156427,12.356664,16.023247,16.879950,16.930210,17.635216,19.235577,0.629894,0.816867,0.860458,0.863177,0.899191,0.980418,9.587297,18.594961,15.321529,18.173454,19.302889,25.453264,0.13537285,0.29054177,0.32374027,0.35475788,0.44321176,0.66247618
25000,3.620643,1.155090,12.309356,15.998993,16.859411,16.904329,17.619850,19.225830,0.627478,0.815619,0.859398,0.861845,0.898395,0.979894,9.547267,18.596296,15.308863,18.188049,19.316566,25.517979,0.13377306,0.28725359,0.32148010,0.35105553,0.43983474,0.65935099
25500,3.620355,1.154290,12.271672,15.968423,16.840868,16.888374,17.602741,19.218460,0.625544,0.814040,0.858437,0.861023,0.897519,0.979499,9.522745,18.598230,15.292044,18.204229,19.336693,25.579380,0.13150014,0.28383094,0.31773111,0.34852451,0.43625209,0.65554261
26000,3.635544,1.152621,12.230686,15.948427,16.827383,16.868719,17.585716,19.211826,0.623447,0.813012,0.857740,0.860007,0.896636,0.979140,9.493263,18.600779,15.283612,18.216589,19.353497,25.639931,0.12949909,0.28160420,0.31428805,0.34575692,0.43142268,0.64866555
26500,3.603399,1.152039,12.205095,15.928768,16.811918,16.853333,17.570829,19.208176,0.622135,0.812008,0.856929,0.859219,0.895864,0.978934,9.466716,18.603609,15.267259,18.232277,19.369207,25.697323,0.12723009,0.27970672,0.31196868,0.34251833,0.42969668,0.64161938
27000,3.597155,1.151333,12.180511,15.913294,16.799078,16.838305,17.559046,19.200180,0.620861,0.811202,0.856269,0.858444,0.895254,0.978499,9.445374,18.605835,15.259972,18.246012,19.387678,25.754065,0.12557775,0.27652472,0.30928758,0.34019336,0.42493728,0.63860250
27500,3.607883,1.149832,12.156870,15.895294,16.785648,16.826910,17.546322,19.194757,0.619650,0.810270,0.855575,0.857853,0.894595,0.978199,9.421033,18.610188,15.255838,18.264105,19.408466,25.812740,0.12309902,0.27446148,0.30714950,0.33557317,0.42056671,0.63295865
28000,3.588178,1.149390,12.127418,15.880925,16.775337,16.817200,17.535912,19.194275,0.618141,0.809531,0.855032,0.857350,0.894054,0.978161,9.403882,18.613934,15.250875,18.276552,19.424906,25.869551,0.12174476,0.27204472,0.30509889,0.33263564,0.41719908,0.63049293
28500,3.575446,1.148818,12.112297,15.872575,16.767370,16.807629,17.529160,19.191557,0.617376,0.809098,0.854618,0.856847,0.893704,0.978003,9.389693,18.616415,15.246281,18.296144,19.441994,25.920868,0.11923303,0.26899427,0.30203885,0.32954827,0.41408578,0.62463284
29000,3.579387,1.147992,12.092996,15.859924,16.759785,16.801640,17.520533,19.191187,0.616384,0.808446,0.854221,0.856537,0.893256,0.977962,9.380242,18.620821,15.244699,18.316895,19.460707,25.972271,0.11720566,0.26671010,0.29894602,0.32674316,0.41037297,0.62167203
29500,3.565686,1.146633,12.079028,15.847501,16.756338,16.794071,17.516148,19.191103,0.615667,0.807806,0.854039,0.856141,0.893024,0.977943,9.366759,18.624605,15.244270,18.333000,19.480015,26.021721,0.11554035,0.26421288,0.29646033,0.32510245,0.40748507,0.61563259
30000,3.551976,1.147062,12.065082,15.838962,16.748245,16.788668,17.512249,19.190199,0.614950,0.807361,0.853621,0.855865,0.892814,0.977878,9.359468,18.629576,15.242453,18.350433,19.499958,26.070749,0.11416079,0.26180825,0.29445064,0.32067475,0.40432525,0.61118042
30500,3.559991,1.144809,12.053401,15.831758,16.743612,16.782709,17.507225,19.190443,0.614359,0.806985,0.853373,0.855549,0.892558,0.977882,9.350210,18.634060,15.243867,18.366562,19.517706,26.116459,0.11232269,0.25859556,0.29175961,0.31851211,0.40193453,0.60755920
31000,3.546276,1.144933,12.039558,15.819960,16.742781,16.778412,17.507607,19.194353,0.613644,0.806383,0.853331,0.855330,0.892572,0.978073,9.352298,18.636414,15.245821,18.385098,19.533482,26.161787,0.11079855,0.25679311,0.28804415,0.31605896,0.39797291,0.60335207
31500,3.544020,1.143657,12.033837,15.814657,16.741289,16.777651,17.502808,19.194618,0.613338,0.806101,0.853250,0.855287,0.892319,0.978071,9.344803,18.641695,15.245697,18.401670,19.551523,26.208652,0.10893548,0.25452846,0.28583601,0.31367949,0.39599609,0.60015434
