step,train_ce,train_recon,val_bpb
200,9.419152,0.832230,2.644492
400,7.702954,0.496280,2.183205
600,6.744070,0.497048,1.991012
800,6.276395,0.491001,1.889328
1000,5.963123,0.495501,1.811239
1200,5.720126,0.492655,1.747468
1400,5.525784,0.480817,1.694870
1600,5.372571,0.465186,1.650234
1800,5.216021,0.447759,1.611494
2000,5.074441,0.429397,1.568029
2200,4.934639,0.410731,1.526461
2400,4.814021,0.394143,1.491976
2600,4.706603,0.379980,1.463924
2800,4.628468,0.367343,1.444140
3000,4.570148,0.355815,1.425582
3200,4.529607,0.345312,1.410933
3400,4.476616,0.335631,1.398172
3600,4.431807,0.326671,1.389495
3800,4.415434,0.319340,1.378998
4000,4.381346,0.312594,1.370062
4200,4.343999,0.306392,1.363242
4400,4.321289,0.299845,1.355107
4600,4.308557,0.294359,1.348728
4800,4.282818,0.289475,1.343372
5000,4.270887,0.284616,1.337788
5200,4.260350,0.279766,1.331489
5400,4.259766,0.274971,1.325883
5600,4.220203,0.271861,1.323623
5800,4.196352,0.268640,1.318782
6000,4.187050,0.265371,1.313490
6200,4.175541,0.262320,1.309814
6400,4.159693,0.259270,1.306877
6600,4.147913,0.256497,1.304076
6800,4.149618,0.254022,1.300917
7000,4.122686,0.251250,1.297693
7200,4.101467,0.249572,1.294304
7400,4.105097,0.247290,1.291054
7600,4.089996,0.245166,1.287746
7800,4.073264,0.243683,1.286993
8000,4.067407,0.242035,1.284511
8200,4.065228,0.240758,1.280914
8400,4.053086,0.239050,1.278495
8600,4.040327,0.237455,1.275962
8800,4.030385,0.236245,1.274713
9000,4.037310,0.235202,1.272445
9200,4.022962,0.234138,1.270455
9400,4.008061,0.233318,1.268188
9600,4.005201,0.232173,1.266260
9800,4.009118,0.231149,1.263609
10000,3.989730,0.230416,1.261348
10200,3.987662,0.229078,1.260639
10400,3.999494,0.228248,1.258617
10600,4.003038,0.227024,1.256217
10800,3.970953,0.226722,1.255369
11000,3.947288,0.225977,1.254157
11200,3.952840,0.225465,1.252390
11400,3.953639,0.224762,1.250673
11600,3.940339,0.224287,1.249897
11800,3.938925,0.223668,1.248037
12000,3.934466,0.223184,1.246964
12200,3.918934,0.222415,1.246122
12400,3.912577,0.222066,1.244618
12600,3.910485,0.221782,1.243675
12800,3.904160,0.220914,1.242575
13000,3.900168,0.220866,1.241356
13200,3.893102,0.220447,1.240733
13400,3.897195,0.220470,1.239217
13600,3.889505,0.219948,1.238771
13800,3.880790,0.219478,1.237992
14000,3.880573,0.219109,1.236503
14200,3.886326,0.219279,1.236390
14400,3.875697,0.218939,1.235626
14600,3.865438,0.219026,1.235329
14800,3.868176,0.218434,1.234471
15000,3.873182,0.218449,1.234281
15200,3.860370,0.218215,1.233177
15400,3.869490,0.218110,1.233343
15600,3.893040,0.217851,1.232857
15800,3.880896,0.217476,1.232873
16000,3.860292,0.217766,1.232344
