step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336164,0.331955,0.331881,254.9130,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9130,0.994683,1.9894,16.0000,0.624615,0.000000,0.000000,+0.624615,0
200,0.263162,0.368383,0.368455,282.9457,6689276,0.35441059,425941,3820600,2442735,6689276,0.390818,0.391627,0.392150,-0.002131,0.000001,0.001870,0.000233,1.000000,282.9457,1.047973,2.1036,16.0000,0.675203,0.000000,0.000000,+0.675203,0
400,0.234131,0.383002,0.382867,294.0936,8910867,0.47211471,1833078,4501797,2575992,5890651,0.389074,0.391155,0.392532,-0.003496,-0.000001,0.003605,0.000400,1.000000,294.0936,1.042082,2.1087,16.0000,0.695838,0.000000,0.000000,+0.695838,0
600,0.239168,0.380472,0.380361,292.1596,9796142,0.51901829,2348605,4639143,2808394,5044646,0.387710,0.390803,0.393073,-0.005796,-0.000001,0.006450,0.000676,1.000000,292.1596,1.039487,2.1087,16.0000,0.692162,0.000000,0.000000,+0.692162,0
800,0.247546,0.376284,0.376169,288.9423,10420282,0.55208641,2737891,4677500,3004891,5101911,0.385815,0.390406,0.393960,-0.008171,-0.000002,0.009739,0.001103,1.000000,288.9423,1.036628,2.0824,16.0000,0.686352,0.000000,0.000000,+0.686352,0
1000,0.255607,0.372190,0.372203,285.8470,10819772,0.57325214,3006348,4666947,3146477,4931931,0.383327,0.390007,0.395852,-0.012601,-0.000001,0.012108,0.001600,1.000000,285.8470,1.032661,2.0379,16.0000,0.681043,0.000000,0.000000,+0.681043,0
1200,0.262598,0.368715,0.368687,283.1626,11095237,0.58784682,3194879,4644441,3255917,4755851,0.380279,0.389639,0.397718,-0.016764,0.000001,0.017754,0.002167,1.000000,283.1626,1.029563,1.9783,16.0000,0.676502,0.000000,0.000000,+0.676502,0
1400,0.268291,0.365832,0.365878,280.9764,11291279,0.59823352,3331488,4620430,3339361,4538284,0.378632,0.389327,0.398744,-0.020635,0.000007,0.020623,0.002782,1.000000,280.9764,1.026740,1.9099,16.0000,0.672758,0.000000,0.000000,+0.672758,0
1600,0.272377,0.363802,0.363821,279.4072,11436869,0.60594714,3440249,4600280,3396340,4316667,0.376294,0.389040,0.401451,-0.025337,0.000004,0.021326,0.003444,1.000000,279.4072,1.025051,1.8313,16.0000,0.670111,0.000000,0.000000,+0.670111,0
1800,0.275747,0.362076,0.362177,278.1132,11544815,0.61166632,3515836,4584658,3444321,3952608,0.372950,0.388810,0.405475,-0.028032,-0.000002,0.029100,0.004049,1.000000,278.1132,1.021981,1.7432,16.0000,0.667990,0.000000,0.000000,+0.667990,0
2000,0.278484,0.360639,0.360877,277.0623,11618672,0.61557943,3567953,4569701,3481018,3528412,0.369347,0.388609,0.408090,-0.028991,0.000011,0.028500,0.004594,1.000000,277.0623,1.019169,1.6634,16.0000,0.666305,0.000000,0.000000,+0.666305,0
2200,0.280976,0.359391,0.359633,276.1053,11673165,0.61846656,3606126,4554342,3512697,3205566,0.365118,0.388488,0.410540,-0.035730,0.000026,0.036590,0.005093,1.000000,276.1053,1.016357,1.5826,16.0000,0.664774,0.000000,0.000000,+0.664774,0
2400,0.283178,0.358267,0.358555,275.2595,11717812,0.62083203,3634917,4541484,3541411,2971044,0.363452,0.388418,0.413575,-0.037962,0.000029,0.038856,0.005540,1.000000,275.2595,1.014484,1.5120,16.0000,0.663447,0.000000,0.000000,+0.663447,0
2600,0.285233,0.357233,0.357533,274.4704,11753487,0.62272215,3657483,4528646,3567358,2781635,0.362538,0.388398,0.418500,-0.039052,0.000035,0.040968,0.005969,1.000000,274.4704,1.012764,1.4453,16.0000,0.662217,0.000000,0.000000,+0.662217,0
2800,0.286874,0.356319,0.356807,273.8404,11786604,0.62447673,3677025,4519950,3589629,2627160,0.361599,0.388408,0.418547,-0.045457,0.000036,0.050318,0.006355,1.000000,273.8404,1.010847,1.3820,16.0000,0.661151,0.000000,0.000000,+0.661151,0
3000,0.288678,0.355477,0.355845,273.1477,11814087,0.62593287,3691926,4509217,3612944,2487143,0.361524,0.388495,0.420941,-0.045475,0.000029,0.057527,0.006714,1.000000,273.1477,1.009340,1.3223,16.0000,0.660056,0.000000,0.000000,+0.660056,0
3200,0.289903,0.354917,0.355180,272.6773,11837976,0.62719852,3706108,4502511,3629357,2375541,0.360052,0.388537,0.425214,-0.049253,0.000025,0.062395,0.007038,1.000000,272.6773,1.007502,1.2685,16.0000,0.659235,0.000000,0.000000,+0.659235,0
3400,0.291231,0.354217,0.354553,272.1674,11855871,0.62814665,3716788,4493587,3645496,2274227,0.359300,0.388603,0.429207,-0.051816,0.000009,0.066896,0.007360,1.000000,272.1674,1.006063,1.2171,16.0000,0.658416,0.000000,0.000000,+0.658416,0
3600,0.292504,0.353588,0.353908,271.6784,11875223,0.62917197,3726293,4486493,3662437,2183406,0.358418,0.388696,0.430989,-0.047329,0.000011,0.073231,0.007652,1.000000,271.6784,1.003841,1.1684,16.0000,0.657618,0.000000,0.000000,+0.657618,0
3800,0.293790,0.352909,0.353301,271.1847,11891486,0.63003361,3734382,4478445,3678659,2103653,0.357449,0.388818,0.431798,-0.048437,0.000018,0.073762,0.007933,1.000000,271.1847,1.001899,1.1219,16.0000,0.656839,0.000000,0.000000,+0.656839,0
4000,0.294948,0.352341,0.352712,270.7401,11905178,0.63075906,3741362,4470876,3692940,2035241,0.356581,0.388932,0.435374,-0.054233,0.000020,0.075045,0.008186,1.000000,270.7401,0.999661,1.0778,16.0000,0.656125,0.000000,0.000000,+0.656125,0
4200,0.295827,0.351928,0.352245,270.4024,11917879,0.63143194,3748156,4465530,3704193,1965060,0.355138,0.389007,0.437286,-0.054931,0.000035,0.081607,0.008433,1.000000,270.4024,0.997519,1.0362,16.0000,0.655570,0.000000,0.000000,+0.655570,0
4400,0.296834,0.351426,0.351740,270.0157,11929475,0.63204634,3753892,4458956,3716627,1904371,0.354894,0.389107,0.441107,-0.055735,0.000017,0.085451,0.008676,1.000000,270.0157,0.996270,0.9996,16.0000,0.654963,0.000000,0.000000,+0.654963,0
4600,0.297741,0.351005,0.351253,269.6673,11940853,0.63264918,3758174,4453943,3728736,1847456,0.351289,0.389191,0.442369,-0.055975,0.000008,0.083717,0.008897,1.000000,269.6673,0.994904,0.9655,16.0000,0.654425,0.000000,0.000000,+0.654425,0
4800,0.298583,0.350614,0.350804,269.3443,11949962,0.63313180,3762580,4448355,3739027,1793995,0.349656,0.389269,0.442786,-0.057692,0.000013,0.080858,0.009110,1.000000,269.3443,0.993555,0.9348,16.0000,0.653971,0.000000,0.000000,+0.653971,0
5000,0.299271,0.350204,0.350525,269.0801,11962745,0.63380903,3767525,4445782,3749438,1748616,0.349150,0.389335,0.444172,-0.053814,0.000027,0.075941,0.009319,1.000000,269.0801,0.992219,0.9050,16.0000,0.653524,0.000000,0.000000,+0.653524,0
5200,0.299917,0.349998,0.350085,268.8321,11970784,0.63423496,3772193,4441371,3757220,1701853,0.348994,0.389372,0.447682,-0.058957,0.000036,0.078352,0.009504,1.000000,268.8321,0.990585,0.8766,16.0000,0.653156,0.000000,0.000000,+0.653156,0
5400,0.300593,0.349664,0.349743,268.5724,11978167,0.63462615,3774665,4437445,3766057,1655813,0.346054,0.389423,0.449768,-0.061510,0.000048,0.080332,0.009679,1.000000,268.5724,0.989085,0.8513,16.0000,0.652756,0.000000,0.000000,+0.652756,0
5600,0.301164,0.349364,0.349472,268.3531,11985006,0.63498849,3778567,4433525,3772914,1612551,0.344322,0.389450,0.450531,-0.064468,0.000056,0.079934,0.009869,1.000000,268.3531,0.988376,0.8302,16.0000,0.652409,0.000000,0.000000,+0.652409,0
5800,0.301859,0.348995,0.349146,268.0862,11989741,0.63523936,3780463,4428384,3780894,1573989,0.343015,0.389459,0.451592,-0.065157,0.000064,0.081687,0.010040,1.000000,268.0862,0.987024,0.8080,16.0000,0.652133,0.000000,0.000000,+0.652133,0
6000,0.302178,0.348832,0.348990,267.9636,11996295,0.63558656,3785051,4426354,3784890,1533038,0.341848,0.389455,0.454007,-0.067797,0.000065,0.082674,0.010195,1.000000,267.9636,0.985980,0.7873,16.0000,0.651869,0.000000,0.000000,+0.651869,0
6200,0.302796,0.348528,0.348676,267.7265,12001886,0.63588279,3786707,4422494,3792685,1495951,0.340926,0.389460,0.456869,-0.064683,0.000065,0.082997,0.010358,1.000000,267.7265,0.984880,0.7662,16.0000,0.651611,0.000000,0.000000,+0.651611,0
6400,0.303188,0.348348,0.348464,267.5759,12007454,0.63617784,3789650,4420106,3797698,1458269,0.340540,0.389427,0.457593,-0.064428,0.000079,0.083178,0.010499,1.000000,267.5759,0.983937,0.7497,16.0000,0.651413,0.000000,0.000000,+0.651413,0
6600,0.303612,0.348172,0.348216,267.4130,12011676,0.63640147,3793015,4416532,3802129,1425835,0.339988,0.389406,0.458390,-0.062346,0.000079,0.084197,0.010637,1.000000,267.4130,0.983118,0.7346,16.0000,0.651196,0.000000,0.000000,+0.651196,0
6800,0.304002,0.347960,0.348038,267.2632,12016142,0.63663810,3794365,4414409,3807368,1390840,0.339534,0.389362,0.459566,-0.066540,0.000068,0.087164,0.010764,1.000000,267.2632,0.982277,0.7194,16.0000,0.651046,0.000000,0.000000,+0.651046,0
7000,0.304466,0.347679,0.347855,267.0850,12020113,0.63684851,3796498,4410947,3812668,1356086,0.338663,0.389338,0.462724,-0.068780,0.000072,0.085462,0.010893,1.000000,267.0850,0.981121,0.7048,16.0000,0.650811,0.000000,0.000000,+0.650811,0
