step,L0.qkv_lut_a.T_soft,L0.qkv_lut_a.T_sel,L0.qkv_lut_b.T_soft,L0.qkv_lut_b.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut_a.T_soft,L1.qkv_lut_a.T_sel,L1.qkv_lut_b.T_soft,L1.qkv_lut_b.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut_a.T_soft,L2.qkv_lut_a.T_sel,L2.qkv_lut_b.T_soft,L2.qkv_lut_b.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut_a.T_soft,L3.qkv_lut_a.T_sel,L3.qkv_lut_b.T_soft,L3.qkv_lut_b.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut_a.T_soft,L4.qkv_lut_a.T_sel,L4.qkv_lut_b.T_soft,L4.qkv_lut_b.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut_a.T_soft,L5.qkv_lut_a.T_sel,L5.qkv_lut_b.T_soft,L5.qkv_lut_b.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
3800,0.464316,0.467823,0.378363,0.332866,0.820776,0.412063,0.577823,0.465390,0.491570,0.348082,0.963638,0.567813,0.602997,0.457545,0.522947,0.341931,1.008407,0.766032,0.630498,0.446297,0.557652,0.346643,0.905490,0.627207,0.723564,0.454275,0.666743,0.350706,0.833320,0.454669,0.734844,0.447626,0.663006,0.357954,0.798733,0.383509,0.812481,0.413251
4000,0.464938,0.467053,0.379184,0.330231,0.846233,0.412780,0.587097,0.467245,0.500105,0.347067,0.994373,0.571640,0.612920,0.458641,0.534679,0.340660,1.035584,0.773430,0.646939,0.447372,0.575049,0.346778,0.918814,0.619087,0.740700,0.455724,0.683886,0.349404,0.859981,0.456477,0.755364,0.447871,0.684156,0.359322,0.823949,0.381438,0.833668,0.407757
4200,0.465068,0.465913,0.379815,0.327936,0.871330,0.413025,0.594984,0.468491,0.509857,0.347293,1.024592,0.577056,0.621514,0.459121,0.543745,0.338638,1.059401,0.777963,0.661781,0.447780,0.591662,0.347425,0.928853,0.610251,0.755121,0.455544,0.700860,0.347790,0.885073,0.457652,0.774772,0.447553,0.704937,0.360291,0.847070,0.379814,0.853546,0.402738
4400,0.465755,0.465247,0.380492,0.325866,0.895092,0.413799,0.603067,0.470032,0.518495,0.346900,1.053534,0.581400,0.630382,0.459904,0.555039,0.338500,1.083788,0.783165,0.676534,0.448847,0.607938,0.348737,0.937679,0.601282,0.768379,0.455926,0.716562,0.346446,0.909819,0.459828,0.793386,0.446935,0.724811,0.360927,0.869838,0.377753,0.874307,0.397118
4600,0.466014,0.464467,0.380635,0.323467,0.916705,0.414247,0.612052,0.472528,0.527818,0.347111,1.080411,0.584274,0.638407,0.460433,0.564669,0.337036,1.108439,0.789376,0.690107,0.449108,0.623751,0.350170,0.945005,0.592768,0.782730,0.456677,0.730226,0.344062,0.933120,0.461949,0.811011,0.447371,0.743493,0.360844,0.892120,0.375991,0.893190,0.391791
4800,0.466457,0.463979,0.380811,0.321648,0.937511,0.414284,0.618820,0.473726,0.535140,0.346271,1.105559,0.586864,0.645840,0.461223,0.573585,0.336227,1.129406,0.793667,0.704013,0.449632,0.638446,0.351519,0.952634,0.584350,0.793727,0.455884,0.745138,0.343258,0.955442,0.463955,0.827176,0.447539,0.760782,0.361019,0.912222,0.373711,0.909559,0.387133
5000,0.466279,0.462967,0.381226,0.320142,0.957326,0.414829,0.625990,0.475690,0.541956,0.345901,1.129743,0.589839,0.651402,0.460982,0.582300,0.335377,1.147937,0.796364,0.717473,0.449796,0.652174,0.352129,0.958086,0.576413,0.804113,0.455728,0.757061,0.341928,0.976182,0.465705,0.842838,0.447355,0.776590,0.359751,0.931304,0.371409,0.924386,0.382055
5200,0.466561,0.462428,0.381488,0.318623,0.974681,0.414819,0.633183,0.477553,0.549611,0.346669,1.152114,0.593124,0.657823,0.461756,0.590705,0.334949,1.165781,0.798936,0.728074,0.449595,0.665194,0.352932,0.965341,0.569766,0.813890,0.455338,0.768841,0.340431,0.995171,0.466397,0.856260,0.446632,0.790923,0.358988,0.948326,0.369928,0.938660,0.377442
5400,0.466900,0.462196,0.381823,0.317278,0.990078,0.414404,0.639588,0.479305,0.556130,0.346936,1.172385,0.594437,0.663742,0.462529,0.598643,0.334448,1.180878,0.800333,0.738748,0.450144,0.677498,0.354238,0.973024,0.564300,0.822086,0.455002,0.779205,0.339605,1.012406,0.467020,0.869563,0.446509,0.803814,0.358412,0.964922,0.368645,0.950263,0.372906
5600,0.466644,0.461488,0.381890,0.316097,1.003782,0.413625,0.644476,0.480391,0.561981,0.347019,1.191514,0.596164,0.669910,0.463315,0.605605,0.333943,1.195581,0.802869,0.747736,0.449777,0.688219,0.354989,0.980160,0.559332,0.830270,0.454496,0.788249,0.338063,1.028296,0.467216,0.880838,0.445789,0.816201,0.357254,0.980174,0.367395,0.960170,0.369082
