step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498093,0.498000,0.498370,0.498382,0.498414,0.498370,0.498262,0.498147,0.499301,0.499186,0.500974,0.501037,0.501151,0.501113,0.502685,0.502695,0.499566,0.499785,0.501434,0.501486,0.502184,0.502183,0.502845,0.502927,0.499962,0.500054,0.501107,0.501147,0.500898,0.500891,0.502932,0.502896,0.500268,0.500268,0.501556,0.501651,0.501926,0.501931,0.502905,0.502968,0.499589,0.499448,0.501146,0.501224,0.502114,0.502122,0.502795,0.502878
400,0.488115,0.488007,0.503335,0.503540,0.492885,0.492415,0.489027,0.489023,0.495462,0.495382,0.497721,0.497882,0.497791,0.497569,0.508956,0.508339,0.499367,0.499800,0.502806,0.503395,0.507567,0.507754,0.513590,0.513557,0.501716,0.501707,0.500658,0.500281,0.494002,0.493903,0.512979,0.512651,0.500303,0.500292,0.505082,0.505023,0.504508,0.504460,0.513739,0.513473,0.499191,0.498866,0.502978,0.503343,0.506895,0.506916,0.513487,0.513518
600,0.472775,0.472663,0.514387,0.514849,0.487832,0.487007,0.476563,0.476906,0.489894,0.489246,0.489745,0.489935,0.492445,0.490915,0.514861,0.513153,0.501227,0.501670,0.509302,0.509954,0.513846,0.510643,0.530451,0.529888,0.501415,0.501421,0.508930,0.507090,0.482918,0.482487,0.529283,0.529161,0.499846,0.499774,0.509239,0.504851,0.493762,0.493432,0.530011,0.529628,0.498527,0.498203,0.508610,0.508345,0.506697,0.506467,0.529522,0.528980
800,0.452177,0.452012,0.525792,0.526604,0.482634,0.481903,0.460850,0.461514,0.481101,0.478490,0.479996,0.480811,0.488880,0.485261,0.516993,0.514034,0.503755,0.503946,0.513723,0.514254,0.518195,0.509795,0.545590,0.545620,0.499476,0.499979,0.517937,0.515253,0.475041,0.472633,0.544633,0.545365,0.496901,0.496855,0.515935,0.504062,0.482073,0.480879,0.546122,0.545914,0.496156,0.495901,0.516676,0.514263,0.497532,0.496329,0.542290,0.541342
1000,0.426863,0.426624,0.534878,0.536154,0.472978,0.472095,0.441345,0.442060,0.475386,0.467498,0.469746,0.471333,0.487169,0.480011,0.513460,0.509274,0.507117,0.507109,0.514681,0.515193,0.521449,0.508890,0.561746,0.562704,0.495091,0.495933,0.529765,0.525813,0.474707,0.462116,0.563283,0.565184,0.496746,0.496465,0.526172,0.510750,0.475063,0.470525,0.563379,0.559648,0.494893,0.494683,0.526452,0.521516,0.492574,0.486432,0.553697,0.550600
1200,0.403611,0.403288,0.543736,0.545616,0.457963,0.456543,0.421013,0.421531,0.473596,0.454173,0.460713,0.462195,0.485425,0.473764,0.509820,0.504021,0.509992,0.509528,0.516093,0.516551,0.523471,0.507716,0.578741,0.576701,0.491842,0.492859,0.538526,0.533213,0.477755,0.454824,0.581313,0.584192,0.496259,0.495970,0.534521,0.515022,0.474229,0.461418,0.578493,0.567577,0.493791,0.493692,0.534291,0.527282,0.494852,0.480850,0.564468,0.556622
1400,0.381889,0.381413,0.550107,0.552547,0.439208,0.437236,0.400967,0.401165,0.475262,0.441535,0.451153,0.452745,0.484029,0.467134,0.504223,0.496749,0.512094,0.511076,0.517037,0.517538,0.525623,0.507516,0.592053,0.589542,0.491448,0.492572,0.547146,0.539833,0.482415,0.449491,0.595578,0.599120,0.496278,0.495981,0.543647,0.519776,0.479188,0.456883,0.590138,0.573006,0.494895,0.494652,0.541078,0.532312,0.498499,0.476461,0.574026,0.561142
1600,0.362346,0.361561,0.552088,0.555106,0.420416,0.417578,0.381116,0.380952,0.483064,0.431480,0.441645,0.443477,0.482162,0.459980,0.496507,0.487463,0.511836,0.510749,0.516811,0.517480,0.526823,0.506278,0.605375,0.602147,0.491480,0.493036,0.558403,0.548142,0.486656,0.447418,0.613643,0.614361,0.493325,0.493066,0.553042,0.523208,0.484081,0.451375,0.603228,0.577687,0.494173,0.493951,0.548541,0.536812,0.502064,0.475008,0.583037,0.564750
1800,0.346228,0.344743,0.553504,0.557025,0.402296,0.398207,0.363435,0.362656,0.495153,0.421968,0.433310,0.435152,0.480613,0.452348,0.489866,0.479456,0.510241,0.508860,0.515368,0.516103,0.527129,0.504549,0.613869,0.608472,0.490743,0.492372,0.571367,0.558077,0.492747,0.445076,0.638108,0.631603,0.491052,0.490728,0.563588,0.523370,0.490208,0.445278,0.622726,0.581167,0.492894,0.492770,0.559021,0.541561,0.508432,0.471156,0.598159,0.567590
