step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497872,0.497793,0.499167,0.499102,0.498510,0.498431,0.499058,0.498915,0.499083,0.498943,0.500252,0.500190,0.499909,0.499846,0.499256,0.499156,0.500320,0.500253,0.499812,0.499826,0.499149,0.499053,0.500420,0.500357,0.500009,0.500028,0.499098,0.499015,0.500392,0.500320,0.499971,0.499971,0.499159,0.499098,0.500439,0.500374
400,0.488615,0.488413,0.495290,0.494955,0.489078,0.489089,0.496190,0.496161,0.497934,0.497418,0.501098,0.500313,0.498666,0.498485,0.501203,0.501081,0.509875,0.509455,0.497239,0.497244,0.502423,0.502409,0.510007,0.509643,0.499064,0.498962,0.498052,0.498067,0.508752,0.508027,0.500153,0.500411,0.499150,0.499022,0.508980,0.508258
600,0.472969,0.472739,0.488401,0.487761,0.473497,0.473635,0.490412,0.490279,0.496780,0.495812,0.502556,0.500536,0.500480,0.499530,0.506738,0.504505,0.525748,0.524785,0.496423,0.496319,0.500753,0.499848,0.526651,0.525824,0.497436,0.497300,0.489251,0.488955,0.524866,0.523122,0.497824,0.498180,0.490357,0.489722,0.525305,0.524140
800,0.452852,0.452609,0.476811,0.475690,0.452043,0.452318,0.480569,0.479322,0.495274,0.493549,0.502791,0.499607,0.501941,0.500896,0.509602,0.505527,0.548252,0.546190,0.495392,0.494747,0.498744,0.492227,0.551692,0.549153,0.493826,0.493405,0.479631,0.475936,0.550286,0.544338,0.496111,0.497295,0.480315,0.476626,0.550673,0.547919
1000,0.427882,0.427577,0.463277,0.460945,0.429876,0.430406,0.472163,0.466126,0.492845,0.490586,0.502849,0.498772,0.506851,0.505681,0.515150,0.507890,0.576064,0.564717,0.492950,0.492525,0.502861,0.485890,0.581712,0.571440,0.494051,0.493949,0.476250,0.462420,0.579604,0.562127,0.495795,0.496295,0.479965,0.465378,0.580289,0.569802
1200,0.404417,0.404018,0.447759,0.443644,0.408984,0.409783,0.464020,0.450337,0.489204,0.486771,0.501929,0.497345,0.511752,0.510469,0.520627,0.509583,0.603222,0.576551,0.492574,0.492482,0.511518,0.483268,0.611777,0.588039,0.493540,0.494190,0.479794,0.453216,0.610190,0.581921,0.495007,0.496781,0.487295,0.459108,0.610699,0.595292
1400,0.383226,0.382650,0.431434,0.425562,0.388746,0.389621,0.461582,0.435465,0.484283,0.481787,0.500059,0.495180,0.515313,0.513804,0.526118,0.511818,0.630148,0.587301,0.491218,0.490894,0.518403,0.481044,0.643558,0.602452,0.494741,0.495072,0.485359,0.448083,0.638256,0.603957,0.494369,0.497291,0.495806,0.456308,0.642464,0.622682
1600,0.363661,0.362796,0.415558,0.407538,0.369875,0.370656,0.467099,0.422020,0.479287,0.476592,0.497519,0.492467,0.515513,0.514212,0.530030,0.512544,0.655532,0.595962,0.492775,0.492192,0.526781,0.479442,0.675638,0.617720,0.497286,0.497253,0.489894,0.444205,0.656396,0.616488,0.496551,0.497519,0.505600,0.456139,0.668458,0.638456
1800,0.347161,0.345661,0.400846,0.390076,0.352745,0.353191,0.479096,0.410083,0.473193,0.470166,0.494319,0.489047,0.518278,0.516684,0.533935,0.512997,0.675951,0.604409,0.495218,0.494266,0.535846,0.479545,0.709661,0.636305,0.498617,0.498475,0.490283,0.439782,0.669712,0.626021,0.496301,0.497115,0.512785,0.455253,0.692193,0.649579
2000,0.333368,0.330885,0.387900,0.374011,0.336674,0.336491,0.495465,0.400084,0.466424,0.462922,0.490608,0.485194,0.518028,0.516301,0.537127,0.513175,0.698614,0.611798,0.493987,0.492279,0.546573,0.480792,0.744011,0.660512,0.497925,0.496832,0.488632,0.436965,0.678973,0.632761,0.497655,0.497835,0.520934,0.456107,0.710784,0.657232
