step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.473074,0.476886,0.404577,0.373967,0.565861,0.435827,0.561944,0.414919,0.613660,0.502095,0.539933,0.401974,0.570793,0.426462,0.641692,0.440395,0.656167,0.488877,0.518268,0.393488,0.544578,0.430143,0.658264,0.450358,0.599878,0.477647,0.440910,0.402412,0.615058,0.545195,0.689550,0.487629,0.571768,0.489335,0.463698,0.419166,0.588798,0.533664,0.662391,0.502611,0.527853,0.480753,0.474752,0.473354,0.585795,0.547805,0.552903,0.506537
2200,0.470852,0.473817,0.407423,0.365859,0.594260,0.440379,0.578943,0.406590,0.626096,0.499576,0.562600,0.400974,0.597653,0.429826,0.669399,0.437081,0.679116,0.486937,0.538181,0.387678,0.562555,0.422441,0.685039,0.446179,0.619181,0.476078,0.443338,0.393761,0.626732,0.543825,0.717078,0.481745,0.585830,0.488493,0.467446,0.411160,0.597214,0.529200,0.683929,0.496127,0.535810,0.478979,0.472087,0.470077,0.589986,0.546668,0.555306,0.505542
2400,0.468273,0.470314,0.412153,0.358455,0.623914,0.445747,0.594727,0.398255,0.639199,0.497784,0.583108,0.398307,0.625125,0.431623,0.697089,0.433284,0.700660,0.483264,0.560073,0.383354,0.580691,0.415714,0.711883,0.441162,0.638909,0.474074,0.447448,0.385752,0.638116,0.542593,0.744165,0.474714,0.601250,0.488198,0.473371,0.404315,0.603716,0.523701,0.704565,0.488032,0.542202,0.476420,0.469353,0.466656,0.592232,0.543245,0.557147,0.504369
2600,0.465842,0.466854,0.418675,0.352407,0.653364,0.450171,0.610411,0.391098,0.651328,0.495733,0.606077,0.397220,0.654723,0.434554,0.723968,0.430572,0.722484,0.479271,0.582102,0.381033,0.602921,0.412062,0.739183,0.437395,0.658606,0.472229,0.453923,0.378823,0.648602,0.539516,0.769759,0.466862,0.614885,0.486965,0.480422,0.397947,0.608536,0.517079,0.723921,0.479024,0.549449,0.474560,0.467167,0.463967,0.593076,0.538362,0.559045,0.503427
2800,0.464359,0.464304,0.425221,0.347031,0.682291,0.453151,0.625402,0.383766,0.662534,0.492924,0.628527,0.396597,0.684765,0.439158,0.751144,0.428089,0.743818,0.475587,0.604051,0.378277,0.624323,0.407412,0.765684,0.432041,0.678494,0.470758,0.462251,0.374127,0.659820,0.536272,0.795636,0.459619,0.627709,0.485234,0.489833,0.392878,0.613528,0.511444,0.742593,0.470764,0.556635,0.471758,0.465427,0.461230,0.594260,0.533103,0.560262,0.502251
3000,0.462106,0.461056,0.432466,0.341943,0.711908,0.455404,0.639353,0.376135,0.673217,0.490597,0.650468,0.395601,0.714884,0.443157,0.778143,0.423599,0.765448,0.472485,0.626471,0.376018,0.645644,0.403064,0.793238,0.427966,0.697698,0.468909,0.471895,0.369600,0.670964,0.532778,0.821982,0.454154,0.642999,0.484532,0.498061,0.387642,0.617054,0.502796,0.760956,0.462367,0.565034,0.472131,0.463530,0.458500,0.594835,0.527734,0.561522,0.501053
3200,0.460266,0.458235,0.440248,0.338170,0.741239,0.457235,0.655393,0.369441,0.683572,0.488126,0.673352,0.394366,0.744792,0.446262,0.802549,0.419093,0.786572,0.468205,0.649117,0.374927,0.667894,0.400348,0.817908,0.421878,0.716025,0.466748,0.482363,0.366345,0.682180,0.529209,0.847155,0.447539,0.657290,0.483148,0.507485,0.383452,0.621736,0.495098,0.780788,0.454553,0.572645,0.470159,0.461558,0.455868,0.592578,0.521007,0.562860,0.499882
3400,0.457952,0.454940,0.448189,0.334739,0.770143,0.458664,0.670324,0.362517,0.692468,0.485208,0.694148,0.391531,0.773394,0.448396,0.826582,0.415180,0.807976,0.465852,0.671236,0.373119,0.689982,0.396389,0.844902,0.417407,0.735131,0.465119,0.493080,0.363425,0.690213,0.523750,0.871299,0.438700,0.670379,0.482351,0.516705,0.379823,0.627774,0.488304,0.799177,0.445819,0.579983,0.468638,0.459817,0.453243,0.593281,0.516434,0.563908,0.498702
3600,0.457152,0.453037,0.454768,0.331373,0.798001,0.458967,0.684326,0.356686,0.700976,0.482941,0.714288,0.390039,0.801661,0.449967,0.850073,0.410254,0.826009,0.461534,0.693894,0.370939,0.711521,0.394069,0.869023,0.411645,0.753064,0.462425,0.502512,0.361287,0.700447,0.519723,0.894496,0.431411,0.682378,0.480406,0.526260,0.376308,0.633547,0.481188,0.817680,0.437475,0.587782,0.466846,0.458817,0.451060,0.593092,0.511476,0.564561,0.497449
3800,0.455144,0.450207,0.460671,0.328667,0.825027,0.459599,0.696533,0.350489,0.708097,0.479938,0.735047,0.389052,0.829756,0.452523,0.872274,0.406375,0.843991,0.457330,0.714508,0.368447,0.730954,0.389849,0.893510,0.406084,0.771950,0.460687,0.512478,0.358910,0.708348,0.514115,0.917746,0.423590,0.693879,0.478335,0.538528,0.374170,0.639386,0.474849,0.831597,0.429225,0.594080,0.464673,0.457159,0.448692,0.591761,0.505884,0.565003,0.496199
4000,0.454325,0.448550,0.465979,0.325772,0.850955,0.458796,0.707573,0.344443,0.714659,0.477147,0.755082,0.388065,0.855674,0.453173,0.893131,0.400699,0.862259,0.454248,0.734625,0.366599,0.751595,0.387292,0.914336,0.400068,0.788034,0.458405,0.522574,0.357791,0.717700,0.510762,0.938314,0.417154,0.705935,0.476826,0.549817,0.372618,0.644720,0.469331,0.847992,0.422079,0.602546,0.464253,0.455932,0.446585,0.591826,0.501139,0.565846,0.495195
4200,0.452877,0.446332,0.470812,0.323279,0.876301,0.459233,0.718762,0.338629,0.720570,0.474208,0.773594,0.385939,0.881654,0.453760,0.912688,0.396811,0.878407,0.450928,0.752832,0.364203,0.771376,0.383781,0.935486,0.395293,0.802309,0.455125,0.533540,0.356790,0.723753,0.506294,0.956948,0.410209,0.715914,0.474930,0.559897,0.371036,0.648445,0.462979,0.861722,0.414553,0.609587,0.462322,0.455697,0.445334,0.591539,0.496477,0.565994,0.494023
4400,0.451484,0.444208,0.475592,0.320882,0.899175,0.458326,0.727493,0.333512,0.726266,0.472375,0.790308,0.383999,0.907192,0.455235,0.929756,0.392964,0.893390,0.447040,0.770521,0.361372,0.790320,0.380959,0.954196,0.389970,0.818244,0.453473,0.542641,0.355580,0.731137,0.502875,0.974449,0.403257,0.726054,0.473364,0.570559,0.370035,0.654555,0.458334,0.874309,0.407326,0.616471,0.460899,0.455280,0.443845,0.589729,0.490865,0.566150,0.492805
4600,0.450412,0.442579,0.479265,0.318614,0.921081,0.457195,0.736906,0.328445,0.730586,0.469573,0.806653,0.382330,0.931147,0.456492,0.946145,0.388896,0.907584,0.443605,0.788225,0.359390,0.809179,0.378632,0.971449,0.384807,0.830705,0.451182,0.552018,0.354614,0.738491,0.499204,0.990471,0.396958,0.734883,0.471835,0.581392,0.369191,0.659265,0.453483,0.886079,0.400846,0.623517,0.460216,0.454912,0.442554,0.589975,0.486837,0.566227,0.491716
