step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
2800,0.496290,0.407934,0.493096,0.410909,0.494345,0.353770,0.651404,0.475056,0.501526,0.448070,0.612387,0.478446,0.659553,0.464551,0.507655,0.445063,0.694063,0.522886,0.685239,0.472283,0.505710,0.431654,0.661763,0.499112,0.668195,0.476015,0.538896,0.445235,0.645095,0.445934,0.678354,0.480488,0.581374,0.466048,0.541514,0.466510
3000,0.503897,0.404555,0.500893,0.404452,0.514531,0.350894,0.664343,0.473446,0.510976,0.447670,0.636063,0.483261,0.678747,0.463581,0.516973,0.442418,0.716532,0.521484,0.704825,0.470481,0.516934,0.429411,0.685437,0.501320,0.685387,0.474914,0.552363,0.444416,0.667837,0.441657,0.697323,0.479349,0.598867,0.467148,0.551383,0.464085
3200,0.511172,0.402116,0.508819,0.398424,0.535703,0.349157,0.675962,0.471790,0.520449,0.447752,0.659219,0.487448,0.695683,0.461821,0.526834,0.440110,0.737875,0.521147,0.723878,0.468699,0.528859,0.427940,0.708883,0.504455,0.703882,0.474039,0.566345,0.443880,0.690335,0.437140,0.718422,0.480895,0.616819,0.468279,0.561724,0.460862
3400,0.517871,0.398951,0.517157,0.392898,0.557006,0.348768,0.688310,0.470223,0.530867,0.447882,0.683639,0.491852,0.712725,0.459298,0.538102,0.437335,0.758534,0.518489,0.743576,0.467018,0.541426,0.426675,0.729912,0.505715,0.721193,0.472856,0.580139,0.443531,0.713509,0.433341,0.738580,0.481220,0.633439,0.468683,0.571643,0.457896
3600,0.524153,0.395731,0.525771,0.387772,0.577604,0.348212,0.699864,0.468679,0.540863,0.448437,0.706942,0.496179,0.730815,0.458316,0.548834,0.435175,0.779567,0.515256,0.762081,0.465335,0.553693,0.425634,0.752371,0.507518,0.741107,0.472949,0.595398,0.444060,0.737007,0.429464,0.757830,0.481829,0.651467,0.470288,0.582588,0.455023
3800,0.529505,0.392496,0.534117,0.382652,0.598400,0.348793,0.710427,0.467063,0.551499,0.449133,0.730602,0.500729,0.748546,0.457100,0.560890,0.433291,0.799546,0.512118,0.780598,0.463355,0.566820,0.424875,0.773202,0.508531,0.758424,0.471505,0.609840,0.444597,0.759106,0.425532,0.775689,0.481304,0.667326,0.470704,0.592601,0.451681
4000,0.535319,0.390159,0.542016,0.377421,0.618215,0.348633,0.721166,0.465912,0.561332,0.449799,0.752557,0.504293,0.765114,0.455558,0.571730,0.431514,0.818868,0.509058,0.798040,0.461876,0.579341,0.424750,0.792947,0.510231,0.774831,0.470426,0.624357,0.445203,0.780989,0.421847,0.794428,0.481304,0.684457,0.471525,0.603106,0.448768
4200,0.541332,0.388310,0.549908,0.372885,0.637275,0.349263,0.730826,0.463929,0.570131,0.450304,0.774352,0.508089,0.778937,0.452853,0.583068,0.430681,0.837386,0.506576,0.812754,0.459420,0.591829,0.424001,0.810815,0.510824,0.789531,0.469265,0.637427,0.445282,0.802214,0.417687,0.811279,0.481490,0.700147,0.472147,0.613369,0.445869
4400,0.545910,0.385998,0.556901,0.368990,0.655794,0.349793,0.739434,0.462383,0.578575,0.450469,0.795120,0.511287,0.794299,0.451674,0.592882,0.429231,0.855503,0.502381,0.827822,0.457795,0.603974,0.424185,0.827973,0.511131,0.805774,0.468655,0.650084,0.445836,0.822640,0.414296,0.827650,0.480735,0.716704,0.472879,0.624491,0.442993
4600,0.550161,0.383855,0.563033,0.365282,0.673006,0.350176,0.747292,0.460205,0.586962,0.451084,0.814494,0.513502,0.808378,0.450681,0.602768,0.427852,0.872732,0.498355,0.844099,0.456294,0.615874,0.424400,0.844275,0.510934,0.819503,0.467705,0.662950,0.446399,0.842046,0.411550,0.844376,0.481185,0.732085,0.473626,0.635022,0.440339
4800,0.553633,0.381756,0.569447,0.362165,0.689704,0.351370,0.755098,0.459731,0.594634,0.451574,0.833497,0.516743,0.822841,0.449789,0.612352,0.426404,0.886405,0.494654,0.858059,0.454188,0.626651,0.424262,0.860220,0.510583,0.832177,0.466456,0.675217,0.446475,0.859492,0.408180,0.859410,0.480484,0.746851,0.474239,0.644048,0.437907
5000,0.556668,0.379671,0.574335,0.358984,0.705173,0.351728,0.762951,0.458311,0.602410,0.452355,0.850527,0.518736,0.835006,0.447787,0.621573,0.425350,0.899278,0.490381,0.870782,0.453103,0.637004,0.423760,0.875135,0.510152,0.843856,0.465450,0.686201,0.446715,0.877376,0.405550,0.873851,0.480048,0.759872,0.474403,0.653876,0.435681
5200,0.558912,0.377683,0.579342,0.356048,0.719902,0.351803,0.769283,0.456953,0.609889,0.453045,0.866881,0.520970,0.847409,0.446313,0.630490,0.424309,0.911833,0.486549,0.882120,0.451603,0.646601,0.423803,0.888521,0.509519,0.856529,0.465544,0.697113,0.447300,0.892754,0.402814,0.886621,0.479173,0.771623,0.474174,0.662001,0.433559
5400,0.561405,0.376296,0.583497,0.353276,0.733220,0.352508,0.774935,0.456104,0.615895,0.453244,0.880917,0.521923,0.858946,0.445794,0.638910,0.423630,0.923004,0.482731,0.892351,0.449985,0.656044,0.424079,0.901162,0.509068,0.865984,0.464601,0.707045,0.447505,0.907895,0.400393,0.899306,0.478196,0.782622,0.474542,0.669637,0.431446
5600,0.563033,0.374712,0.587160,0.351040,0.745233,0.352574,0.779398,0.454760,0.621504,0.453403,0.893864,0.522547,0.869049,0.444617,0.646329,0.422932,0.932663,0.478921,0.901628,0.448740,0.663977,0.424064,0.912543,0.508237,0.874864,0.463446,0.716434,0.447629,0.921383,0.397921,0.910215,0.477634,0.792578,0.474277,0.676719,0.429716
5800,0.563631,0.372702,0.589388,0.348576,0.755420,0.352285,0.783581,0.453843,0.627213,0.453819,0.905998,0.523653,0.879267,0.443586,0.653041,0.422279,0.942115,0.475560,0.911030,0.447667,0.671577,0.424210,0.921470,0.507364,0.884311,0.462909,0.725555,0.447901,0.933517,0.395730,0.920193,0.476650,0.802290,0.474293,0.683204,0.428187
6000,0.564216,0.371438,0.591375,0.346520,0.764816,0.352116,0.787958,0.453109,0.631865,0.454019,0.917026,0.524294,0.888107,0.442816,0.658904,0.421613,0.950025,0.472664,0.917938,0.446157,0.678130,0.424209,0.930002,0.506563,0.892100,0.461859,0.732788,0.448136,0.945015,0.394205,0.928531,0.475521,0.811120,0.474301,0.689541,0.426695
6200,0.565386,0.370499,0.593165,0.344609,0.772642,0.351351,0.791595,0.452436,0.636003,0.454231,0.926841,0.524986,0.896053,0.442349,0.664312,0.421067,0.957237,0.470125,0.924728,0.445375,0.684449,0.424422,0.938297,0.506330,0.899168,0.461415,0.739110,0.448234,0.954916,0.392517,0.936718,0.475175,0.818744,0.474318,0.695207,0.425397
